PRCP       023721 18630101 20171231 missing_value=99999.9 HAPPY VALLEY RESERVOIR E&WS               
18840501 18840531 99999.9
18840601 18840630 99999.9
18840701 18840731 99999.9
18840801 18840831 99999.9
18840901 18840930 99999.9
18841001 18841031 99999.9
18841101 18841130 99999.9
18841201 18841231 99999.9
18850101 18850131 99999.9
18850201 18850228 99999.9
18850301 18850331 99999.9
18850401 18850430 99999.9
18850501 18850531 99999.9
18850601 18850630 99999.9
18850701 18850731 99999.9
18850801 18850831 99999.9
18850901 18850930 99999.9
18851001 18851031 99999.9
18851101 18851130 99999.9
18851201 18851231 99999.9
18860101 18860131 99999.9
18860201 18860228 99999.9
18860301 18860331 99999.9
18860401 18860430 99999.9
18860501 18860531 99999.9
18860601 18860630 99999.9
18860701 18860731 99999.9
18860801 18860831 99999.9
18860901 18860930 99999.9
18861001 18861031 99999.9
18861101 18861130 99999.9
18861201 18861231 99999.9
18870101 18870131 99999.9
18870201 18870228 99999.9
18870301 18870331 99999.9
18870401 18870430 99999.9
18870501 18870531 99999.9
18870601 18870630 99999.9
18870701 18870731 99999.9
18870801 18870831 99999.9
18870901 18870930 99999.9
18871001 18871031 99999.9
18871101 18871130 99999.9
18871201 18871231 99999.9
18880101 18880131 99999.9
18880201 18880229 99999.9
18880301 18880331 99999.9
18880401 18880430 99999.9
18880501 18880531 99999.9
18880601 18880630 99999.9
18880701 18880731 99999.9
18880801 18880831 99999.9
18880901 18880930 99999.9
18881001 18881031 99999.9
18881101 18881130 99999.9
18881201 18881231 99999.9
18890101 18890131 99999.9
18890201 18890228 99999.9
18890301 18890331 99999.9
18890401 18890430 99999.9
18890501 18890531 99999.9
18890601 18890630 99999.9
18890701 18890731 99999.9
18890801 18890831 99999.9
18890901 18890930 99999.9
18891001 18891031 99999.9
18891101 18891130 99999.9
18891201 18891231 99999.9
18900101 18900131 99999.9
18900201 18900228 99999.9
18900301 18900331 99999.9
18900401 18900430 99999.9
18900501 18900531 99999.9
18900601 18900630 99999.9
18900701 18900731 99999.9
18900801 18900831 99999.9
18900901 18900930 99999.9
18901001 18901031 99999.9
18901101 18901130 99999.9
18901201 18901231 99999.9
18910101 18910131 99999.9
18910201 18910228 99999.9
18910301 18910331 99999.9
18910401 18910430 99999.9
18910501 18910531     9.9
18910601 18910630    30.3
18910701 18910731    95.0
18910801 18910831    47.8
18910901 18910930    31.1
18911001 18911031    78.3
18911101 18911130    43.5
18911201 18911231    49.6
18920101 18920131    21.9
18920201 18920229     5.1
18920301 18920331    24.6
18920401 18920430    42.8
18920501 18920531    51.8
18920601 18920630    65.3
18920701 18920731    70.7
18920801 18920831    80.5
18920901 18920930    46.7
18921001 18921031    82.2
18921101 18921130    14.0
18921201 18921231    34.6
18930101 18930131     3.8
18930201 18930228     0.0
18930301 18930331    15.5
18930401 18930430    73.3
18930501 18930531   123.0
18930601 18930630    96.9
18930701 18930731    65.3
18930801 18930831    80.7
18930901 18930930    90.7
18931001 18931031    51.9
18931101 18931130    38.4
18931201 18931231     9.5
18940101 18940131    22.3
18940201 18940228     0.0
18940301 18940331    44.2
18940401 18940430    71.0
18940501 18940531    71.5
18940601 18940630    68.9
18940701 18940731    82.9
18940801 18940831    79.2
18940901 18940930    25.4
18941001 18941031    77.5
18941101 18941130     2.3
18941201 18941231    50.7
18950101 18950131    33.0
18950201 18950228     1.5
18950301 18950331    41.1
18950401 18950430    96.5
18950501 18950531    26.2
18950601 18950630    99.6
18950701 18950731   105.6
18950801 18950831    84.2
18950901 18950930    48.1
18951001 18951031    21.2
18951101 18951130    10.7
18951201 18951231    11.9
18960101 18960131    47.4
18960201 18960229     8.9
18960301 18960331    20.3
18960401 18960430    68.1
18960501 18960531    58.5
18960601 18960630    88.2
18960701 18960731    27.2
18960801 18960831    42.6
18960901 18960930    25.3
18961001 18961031    14.8
18961101 18961130    11.4
18961201 18961231    37.9
18970101 18970131    18.1
