PRCP       036028 18910101 20140630 missing_value=99999.9 LERIDA                                    
19121201 19121231    12.9
19130101 19130131    40.9
19130201 19130228   267.2
19130301 19130331     2.1
19130401 19130430    93.1
19130501 19130531     0.0
19130601 19130630    36.5
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     3.5
19131001 19131031     5.1
19131101 19131130     0.0
19131201 19131231    55.9
19140101 19140131   104.9
19140201 19140228    77.5
19140301 19140331     7.8
19140401 19140430     5.4
19140501 19140531     0.0
19140601 19140630    53.1
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031     4.9
19141101 19141130    13.2
19141201 19141231    83.1
19150101 19150131    46.2
19150201 19150228    17.5
19150301 19150331     0.0
19150401 19150430     0.0
19150501 19150531    16.8
19150601 19150630     0.0
19150701 19150731     9.7
19150801 19150831     5.1
19150901 19150930    36.6
19151001 19151031     1.5
19151101 19151130     0.0
19151201 19151231    83.6
19160101 19160131    61.4
19160201 19160229   122.7
19160301 19160331    28.4
19160401 19160430    50.3
19160501 19160531     7.4
19160601 19160630    12.2
19160701 19160731    76.2
19160801 19160831     0.0
19160901 19160930     4.1
19161001 19161031    14.5
19161101 19161130    69.9
19161201 19161231   134.1
19170101 19170131   141.3
19170201 19170228    48.3
19170301 19170331   462.3
19170401 19170430     7.6
19170501 19170531     1.5
19170601 19170630    13.5
19170701 19170731     2.3
19170801 19170831    30.2
19170901 19170930    27.6
19171001 19171031    84.6
19171101 19171130   209.4
19171201 19171231    43.2
19180101 19180131   411.7
19180201 19180228    86.6
19180301 19180331     0.0
19180401 19180430     0.0
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     0.0
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130     0.0
19181201 19181231    37.4
19190101 19190131   116.9
19190201 19190228   135.6
19190301 19190331     1.0
19190401 19190430     7.6
19190501 19190531    14.4
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     3.3
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130     0.0
19191201 19191231    15.4
19200101 19200131   150.9
19200201 19200229    28.9
19200301 19200331     8.7
19200401 19200430   131.4
19200501 19200531   126.1
19200601 19200630    21.5
19200701 19200731    27.7
19200801 19200831     8.6
19200901 19200930     1.5
19201001 19201031    80.8
19201101 19201130   135.9
19201201 19201231   104.9
19210101 19210131    52.9
19210201 19210228    28.0
19210301 19210331    85.0
19210401 19210430    16.0
19210501 19210531     3.1
19210601 19210630    41.4
19210701 19210731    44.2
19210801 19210831    11.0
19210901 19210930    18.0
19211001 19211031   128.3
19211101 19211130     0.0
19211201 19211231    17.3
19220101 19220131   117.6
19220201 19220228   174.2
19220301 19220331     3.3
