PRCP       013017 19560901 20180131 missing_value=99999.9 GILES METEOROLOGICAL OFFICE               
19780701 19780731     5.2
19780801 19780831    40.1
19780901 19780930    25.2
19781001 19781031     5.2
19781101 19781130     5.4
19781201 19781231    30.8
19790101 19790131     6.0
19790201 19790228    33.6
19790301 19790331    27.6
19790401 19790430    18.8
19790501 19790531    41.2
19790601 19790630     5.8
19790701 19790731     1.2
19790801 19790831     8.6
19790901 19790930    31.2
19791001 19791031     0.0
19791101 19791130    42.0
19791201 19791231    29.0
19800101 19800131    15.4
19800201 19800229    36.0
19800301 19800331     1.2
19800401 19800430   119.4
19800501 19800531     7.6
19800601 19800630    22.4
19800701 19800731    17.6
19800801 19800831     0.4
19800901 19800930     0.0
19801001 19801031     8.4
19801101 19801130    31.8
19801201 19801231    16.8
19810101 19810131    42.4
19810201 19810228    46.2
19810301 19810331    17.0
19810401 19810430     0.2
19810501 19810531     9.2
19810601 19810630     5.2
19810701 19810731     2.6
19810801 19810831     0.8
19810901 19810930     1.0
19811001 19811031     0.0
19811101 19811130    97.8
19811201 19811231    27.2
19820101 19820131     7.4
19820201 19820228   131.4
19820301 19820331   159.0
19820401 19820430     1.2
19820501 19820531     1.0
19820601 19820630     8.2
19820701 19820731     0.6
19820801 19820831     0.0
19820901 19820930    28.2
19821001 19821031     0.0
19821101 19821130     3.4
19821201 19821231    60.8
19830101 19830131   118.2
19830201 19830228     2.4
19830301 19830331   150.6
19830401 19830430    37.6
19830501 19830531     1.2
19830601 19830630     0.0
19830701 19830731     0.4
19830801 19830831     0.6
19830901 19830930     0.4
19831001 19831031     4.8
19831101 19831130    28.0
19831201 19831231    81.0
19840101 19840131    58.8
19840201 19840229    12.0
19840301 19840331    32.8
19840401 19840430     0.6
19840501 19840531     4.8
19840601 19840630     0.0
19840701 19840731     7.2
19840801 19840831     1.6
19840901 19840930    31.6
19841001 19841031    28.2
19841101 19841130     3.2
19841201 19841231    36.2
19850101 19850131    20.6
19850201 19850228    13.8
19850301 19850331     9.0
19850401 19850430     0.0
19850501 19850531     1.2
19850601 19850630     1.2
19850701 19850731     6.6
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031    18.6
19851101 19851130     1.0
19851201 19851231    11.6
