PRCP       009594 19040101 20180131 missing_value=99999.9 PEPPERMINT GROVE                          
20000801 20000831   109.3
20000901 20000930    10.5
20001001 20001031    45.5
20001101 20001130    10.1
20001201 20001231    29.8
20010101 20010131    20.1
20010201 20010228    19.8
20010301 20010331    21.4
20010401 20010430    11.0
20010501 20010531    33.8
20010601 20010630   105.2
20010701 20010731    91.5
20010801 20010831   143.9
20010901 20010930    86.1
20011001 20011031    95.0
20011101 20011130    74.9
20011201 20011231    69.2
20020101 20020131    13.4
20020201 20020228    13.2
20020301 20020331    11.2
20020401 20020430    47.8
20020501 20020531    30.3
20020601 20020630    31.1
20020701 20020731    70.6
20020801 20020831    72.8
20020901 20020930    53.4
20021001 20021031    52.0
20021101 20021130    27.7
20021201 20021231    17.0
20030101 20030131     5.5
20030201 20030228    42.0
20030301 20030331    50.2
20030401 20030430   131.6
20030501 20030531    41.0
20030601 20030630    66.2
20030701 20030731    89.0
20030801 20030831   113.2
20030901 20030930   124.2
20031001 20031031    66.6
20031101 20031130    15.5
20031201 20031231     7.4
20040101 20040131    48.9
20040201 20040229    32.2
20040301 20040331    20.8
20040401 20040430    22.8
20040501 20040531    89.2
20040601 20040630    70.9
20040701 20040731    69.9
20040801 20040831    86.6
20040901 20040930    48.5
20041001 20041031    17.7
20041101 20041130    42.9
20041201 20041231     7.0
20050101 20050131     6.5
20050201 20050228     8.2
20050301 20050331    66.9
20050401 20050430   134.4
20050501 20050531    45.1
20050601 20050630   308.6
20050701 20050731    62.4
20050801 20050831   102.0
20050901 20050930    53.0
20051001 20051031   103.5
20051101 20051130    51.7
20051201 20051231    21.6
20060101 20060131    86.9
20060201 20060228    23.2
20060301 20060331    21.8
20060401 20060430    94.6
20060501 20060531    58.0
20060601 20060630    48.0
20060701 20060731    70.2
20060801 20060831    51.4
20060901 20060930    25.7
20061001 20061031    12.2
20061101 20061130    33.6
20061201 20061231     6.0
20070101 20070131    43.4
20070201 20070228     3.3
20070301 20070331    39.9
20070401 20070430    88.6
20070501 20070531    53.9
20070601 20070630   129.9
20070701 20070731    41.2
20070801 20070831    97.9
20070901 20070930    87.4
20071001 20071031    88.4
20071101 20071130     2.3
20071201 20071231    45.6
20080101 20080131     8.7
20080201 20080229     8.8
20080301 20080331     9.8
20080401 20080430    72.6
20080501 20080531    81.7
20080601 20080630    30.4
20080701 20080731   112.1
20080801 20080831    70.8
20080901 20080930    61.0
20081001 20081031    69.8
20081101 20081130   100.4
20081201 20081231   119.0
20090101 20090131     9.7
20090201 20090228    22.5
20090301 20090331    28.6
20090401 20090430    37.2
20090501 20090531    69.6
20090601 20090630   140.0
20090701 20090731    64.5
20090801 20090831    39.5
20090901 20090930    80.2
20091001 20091031    15.6
20091101 20091130    41.3
20091201 20091231    10.3
20100101 20100131     6.0
20100201 20100228    34.1
20100301 20100331    28.6
20100401 20100430    37.8
20100501 20100531    76.0
20100601 20100630   182.5
20100701 20100731    85.5
20100801 20100831   101.0
20100901 20100930    38.2
20101001 20101031    18.3
20101101 20101130    33.1
20101201 20101231    21.9
20110101 20110131    82.3
20110201 20110228    40.3
20110301 20110331    15.1
20110401 20110430    42.2
20110501 20110531    83.0
20110601 20110630    75.9
20110701 20110731   132.2
20110801 20110831    60.8
20110901 20110930    60.7
20111001 20111031    51.2
20111101 20111130    88.0
20111201 20111231    91.9
20120101 20120131    14.9
20120201 20120229    21.6
20120301 20120331     5.2
20120401 20120430    46.6
20120501 20120531    34.3
20120601 20120630   307.2
20120701 20120731   144.0
20120801 20120831    34.0
20120901 20120930    64.1
20121001 20121031    23.4
20121101 20121130    47.4
20121201 20121231    22.7
20130101 20130131    30.4
20130201 20130228     3.0
20130301 20130331    88.0
20130401 20130430    50.6
20130501 20130531    77.2
20130601 20130630   102.2
20130701 20130731   124.2
20130801 20130831    80.2
20130901 20130930   113.9
20131001 20131031    40.4
20131101 20131130    35.0
20131201 20131231    23.4
20140101 20140131     1.3
20140201 20140228     4.8
20140301 20140331    32.2
20140401 20140430    23.2
20140501 20140531    75.6
20140601 20140630    53.9
20140701 20140731    87.7
20140801 20140831    32.7
20140901 20140930    43.4
20141001 20141031    64.5
20141101 20141130    41.9
20141201 20141231    43.7
20150101 20150131     3.2
20150201 20150228    13.8
20150301 20150331    54.3
20150401 20150430    51.0
20150501 20150531    92.8
20150601 20150630    68.2
20150701 20150731    76.3
20150801 20150831    97.6
20150901 20150930    64.9
20151001 20151031    46.1
20151101 20151130    15.8
20151201 20151231   104.9
20160101 20160131    78.1
20160201 20160229    19.8
20160301 20160331    87.2
20160401 20160430    61.0
20160501 20160531    59.1
20160601 20160630   104.5
20160701 20160731    99.1
20160801 20160831   133.9
20160901 20160930    95.6
20161001 20161031    56.7
20161101 20161130    23.7
20161201 20161231    41.9
20170101 20170131     2.6
20170201 20170228    75.4
20170301 20170331    46.7
20170401 20170430    24.5
20170501 20170531    46.8
20170601 20170630    58.3
20170701 20170731   138.6
20170801 20170831    72.3
20170901 20170930   120.1
20171001 20171031    37.1
20171101 20171130 99999.9
20171201 20171231 99999.9
20180101 20180131     7.8
