PRCP       009594 19040101 20180131 missing_value=99999.9 PEPPERMINT GROVE                          
19251201 19251231    11.2
19260101 19260131     0.0
19260201 19260228    24.4
19260301 19260331   136.5
19260401 19260430   141.5
19260501 19260531    51.8
19260601 19260630    53.0
19260701 19260731   140.6
19260801 19260831    79.7
19260901 19260930    38.6
19261001 19261031    28.0
19261101 19261130    27.7
19261201 19261231     8.0
19270101 19270131    28.0
19270201 19270228    11.5
19270301 19270331    46.8
19270401 19270430    15.5
19270501 19270531    49.0
19270601 19270630    93.0
19270701 19270731    66.0
19270801 19270831    36.5
19270901 19270930    72.4
19271001 19271031   164.4
19271101 19271130     2.6
19271201 19271231    15.8
19280101 19280131    67.3
19280201 19280229     1.3
19280301 19280331    11.6
19280401 19280430    63.5
19280501 19280531    49.4
19280601 19280630    50.1
19280701 19280731   119.3
19280801 19280831    48.3
19280901 19280930    59.4
19281001 19281031    57.2
19281101 19281130    17.3
19281201 19281231    11.2
19290101 19290131    21.4
19290201 19290228    34.6
19290301 19290331    17.9
19290401 19290430    24.4
19290501 19290531    60.8
19290601 19290630   218.6
19290701 19290731   101.9
19290801 19290831    47.1
19290901 19290930    86.1
19291001 19291031    49.2
19291101 19291130   124.5
19291201 19291231    39.1
19300101 19300131     0.8
19300201 19300228     7.1
19300301 19300331    66.5
19300401 19300430    71.8
19300501 19300531    98.0
19300601 19300630    51.1
19300701 19300731    54.3
19300801 19300831    46.9
19300901 19300930    34.0
19301001 19301031    22.1
19301101 19301130    18.2
19301201 19301231    43.4
19310101 19310131     8.1
19310201 19310228    12.8
19310301 19310331    33.8
19310401 19310430    73.6
19310501 19310531    71.5
19310601 19310630    92.4
19310701 19310731    67.2
19310801 19310831   171.4
19310901 19310930   117.3
19311001 19311031    16.4
19311101 19311130    38.7
19311201 19311231     8.2
19320101 19320131    63.0
19320201 19320229    11.7
19320301 19320331    42.5
19320401 19320430    71.7
19320501 19320531    27.8
19320601 19320630   131.0
19320701 19320731    75.5
19320801 19320831   169.4
19320901 19320930    56.2
19321001 19321031    86.9
19321101 19321130    21.1
19321201 19321231    11.7
19330101 19330131    38.1
19330201 19330228     1.3
19330301 19330331    70.3
19330401 19330430    26.3
19330501 19330531    76.8
19330601 19330630    57.0
19330701 19330731    43.0
19330801 19330831    74.5
19330901 19330930    40.8
19331001 19331031    66.0
19331101 19331130    44.0
19331201 19331231    41.3
19340101 19340131    10.6
19340201 19340228     3.8
19340301 19340331   181.8
19340401 19340430    78.9
19340501 19340531    42.9
19340601 19340630    83.8
19340701 19340731    94.8
19340801 19340831    70.4
19340901 19340930    47.7
19341001 19341031    35.8
19341101 19341130    54.2
19341201 19341231    26.9
19350101 19350131    57.9
19350201 19350228    11.4
19350301 19350331     7.9
19350401 19350430    27.4
19350501 19350531    34.1
19350601 19350630   151.5
19350701 19350731   123.5
19350801 19350831    88.3
19350901 19350930    97.0
19351001 19351031    71.8
19351101 19351130     7.0
19351201 19351231    18.0
19360101 19360131    26.8
19360201 19360229     8.5
19360301 19360331     6.3
19360401 19360430    17.9
19360501 19360531   132.4
19360601 19360630    88.0
19360701 19360731   107.0
19360801 19360831    22.6
19360901 19360930    16.2
19361001 19361031    37.4
19361101 19361130     6.4
19361201 19361231    26.5
19370101 19370131    10.2
19370201 19370228     0.5
19370301 19370331    68.2
19370401 19370430    22.5
19370501 19370531   141.1
19370601 19370630    91.9
19370701 19370731    34.7
19370801 19370831   115.2
19370901 19370930    71.7
19371001 19371031    13.4
19371101 19371130    29.0
19371201 19371231    10.7
19380101 19380131    53.4
19380201 19380228     6.4
19380301 19380331    19.3
19380401 19380430    27.7
19380501 19380531    15.2
19380601 19380630   108.5
19380701 19380731    79.8
19380801 19380831    40.9
19380901 19380930    19.6
19381001 19381031    39.6
19381101 19381130    11.7
19381201 19381231     3.8
19390101 19390131   223.8
19390201 19390228    33.6
19390301 19390331    11.6
19390401 19390430    34.9
19390501 19390531    90.0
19390601 19390630    74.1
19390701 19390731    80.1
19390801 19390831    66.0
19390901 19390930    24.0
19391001 19391031   157.3
19391101 19391130   113.9
19391201 19391231     7.9
19400101 19400131     9.0
19400201 19400229     5.1
19400301 19400331     1.5
19400401 19400430    24.1
19400501 19400531    65.6
19400601 19400630    29.5
19400701 19400731    59.2
19400801 19400831    43.0
19400901 19400930    48.2
19401001 19401031    29.0
19401101 19401130    20.5
19401201 19401231    64.1
19410101 19410131    15.5
19410201 19410228     4.7
19410301 19410331    47.8
19410401 19410430    29.6
19410501 19410531    33.4
19410601 19410630    56.6
19410701 19410731    53.5
19410801 19410831    34.0
19410901 19410930    82.3
19411001 19411031    90.0
19411101 19411130    31.1
19411201 19411231     3.8
19420101 19420131    14.0
19420201 19420228     8.0
19420301 19420331    79.7
19420401 19420430    57.2
19420501 19420531   106.7
19420601 19420630   126.2
19420701 19420731    94.2
19420801 19420831    65.1
19420901 19420930    72.0
19421001 19421031   102.2
19421101 19421130     8.4
19421201 19421231    51.7
19430101 19430131    84.4
19430201 19430228    64.9
19430301 19430331    58.5
19430401 19430430    58.2
19430501 19430531    53.6
19430601 19430630    43.0
19430701 19430731   100.9
19430801 19430831    68.7
19430901 19430930    39.5
19431001 19431031    27.7
19431101 19431130    16.8
19431201 19431231    21.8
19440101 19440131     2.3
19440201 19440229    24.1
19440301 19440331    15.0
19440401 19440430    25.1
19440501 19440531   110.3
19440601 19440630    47.3
19440701 19440731    87.9
19440801 19440831   102.6
19440901 19440930    57.2
19441001 19441031    20.1
19441101 19441130     5.4
19441201 19441231    15.8
19450101 19450131     2.8
19450201 19450228     6.6
19450301 19450331    43.2
19450401 19450430    21.8
19450501 19450531    81.7
19450601 19450630   198.4
19450701 19450731   157.6
19450801 19450831   113.3
19450901 19450930    40.8
19451001 19451031    20.9
19451101 19451130     7.7
19451201 19451231    39.1
19460101 19460131     3.3
19460201 19460228     6.4
19460301 19460331     3.6
19460401 19460430    13.2
19460501 19460531    43.7
19460601 19460630   124.9
19460701 19460731    45.3
19460801 19460831    38.6
19460901 19460930    33.7
19461001 19461031    42.2
19461101 19461130    25.5
19461201 19461231    32.2
19470101 19470131     3.3
19470201 19470228    31.6
19470301 19470331     8.2
19470401 19470430    70.0
19470501 19470531    94.3
19470601 19470630    97.4
19470701 19470731    52.9
19470801 19470831    59.1
19470901 19470930    36.4
19471001 19471031    82.2
19471101 19471130    31.1
19471201 19471231    10.4
19480101 19480131     0.0
19480201 19480229     5.4
19480301 19480331    11.2
19480401 19480430    25.9
19480501 19480531    32.4
19480601 19480630    74.5
19480701 19480731    48.2
19480801 19480831    72.0
19480901 19480930   103.6
19481001 19481031    47.3
19481101 19481130    78.8
19481201 19481231    14.5
19490101 19490131     8.2
19490201 19490228     9.7
19490301 19490331    34.5
19490401 19490430    35.8
19490501 19490531    59.7
19490601 19490630    43.4
19490701 19490731    93.4
19490801 19490831    68.6
19490901 19490930    52.7
19491001 19491031   103.4
19491101 19491130    49.3
19491201 19491231     1.1
19500101 19500131     6.2
19500201 19500228     5.8
19500301 19500331     3.9
19500401 19500430     3.3
19500501 19500531   240.1
19500601 19500630    99.4
19500701 19500731    58.4
19500801 19500831    34.9
19500901 19500930   100.2
19501001 19501031    41.1
19501101 19501130    19.0
19501201 19501231    38.9
19510101 19510131    97.1
19510201 19510228    61.5
19510301 19510331     5.1
19510401 19510430    72.1
19510501 19510531    60.9
19510601 19510630   121.2
19510701 19510731    81.4
19510801 19510831   132.4
19510901 19510930   135.6
19511001 19511031    26.3
19511101 19511130    16.8
19511201 19511231    29.7
19520101 19520131    42.8
19520201 19520229     5.7
19520301 19520331    22.3
19520401 19520430    32.3
19520501 19520531    56.0
19520601 19520630   109.7
19520701 19520731    81.5
19520801 19520831    42.6
19520901 19520930    70.1
19521001 19521031    66.0
19521101 19521130    51.1
19521201 19521231    32.6
19530101 19530131     3.5
19530201 19530228    27.7
19530301 19530331    12.1
19530401 19530430    46.2
19530501 19530531    69.7
19530601 19530630   130.3
19530701 19530731    35.5
19530801 19530831   112.2
19530901 19530930    46.0
19531001 19531031    31.7
19531101 19531130    27.3
19531201 19531231    17.0
19540101 19540131    17.3
19540201 19540228     2.6
19540301 19540331     6.0
19540401 19540430    35.3
19540501 19540531    42.0
19540601 19540630    34.4
19540701 19540731    40.4
19540801 19540831    93.7
19540901 19540930    44.8
19541001 19541031    41.0
19541101 19541130    41.1
19541201 19541231    18.9
19550101 19550131    10.4
19550201 19550228   263.4
19550301 19550331     8.8
19550401 19550430   145.7
19550501 19550531    39.0
19550601 19550630   105.0
19550701 19550731    60.7
19550801 19550831    79.3
19550901 19550930    57.5
19551001 19551031    72.5
19551101 19551130    15.3
19551201 19551231    18.9
19560101 19560131     0.3
19560201 19560229    21.6
19560301 19560331    21.6
19560401 19560430    26.2
19560501 19560531    81.4
19560601 19560630   107.2
19560701 19560731    84.6
19560801 19560831    42.5
19560901 19560930    26.5
19561001 19561031    61.6
19561101 19561130    18.9
19561201 19561231     5.6
19570101 19570131     5.1
19570201 19570228     4.1
19570301 19570331    38.4
19570401 19570430    39.9
19570501 19570531    16.6
19570601 19570630    76.3
19570701 19570731    87.0
19570801 19570831    55.9
19570901 19570930    32.0
19571001 19571031    29.1
19571101 19571130     1.0
19571201 19571231    17.2
19580101 19580131    11.9
19580201 19580228    18.3
19580301 19580331     9.6
19580401 19580430    24.5
19580501 19580531    58.4
19580601 19580630    46.6
19580701 19580731    96.1
19580801 19580831    69.4
19580901 19580930   132.2
19581001 19581031    89.2
19581101 19581130    29.1
19581201 19581231    32.2
19590101 19590131    11.6
19590201 19590228     9.5
19590301 19590331    22.5
19590401 19590430     7.9
19590501 19590531    18.9
19590601 19590630   115.2
19590701 19590731    48.0
19590801 19590831    57.9
19590901 19590930   164.1
19591001 19591031    48.0
19591101 19591130    82.4
19591201 19591231    30.4
19600101 19600131    43.0
19600201 19600229    29.8
19600301 19600331    38.7
19600401 19600430    75.1
19600501 19600531   117.7
19600601 19600630    88.0
19600701 19600731   156.4
19600801 19600831    65.1
19600901 19600930    94.8
19601001 19601031    23.4
19601101 19601130    18.9
19601201 19601231     3.6
19610101 19610131    36.0
19610201 19610228    15.0
19610301 19610331    11.9
19610401 19610430   163.5
19610501 19610531    38.6
19610601 19610630   142.8
19610701 19610731   112.3
19610801 19610831    47.5
19610901 19610930    43.2
19611001 19611031    21.1
19611101 19611130    12.2
19611201 19611231    26.5
19620101 19620131     4.8
19620201 19620228    25.7
19620301 19620331    14.3
19620401 19620430    12.2
19620501 19620531    96.9
19620601 19620630    63.2
19620701 19620731    70.2
19620801 19620831    78.7
19620901 19620930    49.0
19621001 19621031    75.1
19621101 19621130     9.4
19621201 19621231    22.5
19630101 19630131     7.6
19630201 19630228    35.0
19630301 19630331    34.4
19630401 19630430    54.6
19630501 19630531   141.0
19630601 19630630    89.9
19630701 19630731   101.8
19630801 19630831    62.8
19630901 19630930    45.2
19631001 19631031    55.9
19631101 19631130    23.6
19631201 19631231     7.2
19640101 19640131    42.2
19640201 19640229    24.6
19640301 19640331    11.8
19640401 19640430   137.7
19640501 19640531    31.7
19640601 19640630    92.6
19640701 19640731    72.0
19640801 19640831    73.5
19640901 19640930    51.0
19641001 19641031   101.0
19641101 19641130    15.8
19641201 19641231    34.8
19650101 19650131    22.4
19650201 19650228     4.8
19650301 19650331    17.3
19650401 19650430    19.3
19650501 19650531    92.9
19650601 19650630    52.3
19650701 19650731    62.7
19650801 19650831    64.9
19650901 19650930    48.2
19651001 19651031    75.4
19651101 19651130    84.1
19651201 19651231    36.4
19660101 19660131    41.9
19660201 19660228    11.9
19660301 19660331     5.8
19660401 19660430    72.9
19660501 19660531    52.1
19660601 19660630   145.6
19660701 19660731    66.3
19660801 19660831    72.3
19660901 19660930   129.8
19661001 19661031    74.0
19661101 19661130    11.4
19661201 19661231    14.2
19670101 19670131    10.4
19670201 19670228    20.6
19670301 19670331    49.6
19670401 19670430    31.3
19670501 19670531   115.5
19670601 19670630    38.7
19670701 19670731   105.9
19670801 19670831    91.3
19670901 19670930    71.9
19671001 19671031    53.5
19671101 19671130    14.2
19671201 19671231    13.0
19680101 19680131    88.4
19680201 19680229    37.4
19680301 19680331    83.7
19680401 19680430    48.2
19680501 19680531    85.6
19680601 19680630   111.5
19680701 19680731    58.5
19680801 19680831   154.6
19680901 19680930   111.6
19681001 19681031    66.7
19681101 19681130    25.0
19681201 19681231    13.7
19690101 19690131     3.1
19690201 19690228     4.9
19690301 19690331    15.6
19690401 19690430    30.8
19690501 19690531    44.5
19690601 19690630    56.4
19690701 19690731   104.9
19690801 19690831   106.1
19690901 19690930    63.6
19691001 19691031    25.2
19691101 19691130    26.3
19691201 19691231    26.8
19700101 19700131     8.8
19700201 19700228    37.7
19700301 19700331    11.1
19700401 19700430   116.5
19700501 19700531    26.1
19700601 19700630    59.5
19700701 19700731    40.6
19700801 19700831    90.5
19700901 19700930   105.1
19701001 19701031    27.7
19701101 19701130    40.5
19701201 19701231    22.8
19710101 19710131    40.3
19710201 19710228    10.4
19710301 19710331    93.8
19710401 19710430    94.4
19710501 19710531   196.6
19710601 19710630    35.3
19710701 19710731    44.7
19710801 19710831    84.2
19710901 19710930    67.6
19711001 19711031   125.3
19711101 19711130   181.0
19711201 19711231    12.5
19720101 19720131    25.0
19720201 19720229     8.8
19720301 19720331    27.8
19720401 19720430    63.1
19720501 19720531    62.9
19720601 19720630    92.1
19720701 19720731   157.6
19720801 19720831    79.6
19720901 19720930    34.0
19721001 19721031    64.1
19721101 19721130     8.5
19721201 19721231     4.8
19730101 19730131    15.0
19730201 19730228    10.6
19730301 19730331     9.3
19730401 19730430    46.7
19730501 19730531    42.7
19730601 19730630   115.1
19730701 19730731    67.8
19730801 19730831   164.8
19730901 19730930   113.3
19731001 19731031   102.5
19731101 19731130    92.4
19731201 19731231    18.3
19740101 19740131     5.8
19740201 19740228    16.0
19740301 19740331    37.9
19740401 19740430    81.1
19740501 19740531   106.7
19740601 19740630    75.4
19740701 19740731    60.4
19740801 19740831    40.5
19740901 19740930    30.0
19741001 19741031    27.1
19741101 19741130    61.8
19741201 19741231     1.2
19750101 19750131     9.0
19750201 19750228    10.8
19750301 19750331     7.4
19750401 19750430   136.0
19750501 19750531   149.7
19750601 19750630    39.8
19750701 19750731    65.9
19750801 19750831   127.4
19750901 19750930    69.6
19751001 19751031    70.6
19751101 19751130    31.0
19751201 19751231    12.6
19760101 19760131    62.4
19760201 19760229    29.8
19760301 19760331     5.5
19760401 19760430    81.2
19760501 19760531    98.0
19760601 19760630    85.9
19760701 19760731    97.6
19760801 19760831   155.0
19760901 19760930   110.4
19761001 19761031   124.6
19761101 19761130    74.6
19761201 19761231     6.9
19770101 19770131    11.6
19770201 19770228    23.8
19770301 19770331     8.8
19770401 19770430    19.6
19770501 19770531   159.3
19770601 19770630    42.6
19770701 19770731    31.4
19770801 19770831    58.2
19770901 19770930   106.0
19771001 19771031   152.2
19771101 19771130    14.8
19771201 19771231    29.4
19780101 19780131    10.9
19780201 19780228    75.8
19780301 19780331    11.1
19780401 19780430    35.4
19780501 19780531   111.6
19780601 19780630   214.0
19780701 19780731   184.6
19780801 19780831    75.2
19780901 19780930    73.6
19781001 19781031    47.8
19781101 19781130    19.0
19781201 19781231    41.8
19790101 19790131    10.8
19790201 19790228    67.1
19790301 19790331    23.2
19790401 19790430    45.3
19790501 19790531   112.2
19790601 19790630   102.6
19790701 19790731   139.3
19790801 19790831   186.2
19790901 19790930    75.8
19791001 19791031    28.6
19791101 19791130    50.9
19791201 19791231    13.2
19800101 19800131    15.4
19800201 19800229    68.6
19800301 19800331     6.0
19800401 19800430    67.6
19800501 19800531    40.4
19800601 19800630    92.8
19800701 19800731    75.0
19800801 19800831    93.2
19800901 19800930    13.9
19801001 19801031    68.1
19801101 19801130    32.1
19801201 19801231    47.0
19810101 19810131     9.2
19810201 19810228    18.4
19810301 19810331     4.2
19810401 19810430    29.4
19810501 19810531    88.4
19810601 19810630   121.8
19810701 19810731   110.0
19810801 19810831    55.4
19810901 19810930    34.2
19811001 19811031     8.8
19811101 19811130    45.8
19811201 19811231     7.7
19820101 19820131   154.8
19820201 19820228    38.8
19820301 19820331    51.1
19820401 19820430    16.7
19820501 19820531    44.4
19820601 19820630    44.6
19820701 19820731    70.4
19820801 19820831    68.2
19820901 19820930    27.4
19821001 19821031    14.8
19821101 19821130    14.0
19821201 19821231     3.8
19830101 19830131    10.8
19830201 19830228    34.2
19830301 19830331    41.2
19830401 19830430    37.3
19830501 19830531    68.8
19830601 19830630   142.0
19830701 19830731    69.5
19830801 19830831    40.8
19830901 19830930    37.2
19831001 19831031    52.6
19831101 19831130    53.7
19831201 19831231   110.3
19840101 19840131     3.0
19840201 19840229    14.5
19840301 19840331    22.5
19840401 19840430    40.8
19840501 19840531    60.7
19840601 19840630    83.8
19840701 19840731   163.3
19840801 19840831    77.2
19840901 19840930    53.6
19841001 19841031    59.3
19841101 19841130    46.5
19841201 19841231     9.0
19850101 19850131    45.6
19850201 19850228     8.9
19850301 19850331    97.8
19850401 19850430    59.0
19850501 19850531    63.8
19850601 19850630    54.4
19850701 19850731   136.8
19850801 19850831   124.2
19850901 19850930    72.8
19851001 19851031    74.9
19851101 19851130    47.1
19851201 19851231     4.2
19860101 19860131     0.0
19860201 19860228    61.6
19860301 19860331    15.2
19860401 19860430    12.5
19860501 19860531   107.0
19860601 19860630    79.2
19860701 19860731    80.5
19860801 19860831    87.8
19860901 19860930    60.9
19861001 19861031    42.5
19861101 19861130    26.6
19861201 19861231    11.6
19870101 19870131     0.5
19870201 19870228     0.6
19870301 19870331    66.4
19870401 19870430    60.6
19870501 19870531    79.2
19870601 19870630    45.4
19870701 19870731    73.9
19870801 19870831    63.2
19870901 19870930    47.3
19871001 19871031    28.2
19871101 19871130    96.5
19871201 19871231    36.1
19880101 19880131    35.6
19880201 19880229     0.4
19880301 19880331    60.0
19880401 19880430    25.0
19880501 19880531   254.9
19880601 19880630   127.0
19880701 19880731   107.0
19880801 19880831    61.9
19880901 19880930    41.6
19881001 19881031    23.8
19881101 19881130    30.4
19881201 19881231    12.0
19890101 19890131    32.5
19890201 19890228    23.2
19890301 19890331    10.2
19890401 19890430    79.2
19890501 19890531   119.1
19890601 19890630   160.8
19890701 19890731   101.6
19890801 19890831   104.8
19890901 19890930    32.4
19891001 19891031    91.2
19891101 19891130    30.4
19891201 19891231     5.3
19900101 19900131   137.8
19900201 19900228    26.8
19900301 19900331    38.7
19900401 19900430    62.1
19900501 19900531   161.2
19900601 19900630   167.4
19900701 19900731   109.4
19900801 19900831    57.3
19900901 19900930    40.6
19901001 19901031    98.3
19901101 19901130    57.1
19901201 19901231    12.7
19910101 19910131     6.2
19910201 19910228    31.6
19910301 19910331    19.2
19910401 19910430    28.6
19910501 19910531    63.4
19910601 19910630    49.0
19910701 19910731   161.2
19910801 19910831    47.2
19910901 19910930    34.3
19911001 19911031    20.7
19911101 19911130    84.7
19911201 19911231    27.8
19920101 19920131     7.1
19920201 19920229    11.6
19920301 19920331    94.2
19920401 19920430    54.7
19920501 19920531    85.7
19920601 19920630    72.3
19920701 19920731    50.7
19920801 19920831   178.5
19920901 19920930   125.8
19921001 19921031    96.5
19921101 19921130    83.7
19921201 19921231    15.8
19930101 19930131     3.1
19930201 19930228    39.6
19930301 19930331   114.1
19930401 19930430    17.8
19930501 19930531   214.3
19930601 19930630    63.2
19930701 19930731   142.0
19930801 19930831   103.2
19930901 19930930    38.4
19931001 19931031    55.9
19931101 19931130    39.2
19931201 19931231    20.2
19940101 19940131     3.8
19940201 19940228     8.6
19940301 19940331     4.2
19940401 19940430    14.4
19940501 19940531    52.0
19940601 19940630    52.4
19940701 19940731    33.5
19940801 19940831   100.4
19940901 19940930    55.2
19941001 19941031    82.4
19941101 19941130    14.7
19941201 19941231     1.6
19950101 19950131    33.0
19950201 19950228    56.1
19950301 19950331    23.6
19950401 19950430    20.5
19950501 19950531   128.7
19950601 19950630   120.0
19950701 19950731   121.5
19950801 19950831    23.8
19950901 19950930   110.1
19951001 19951031    65.3
19951101 19951130    27.8
19951201 19951231    83.0
19960101 19960131    15.5
19960201 19960229     8.5
19960301 19960331    41.1
19960401 19960430    36.2
19960501 19960531    37.9
19960601 19960630    33.5
19960701 19960731    50.5
19960801 19960831    71.6
19960901 19960930    74.0
19961001 19961031    81.3
19961101 19961130    34.7
19961201 19961231    29.6
19970101 19970131     3.8
19970201 19970228    71.0
19970301 19970331    34.5
19970401 19970430    70.4
19970501 19970531    93.4
19970601 19970630    69.1
19970701 19970731   100.7
19970801 19970831   125.7
19970901 19970930   140.2
19971001 19971031    14.0
19971101 19971130    36.3
19971201 19971231    23.3
19980101 19980131     2.0
19980201 19980228     3.8
19980301 19980331    49.2
19980401 19980430    69.8
19980501 19980531    41.0
19980601 19980630   108.2
19980701 19980731   121.1
19980801 19980831   140.7
19980901 19980930    83.3
19981001 19981031    75.5
19981101 19981130    36.8
19981201 19981231    36.9
19990101 19990131    18.1
19990201 19990228    10.6
19990301 19990331    74.4
19990401 19990430    22.7
19990501 19990531    88.1
19990601 19990630    95.0
19990701 19990731    71.6
19990801 19990831    72.4
19990901 19990930    83.8
19991001 19991031    78.5
19991101 19991130    28.4
19991201 19991231    31.5
20000101 20000131   174.2
20000201 20000229    26.3
20000301 20000331    51.8
20000401 20000430    34.7
20000501 20000531    72.3
20000601 20000630    72.3
20000701 20000731    79.9
