PRCP       010541 19070101 20180131 missing_value=99999.9 NYERILUP                                  
19281201 19281231     7.2
19290101 19290131     5.1
19290201 19290228     9.7
19290301 19290331     7.5
19290401 19290430     5.0
19290501 19290531    58.3
19290601 19290630    77.5
19290701 19290731    24.8
19290801 19290831    29.0
19290901 19290930    27.3
19291001 19291031    33.4
19291101 19291130   102.9
19291201 19291231     7.8
19300101 19300131     0.0
19300201 19300228     3.9
19300301 19300331    60.5
19300401 19300430    29.7
19300501 19300531    69.0
19300601 19300630    58.5
19300701 19300731    74.1
19300801 19300831    13.3
19300901 19300930    20.6
19301001 19301031     9.4
19301101 19301130     3.8
19301201 19301231    23.9
19310101 19310131     0.5
19310201 19310228     3.3
19310301 19310331    26.6
19310401 19310430    27.8
19310501 19310531    40.2
19310601 19310630    25.7
19310701 19310731    58.7
19310801 19310831    84.6
19310901 19310930    85.6
19311001 19311031    13.3
19311101 19311130    22.4
19311201 19311231    12.2
19320101 19320131    37.7
19320201 19320229    15.3
19320301 19320331    16.3
19320401 19320430    47.6
19320501 19320531    53.8
19320601 19320630    34.4
19320701 19320731    66.7
19320801 19320831    85.2
19320901 19320930    44.2
19321001 19321031    87.2
19321101 19321130     5.4
19321201 19321231     4.6
19330101 19330131    24.4
19330201 19330228     0.0
19330301 19330331    23.2
19330401 19330430     4.1
19330501 19330531    52.1
19330601 19330630    75.9
19330701 19330731    25.4
19330801 19330831    31.2
19330901 19330930    20.2
19331001 19331031    53.9
19331101 19331130     8.4
19331201 19331231    13.2
19340101 19340131     7.4
19340201 19340228     2.1
19340301 19340331   129.0
19340401 19340430    35.3
19340501 19340531    35.4
19340601 19340630    44.6
19340701 19340731    99.0
19340801 19340831    49.6
19340901 19340930    33.9
19341001 19341031    33.7
19341101 19341130    36.4
19341201 19341231    13.4
19350101 19350131    11.7
19350201 19350228     8.4
19350301 19350331     1.8
19350401 19350430    32.0
19350501 19350531    14.9
19350601 19350630    37.3
19350701 19350731    68.2
19350801 19350831    82.1
19350901 19350930    31.7
19351001 19351031    84.1
19351101 19351130     1.8
19351201 19351231     7.6
19360101 19360131    34.6
19360201 19360229     1.3
19360301 19360331     7.6
19360401 19360430    11.6
19360501 19360531    55.5
19360601 19360630    66.0
19360701 19360731    46.3
19360801 19360831    23.7
19360901 19360930    12.5
19361001 19361031     6.9
19361101 19361130    10.2
19361201 19361231    21.1
19370101 19370131     1.1
19370201 19370228     0.0
19370301 19370331    67.9
19370401 19370430    19.4
19370501 19370531    92.4
19370601 19370630    41.8
19370701 19370731    10.3
19370801 19370831    68.0
19370901 19370930    19.1
19371001 19371031    12.7
19371101 19371130    18.8
19371201 19371231     4.4
19380101 19380131    33.6
19380201 19380228     2.6
19380301 19380331    35.3
19380401 19380430    12.8
19380501 19380531    21.1
19380601 19380630    78.3
19380701 19380731    46.3
19380801 19380831    35.8
19380901 19380930    21.9
19381001 19381031    12.7
19381101 19381130     9.1
19381201 19381231    10.2
19390101 19390131   104.1
19390201 19390228    39.3
19390301 19390331     3.0
19390401 19390430    13.0
19390501 19390531    52.2
19390601 19390630    27.0
19390701 19390731   113.8
19390801 19390831    51.3
19390901 19390930    13.4
19391001 19391031    46.9
19391101 19391130    42.5
19391201 19391231     0.0
19400101 19400131     7.7
19400201 19400229     0.0
19400301 19400331     2.1
19400401 19400430     7.9
19400501 19400531    29.8
19400601 19400630    29.1
19400701 19400731    40.9
19400801 19400831    16.4
