PRCP       058063 18790101 20120731 missing_value=99999.9 CASINO AIRPORT                            
19001201 19001231    75.1
19010101 19010131    48.1
19010201 19010228    90.1
19010301 19010331   331.1
19010401 19010430    82.6
19010501 19010531    64.3
19010601 19010630    78.8
19010701 19010731    61.0
19010801 19010831    52.2
19010901 19010930    58.8
19011001 19011031    87.7
19011101 19011130     9.9
19011201 19011231    16.7
19020101 19020131    84.2
19020201 19020228    74.2
19020301 19020331    14.6
19020401 19020430    37.6
19020501 19020531    17.4
19020601 19020630     7.4
19020701 19020731    17.0
19020801 19020831     9.9
19020901 19020930    32.0
19021001 19021031    61.2
19021101 19021130    54.7
19021201 19021231    80.0
19030101 19030131    46.7
19030201 19030228   136.7
19030301 19030331   104.3
19030401 19030430    22.3
19030501 19030531   141.7
19030601 19030630   150.0
19030701 19030731   103.4
19030801 19030831    57.2
19030901 19030930   118.2
19031001 19031031    76.6
19031101 19031130   146.0
19031201 19031231    59.2
19040101 19040131    58.9
19040201 19040229    26.4
19040301 19040331   158.9
19040401 19040430   287.7
19040501 19040531   194.8
19040601 19040630     1.3
19040701 19040731    50.2
19040801 19040831     5.4
19040901 19040930    22.1
19041001 19041031   116.8
19041101 19041130    35.3
19041201 19041231   118.9
19050101 19050131    44.2
19050201 19050228   123.0
19050301 19050331   116.4
19050401 19050430   113.3
19050501 19050531    93.1
19050601 19050630    11.6
19050701 19050731     8.9
19050801 19050831    25.0
19050901 19050930     8.2
19051001 19051031    98.5
19051101 19051130    30.4
19051201 19051231   103.0
19060101 19060131   117.9
19060201 19060228   238.2
19060301 19060331   202.9
19060401 19060430    77.7
19060501 19060531   145.5
19060601 19060630    22.3
19060701 19060731     0.0
19060801 19060831    95.0
19060901 19060930    65.4
19061001 19061031   134.9
19061101 19061130    31.7
19061201 19061231    85.0
19070101 19070131   159.4
19070201 19070228   195.5
19070301 19070331   174.6
19070401 19070430    21.7
19070501 19070531    55.8
19070601 19070630    72.2
19070701 19070731     7.7
19070801 19070831    24.7
19070901 19070930     0.8
19071001 19071031    11.2
19071101 19071130    73.8
19071201 19071231    75.0
19080101 19080131    79.0
19080201 19080229   256.2
19080301 19080331   152.1
19080401 19080430    94.1
19080501 19080531    57.3
19080601 19080630     7.8
19080701 19080731    25.1
19080801 19080831   170.8
19080901 19080930    60.3
19081001 19081031    36.1
19081101 19081130    99.9
19081201 19081231   101.0
19090101 19090131    46.6
19090201 19090228   109.1
19090301 19090331    85.2
19090401 19090430    95.3
19090501 19090531    22.5
19090601 19090630    38.4
19090701 19090731    68.8
19090801 19090831    28.7
19090901 19090930    39.0
19091001 19091031    58.4
19091101 19091130   103.1
19091201 19091231   161.1
19100101 19100131   186.1
19100201 19100228   150.7
19100301 19100331   293.4
19100401 19100430   117.8
19100501 19100531     8.9
19100601 19100630   130.2
19100701 19100731    11.0
19100801 19100831     8.8
19100901 19100930    62.8
19101001 19101031    83.5
19101101 19101130    75.2
19101201 19101231   177.2
19110101 19110131   199.8
19110201 19110228   201.5
19110301 19110331    86.8
19110401 19110430    52.8
19110501 19110531    25.6
19110601 19110630     1.3
19110701 19110731    62.3
19110801 19110831    70.7
19110901 19110930     9.4
19111001 19111031    49.9
19111101 19111130    66.1
19111201 19111231    39.7
19120101 19120131    37.6
19120201 19120229   102.3
19120301 19120331   223.3
19120401 19120430    14.2
19120501 19120531    10.7
19120601 19120630   190.7
19120701 19120731   119.7
19120801 19120831    40.0
19120901 19120930    29.5
19121001 19121031   149.1
19121101 19121130    79.8
19121201 19121231    48.0
19130101 19130131    50.0
19130201 19130228    82.5
19130301 19130331    96.5
19130401 19130430   229.1
19130501 19130531   138.3
19130601 19130630   168.4
19130701 19130731    80.8
19130801 19130831     0.3
19130901 19130930    63.0
19131001 19131031    48.0
19131101 19131130    31.0
19131201 19131231    53.9
19140101 19140131    75.6
19140201 19140228   101.5
19140301 19140331   135.9
19140401 19140430    22.6
19140501 19140531    85.6
19140601 19140630    80.5
19140701 19140731   116.3
19140801 19140831    43.0
19140901 19140930    25.1
19141001 19141031   162.8
19141101 19141130    86.7
19141201 19141231    72.5
19150101 19150131    71.6
19150201 19150228    96.9
19150301 19150331     1.3
19150401 19150430    28.7
19150501 19150531    81.4
19150601 19150630    10.4
19150701 19150731    28.5
19150801 19150831    45.9
19150901 19150930    32.2
19151001 19151031     4.3
19151101 19151130    39.1
19151201 19151231    61.0
19160101 19160131    90.4
19160201 19160229   182.8
19160301 19160331    41.1
19160401 19160430   272.7
19160501 19160531    53.6
19160601 19160630    31.8
19160701 19160731    38.4
19160801 19160831    28.5
19160901 19160930    96.1
19161001 19161031    80.4
19161101 19161130   101.9
19161201 19161231   111.7
19170101 19170131   187.9
19170201 19170228   122.0
19170301 19170331   121.9
19170401 19170430    13.0
19170501 19170531    20.5
19170601 19170630     4.3
19170701 19170731    11.5
19170801 19170831    32.5
19170901 19170930   146.8
19171001 19171031    94.3
19171101 19171130   366.8
19171201 19171231   107.8
19180101 19180131   183.0
19180201 19180228    52.5
19180301 19180331   105.2
19180401 19180430   113.1
19180501 19180531    46.9
19180601 19180630     0.0
19180701 19180731    14.1
19180801 19180831    33.8
19180901 19180930    25.9
19181001 19181031    21.6
19181101 19181130   191.1
19181201 19181231    61.3
19190101 19190131    21.6
19190201 19190228     7.1
19190301 19190331   289.4
19190401 19190430    72.4
19190501 19190531   273.1
19190601 19190630    54.1
19190701 19190731     0.0
19190801 19190831     5.1
19190901 19190930     2.8
19191001 19191031    24.1
19191101 19191130    60.7
19191201 19191231    65.8
19200101 19200131   216.8
19200201 19200229    78.8
19200301 19200331   108.0
19200401 19200430    68.1
19200501 19200531   126.5
19200601 19200630    57.1
19200701 19200731   105.0
19200801 19200831    20.3
19200901 19200930    79.1
19201001 19201031   133.0
19201101 19201130   208.4
19201201 19201231    85.8
19210101 19210131   128.1
19210201 19210228    33.8
19210301 19210331   114.7
19210401 19210430   123.0
19210501 19210531   311.9
19210601 19210630   116.9
19210701 19210731   228.9
19210801 19210831    24.4
19210901 19210930   101.9
19211001 19211031    32.7
19211101 19211130    25.2
19211201 19211231   286.8
19220101 19220131    57.9
19220201 19220228   242.8
19220301 19220331    54.9
19220401 19220430     9.7
19220501 19220531    54.2
19220601 19220630    58.7
19220701 19220731    72.1
19220801 19220831    32.5
19220901 19220930   150.8
19221001 19221031    33.5
19221101 19221130     3.8
19221201 19221231    83.3
19230101 19230131    88.6
19230201 19230228    24.6
19230301 19230331    60.5
19230401 19230430   283.8
19230501 19230531     1.5
19230601 19230630    47.2
19230701 19230731    43.0
19230801 19230831    43.5
19230901 19230930    11.2
19231001 19231031    35.6
19231101 19231130    36.3
19231201 19231231   129.8
19240101 19240131   143.0
19240201 19240229    64.9
19240301 19240331   106.3
19240401 19240430    44.2
19240501 19240531    28.0
19240601 19240630   145.6
19240701 19240731    97.9
19240801 19240831    43.7
19240901 19240930    33.2
19241001 19241031    83.6
19241101 19241130    91.1
19241201 19241231    76.9
19250101 19250131   154.7
19250201 19250228   151.2
19250301 19250331   405.3
19250401 19250430    91.8
19250501 19250531   196.5
19250601 19250630   134.6
19250701 19250731    41.9
19250801 19250831   151.1
19250901 19250930     9.5
19251001 19251031    26.9
19251101 19251130   217.7
19251201 19251231   108.3
19260101 19260131   195.8
19260201 19260228     1.3
19260301 19260331    52.6
19260401 19260430    81.4
19260501 19260531    59.5
19260601 19260630    82.9
19260701 19260731    19.1
19260801 19260831    12.3
19260901 19260930    23.4
19261001 19261031     9.9
19261101 19261130    18.5
19261201 19261231   226.5
19270101 19270131   419.4
19270201 19270228    66.4
19270301 19270331   137.7
19270401 19270430    80.3
19270501 19270531     1.8
19270601 19270630    53.6
19270701 19270731    22.1
19270801 19270831     1.0
19270901 19270930    52.1
19271001 19271031    68.6
19271101 19271130   254.3
19271201 19271231    85.5
19280101 19280131   165.4
19280201 19280229   207.4
19280301 19280331   133.1
19280401 19280430   187.4
19280501 19280531    57.9
19280601 19280630    65.3
19280701 19280731    76.0
19280801 19280831    27.6
19280901 19280930     9.8
19281001 19281031    31.8
19281101 19281130    10.1
19281201 19281231   105.9
19290101 19290131   237.7
19290201 19290228   181.2
19290301 19290331   197.1
19290401 19290430   122.2
19290501 19290531    36.5
19290601 19290630   204.1
19290701 19290731    27.9
19290801 19290831    18.3
19290901 19290930     8.6
19291001 19291031    59.7
19291101 19291130    37.4
19291201 19291231   123.9
19300101 19300131   179.6
19300201 19300228    50.8
19300301 19300331   122.8
19300401 19300430   188.7
19300501 19300531   130.3
19300601 19300630   190.5
19300701 19300731    26.8
19300801 19300831    81.8
19300901 19300930    14.5
19301001 19301031    77.0
19301101 19301130    34.4
19301201 19301231    68.4
19310101 19310131    67.2
19310201 19310228   330.1
19310301 19310331   156.2
19310401 19310430   212.8
19310501 19310531    71.3
19310601 19310630    30.3
19310701 19310731    27.2
19310801 19310831    37.8
19310901 19310930    13.8
19311001 19311031    21.0
19311101 19311130   124.8
19311201 19311231   241.8
19320101 19320131    33.1
19320201 19320229   143.5
19320301 19320331    16.5
19320401 19320430   197.6
19320501 19320531    54.0
19320601 19320630    14.5
19320701 19320731    17.5
19320801 19320831    11.0
19320901 19320930    78.2
19321001 19321031    46.6
19321101 19321130   106.8
19321201 19321231    54.4
19330101 19330131   175.2
19330201 19330228    61.2
19330301 19330331    35.0
19330401 19330430   156.0
19330501 19330531   118.5
19330601 19330630    80.3
19330701 19330731    93.8
19330801 19330831     1.6
19330901 19330930    82.8
19331001 19331031    93.2
19331101 19331130   167.8
19331201 19331231   209.1
19340101 19340131   111.0
19340201 19340228   128.5
19340301 19340331    43.7
19340401 19340430   186.1
19340501 19340531   213.1
19340601 19340630    14.7
19340701 19340731   105.2
19340801 19340831    35.8
19340901 19340930    47.2
19341001 19341031    41.5
19341101 19341130    68.1
19341201 19341231   168.8
19350101 19350131   147.3
19350201 19350228   164.8
19350301 19350331   103.2
19350401 19350430    79.1
19350501 19350531    54.9
19350601 19350630     0.3
19350701 19350731   135.1
19350801 19350831    17.0
19350901 19350930    93.4
19351001 19351031    34.2
19351101 19351130    28.2
19351201 19351231    63.1
19360101 19360131   175.4
19360201 19360229    26.2
19360301 19360331   229.1
19360401 19360430    57.5
19360501 19360531    40.2
19360601 19360630    38.6
19360701 19360731    29.2
19360801 19360831     0.3
19360901 19360930    37.5
19361001 19361031    24.4
19361101 19361130    34.8
19361201 19361231   173.3
19370101 19370131   119.1
19370201 19370228   192.6
19370301 19370331   253.9
19370401 19370430    40.2
19370501 19370531     3.8
19370601 19370630    64.9
19370701 19370731    51.6
19370801 19370831    53.9
19370901 19370930     5.6
19371001 19371031   221.0
19371101 19371130   188.1
19371201 19371231   178.1
19380101 19380131   245.2
19380201 19380228   126.9
19380301 19380331   256.5
19380401 19380430   159.1
19380501 19380531   206.4
19380601 19380630    16.0
19380701 19380731    36.0
19380801 19380831    28.4
19380901 19380930     9.9
19381001 19381031    57.2
19381101 19381130   157.1
19381201 19381231    44.2
19390101 19390131   152.8
19390201 19390228    70.6
19390301 19390331   294.4
19390401 19390430    67.0
19390501 19390531    31.0
19390601 19390630    41.4
19390701 19390731    42.9
19390801 19390831    35.8
19390901 19390930    30.0
19391001 19391031   159.8
19391101 19391130   118.2
19391201 19391231    57.7
19400101 19400131    76.2
19400201 19400229    92.4
19400301 19400331   209.5
19400401 19400430    18.4
19400501 19400531    24.2
19400601 19400630    34.6
19400701 19400731     2.5
19400801 19400831    27.3
19400901 19400930     2.8
19401001 19401031    44.7
19401101 19401130    77.8
19401201 19401231   158.9
19410101 19410131   270.4
19410201 19410228   120.3
19410301 19410331   106.0
19410401 19410430    74.0
19410501 19410531    99.4
19410601 19410630    52.3
19410701 19410731     8.9
