PRCP       058063 18790101 20120731 missing_value=99999.9 CASINO AIRPORT                            
19750201 19750228   231.0
19750301 19750331   203.0
19750401 19750430    61.6
19750501 19750531    32.6
19750601 19750630    46.6
19750701 19750731    24.4
19750801 19750831    40.6
19750901 19750930   102.6
19751001 19751031   118.2
19751101 19751130   208.3
19751201 19751231   248.8
19760101 19760131   128.2
19760201 19760229   480.8
19760301 19760331   217.2
19760401 19760430    54.2
19760501 19760531    98.4
19760601 19760630   129.6
19760701 19760731    36.6
19760801 19760831     6.6
19760901 19760930    44.8
19761001 19761031    68.2
19761101 19761130    73.9
19761201 19761231    13.6
19770101 19770131    98.8
19770201 19770228   208.9
19770301 19770331   215.8
19770401 19770430    57.4
19770501 19770531    83.6
19770601 19770630    11.0
19770701 19770731    42.6
19770801 19770831     6.6
19770901 19770930     9.6
19771001 19771031    23.6
19771101 19771130    33.8
19771201 19771231    62.2
19780101 19780131    55.4
19780201 19780228    20.9
19780301 19780331   342.4
19780401 19780430    67.0
19780501 19780531    48.4
19780601 19780630    20.1
19780701 19780731    31.0
19780801 19780831    34.4
19780901 19780930    76.6
19781001 19781031    88.1
19781101 19781130    38.1
19781201 19781231   112.3
19790101 19790131   217.3
19790201 19790228   133.2
19790301 19790331   102.0
19790401 19790430    65.2
19790501 19790531    42.0
19790601 19790630    93.6
19790701 19790731    95.0
19790801 19790831     4.5
19790901 19790930     1.0
19791001 19791031   102.2
19791101 19791130    82.8
19791201 19791231    61.6
19800101 19800131   104.4
19800201 19800229   149.0
19800301 19800331    32.2
19800401 19800430    11.8
19800501 19800531   375.0
19800601 19800630    12.6
19800701 19800731    23.4
19800801 19800831    21.2
19800901 19800930     0.0
19801001 19801031    45.7
19801101 19801130    60.8
19801201 19801231   167.4
19810101 19810131    36.2
19810201 19810228   318.2
19810301 19810331    67.5
19810401 19810430   187.4
19810501 19810531    71.5
19810601 19810630    15.4
19810701 19810731    23.7
19810801 19810831    33.9
19810901 19810930    12.3
19811001 19811031    69.5
19811101 19811130    88.5
19811201 19811231   124.5
19820101 19820131   192.3
19820201 19820228    93.0
19820301 19820331   100.5
19820401 19820430    42.6
19820501 19820531    29.8
19820601 19820630     9.4
19820701 19820731    18.8
19820801 19820831    47.4
19820901 19820930    56.4
19821001 19821031   178.5
19821101 19821130    28.6
19821201 19821231   118.0
19830101 19830131    37.2
19830201 19830228    66.2
19830301 19830331    70.0
19830401 19830430    70.0
19830501 19830531   230.4
19830601 19830630   207.6
19830701 19830731    45.8
19830801 19830831    63.0
19830901 19830930    45.0
19831001 19831031   111.2
19831101 19831130   138.0
19831201 19831231   161.4
19840101 19840131   184.6
19840201 19840229    57.2
19840301 19840331    50.7
19840401 19840430   176.6
19840501 19840531    49.0
19840601 19840630   157.7
19840701 19840731    95.4
19840801 19840831     7.4
19840901 19840930    16.0
19841001 19841031    82.4
19841101 19841130   166.2
19841201 19841231   143.3
19850101 19850131    36.2
19850201 19850228   240.5
19850301 19850331   193.2
19850401 19850430    83.5
19850501 19850531    97.7
19850601 19850630    28.6
19850701 19850731   147.7
19850801 19850831     7.4
19850901 19850930    52.7
19851001 19851031   178.8
19851101 19851130    33.6
19851201 19851231    79.8
19860101 19860131    83.8
19860201 19860228   130.5
19860301 19860331    33.0
19860401 19860430    27.4
19860501 19860531   102.8
19860601 19860630    20.4
19860701 19860731    18.8
19860801 19860831    15.8
19860901 19860930     2.9
19861001 19861031    35.3
19861101 19861130   155.6
19861201 19861231    60.9
19870101 19870131   109.9
19870201 19870228    83.7
19870301 19870331   408.7
19870401 19870430    45.0
19870501 19870531   296.2
19870601 19870630    95.5
19870701 19870731    30.8
19870801 19870831   173.8
19870901 19870930     2.6
19871001 19871031    76.2
19871101 19871130    20.8
19871201 19871231   141.6
19880101 19880131   228.8
19880201 19880229    82.8
19880301 19880331   187.7
19880401 19880430   484.6
19880501 19880531    55.0
19880601 19880630    88.7
19880701 19880731   163.5
19880801 19880831    24.8
19880901 19880930   113.2
19881001 19881031    10.0
19881101 19881130    60.8
19881201 19881231   234.0
19890101 19890131   237.4
19890201 19890228   125.2
19890301 19890331   281.7
19890401 19890430   438.3
19890501 19890531   119.6
19890601 19890630    29.4
19890701 19890731    38.7
19890801 19890831    35.6
19890901 19890930    11.9
19891001 19891031     7.3
19891101 19891130    88.4
19891201 19891231   131.7
19900101 19900131    73.6
19900201 19900228   263.4
19900301 19900331   100.8
19900401 19900430   215.8
19900501 19900531   148.4
19900601 19900630    50.1
19900701 19900731    39.2
19900801 19900831     2.8
19900901 19900930    12.6
19901001 19901031    18.8
19901101 19901130    40.9
19901201 19901231    90.4
19910101 19910131   109.2
19910201 19910228   108.8
19910301 19910331    17.8
19910401 19910430    14.6
19910501 19910531    61.6
19910601 19910630    88.6
19910701 19910731    28.8
19910801 19910831     0.0
19910901 19910930     0.4
19911001 19911031    39.4
19911101 19911130    47.4
19911201 19911231   273.0
19920101 19920131    82.4
19920201 19920229   150.0
19920301 19920331   128.7
19920401 19920430    89.8
19920501 19920531    57.0
19920601 19920630    22.5
19920701 19920731    30.6
19920801 19920831    14.8
19920901 19920930    22.0
19921001 19921031    35.9
19921101 19921130   102.8
19921201 19921231    92.0
19930101 19930131    51.4
19930201 19930228   143.4
19930301 19930331    81.4
19930401 19930430    34.6
19930501 19930531    38.6
19930601 19930630    12.0
19930701 19930731    96.0
19930801 19930831    15.5
19930901 19930930    18.9
19931001 19931031    45.0
19931101 19931130    45.4
19931201 19931231   143.8
19940101 19940131    54.8
19940201 19940228   118.0
19940301 19940331   269.8
19940401 19940430    23.8
19940501 19940531    28.6
19940601 19940630     8.6
19940701 19940731    20.8
19940801 19940831     8.0
19940901 19940930    14.5
19941001 19941031    54.6
19941101 19941130    33.2
19941201 19941231   136.6
19950101 19950131    83.4
19950201 19950228   216.2
19950301 19950331    86.2
19950401 19950430    23.4
19950501 19950531    47.4
19950601 19950630    18.8
19950701 19950731     3.2
19950801 19950831    15.0
19950901 19950930    10.6
19951001 19951031    36.8
19951101 19951130   136.0
19951201 19951231   152.9
19960101 19960131   260.3
19960201 19960229   103.8
19960301 19960331    94.7
19960401 19960430    23.4
19960501 19960531   432.5
19960601 19960630    28.5
19960701 19960731    31.4
19960801 19960831    62.0
19960901 19960930    29.6
19961001 19961031    27.1
19961101 19961130   135.8
19961201 19961231   150.2
19970101 19970131    59.6
19970201 19970228   186.3
19970301 19970331    92.4
19970401 19970430    23.9
19970501 19970531   130.3
19970601 19970630    32.2
19970701 19970731    33.9
19970801 19970831     3.5
19970901 19970930    44.1
19971001 19971031    68.6
19971101 19971130    71.3
19971201 19971231   201.0
19980101 19980131    48.1
19980201 19980228   148.0
19980301 19980331    22.6
19980401 19980430   109.9
19980501 19980531    36.1
19980601 19980630    33.7
19980701 19980731    78.6
19980801 19980831    68.2
19980901 19980930    74.4
19981001 19981031    41.2
19981101 19981130    89.2
19981201 19981231   163.3
19990101 19990131    91.2
19990201 19990228   240.4
19990301 19990331   161.1
19990401 19990430   125.0
19990501 19990531    86.0
19990601 19990630   100.4
19990701 19990731   112.9
19990801 19990831    91.8
19990901 19990930    15.0
19991001 19991031    93.4
19991101 19991130   106.8
19991201 19991231   101.6
20000101 20000131   107.2
20000201 20000229    42.2
20000301 20000331    49.2
20000401 20000430    68.0
20000501 20000531    96.5
20000601 20000630    38.4
20000701 20000731    26.2
20000801 20000831    15.0
20000901 20000930     2.0
20001001 20001031    61.4
20001101 20001130    94.0
20001201 20001231    86.6
20010101 20010131   103.2
20010201 20010228   324.0
20010301 20010331   246.0
20010401 20010430    46.6
20010501 20010531    59.8
20010601 20010630     8.1
20010701 20010731    34.2
20010801 20010831    26.2
20010901 20010930    25.4
20011001 20011031    61.6
20011101 20011130   210.8
20011201 20011231    47.4
20020101 20020131    49.3
20020201 20020228    53.6
20020301 20020331   100.4
20020401 20020430    39.8
20020501 20020531    46.4
20020601 20020630   115.0
20020701 20020731     2.0
20020801 20020831    39.8
20020901 20020930     5.4
20021001 20021031    29.8
20021101 20021130    19.6
20021201 20021231    58.2
20030101 20030131    18.6
20030201 20030228   167.6
20030301 20030331    99.4
20030401 20030430    83.8
20030501 20030531    70.6
20030601 20030630    38.4
20030701 20030731    14.6
20030801 20030831     3.0
20030901 20030930     2.6
20031001 20031031   114.4
20031101 20031130    31.8
20031201 20031231    72.8
20040101 20040131   166.0
20040201 20040229   220.6
20040301 20040331   203.8
20040401 20040430    77.4
20040501 20040531     3.8
20040601 20040630     5.4
20040701 20040731    11.6
20040801 20040831     4.0
20040901 20040930    13.6
20041001 20041031   119.0
20041101 20041130   141.4
20041201 20041231    98.1
20050101 20050131   137.4
20050201 20050228    37.2
20050301 20050331    68.4
20050401 20050430    80.0
20050501 20050531    56.8
20050601 20050630   223.0
20050701 20050731    20.0
20050801 20050831     6.4
20050901 20050930    29.2
20051001 20051031    63.4
20051101 20051130    63.6
20051201 20051231    97.8
20060101 20060131   308.2
20060201 20060228   108.8
20060301 20060331   216.3
20060401 20060430    77.6
20060501 20060531    17.8
20060601 20060630    61.2
20060701 20060731    37.8
20060801 20060831    57.8
20060901 20060930   107.2
20061001 20061031    12.6
20061101 20061130   152.8
20061201 20061231   133.8
20070101 20070131    88.2
20070201 20070228    78.6
20070301 20070331   109.8
20070401 20070430    21.4
20070501 20070531    20.8
20070601 20070630    71.4
20070701 20070731     0.0
20070801 20070831   117.8
20070901 20070930    51.2
20071001 20071031    59.2
20071101 20071130   124.2
20071201 20071231   129.8
20080101 20080131   341.4
20080201 20080229   189.0
20080301 20080331    50.8
20080401 20080430    96.0
20080501 20080531    34.2
20080601 20080630    60.2
20080701 20080731    62.6
20080801 20080831    32.4
20080901 20080930    74.6
20081001 20081031    27.0
20081101 20081130   159.8
20081201 20081231   107.6
20090101 20090131    47.4
20090201 20090228   154.0
20090301 20090331   159.6
20090401 20090430   146.0
20090501 20090531   352.8
20090601 20090630    77.6
20090701 20090731     8.8
20090801 20090831     0.8
20090901 20090930    18.6
20091001 20091031    55.2
20091101 20091130    23.2
20091201 20091231   169.0
20100101 20100131   148.2
20100201 20100228   195.2
20100301 20100331   233.0
20100401 20100430    43.0
20100501 20100531    67.2
20100601 20100630    35.4
20100701 20100731    48.6
20100801 20100831    23.2
20100901 20100930   109.8
20101001 20101031   236.6
20101101 20101130    65.2
20101201 20101231   247.2
20110101 20110131   174.4
20110201 20110228    60.6
20110301 20110331    74.3
20110401 20110430   127.0
20110501 20110531    63.4
20110601 20110630    72.8
20110701 20110731    16.4
20110801 20110831   133.4
20110901 20110930    12.0
20111001 20111031    82.4
20111101 20111130    54.4
20111201 20111231   132.0
20120101 20120131   274.2
20120201 20120229   132.0
20120301 20120331   137.8
20120401 20120430   115.8
20120501 20120531    20.0
20120601 20120630   143.6
20120701 20120731    16.6
