PRCP       037001 18850101 20171231 missing_value=99999.9 AYRSHIRE DOWNS                            
19801001 19801031     3.4
19801101 19801130     0.0
19801201 19801231    54.2
19810101 19810131   227.8
19810201 19810228    66.8
19810301 19810331    26.0
19810401 19810430    22.2
19810501 19810531    43.6
19810601 19810630    56.4
19810701 19810731   103.4
19810801 19810831     2.0
19810901 19810930     0.0
19811001 19811031     9.0
19811101 19811130    19.8
19811201 19811231    15.2
19820101 19820131   171.5
19820201 19820228    32.4
19820301 19820331     9.8
19820401 19820430     1.6
19820501 19820531     0.0
19820601 19820630     6.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     1.0
19821001 19821031     0.0
19821101 19821130    20.6
19821201 19821231     8.0
19830101 19830131    17.4
19830201 19830228     4.0
19830301 19830331    29.0
19830401 19830430    56.0
19830501 19830531    14.8
19830601 19830630     3.6
19830701 19830731     0.0
19830801 19830831     1.6
19830901 19830930     0.0
19831001 19831031     2.4
19831101 19831130    49.2
19831201 19831231    26.0
19840101 19840131   230.6
19840201 19840229    76.4
19840301 19840331    23.8
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    78.0
19840801 19840831     1.2
19840901 19840930    18.4
19841001 19841031    16.8
19841101 19841130     9.0
19841201 19841231   120.2
19850101 19850131     1.8
19850201 19850228    37.2
19850301 19850331    11.2
19850401 19850430     4.2
19850501 19850531     0.0
19850601 19850630    68.4
19850701 19850731     4.8
19850801 19850831     0.6
19850901 19850930     0.0
19851001 19851031    31.2
19851101 19851130   126.0
19851201 19851231    63.0
19860101 19860131     0.0
19860201 19860228   135.4
19860301 19860331     0.0
19860401 19860430     0.0
19860501 19860531    41.6
19860601 19860630    18.0
19860701 19860731    26.8
19860801 19860831    17.0
19860901 19860930     0.0
19861001 19861031    55.2
19861101 19861130    24.4
19861201 19861231    46.9
19870101 19870131    38.3
19870201 19870228    82.7
19870301 19870331    40.0
19870401 19870430     3.0
19870501 19870531     0.0
19870601 19870630    17.6
19870701 19870731     3.4
19870801 19870831     4.0
19870901 19870930     0.0
19871001 19871031     3.0
19871101 19871130    33.0
19871201 19871231    52.8
19880101 19880131     2.6
19880201 19880229    17.2
19880301 19880331     9.0
19880401 19880430   122.2
19880501 19880531     4.0
19880601 19880630     0.0
19880701 19880731    58.6
19880801 19880831    13.2
19880901 19880930     0.4
19881001 19881031     2.4
19881101 19881130     6.0
19881201 19881231    91.6
19890101 19890131     5.0
19890201 19890228   104.6
19890301 19890331    21.2
19890401 19890430    18.6
19890501 19890531    72.4
19890601 19890630    13.6
19890701 19890731    13.2
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031    38.4
19891101 19891130    84.8
19891201 19891231    77.2
19900101 19900131    12.2
19900201 19900228    18.3
19900301 19900331    99.0
19900401 19900430    88.2
19900501 19900531    65.4
19900601 19900630    31.6
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     6.8
19901101 19901130     3.0
19901201 19901231    21.4
19910101 19910131   178.2
19910201 19910228   273.0
19910301 19910331    32.0
19910401 19910430     6.0
19910501 19910531     0.0
19910601 19910630    20.0
19910701 19910731     1.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031    11.6
19911101 19911130     0.6
19911201 19911231    43.6
19920101 19920131    16.4
19920201 19920229   286.2
19920301 19920331     2.8
19920401 19920430     0.0
19920501 19920531    45.8
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930    10.4
19921001 19921031    20.8
19921101 19921130    26.2
19921201 19921231    33.6
19930101 19930131    62.6
19930201 19930228   116.8
19930301 19930331    18.6
19930401 19930430     0.0
19930501 19930531     1.6
19930601 19930630     0.0
19930701 19930731    19.6
19930801 19930831    11.0
19930901 19930930     0.2
19931001 19931031     1.6
19931101 19931130    40.0
19931201 19931231   105.3
19940101 19940131    12.7
19940201 19940228   138.6
19940301 19940331    84.8
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     1.2
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     4.2
19941001 19941031    14.4
19941101 19941130    50.7
19941201 19941231    19.0
19950101 19950131    93.4
19950201 19950228   101.2
19950301 19950331    27.0
19950401 19950430     5.0
19950501 19950531    12.8
19950601 19950630     0.0
19950701 19950731     6.0
19950801 19950831     6.2
19950901 19950930     5.0
19951001 19951031    56.4
19951101 19951130     5.2
19951201 19951231    39.8
19960101 19960131    38.6
19960201 19960229    38.0
19960301 19960331    49.0
19960401 19960430     2.0
19960501 19960531     0.0
19960601 19960630     9.6
19960701 19960731     3.2
19960801 19960831    23.2
19960901 19960930     0.0
19961001 19961031    47.2
19961101 19961130     8.8
19961201 19961231    27.0
19970101 19970131    79.0
19970201 19970228   146.8
19970301 19970331    96.8
19970401 19970430     0.0
19970501 19970531    58.9
19970601 19970630     2.4
19970701 19970731     0.6
19970801 19970831     0.0
19970901 19970930     7.0
19971001 19971031     8.0
19971101 19971130    35.2
19971201 19971231   117.6
19980101 19980131   100.8
19980201 19980228    42.1
19980301 19980331     0.0
19980401 19980430    72.4
19980501 19980531     4.4
19980601 19980630    57.8
19980701 19980731    18.0
19980801 19980831    19.0
19980901 19980930    15.4
19981001 19981031    43.4
19981101 19981130    80.2
19981201 19981231    40.0
19990101 19990131   116.4
19990201 19990228    13.4
19990301 19990331    82.6
19990401 19990430    23.0
19990501 19990531     7.6
19990601 19990630     0.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031     6.0
19991101 19991130   112.0
19991201 19991231    90.0
20000101 20000131    18.2
20000201 20000229   435.6
20000301 20000331    95.2
20000401 20000430    54.6
20000501 20000531     6.4
20000601 20000630    24.2
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     4.2
20001001 20001031    59.4
20001101 20001130   125.1
20001201 20001231    88.6
20010101 20010131    16.2
20010201 20010228    40.8
20010301 20010331    27.2
20010401 20010430     0.0
20010501 20010531     0.0
20010601 20010630     2.5
20010701 20010731     5.8
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031    37.7
20011101 20011130    22.2
20011201 20011231    60.8
20020101 20020131   103.0
20020201 20020228     4.8
20020301 20020331    15.4
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130     9.6
20021201 20021231    19.8
20030101 20030131    43.2
20030201 20030228   147.8
20030301 20030331   131.0
20030401 20030430     5.4
20030501 20030531    14.1
20030601 20030630    11.6
20030701 20030731     0.0
20030801 20030831    19.0
20030901 20030930     0.0
20031001 20031031     0.0
20031101 20031130     3.0
20031201 20031231   116.8
20040101 20040131   155.6
20040201 20040229    44.6
20040301 20040331     0.0
20040401 20040430    18.2
20040501 20040531    13.8
20040601 20040630     0.0
20040701 20040731     0.0
20040801 20040831     4.2
20040901 20040930     1.0
20041001 20041031     0.0
20041101 20041130    43.2
20041201 20041231    52.9
20050101 20050131    95.2
20050201 20050228    88.8
20050301 20050331     0.6
20050401 20050430     0.0
20050501 20050531    10.0
20050601 20050630    49.2
20050701 20050731    14.4
20050801 20050831    57.0
20050901 20050930     1.2
20051001 20051031    15.6
20051101 20051130    14.6
20051201 20051231    19.4
20060101 20060131    38.0
20060201 20060228    54.6
20060301 20060331   117.2
20060401 20060430    80.0
20060501 20060531    33.9
20060601 20060630     0.0
20060701 20060731     4.8
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     2.8
20061101 20061130     2.0
20061201 20061231    14.0
20070101 20070131   115.1
20070201 20070228    25.6
20070301 20070331    41.8
20070401 20070430     0.0
20070501 20070531     0.0
20070601 20070630   118.4
20070701 20070731     0.0
20070801 20070831     4.2
20070901 20070930     0.0
20071001 20071031     6.2
20071101 20071130    79.2
20071201 20071231    64.8
20080101 20080131   117.2
20080201 20080229    44.0
20080301 20080331     5.8
20080401 20080430     0.0
20080501 20080531     0.0
20080601 20080630    11.6
20080701 20080731    19.8
20080801 20080831     0.0
20080901 20080930    33.6
20081001 20081031     0.0
20081101 20081130    81.4
20081201 20081231    37.2
20090101 20090131   356.2
20090201 20090228   181.0
20090301 20090331     1.6
20090401 20090430    12.0
20090501 20090531     7.0
20090601 20090630     0.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     0.0
20091001 20091031     0.0
20091101 20091130    23.0
20091201 20091231    35.4
20100101 20100131   133.0
20100201 20100228    53.0
20100301 20100331    68.8
20100401 20100430   134.2
20100501 20100531    23.6
20100601 20100630     0.0
20100701 20100731    11.8
20100801 20100831    13.2
20100901 20100930    21.4
20101001 20101031 99999.9
20101101 20101130 99999.9
20101201 20101231 99999.9
20110101 20110131   125.6
20110201 20110228    53.6
20110301 20110331   111.4
20110401 20110430     7.4
20110501 20110531     0.0
20110601 20110630    14.2
20110701 20110731     3.0
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031    25.4
20111101 20111130     5.0
20111201 20111231    53.0
20120101 20120131    77.8
20120201 20120229   171.0
20120301 20120331    95.6
20120401 20120430    16.4
20120501 20120531    11.8
20120601 20120630    29.2
20120701 20120731    44.0
20120801 20120831     0.0
20120901 20120930    19.6
20121001 20121031     4.0
20121101 20121130     4.0
20121201 20121231    10.2
20130101 20130131     0.0
20130201 20130228    27.2
20130301 20130331     2.0
20130401 20130430    18.6
20130501 20130531     6.2
20130601 20130630     0.0
20130701 20130731     0.0
20130801 20130831     0.0
20130901 20130930     0.0
20131001 20131031     0.0
20131101 20131130    46.4
20131201 20131231     8.2
20140101 20140131   113.2
20140201 20140228   169.2
20140301 20140331     1.6
20140401 20140430     3.6
20140501 20140531     0.0
20140601 20140630     3.0
20140701 20140731     0.0
20140801 20140831     7.3
20140901 20140930     0.0
20141001 20141031     0.0
20141101 20141130     8.2
20141201 20141231    20.2
20150101 20150131   159.2
20150201 20150228     3.8
20150301 20150331    16.0
20150401 20150430     0.0
20150501 20150531     0.0
20150601 20150630    10.4
20150701 20150731     0.0
20150801 20150831     0.0
20150901 20150930     0.0
20151001 20151031     5.0
20151101 20151130    48.5
20151201 20151231    81.4
20160101 20160131    42.9
20160201 20160229   142.0
20160301 20160331   215.6
20160401 20160430 99999.9
20160501 20160531    26.0
20160601 20160630    27.6
20160701 20160731   180.0
20160801 20160831    27.6
20160901 20160930    57.2
20161001 20161031     5.2
20161101 20161130    28.4
20161201 20161231    32.0
20170101 20170131   106.7
20170201 20170228     0.0
20170301 20170331    10.4
20170401 20170430     0.0
20170501 20170531    20.0
20170601 20170630     0.0
20170701 20170731    13.0
20170801 20170831     0.0
20170901 20170930 99999.9
20171001 20171031    17.0
20171101 20171130    99.4
20171201 20171231    11.8
