PRCP       037001 18850101 20171231 missing_value=99999.9 AYRSHIRE DOWNS                            
19061201 19061231    97.8
19070101 19070131     8.4
19070201 19070228    30.2
19070301 19070331    20.2
19070401 19070430     5.3
19070501 19070531    29.7
19070601 19070630    22.2
19070701 19070731     4.4
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031    32.6
19071101 19071130    32.7
19071201 19071231   154.2
19080101 19080131    34.0
19080201 19080229   171.7
19080301 19080331    95.9
19080401 19080430    34.3
19080501 19080531    11.4
19080601 19080630     1.0
19080701 19080731     6.9
19080801 19080831     2.5
19080901 19080930     0.0
19081001 19081031    27.2
19081101 19081130    24.9
19081201 19081231    21.1
19090101 19090131    72.7
19090201 19090228    43.9
19090301 19090331    86.3
19090401 19090430     7.6
19090501 19090531     0.0
19090601 19090630    40.7
19090701 19090731     0.0
19090801 19090831     9.5
19090901 19090930     0.0
19091001 19091031    28.5
19091101 19091130     0.0
19091201 19091231    52.2
19100101 19100131    69.9
19100201 19100228   144.3
19100301 19100331    12.9
19100401 19100430     9.1
19100501 19100531     0.0
19100601 19100630    37.3
19100701 19100731    32.2
19100801 19100831     0.0
19100901 19100930    27.6
19101001 19101031     2.3
19101101 19101130    97.2
19101201 19101231    11.9
19110101 19110131   128.0
19110201 19110228    69.8
19110301 19110331     6.4
19110401 19110430    84.3
19110501 19110531     1.5
19110601 19110630     0.0
19110701 19110731     4.5
19110801 19110831     1.3
19110901 19110930     0.0
19111001 19111031     2.0
19111101 19111130    56.6
19111201 19111231    37.5
19120101 19120131    24.2
19120201 19120229    50.6
19120301 19120331    20.8
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630   140.8
19120701 19120731    22.9
19120801 19120831     0.0
19120901 19120930     3.8
19121001 19121031     0.0
19121101 19121130    11.9
19121201 19121231    50.0
19130101 19130131    54.5
19130201 19130228   185.5
19130301 19130331    16.8
19130401 19130430    20.8
19130501 19130531     0.0
19130601 19130630    16.7
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     0.8
19131001 19131031     0.0
19131101 19131130    19.3
19131201 19131231    15.6
19140101 19140131   120.0
19140201 19140228   103.4
19140301 19140331    10.2
19140401 19140430     9.9
19140501 19140531     1.5
19140601 19140630    42.2
