PRCP       010525 18910101 20171231 missing_value=99999.9 BROOMEHILL POST OFFICE                    
19121201 19121231    13.2
19130101 19130131    10.7
19130201 19130228     3.8
19130301 19130331    19.3
19130401 19130430   163.3
19130501 19130531    17.5
19130601 19130630    59.8
19130701 19130731   113.4
19130801 19130831   116.4
19130901 19130930    44.9
19131001 19131031    20.3
19131101 19131130    11.4
19131201 19131231    53.6
19140101 19140131     0.0
19140201 19140228    65.2
19140301 19140331    10.2
19140401 19140430    16.5
19140501 19140531    21.3
19140601 19140630    42.4
19140701 19140731    59.7
19140801 19140831    20.7
19140901 19140930     6.8
19141001 19141031    49.8
19141101 19141130    56.3
19141201 19141231    14.0
19150101 19150131    29.7
19150201 19150228    54.8
19150301 19150331    17.2
19150401 19150430     4.3
19150501 19150531    61.0
19150601 19150630    72.6
19150701 19150731    77.7
19150801 19150831    65.0
19150901 19150930    66.3
19151001 19151031    31.0
19151101 19151130     7.6
19151201 19151231     0.0
19160101 19160131    14.0
19160201 19160229    23.1
19160301 19160331     9.9
19160401 19160430     3.6
19160501 19160531    40.3
19160601 19160630    47.3
19160701 19160731    90.6
19160801 19160831    74.7
19160901 19160930     2.7
19161001 19161031    45.6
19161101 19161130    39.4
19161201 19161231     0.5
19170101 19170131    10.0
19170201 19170228    13.3
19170301 19170331    27.4
19170401 19170430    46.4
19170501 19170531    84.3
19170601 19170630   148.1
19170701 19170731   101.7
19170801 19170831    77.5
19170901 19170930    88.9
19171001 19171031    39.7
19171101 19171130     0.0
19171201 19171231    14.4
19180101 19180131    74.1
19180201 19180228    43.7
19180301 19180331    47.5
19180401 19180430    38.5
19180501 19180531    77.1
19180601 19180630    81.6
19180701 19180731    23.0
19180801 19180831    64.1
19180901 19180930    47.2
19181001 19181031    28.3
19181101 19181130    21.3
19181201 19181231     0.3
19190101 19190131     7.1
19190201 19190228     1.8
19190301 19190331    13.8
19190401 19190430    80.5
19190501 19190531    19.8
19190601 19190630    53.2
19190701 19190731    72.0
19190801 19190831    59.1
19190901 19190930    25.7
19191001 19191031    45.0
19191101 19191130    16.4
19191201 19191231     8.0
19200101 19200131     7.1
19200201 19200229    13.7
19200301 19200331    19.6
19200401 19200430     3.0
19200501 19200531    66.3
19200601 19200630    81.4
19200701 19200731    52.4
19200801 19200831    99.9
19200901 19200930    38.1
19201001 19201031    17.2
19201101 19201130     3.2
19201201 19201231     0.0
19210101 19210131     9.0
19210201 19210228    27.3
19210301 19210331     3.0
19210401 19210430     6.1
19210501 19210531   137.1
19210601 19210630    43.4
19210701 19210731    54.5
19210801 19210831    50.9
19210901 19210930    50.6
19211001 19211031    46.9
19211101 19211130    14.1
19211201 19211231    12.7
19220101 19220131     1.8
19220201 19220228    18.4
19220301 19220331    28.5
19220401 19220430    33.1
19220501 19220531    44.2
19220601 19220630    37.7
19220701 19220731    76.0
19220801 19220831    57.5
19220901 19220930    28.6
19221001 19221031    12.4
19221101 19221130    22.3
19221201 19221231    11.0
19230101 19230131    13.4
19230201 19230228     0.0
19230301 19230331    31.8
19230401 19230430    46.5
19230501 19230531   111.5
19230601 19230630   209.2
19230701 19230731    51.7
19230801 19230831    47.0
19230901 19230930    90.1
19231001 19231031    18.7
19231101 19231130     0.0
19231201 19231231     2.4
19240101 19240131     0.0
19240201 19240229     0.9
19240301 19240331     0.8
19240401 19240430     5.8
19240501 19240531   107.1
19240601 19240630    52.7
19240701 19240731    41.4
19240801 19240831    69.7
19240901 19240930    51.2
19241001 19241031    71.1
19241101 19241130    60.2
19241201 19241231     0.0
19250101 19250131     7.4
19250201 19250228    21.6
19250301 19250331    42.6
19250401 19250430    37.3
19250501 19250531    48.9
19250601 19250630    61.1
19250701 19250731    54.9
19250801 19250831    34.7
19250901 19250930    32.2
19251001 19251031    60.0
19251101 19251130     2.0
19251201 19251231    66.9
19260101 19260131     8.2
19260201 19260228     8.4
19260301 19260331    56.8
19260401 19260430    62.5
19260501 19260531    54.7
19260601 19260630    56.8
19260701 19260731   149.2
19260801 19260831    37.7
19260901 19260930    46.8
19261001 19261031    53.4
19261101 19261130    16.0
19261201 19261231    24.7
19270101 19270131    10.2
19270201 19270228     0.0
19270301 19270331    53.1
19270401 19270430    17.8
19270501 19270531    28.4
19270601 19270630    92.8
19270701 19270731    61.1
19270801 19270831    34.4
19270901 19270930    62.5
19271001 19271031    73.6
19271101 19271130    17.9
19271201 19271231    19.9
19280101 19280131    38.0
19280201 19280229     0.0
19280301 19280331     0.0
19280401 19280430    58.2
19280501 19280531    41.5
19280601 19280630    50.1
19280701 19280731    80.1
19280801 19280831    76.6
19280901 19280930    63.0
19281001 19281031    27.2
19281101 19281130     3.3
19281201 19281231     5.9
19290101 19290131     2.0
19290201 19290228    34.6
19290301 19290331     3.1
19290401 19290430    11.9
19290501 19290531    93.7
19290601 19290630   102.2
19290701 19290731    44.2
19290801 19290831    36.7
19290901 19290930    37.9
19291001 19291031    23.7
19291101 19291130   107.2
19291201 19291231     8.6
19300101 19300131     0.0
19300201 19300228     3.6
19300301 19300331    55.5
19300401 19300430    18.3
19300501 19300531    67.3
19300601 19300630   120.6
19300701 19300731    85.2
19300801 19300831    20.8
19300901 19300930    34.7
19301001 19301031     9.0
19301101 19301130     5.6
19301201 19301231     5.1
19310101 19310131     0.5
19310201 19310228     3.4
19310301 19310331    25.9
19310401 19310430    31.3
19310501 19310531    56.5
19310601 19310630    45.6
19310701 19310731    48.4
19310801 19310831   100.0
19310901 19310930    92.8
19311001 19311031    20.3
19311101 19311130     6.6
19311201 19311231    18.4
19320101 19320131    19.1
19320201 19320229     5.7
19320301 19320331    14.2
19320401 19320430    33.2
19320501 19320531    93.2
19320601 19320630    88.0
19320701 19320731   111.1
19320801 19320831    56.2
19320901 19320930    34.8
19321001 19321031    58.9
19321101 19321130     5.7
19321201 19321231     6.3
19330101 19330131    14.8
19330201 19330228     7.9
19330301 19330331    24.7
19330401 19330430    16.7
19330501 19330531    59.8
19330601 19330630    91.9
19330701 19330731    41.8
19330801 19330831    56.8
19330901 19330930    33.6
19331001 19331031    50.8
19331101 19331130    36.9
19331201 19331231    10.6
19340101 19340131    12.5
19340201 19340228     3.6
19340301 19340331   178.6
19340401 19340430    42.0
19340501 19340531    58.5
19340601 19340630    80.6
19340701 19340731    70.7
19340801 19340831    62.3
19340901 19340930    38.2
19341001 19341031    16.9
19341101 19341130    19.8
19341201 19341231     8.1
19350101 19350131     7.4
19350201 19350228    16.4
19350301 19350331     1.9
19350401 19350430    35.1
19350501 19350531    38.0
19350601 19350630    53.8
19350701 19350731    91.8
19350801 19350831    46.4
19350901 19350930    44.7
19351001 19351031    29.4
19351101 19351130     4.4
19351201 19351231     5.1
19360101 19360131    21.2
19360201 19360229     1.3
19360301 19360331     2.3
19360401 19360430    29.9
19360501 19360531    40.7
19360601 19360630    60.8
19360701 19360731    26.8
19360801 19360831    64.2
19360901 19360930    22.4
19361001 19361031     7.7
19361101 19361130    14.8
19361201 19361231    17.1
19370101 19370131     2.1
19370201 19370228     0.3
19370301 19370331    71.3
19370401 19370430    63.1
19370501 19370531    91.7
19370601 19370630    68.3
19370701 19370731    20.9
19370801 19370831    70.7
19370901 19370930    23.7
19371001 19371031    26.2
19371101 19371130    13.5
19371201 19371231     1.1
19380101 19380131     2.4
19380201 19380228     0.8
19380301 19380331    38.5
19380401 19380430    11.8
19380501 19380531    32.2
19380601 19380630    45.9
19380701 19380731    73.7
19380801 19380831    39.1
19380901 19380930    40.9
19381001 19381031    16.3
19381101 19381130     7.4
19381201 19381231     6.4
19390101 19390131    92.6
19390201 19390228    33.6
19390301 19390331     7.0
19390401 19390430    20.5
19390501 19390531    72.0
