PRCP       010582 18850101 20180131 missing_value=99999.9 KOJONUP                                   
19061201 19061231     5.1
19070101 19070131    10.2
19070201 19070228    11.4
19070301 19070331    28.7
19070401 19070430     3.8
19070501 19070531   118.4
19070601 19070630    69.4
19070701 19070731   188.5
19070801 19070831   141.0
19070901 19070930    74.5
19071001 19071031    36.6
19071101 19071130    12.7
19071201 19071231     0.0
19080101 19080131     0.0
19080201 19080229     7.9
19080301 19080331    19.5
19080401 19080430    22.9
19080501 19080531   122.7
19080601 19080630    97.1
19080701 19080731   130.4
19080801 19080831    45.6
19080901 19080930    19.3
19081001 19081031    37.0
19081101 19081130    24.9
19081201 19081231    11.1
19090101 19090131    15.4
19090201 19090228    45.5
19090301 19090331    25.1
19090401 19090430    56.7
19090501 19090531    70.7
19090601 19090630   110.5
19090701 19090731    63.7
19090801 19090831   105.5
19090901 19090930    68.6
19091001 19091031    36.5
19091101 19091130    10.1
19091201 19091231     2.3
19100101 19100131    11.4
19100201 19100228     6.6
19100301 19100331     0.5
19100401 19100430    49.3
19100501 19100531   117.6
19100601 19100630   122.3
19100701 19100731   124.4
19100801 19100831    61.8
19100901 19100930    44.4
19101001 19101031    46.2
19101101 19101130    47.2
19101201 19101231     2.1
19110101 19110131     9.6
19110201 19110228     1.1
19110301 19110331    31.4
19110401 19110430    34.0
19110501 19110531    28.5
19110601 19110630    43.2
19110701 19110731    93.8
19110801 19110831    47.4
19110901 19110930    43.2
19111001 19111031    38.4
19111101 19111130     0.0
19111201 19111231     9.9
19120101 19120131     1.6
19120201 19120229     3.6
19120301 19120331    11.7
19120401 19120430    11.2
19120501 19120531    53.5
19120601 19120630    40.6
19120701 19120731   127.6
19120801 19120831    37.7
19120901 19120930    97.6
19121001 19121031    26.9
19121101 19121130    22.1
19121201 19121231     7.8
19130101 19130131     1.8
19130201 19130228     0.0
19130301 19130331    23.6
19130401 19130430   105.6
19130501 19130531    26.5
19130601 19130630   102.5
19130701 19130731   115.7
19130801 19130831   139.4
19130901 19130930    46.1
19131001 19131031    32.2
19131101 19131130    16.2
19131201 19131231    51.9
19140101 19140131    30.2
19140201 19140228    65.0
19140301 19140331     9.3
19140401 19140430    16.2
19140501 19140531    37.4
19140601 19140630    59.3
19140701 19140731    73.0
19140801 19140831    27.9
19140901 19140930    12.5
19141001 19141031    27.8
19141101 19141130    98.7
19141201 19141231    69.6
19150101 19150131     9.4
19150201 19150228    69.2
19150301 19150331    33.1
19150401 19150430    22.6
19150501 19150531    55.1
19150601 19150630    87.9
19150701 19150731    66.3
19150801 19150831    98.5
19150901 19150930    67.9
19151001 19151031    53.7
19151101 19151130    13.0
19151201 19151231     0.0
19160101 19160131    19.0
19160201 19160229    39.6
19160301 19160331    32.6
19160401 19160430     9.7
19160501 19160531    42.8
19160601 19160630    85.0
19160701 19160731   114.9
19160801 19160831    95.1
19160901 19160930     4.4
19161001 19161031    51.0
19161101 19161130    64.5
19161201 19161231     2.4
19170101 19170131     5.9
19170201 19170228    24.6
19170301 19170331    27.6
19170401 19170430    51.5
19170501 19170531   101.3
19170601 19170630   195.5
19170701 19170731   120.9
19170801 19170831    86.4
19170901 19170930   104.5
19171001 19171031    39.5
19171101 19171130     0.3
19171201 19171231    24.6
19180101 19180131    78.8
19180201 19180228    27.2
19180301 19180331    34.8
19180401 19180430    38.5
19180501 19180531    93.6
19180601 19180630   101.6
19180701 19180731    30.1
19180801 19180831    78.7
19180901 19180930    61.6
19181001 19181031    39.3
19181101 19181130     4.9
19181201 19181231     2.5
19190101 19190131     7.1
19190201 19190228     1.5
19190301 19190331    17.4
19190401 19190430    62.7
19190501 19190531    29.8
19190601 19190630    63.8
19190701 19190731   110.1
19190801 19190831    70.6
19190901 19190930    34.9
19191001 19191031    46.7
19191101 19191130    12.8
19191201 19191231     2.7
19200101 19200131     1.1
19200201 19200229    29.5
19200301 19200331    15.3
19200401 19200430    18.9
19200501 19200531    84.1
19200601 19200630   124.5
19200701 19200731    73.2
19200801 19200831   142.3
19200901 19200930    50.4
19201001 19201031    18.3
19201101 19201130     5.2
19201201 19201231     2.4
19210101 19210131    14.9
19210201 19210228    50.1
19210301 19210331     7.4
19210401 19210430    17.9
19210501 19210531   133.8
19210601 19210630    69.0
19210701 19210731    79.9
19210801 19210831    42.6
19210901 19210930    74.0
19211001 19211031    52.9
19211101 19211130    25.5
19211201 19211231    48.3
19220101 19220131     3.1
19220201 19220228    13.3
19220301 19220331    27.7
19220401 19220430    24.4
19220501 19220531    64.0
19220601 19220630    44.3
19220701 19220731   118.3
19220801 19220831    99.7
19220901 19220930    39.6
19221001 19221031    26.5
19221101 19221130    21.3
19221201 19221231    26.5
19230101 19230131    22.6
19230201 19230228     1.1
19230301 19230331    50.1
19230401 19230430    37.9
19230501 19230531   146.7
19230601 19230630   188.7
19230701 19230731    89.7
19230801 19230831    67.0
19230901 19230930   121.6
19231001 19231031    39.0
19231101 19231130     2.4
19231201 19231231    28.0
19240101 19240131     5.8
19240201 19240229     2.3
19240301 19240331     1.8
19240401 19240430     9.0
19240501 19240531   112.3
19240601 19240630    73.3
19240701 19240731    79.0
19240801 19240831    95.5
19240901 19240930    49.1
19241001 19241031    74.7
19241101 19241130    45.6
19241201 19241231     0.0
19250101 19250131    49.1
19250201 19250228    14.1
19250301 19250331    49.2
19250401 19250430    19.8
19250501 19250531    67.4
19250601 19250630    75.8
19250701 19250731    85.6
19250801 19250831    24.7
19250901 19250930    51.7
19251001 19251031    67.3
19251101 19251130     3.9
19251201 19251231    25.8
19260101 19260131     3.0
19260201 19260228    19.9
19260301 19260331    75.6
19260401 19260430    94.8
19260501 19260531    68.3
19260601 19260630    65.5
19260701 19260731   207.4
19260801 19260831    39.5
19260901 19260930    68.6
19261001 19261031    75.6
19261101 19261130    36.0
19261201 19261231    14.8
19270101 19270131     7.1
19270201 19270228     4.3
19270301 19270331    69.9
19270401 19270430    30.1
19270501 19270531    49.2
19270601 19270630   139.0
19270701 19270731    73.0
19270801 19270831    49.2
19270901 19270930    78.5
19271001 19271031    46.4
19271101 19271130    10.9
19271201 19271231     7.6
19280101 19280131    31.7
19280201 19280229     0.0
19280301 19280331     2.1
19280401 19280430    71.0
19280501 19280531    51.0
19280601 19280630    45.6
19280701 19280731   101.0
19280801 19280831    94.6
19280901 19280930    69.5
19281001 19281031    44.3
19281101 19281130     4.4
19281201 19281231     6.6
19290101 19290131     1.3
19290201 19290228    30.7
19290301 19290331     3.0
19290401 19290430    23.8
19290501 19290531    79.9
19290601 19290630   126.6
19290701 19290731    48.1
19290801 19290831    40.7
19290901 19290930    30.3
19291001 19291031    24.9
19291101 19291130    46.7
19291201 19291231     9.4
19300101 19300131     0.0
19300201 19300228     3.6
19300301 19300331    13.4
19300401 19300430    18.8
19300501 19300531    63.8
19300601 19300630   157.8
19300701 19300731   108.1
19300801 19300831    47.8
19300901 19300930    47.3
19301001 19301031    18.2
19301101 19301130    15.6
19301201 19301231    21.4
19310101 19310131     1.4
19310201 19310228     2.1
19310301 19310331    40.4
19310401 19310430    33.1
19310501 19310531    63.2
19310601 19310630    56.3
19310701 19310731    61.3
19310801 19310831   105.0
19310901 19310930    84.9
19311001 19311031    20.2
19311101 19311130    10.0
19311201 19311231    15.5
19320101 19320131    14.3
19320201 19320229     6.1
19320301 19320331    15.1
19320401 19320430    26.5
19320501 19320531    85.0
19320601 19320630    85.2
19320701 19320731   116.2
19320801 19320831    60.9
19320901 19320930    31.0
19321001 19321031    43.9
19321101 19321130     5.8
19321201 19321231     3.5
19330101 19330131    16.0
19330201 19330228     2.1
19330301 19330331    18.0
19330401 19330430    15.9
19330501 19330531    60.7
19330601 19330630   165.7
19330701 19330731    58.7
19330801 19330831   103.3
19330901 19330930    57.9
19331001 19331031    65.2
19331101 19331130    15.5
19331201 19331231     9.5
19340101 19340131     7.6
19340201 19340228     5.3
19340301 19340331    85.5
19340401 19340430    16.1
19340501 19340531    77.1
19340601 19340630   106.4
19340701 19340731   104.5
19340801 19340831    78.0
19340901 19340930    53.9
19341001 19341031    36.3
19341101 19341130    15.3
19341201 19341231    29.5
19350101 19350131     4.9
19350201 19350228    20.6
19350301 19350331     1.9
19350401 19350430    47.3
19350501 19350531    42.3
19350601 19350630    74.5
19350701 19350731   134.3
19350801 19350831    66.5
19350901 19350930    56.7
19351001 19351031    74.4
19351101 19351130     6.3
19351201 19351231     6.2
19360101 19360131    19.7
19360201 19360229     0.5
19360301 19360331     1.8
19360401 19360430    24.8
19360501 19360531    50.3
19360601 19360630   105.0
19360701 19360731    46.8
19360801 19360831    91.5
19360901 19360930    42.3
19361001 19361031    14.5
19361101 19361130    17.0
19361201 19361231    36.1
19370101 19370131     0.6
19370201 19370228     0.8
19370301 19370331    72.3
19370401 19370430    63.7
19370501 19370531   130.2
19370601 19370630    85.2
19370701 19370731    41.9
19370801 19370831    93.1
19370901 19370930    26.5
19371001 19371031    38.6
19371101 19371130    10.7
19371201 19371231     2.6
19380101 19380131     4.9
19380201 19380228     1.6
19380301 19380331    67.4
19380401 19380430    27.3
19380501 19380531    70.9
19380601 19380630    55.9
19380701 19380731    91.4
19380801 19380831    74.1
19380901 19380930    59.8
19381001 19381031    26.7
19381101 19381130    17.3
19381201 19381231     7.5
19390101 19390131   138.4
19390201 19390228    35.9
19390301 19390331     3.4
19390401 19390430     8.7
19390501 19390531    77.3
19390601 19390630    82.8
19390701 19390731   134.8
19390801 19390831    95.2
19390901 19390930    14.8
19391001 19391031   118.7
19391101 19391130    52.5
19391201 19391231     1.0
19400101 19400131    21.1
19400201 19400229     2.4
19400301 19400331     0.8
19400401 19400430    10.5
19400501 19400531    33.2
19400601 19400630    35.4
19400701 19400731    54.7
19400801 19400831    36.5
19400901 19400930    27.5
19401001 19401031    26.4
19401101 19401130     8.1
19401201 19401231    26.7
19410101 19410131     0.8
19410201 19410228     7.1
19410301 19410331    24.6
19410401 19410430    61.3
19410501 19410531    48.6
19410601 19410630   133.6
19410701 19410731   102.9
19410801 19410831    59.1
19410901 19410930    87.4
19411001 19411031    32.1
19411101 19411130    23.2
