PRCP       070028 18980801 20160630 missing_value=99999.9 YASS (DERRINGULLEN)                       
19940101 19940131    39.2
19940201 19940228    49.8
19940301 19940331    45.8
19940401 19940430    56.2
19940501 19940531    16.2
19940601 19940630    75.8
19940701 19940731    45.2
19940801 19940831    23.8
19940901 19940930    13.2
19941001 19941031    43.0
19941101 19941130    81.0
19941201 19941231    36.2
19950101 19950131   133.4
19950201 19950228     0.8
19950301 19950331     0.0
19950401 19950430    21.2
19950501 19950531   184.6
19950601 19950630    71.8
19950701 19950731   116.4
19950801 19950831    15.0
19950901 19950930    78.8
19951001 19951031    71.2
19951101 19951130   137.6
19951201 19951231    70.0
19960101 19960131   116.4
19960201 19960229    33.8
19960301 19960331    36.6
19960401 19960430    19.2
19960501 19960531    52.0
19960601 19960630    79.2
19960701 19960731   128.4
19960801 19960831    71.0
19960901 19960930   130.6
19961001 19961031    64.0
19961101 19961130    69.6
19961201 19961231    81.2
19970101 19970131    23.8
19970201 19970228    13.8
19970301 19970331    16.4
19970401 19970430     0.0
19970501 19970531    46.4
19970601 19970630   103.0
19970701 19970731    27.6
19970801 19970831    39.6
19970901 19970930   119.2
19971001 19971031    29.2
19971101 19971130    48.4
19971201 19971231     9.8
19980101 19980131    41.4
19980201 19980228    44.4
19980301 19980331     1.4
19980401 19980430    84.6
19980501 19980531    29.0
19980601 19980630   128.4
19980701 19980731   114.6
19980801 19980831   129.0
19980901 19980930    54.8
19981001 19981031    82.8
19981101 19981130    88.0
19981201 19981231    15.8
19990101 19990131    75.0
19990201 19990228    33.2
19990301 19990331   101.0
19990401 19990430    41.6
19990501 19990531    22.0
19990601 19990630    49.8
19990701 19990731    32.6
19990801 19990831    54.6
19990901 19990930    58.6
19991001 19991031   149.8
19991101 19991130    36.2
19991201 19991231   120.0
20000101 20000131    36.4
20000201 20000229    15.4
20000301 20000331    50.6
20000401 20000430    46.6
20000501 20000531    73.8
20000601 20000630    53.4
20000701 20000731    50.4
20000801 20000831   110.6
20000901 20000930    66.0
20001001 20001031    64.6
20001101 20001130   102.6
20001201 20001231    15.0
20010101 20010131    23.8
20010201 20010228    54.4
20010301 20010331    95.0
20010401 20010430    23.2
20010501 20010531     5.2
20010601 20010630    73.2
20010701 20010731    48.2
20010801 20010831    66.8
20010901 20010930    47.8
20011001 20011031    63.0
20011101 20011130    61.8
20011201 20011231    22.6
20020101 20020131    10.0
20020201 20020228   135.6
20020301 20020331    27.2
20020401 20020430    11.2
20020501 20020531    52.8
20020601 20020630    63.2
20020701 20020731    47.8
20020801 20020831    30.0
20020901 20020930    82.2
20021001 20021031     3.0
20021101 20021130     4.8
20021201 20021231    39.6
20030101 20030131    15.6
20030201 20030228    58.2
20030301 20030331    53.4
20030401 20030430    46.8
20030501 20030531    23.4
20030601 20030630   101.6
20030701 20030731    54.0
20030801 20030831    95.8
20030901 20030930    68.4
20031001 20031031    89.4
20031101 20031130    90.4
20031201 20031231   145.4
20040101 20040131    52.8
20040201 20040229    26.0
20040301 20040331     4.6
20040401 20040430    10.6
20040501 20040531    14.0
20040601 20040630    67.8
20040701 20040731    49.0
20040801 20040831    70.2
20040901 20040930    57.2
20041001 20041031    62.8
20041101 20041130    90.2
20041201 20041231    99.0
20050101 20050131    48.6
20050201 20050228    56.0
20050301 20050331    20.4
20050401 20050430     4.0
20050501 20050531     0.0
20050601 20050630    97.2
20050701 20050731   125.4
20050801 20050831    81.2
20050901 20050930   114.4
20051001 20051031    56.6
20051101 20051130    74.6
20051201 20051231    22.2
20060101 20060131    62.8
20060201 20060228     4.8
20060301 20060331    12.4
20060401 20060430    14.0
20060501 20060531     5.2
20060601 20060630    54.0
20060701 20060731    70.9
20060801 20060831    37.7
20060901 20060930    36.2
20061001 20061031     0.0
20061101 20061130    20.6
20061201 20061231    97.3
20070101 20070131     7.2
20070201 20070228    57.5
20070301 20070331    62.9
20070401 20070430    46.8
20070501 20070531    51.2
20070601 20070630   106.5
20070701 20070731    54.0
20070801 20070831     6.6
20070901 20070930    14.7
20071001 20071031    30.9
20071101 20071130    91.6
20071201 20071231   125.1
20080101 20080131    63.8
20080201 20080229    49.4
20080301 20080331    34.3
20080401 20080430    31.5
20080501 20080531    19.9
20080601 20080630    62.0
20080701 20080731    47.9
20080801 20080831    44.5
20080901 20080930    63.4
20081001 20081031    66.5
20081101 20081130    80.3
20081201 20081231    47.6
20090101 20090131    82.4
20090201 20090228    16.8
20090301 20090331    13.5
20090401 20090430    78.3
20090501 20090531     7.5
20090601 20090630    73.0
20090701 20090731    67.1
20090801 20090831    38.1
20090901 20090930    68.1
20091001 20091031    55.3
20091101 20091130    77.0
20091201 20091231   117.0
20100101 20100131    16.0
20100201 20100228   123.1
20100301 20100331    86.4
20100401 20100430    45.5
20100501 20100531    64.2
20100601 20100630    27.0
20100701 20100731    82.8
20100801 20100831   103.6
20100901 20100930    83.1
20101001 20101031    71.4
20101101 20101130   103.2
20101201 20101231   138.5
20110101 20110131    36.4
20110201 20110228   129.1
20110301 20110331    54.6
20110401 20110430    32.7
20110501 20110531    48.6
20110601 20110630    32.1
20110701 20110731    64.0
20110801 20110831    61.0
20110901 20110930    65.2
20111001 20111031    38.3
20111101 20111130   110.4
20111201 20111231    61.5
20120101 20120131    76.5
20120201 20120229   201.4
20120301 20120331   174.9
20120401 20120430    18.0
20120501 20120531    58.1
20120601 20120630    29.2
20120701 20120731    45.8
20120801 20120831    49.7
20120901 20120930    38.2
20121001 20121031    27.0
20121101 20121130    45.5
20121201 20121231    45.8
20130101 20130131    16.4
20130201 20130228    50.4
20130301 20130331    51.6
20130401 20130430    10.2
20130501 20130531    15.5
20130601 20130630   106.2
20130701 20130731    80.5
20130801 20130831    52.8
20130901 20130930    39.1
20131001 20131031    24.9
20131101 20131130    78.4
20131201 20131231    21.8
20140101 20140131    11.0
20140201 20140228    39.7
20140301 20140331   117.9
20140401 20140430    73.3
20140501 20140531    41.5
20140601 20140630    81.5
20140701 20140731    57.2
20140801 20140831    56.1
20140901 20140930    36.5
20141001 20141031    35.7
20141101 20141130    14.5
20141201 20141231   132.9
20150101 20150131    99.7
20150201 20150228    38.5
20150301 20150331    15.4
20150401 20150430    73.1
20150501 20150531    38.1
20150601 20150630    53.9
20150701 20150731    64.8
20150801 20150831   142.6
20150901 20150930    14.4
20151001 20151031    43.5
20151101 20151130    74.0
20151201 20151231    19.5
20160101 20160131    67.2
20160201 20160229    15.9
20160301 20160331    30.7
20160401 20160430     7.5
20160501 20160531   119.8
20160601 20160630   138.9
