PRCP       085046 18880701 20160630 missing_value=99999.9 LABERTOUCHE                               
19100601 19100630    45.8
19100701 19100731    60.6
19100801 19100831    62.7
19100901 19100930   126.2
19101001 19101031   128.5
19101101 19101130    99.0
19101201 19101231   126.5
19110101 19110131    75.1
19110201 19110228    80.2
19110301 19110331   172.9
19110401 19110430    51.0
19110501 19110531   163.5
19110601 19110630   165.6
19110701 19110731   114.8
19110801 19110831    33.4
19110901 19110930    54.7
19111001 19111031    70.2
19111101 19111130    15.7
19111201 19111231   163.5
19120101 19120131    29.3
19120201 19120229    27.0
19120301 19120331    15.7
19120401 19120430    73.9
19120501 19120531    57.2
19120601 19120630    73.8
19120701 19120731    84.5
19120801 19120831    61.9
19120901 19120930   172.6
19121001 19121031    67.0
19121101 19121130    95.2
19121201 19121231   115.8
19130101 19130131    20.2
19130201 19130228    47.4
19130301 19130331   151.1
19130401 19130430    66.5
19130501 19130531   112.9
19130601 19130630    50.5
19130701 19130731    37.8
19130801 19130831   123.3
19130901 19130930    67.5
19131001 19131031    98.3
19131101 19131130   189.0
19131201 19131231    27.5
19140101 19140131    72.7
19140201 19140228     5.6
19140301 19140331    48.6
19140401 19140430    56.9
19140501 19140531    90.4
19140601 19140630    49.0
19140701 19140731   169.1
19140801 19140831    30.9
19140901 19140930    33.9
19141001 19141031     4.5
19141101 19141130    63.3
19141201 19141231    66.8
19150101 19150131    40.7
19150201 19150228    20.2
19150301 19150331    32.1
19150401 19150430    67.5
19150501 19150531   150.7
19150601 19150630   115.7
19150701 19150731    40.4
19150801 19150831   121.6
19150901 19150930    95.4
19151001 19151031   140.8
19151101 19151130    67.8
19151201 19151231     8.3
19160101 19160131   124.0
19160201 19160229    58.9
19160301 19160331    22.2
19160401 19160430    84.2
19160501 19160531    62.6
19160601 19160630    83.9
19160701 19160731    44.7
19160801 19160831    93.1
19160901 19160930   185.5
19161001 19161031   104.1
19161101 19161130   132.9
19161201 19161231    90.0
19170101 19170131    24.5
19170201 19170228    78.1
19170301 19170331    92.0
19170401 19170430    86.6
19170501 19170531   114.1
19170601 19170630   105.6
19170701 19170731   127.4
19170801 19170831   108.5
19170901 19170930   104.7
19171001 19171031   143.0
19171101 19171130    70.8
19171201 19171231    59.7
19180101 19180131    64.0
19180201 19180228    18.8
19180301 19180331   124.3
19180401 19180430    36.9
19180501 19180531   187.1
19180601 19180630    64.7
19180701 19180731   106.6
19180801 19180831    47.7
19180901 19180930   100.7
19181001 19181031   105.0
19181101 19181130    25.5
19181201 19181231    90.9
19190101 19190131    20.2
19190201 19190228    57.5
19190301 19190331   117.3
19190401 19190430    44.7
19190501 19190531    50.8
19190601 19190630   118.1
19190701 19190731    89.5
19190801 19190831    74.3
19190901 19190930    93.4
19191001 19191031    44.4
19191101 19191130    39.7
19191201 19191231   122.8
19200101 19200131    14.2
19200201 19200229    35.8
19200301 19200331    94.3
19200401 19200430    75.7
19200501 19200531    70.6
19200601 19200630    99.6
19200701 19200731    47.9
19200801 19200831   101.2
19200901 19200930   143.7
19201001 19201031   126.5
19201101 19201130    90.1
19201201 19201231    70.5
19210101 19210131    66.1
19210201 19210228    24.4
19210301 19210331    48.7
19210401 19210430    34.4
19210501 19210531    93.1
19210601 19210630    43.9
19210701 19210731    92.5
19210801 19210831   197.6
19210901 19210930    78.0
19211001 19211031   132.0
19211101 19211130    83.2
19211201 19211231    25.3
19220101 19220131    84.7
19220201 19220228    69.7
19220301 19220331    40.6
19220401 19220430    42.2
19220501 19220531    70.0
19220601 19220630   113.6
19220701 19220731    79.2
19220801 19220831   123.0
19220901 19220930    63.8
