PRCP       085046 18880701 20160630 missing_value=99999.9 LABERTOUCHE                               
19840501 19840531    27.8
19840601 19840630    56.2
19840701 19840731   104.2
19840801 19840831   100.4
19840901 19840930   155.4
19841001 19841031    60.4
19841101 19841130    94.4
19841201 19841231    94.6
19850101 19850131    28.2
19850201 19850228    29.2
19850301 19850331    50.8
19850401 19850430    92.6
19850501 19850531    80.2
19850601 19850630    83.0
19850701 19850731    87.0
19850801 19850831   117.4
19850901 19850930    75.4
19851001 19851031    83.4
19851101 19851130   157.0
19851201 19851231   179.4
19860101 19860131    51.6
19860201 19860228    43.6
19860301 19860331    18.4
19860401 19860430    86.6
19860501 19860531   100.6
19860601 19860630    65.2
19860701 19860731   136.8
19860801 19860831    41.6
19860901 19860930    45.8
19861001 19861031   130.0
19861101 19861130    42.0
19861201 19861231   133.0
19870101 19870131    45.4
19870201 19870228    62.4
19870301 19870331   138.4
19870401 19870430    53.0
19870501 19870531    81.4
19870601 19870630    67.8
19870701 19870731   111.8
19870801 19870831    67.4
19870901 19870930    80.6
19871001 19871031    73.4
19871101 19871130    96.6
19871201 19871231    96.0
19880101 19880131    63.6
19880201 19880229    23.2
19880301 19880331    56.9
19880401 19880430    39.4
19880501 19880531    81.6
19880601 19880630    91.8
19880701 19880731    87.0
19880801 19880831    67.6
19880901 19880930    78.2
19881001 19881031    64.2
19881101 19881130   156.8
19881201 19881231   114.4
19890101 19890131    55.6
19890201 19890228    13.6
19890301 19890331   107.0
19890401 19890430    44.7
19890501 19890531    74.9
19890601 19890630   119.4
19890701 19890731    63.0
19890801 19890831    79.8
19890901 19890930    82.2
19891001 19891031   219.6
19891101 19891130    40.0
19891201 19891231    40.2
19900101 19900131     3.2
19900201 19900228    84.7
19900301 19900331    48.6
19900401 19900430   101.6
19900501 19900531    46.2
19900601 19900630    61.7
19900701 19900731    49.0
19900801 19900831   112.2
19900901 19900930    97.4
19901001 19901031   131.4
19901101 19901130    60.8
19901201 19901231    39.4
19910101 19910131   130.0
19910201 19910228     2.2
19910301 19910331    37.8
19910401 19910430    46.8
19910501 19910531    36.0
19910601 19910630   133.0
19910701 19910731   131.2
19910801 19910831   120.7
19910901 19910930   130.2
19911001 19911031    47.4
19911101 19911130    44.5
19911201 19911231   126.8
19920101 19920131    52.0
19920201 19920229    25.4
19920301 19920331    49.0
19920401 19920430    43.8
19920501 19920531    61.7
19920601 19920630    86.8
19920701 19920731    40.4
19920801 19920831    65.4
19920901 19920930   139.8
19921001 19921031   100.2
19921101 19921130    86.4
19921201 19921231   113.1
19930101 19930131    57.8
19930201 19930228    90.0
19930301 19930331    59.0
19930401 19930430    25.4
19930501 19930531    21.6
19930601 19930630    83.8
19930701 19930731    48.4
19930801 19930831    68.6
19930901 19930930   191.2
19931001 19931031   144.6
19931101 19931130   101.6
19931201 19931231   133.4
19940101 19940131   109.0
19940201 19940228   116.9
19940301 19940331    48.0
19940401 19940430    54.0
19940501 19940531    54.8
19940601 19940630    47.5
19940701 19940731    33.5
19940801 19940831    55.3
19940901 19940930    86.3
19941001 19941031    49.8
19941101 19941130    98.6
19941201 19941231    25.6
19950101 19950131   101.2
19950201 19950228    10.4
19950301 19950331    41.6
19950401 19950430   133.3
19950501 19950531   101.0
19950601 19950630   106.5
19950701 19950731   113.8
19950801 19950831   103.6
19950901 19950930    85.0
19951001 19951031   136.0
19951101 19951130    77.7
19951201 19951231    74.6
19960101 19960131    47.8
19960201 19960229   132.7
19960301 19960331    70.1
19960401 19960430   123.1
19960501 19960531    45.2
19960601 19960630    72.0
19960701 19960731   109.9
19960801 19960831    97.8
19960901 19960930   159.0
19961001 19961031    83.2
19961101 19961130    89.4
19961201 19961231    43.7
19970101 19970131    66.6
19970201 19970228     7.5
19970301 19970331    33.9
19970401 19970430    27.5
19970501 19970531    88.0
19970601 19970630    50.7
19970701 19970731    56.0
19970801 19970831    58.3
19970901 19970930    50.8
19971001 19971031    61.8
19971101 19971130   105.0
19971201 19971231    22.0
19980101 19980131    70.0
19980201 19980228    62.2
19980301 19980331    24.8
19980401 19980430    15.2
19980501 19980531    83.5
19980601 19980630    79.6
19980701 19980731    50.1
19980801 19980831    20.0
19980901 19980930    70.0
19981001 19981031   139.9
19981101 19981130    80.2
19981201 19981231    95.4
19990101 19990131    40.6
19990201 19990228    91.0
19990301 19990331    72.2
19990401 19990430    51.0
19990501 19990531    78.8
19990601 19990630    39.9
19990701 19990731    36.2
19990801 19990831    97.8
19990901 19990930    56.8
19991001 19991031    88.2
19991101 19991130    56.6
19991201 19991231   108.6
20000101 20000131    82.4
20000201 20000229    32.8
20000301 20000331    35.0
20000401 20000430    62.9
20000501 20000531   155.8
20000601 20000630    61.6
20000701 20000731    52.6
20000801 20000831    54.0
20000901 20000930   122.6
20001001 20001031    97.6
20001101 20001130    44.0
20001201 20001231    62.6
20010101 20010131    36.0
20010201 20010228    24.6
20010301 20010331    60.3
20010401 20010430   143.8
20010501 20010531    15.2
20010601 20010630    71.7
20010701 20010731    49.6
20010801 20010831   101.4
20010901 20010930    45.0
20011001 20011031   135.5
20011101 20011130    80.4
20011201 20011231    72.8
20020101 20020131    94.8
20020201 20020228    43.8
20020301 20020331    26.0
20020401 20020430    49.8
20020501 20020531    72.0
20020601 20020630    60.4
20020701 20020731    45.6
20020801 20020831    39.2
20020901 20020930    83.4
20021001 20021031    70.6
20021101 20021130    27.0
20021201 20021231    51.4
20030101 20030131 99999.9
20030201 20030228 99999.9
20030301 20030331    55.4
20030401 20030430 99999.9
20030501 20030531 99999.9
20030601 20030630    39.8
20030701 20030731 99999.9
20030801 20030831 99999.9
20030901 20030930    85.0
20031001 20031031 99999.9
20031101 20031130    43.0
20031201 20031231    52.4
20040101 20040131    62.4
20040201 20040229    32.7
20040301 20040331    26.0
20040401 20040430    84.1
20040501 20040531    70.6
20040601 20040630   113.4
20040701 20040731    70.4
20040801 20040831    92.2
20040901 20040930    95.2
20041001 20041031    65.0
20041101 20041130   138.8
20041201 20041231    73.6
20050101 20050131    36.0
20050201 20050228 99999.9
20050301 20050331 99999.9
20050401 20050430 99999.9
20050501 20050531 99999.9
20050601 20050630 99999.9
20050701 20050731 99999.9
20050801 20050831 99999.9
20050901 20050930 99999.9
20051001 20051031 99999.9
20051101 20051130 99999.9
20051201 20051231 99999.9
20060101 20060131 99999.9
20060201 20060228 99999.9
20060301 20060331 99999.9
20060401 20060430 99999.9
20060501 20060531 99999.9
20060601 20060630 99999.9
20060701 20060731 99999.9
20060801 20060831 99999.9
20060901 20060930 99999.9
20061001 20061031 99999.9
20061101 20061130 99999.9
20061201 20061231 99999.9
20070101 20070131 99999.9
20070201 20070228 99999.9
20070301 20070331 99999.9
20070401 20070430 99999.9
20070501 20070531 99999.9
20070601 20070630 99999.9
20070701 20070731 99999.9
20070801 20070831    25.8
20070901 20070930    62.6
20071001 20071031    59.8
20071101 20071130   101.2
20071201 20071231    98.8
20080101 20080131    17.2
20080201 20080229    49.3
20080301 20080331    26.6
20080401 20080430    34.0
20080501 20080531    41.4
20080601 20080630    46.6
20080701 20080731    69.5
20080801 20080831    90.4
20080901 20080930    53.0
20081001 20081031    36.0
20081101 20081130   118.2
20081201 20081231   115.0
20090101 20090131     1.8
20090201 20090228     0.0
20090301 20090331    42.1
20090401 20090430    82.8
20090501 20090531    23.2
20090601 20090630    39.2
20090701 20090731    41.0
20090801 20090831    93.3
20090901 20090930   147.3
20091001 20091031    72.0
20091101 20091130 99999.9
20091201 20091231    63.6
20100101 20100131    65.8
20100201 20100228    38.4
20100301 20100331    69.2
20100401 20100430    61.2
20100501 20100531    58.4
20100601 20100630    69.8
20100701 20100731    54.4
20100801 20100831   100.2
20100901 20100930    76.8
20101001 20101031   140.9
20101101 20101130   101.8
20101201 20101231   137.4
20110101 20110131    75.5
20110201 20110228   161.2
20110301 20110331    64.6
20110401 20110430    80.0
20110501 20110531   107.2
20110601 20110630    52.6
20110701 20110731    59.8
20110801 20110831    40.0
20110901 20110930    96.0
20111001 20111031    85.2
20111101 20111130   155.0
20111201 20111231    76.4
20120101 20120131    69.0
20120201 20120229    48.4
20120301 20120331    99.9
20120401 20120430    79.2
20120501 20120531   111.0
20120601 20120630 99999.9
20120701 20120731    69.2
20120801 20120831    84.4
20120901 20120930    91.6
20121001 20121031    54.6
20121101 20121130    51.0
20121201 20121231    75.6
20130101 20130131    10.0
20130201 20130228 99999.9
20130301 20130331 99999.9
20130401 20130430    31.8
20130501 20130531    95.8
20130601 20130630   136.4
20130701 20130731    73.2
20130801 20130831 99999.9
20130901 20130930   103.4
20131001 20131031   107.2
20131101 20131130    79.4
20131201 20131231    72.2
20140101 20140131    27.0
20140201 20140228    31.2
20140301 20140331    48.8
20140401 20140430    88.8
20140501 20140531    51.6
20140601 20140630   111.0
20140701 20140731    85.4
20140801 20140831    60.6
20140901 20140930    64.2
20141001 20141031    98.0
20141101 20141130    82.6
20141201 20141231    58.0
20150101 20150131    49.0
20150201 20150228    65.3
20150301 20150331    56.2
20150401 20150430    76.9
20150501 20150531 99999.9
20150601 20150630    31.2
20150701 20150731    80.4
20150801 20150831    99.0
20150901 20150930    43.2
20151001 20151031    22.8
20151101 20151130    64.2
20151201 20151231    54.0
20160101 20160131    85.2
20160201 20160229    23.7
20160301 20160331    62.9
20160401 20160430    48.4
20160501 20160531    82.8
20160601 20160630    97.2
