PRCP       008013 19070101 20180131 missing_value=99999.9 BOWGADA                                   
19281201 19281231    21.9
19290101 19290131    25.4
19290201 19290228    42.7
19290301 19290331    19.4
19290401 19290430     0.0
19290501 19290531    94.3
19290601 19290630    77.5
19290701 19290731    21.6
19290801 19290831    21.1
19290901 19290930     7.1
19291001 19291031    10.2
19291101 19291130    30.2
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    11.1
19300401 19300430    23.2
19300501 19300531    12.0
19300601 19300630   124.5
19300701 19300731    55.5
19300801 19300831    25.7
19300901 19300930    12.6
19301001 19301031    22.3
19301101 19301130     0.8
19301201 19301231     2.0
19310101 19310131     0.0
19310201 19310228     7.6
19310301 19310331     4.0
19310401 19310430    11.4
19310501 19310531    84.6
19310601 19310630    35.5
19310701 19310731    54.2
19310801 19310831    32.4
19310901 19310930    32.8
19311001 19311031     8.7
19311101 19311130    33.3
19311201 19311231    49.3
19320101 19320131    24.8
19320201 19320229     5.6
19320301 19320331    24.2
19320401 19320430    17.5
19320501 19320531    60.1
19320601 19320630    26.7
19320701 19320731    63.8
19320801 19320831    96.5
19320901 19320930    22.1
19321001 19321031    29.4
19321101 19321130     0.0
19321201 19321231     8.1
19330101 19330131     0.0
19330201 19330228     7.4
19330301 19330331    50.3
19330401 19330430     5.3
19330501 19330531    67.7
19330601 19330630   137.9
19330701 19330731    47.1
19330801 19330831    86.6
19330901 19330930    10.6
19331001 19331031    19.0
19331101 19331130     9.4
19331201 19331231     6.9
19340101 19340131    25.7
19340201 19340228     0.0
19340301 19340331    90.5
19340401 19340430    84.6
19340501 19340531     6.6
19340601 19340630    44.3
19340701 19340731    38.0
19340801 19340831    58.1
19340901 19340930    10.9
19341001 19341031     7.3
19341101 19341130     0.0
19341201 19341231     3.8
19350101 19350131    22.4
19350201 19350228    39.6
19350301 19350331    66.5
19350401 19350430    22.2
19350501 19350531    12.6
19350601 19350630    17.7
19350701 19350731    49.3
19350801 19350831    56.9
19350901 19350930    16.3
19351001 19351031     1.1
19351101 19351130     0.1
19351201 19351231     0.0
19360101 19360131    23.6
19360201 19360229     5.8
19360301 19360331    13.2
19360401 19360430     6.6
19360501 19360531    26.0
19360601 19360630    46.9
19360701 19360731    29.9
19360801 19360831    40.9
19360901 19360930    15.0
19361001 19361031     2.8
19361101 19361130    11.2
19361201 19361231     5.6
19370101 19370131     1.8
19370201 19370228     0.0
19370301 19370331     7.4
19370401 19370430    29.3
19370501 19370531    44.0
19370601 19370630    88.7
19370701 19370731     7.9
19370801 19370831    51.4
19370901 19370930    15.7
19371001 19371031     1.5
19371101 19371130     2.8
19371201 19371231     0.0
19380101 19380131     2.5
19380201 19380228     0.0
19380301 19380331    41.7
19380401 19380430    26.9
19380501 19380531     6.4
19380601 19380630    18.0
19380701 19380731    69.6
19380801 19380831    21.5
19380901 19380930     6.6
19381001 19381031     2.8
19381101 19381130    16.0
19381201 19381231     0.5
19390101 19390131    36.6
19390201 19390228    61.5
19390301 19390331     0.0
19390401 19390430     1.3
19390501 19390531    85.1
19390601 19390630   149.1
19390701 19390731    82.7
19390801 19390831    42.9
19390901 19390930     0.0
19391001 19391031    42.1
19391101 19391130    16.2
19391201 19391231     0.0
19400101 19400131     0.0
19400201 19400229     0.0
19400301 19400331     0.8
19400401 19400430     0.8
19400501 19400531    25.4
19400601 19400630    62.1
19400701 19400731    52.1
19400801 19400831     9.4
19400901 19400930     9.9
19401001 19401031    30.7
19401101 19401130     7.3
19401201 19401231    14.0
19410101 19410131     0.0
19410201 19410228     4.3
19410301 19410331     0.0
19410401 19410430    81.0
19410501 19410531    52.1
19410601 19410630    58.7
19410701 19410731    30.6
19410801 19410831    52.6
19410901 19410930    29.7
19411001 19411031    13.9
19411101 19411130    17.3
19411201 19411231     6.1
19420101 19420131    12.7
19420201 19420228     8.4
19420301 19420331     9.2
19420401 19420430    53.8
19420501 19420531    88.3
19420601 19420630    93.1
19420701 19420731    31.5
19420801 19420831    18.8
19420901 19420930    22.8
19421001 19421031     0.0
19421101 19421130     0.0
19421201 19421231    10.7
19430101 19430131    12.7
19430201 19430228    36.7
19430301 19430331    65.8
19430401 19430430    16.3
19430501 19430531    21.8
19430601 19430630    56.9
19430701 19430731    45.9
19430801 19430831    26.2
19430901 19430930    21.5
19431001 19431031     7.9
19431101 19431130     0.1
19431201 19431231    13.7
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     6.6
19440401 19440430     6.4
19440501 19440531    33.7
19440601 19440630    20.3
19440701 19440731    83.8
19440801 19440831    35.6
19440901 19440930     2.3
19441001 19441031     1.0
19441101 19441130     3.1
19441201 19441231     2.5
19450101 19450131     0.0
19450201 19450228    44.2
19450301 19450331     6.8
19450401 19450430     0.0
19450501 19450531    27.2
19450601 19450630   178.7
19450701 19450731    21.2
19450801 19450831    69.6
19450901 19450930    13.2
19451001 19451031     6.6
19451101 19451130    18.4
19451201 19451231     0.0
19460101 19460131     0.0
19460201 19460228    20.3
19460301 19460331     2.5
19460401 19460430    12.7
19460501 19460531    35.0
19460601 19460630    91.1
19460701 19460731   122.7
19460801 19460831    32.9
19460901 19460930     0.3
19461001 19461031     5.6
19461101 19461130    25.2
19461201 19461231     0.0
19470101 19470131    17.8
19470201 19470228     0.0
19470301 19470331    23.7
19470401 19470430    13.2
19470501 19470531    54.6
19470601 19470630    42.1
19470701 19470731    58.6
19470801 19470831    12.5
19470901 19470930    23.6
19471001 19471031    37.3
19471101 19471130     4.6
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229    24.4
19480301 19480331    33.5
19480401 19480430    16.7
19480501 19480531     0.0
19480601 19480630    37.3
19480701 19480731    39.3
19480801 19480831    47.5
19480901 19480930    14.8
19481001 19481031     0.3
19481101 19481130    45.5
19481201 19481231     0.0
19490101 19490131     0.0
19490201 19490228    16.2
19490301 19490331     0.0
19490401 19490430    14.0
19490501 19490531     0.0
19490601 19490630    44.8
19490701 19490731   109.6
19490801 19490831   102.6
19490901 19490930    49.8
19491001 19491031    14.6
19491101 19491130    17.0
19491201 19491231     0.0
19500101 19500131     0.0
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    72.5
19500601 19500630    32.5
19500701 19500731    47.2
19500801 19500831    63.1
19500901 19500930    17.3
19501001 19501031    14.4
19501101 19501130     0.0
19501201 19501231     0.0
19510101 19510131    45.2
19510201 19510228     0.0
19510301 19510331     0.0
19510401 19510430    46.7
19510501 19510531     7.6
19510601 19510630   131.5
19510701 19510731    86.2
19510801 19510831    19.9
19510901 19510930    31.8
19511001 19511031     2.5
19511101 19511130     0.0
19511201 19511231    20.6
19520101 19520131     9.7
19520201 19520229    47.3
19520301 19520331     0.0
19520401 19520430    10.9
19520501 19520531    32.0
19520601 19520630    16.6
19520701 19520731    56.1
19520801 19520831    15.2
19520901 19520930    13.0
19521001 19521031     0.0
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131     8.4
19530201 19530228     0.0
19530301 19530331    88.2
19530401 19530430    13.5
19530501 19530531    78.7
19530601 19530630    61.2
19530701 19530731    31.0
19530801 19530831     7.2
19530901 19530930    21.8
19531001 19531031     0.0
19531101 19531130     2.0
19531201 19531231     6.4
19540101 19540131     0.0
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     8.1
19540501 19540531    49.6
19540601 19540630     9.6
19540701 19540731    36.3
19540801 19540831    30.5
19540901 19540930     9.6
19541001 19541031     3.6
19541101 19541130     0.0
19541201 19541231    23.0
19550101 19550131     0.0
19550201 19550228    19.0
19550301 19550331     0.0
19550401 19550430    23.9
19550501 19550531    34.5
19550601 19550630    16.5
19550701 19550731    27.4
19550801 19550831    76.6
19550901 19550930    15.4
19551001 19551031    17.2
19551101 19551130     0.0
19551201 19551231     0.0
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331     0.0
19560401 19560430     0.0
19560501 19560531    43.7
19560601 19560630    76.0
19560701 19560731    33.0
19560801 19560831    10.2
19560901 19560930     0.0
19561001 19561031     3.0
19561101 19561130     4.0
19561201 19561231     1.5
19570101 19570131    13.8
19570201 19570228     0.0
19570301 19570331     3.8
19570401 19570430     3.4
19570501 19570531    25.3
19570601 19570630   108.8
19570701 19570731    16.9
19570801 19570831    49.7
19570901 19570930     4.6
19571001 19571031     5.4
19571101 19571130     0.3
19571201 19571231     1.1
19580101 19580131    62.6
19580201 19580228     0.0
19580301 19580331     0.0
19580401 19580430     0.0
19580501 19580531    65.4
19580601 19580630    20.8
19580701 19580731   163.0
19580801 19580831   107.8
19580901 19580930    32.6
19581001 19581031     7.6
19581101 19581130     6.8
19581201 19581231     0.0
19590101 19590131     0.0
19590201 19590228     0.0
19590301 19590331     0.0
19590401 19590430     0.0
19590501 19590531     5.8
19590601 19590630   120.0
19590701 19590731    18.4
19590801 19590831    66.2
19590901 19590930     2.6
19591001 19591031    17.8
19591101 19591130     5.6
19591201 19591231     0.0
19600101 19600131     0.0
19600201 19600229     0.0
19600301 19600331    79.8
19600401 19600430     3.8
19600501 19600531    57.2
19600601 19600630    22.6
19600701 19600731   101.9
19600801 19600831     6.4
19600901 19600930    12.4
19601001 19601031     7.6
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    32.3
19610201 19610228     0.0
19610301 19610331     0.0
19610401 19610430   117.6
19610501 19610531    54.3
19610601 19610630    93.1
19610701 19610731    28.0
19610801 19610831    41.1
19610901 19610930     6.1
19611001 19611031     0.0
19611101 19611130     0.0
19611201 19611231     4.6
19620101 19620131     5.5
19620201 19620228     7.6
19620301 19620331    16.0
19620401 19620430     9.6
19620501 19620531   141.8
19620601 19620630    57.0
19620701 19620731    39.7
19620801 19620831    10.4
19620901 19620930    11.1
19621001 19621031    20.8
19621101 19621130     4.6
19621201 19621231    19.6
19630101 19630131    54.6
19630201 19630228    13.3
19630301 19630331    20.3
19630401 19630430    40.3
19630501 19630531    82.4
19630601 19630630    72.7
19630701 19630731   100.5
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     7.6
19631201 19631231     4.6
19640101 19640131     5.1
19640201 19640229     4.9
19640301 19640331     0.0
19640401 19640430    24.7
19640501 19640531     0.8
19640601 19640630    97.9
19640701 19640731   120.3
19640801 19640831    46.3
19640901 19640930    33.5
19641001 19641031     9.7
19641101 19641130     5.6
19641201 19641231     0.0
19650101 19650131     5.1
19650201 19650228     0.0
19650301 19650331    11.2
19650401 19650430     2.8
19650501 19650531    34.8
19650601 19650630   132.1
19650701 19650731    58.8
19650801 19650831    40.6
19650901 19650930    11.5
19651001 19651031    26.2
19651101 19651130    38.2
19651201 19651231     0.0
19660101 19660131     0.0
19660201 19660228    13.2
19660301 19660331     2.3
19660401 19660430   103.3
19660501 19660531     4.0
19660601 19660630    59.6
19660701 19660731    55.1
19660801 19660831    26.8
19660901 19660930    26.4
19661001 19661031    30.7
19661101 19661130     1.8
19661201 19661231     0.0
19670101 19670131    14.0
19670201 19670228     0.0
19670301 19670331     0.0
19670401 19670430     9.3
19670501 19670531    61.3
19670601 19670630    91.4
19670701 19670731    59.1
19670801 19670831    26.5
19670901 19670930    10.9
19671001 19671031     6.9
19671101 19671130     3.3
19671201 19671231    19.3
19680101 19680131    45.2
19680201 19680229     7.6
19680301 19680331    10.3
19680401 19680430    57.6
19680501 19680531    36.8
19680601 19680630   140.7
19680701 19680731    41.9
19680801 19680831    34.3
19680901 19680930    35.5
19681001 19681031     7.2
19681101 19681130    10.4
19681201 19681231     0.0
19690101 19690131     0.0
19690201 19690228     0.5
19690301 19690331     0.0
19690401 19690430     6.6
19690501 19690531    46.7
19690601 19690630    55.2
19690701 19690731    38.7
19690801 19690831    16.3
19690901 19690930    22.7
19691001 19691031    21.6
19691101 19691130    19.6
19691201 19691231     8.1
19700101 19700131     0.0
19700201 19700228   114.3
19700301 19700331     0.0
19700401 19700430    28.7
19700501 19700531    40.4
19700601 19700630    77.5
19700701 19700731    32.2
19700801 19700831    19.9
19700901 19700930    38.3
19701001 19701031    11.4
19701101 19701130     1.8
19701201 19701231    20.1
19710101 19710131     9.2
19710201 19710228     0.0
19710301 19710331   147.9
19710401 19710430     3.8
19710501 19710531    16.2
19710601 19710630    41.9
19710701 19710731    38.5
19710801 19710831    54.3
19710901 19710930    29.8
19711001 19711031    18.0
19711101 19711130     4.6
19711201 19711231     0.0
19720101 19720131     0.3
19720201 19720229     6.0
19720301 19720331     1.0
19720401 19720430     3.1
19720501 19720531    25.2
19720601 19720630    47.9
19720701 19720731    85.8
19720801 19720831    58.9
19720901 19720930    14.4
19721001 19721031     9.0
19721101 19721130    10.7
19721201 19721231     2.4
19730101 19730131     4.3
19730201 19730228    10.2
19730301 19730331     0.0
19730401 19730430    34.0
19730501 19730531    30.9
19730601 19730630    46.3
19730701 19730731    81.5
19730801 19730831    41.9
19730901 19730930    49.6
19731001 19731031     5.9
19731101 19731130    15.6
19731201 19731231     0.8
19740101 19740131    15.4
19740201 19740228     5.4
19740301 19740331     9.6
19740401 19740430    36.5
19740501 19740531   103.5
19740601 19740630    57.3
19740701 19740731    77.2
19740801 19740831    46.2
19740901 19740930    31.2
19741001 19741031    15.8
19741101 19741130    16.7
19741201 19741231     1.8
19750101 19750131    13.2
19750201 19750228     9.0
19750301 19750331    45.8
19750401 19750430    90.6
19750501 19750531    44.2
19750601 19750630    53.6
19750701 19750731    79.2
19750801 19750831    35.2
19750901 19750930    14.6
19751001 19751031    37.0
19751101 19751130     2.6
19751201 19751231    69.0
19760101 19760131    21.0
19760201 19760229    13.0
19760301 19760331     6.8
19760401 19760430    14.4
19760501 19760531    29.2
19760601 19760630    15.2
19760701 19760731     6.0
19760801 19760831    27.0
19760901 19760930    20.4
19761001 19761031    35.0
19761101 19761130    11.3
19761201 19761231     0.0
19770101 19770131     0.0
19770201 19770228     0.0
19770301 19770331     0.4
19770401 19770430    30.4
19770501 19770531    24.4
19770601 19770630    28.6
19770701 19770731    11.6
19770801 19770831    39.2
19770901 19770930     7.2
19771001 19771031    32.8
19771101 19771130     0.0
19771201 19771231     7.0
19780101 19780131    37.4
19780201 19780228    35.0
19780301 19780331     0.0
19780401 19780430    11.8
19780501 19780531    32.8
19780601 19780630    31.7
19780701 19780731    86.0
19780801 19780831    29.2
19780901 19780930    28.4
19781001 19781031     7.6
19781101 19781130    10.0
19781201 19781231    19.4
19790101 19790131     0.0
19790201 19790228     5.0
19790301 19790331    11.0
19790401 19790430    12.0
19790501 19790531    15.4
19790601 19790630    32.8
19790701 19790731    11.0
19790801 19790831    30.2
19790901 19790930     4.8
19791001 19791031     0.4
19791101 19791130    15.6
19791201 19791231     6.8
19800101 19800131     2.0
19800201 19800229     0.0
19800301 19800331     2.0
19800401 19800430    22.4
19800501 19800531    40.2
19800601 19800630    44.6
19800701 19800731    64.0
19800801 19800831    19.6
19800901 19800930     0.8
19801001 19801031     9.5
19801101 19801130     2.2
19801201 19801231     0.0
19810101 19810131    24.9
19810201 19810228    18.6
19810301 19810331     0.4
19810401 19810430     2.8
19810501 19810531    55.1
19810601 19810630    67.5
19810701 19810731    49.0
19810801 19810831    42.8
19810901 19810930    11.5
19811001 19811031     8.8
19811101 19811130    15.2
19811201 19811231     9.6
19820101 19820131    55.8
19820201 19820228     9.0
19820301 19820331    10.4
19820401 19820430     2.0
19820501 19820531    18.6
19820601 19820630    80.4
19820701 19820731    17.8
19820801 19820831    18.2
19820901 19820930    38.5
19821001 19821031    14.8
19821101 19821130     0.0
19821201 19821231     2.4
19830101 19830131     4.6
19830201 19830228     0.6
19830301 19830331     3.2
19830401 19830430     4.6
19830501 19830531     4.0
19830601 19830630    97.0
19830701 19830731    52.4
19830801 19830831    37.0
19830901 19830930    31.6
19831001 19831031     1.7
19831101 19831130    44.6
19831201 19831231    14.8
19840101 19840131     4.0
19840201 19840229    21.8
19840301 19840331    87.8
19840401 19840430    76.0
19840501 19840531   166.4
19840601 19840630    19.6
19840701 19840731    37.0
19840801 19840831    29.0
19840901 19840930    23.0
19841001 19841031    13.8
19841101 19841130    15.4
19841201 19841231     2.0
19850101 19850131     0.0
19850201 19850228    43.6
19850301 19850331     8.0
19850401 19850430     0.0
19850501 19850531    29.6
19850601 19850630    33.8
19850701 19850731    45.2
19850801 19850831    28.0
19850901 19850930     9.0
19851001 19851031     1.2
19851101 19851130     0.0
19851201 19851231     0.0
19860101 19860131    46.0
19860201 19860228    45.6
19860301 19860331     6.0
19860401 19860430     0.0
19860501 19860531    81.8
19860601 19860630    83.7
19860701 19860731    40.4
19860801 19860831    34.8
19860901 19860930    14.7
19861001 19861031    18.4
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131     0.0
19870201 19870228     4.0
19870301 19870331    20.4
19870401 19870430    13.6
19870501 19870531    40.2
19870601 19870630    42.0
19870701 19870731    47.3
19870801 19870831    56.0
19870901 19870930     5.8
19871001 19871031    21.0
19871101 19871130    19.8
19871201 19871231     5.6
19880101 19880131     0.0
19880201 19880229     6.6
19880301 19880331     9.4
19880401 19880430    15.1
19880501 19880531   156.4
19880601 19880630    37.5
19880701 19880731    66.2
19880801 19880831    49.4
19880901 19880930    19.6
19881001 19881031     9.6
19881101 19881130     9.4
19881201 19881231    36.5
19890101 19890131    11.4
19890201 19890228    17.6
19890301 19890331     0.0
19890401 19890430    29.6
19890501 19890531    83.0
19890601 19890630    93.3
19890701 19890731    34.2
19890801 19890831    14.6
19890901 19890930    13.0
19891001 19891031    13.9
19891101 19891130     0.0
19891201 19891231     0.0
19900101 19900131    87.3
19900201 19900228    18.4
19900301 19900331    10.4
19900401 19900430    21.4
19900501 19900531    35.2
19900601 19900630    40.2
19900701 19900731    45.1
19900801 19900831    40.8
19900901 19900930    22.4
19901001 19901031    61.8
19901101 19901130     0.0
19901201 19901231     3.0
19910101 19910131    11.0
19910201 19910228 99999.9
19910301 19910331 99999.9
19910401 19910430 99999.9
19910501 19910531 99999.9
19910601 19910630 99999.9
19910701 19910731 99999.9
19910801 19910831    23.9
19910901 19910930    13.6
19911001 19911031    50.0
19911101 19911130    23.4
19911201 19911231    22.6
19920101 19920131     0.0
19920201 19920229     7.2
19920301 19920331    68.2
19920401 19920430    57.3
19920501 19920531     3.6
19920601 19920630    67.5
19920701 19920731    14.5
19920801 19920831   127.6
19920901 19920930    61.7
19921001 19921031     4.5
19921101 19921130     5.4
19921201 19921231    16.0
19930101 19930131     1.6
19930201 19930228     0.0
19930301 19930331     0.0
19930401 19930430    16.4
19930501 19930531   101.4
19930601 19930630    51.6
19930701 19930731    43.4
19930801 19930831    36.6
19930901 19930930    20.0
19931001 19931031     8.4
19931101 19931130    15.8
19931201 19931231     0.8
19940101 19940131     0.0
19940201 19940228    82.6
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531    57.4
19940601 19940630    32.0
19940701 19940731    21.3
19940801 19940831    52.0
19940901 19940930    18.1
19941001 19941031     1.3
19941101 19941130     0.0
19941201 19941231     0.0
19950101 19950131    10.0
19950201 19950228    60.4
19950301 19950331    14.0
