PRCP       018002 18980901 20161231 missing_value=99999.9 PENNALUMBA                                
19950201 19950228     1.4
19950301 19950331     8.6
19950401 19950430    17.2
19950501 19950531    32.0
19950601 19950630    61.0
19950701 19950731    57.2
19950801 19950831    16.6
19950901 19950930    16.8
19951001 19951031    23.2
19951101 19951130     7.8
19951201 19951231    19.6
19960101 19960131     1.8
19960201 19960229     1.0
19960301 19960331     8.4
19960401 19960430    21.8
19960501 19960531     9.6
19960601 19960630    44.4
19960701 19960731    75.2
19960801 19960831    59.4
19960901 19960930    47.0
19961001 19961031    11.8
19961101 19961130     9.0
19961201 19961231     6.0
19970101 19970131     6.2
19970201 19970228     5.4
19970301 19970331    14.8
19970401 19970430     1.8
19970501 19970531    46.7
19970601 19970630    12.2
19970701 19970731    15.5
19970801 19970831    39.6
19970901 19970930   118.9
19971001 19971031    34.8
19971101 19971130    22.2
19971201 19971231    48.4
19980101 19980131     3.6
19980201 19980228     9.2
19980301 19980331    28.4
19980401 19980430    40.2
19980501 19980531     9.2
19980601 19980630    43.4
19980701 19980731    89.8
19980801 19980831    15.2
19980901 19980930    12.6
19981001 19981031    12.4
19981101 19981130    33.6
19981201 19981231     0.0
19990101 19990131     9.6
19990201 19990228     4.2
19990301 19990331    15.2
19990401 19990430     0.0
19990501 19990531    13.0
19990601 19990630    20.4
19990701 19990731     6.6
19990801 19990831    15.4
19990901 19990930    41.6
19991001 19991031    33.2
19991101 19991130    10.1
19991201 19991231    10.5
20000101 20000131    16.4
20000201 20000229    18.0
20000301 20000331    23.4
20000401 20000430    19.4
20000501 20000531    25.2
20000601 20000630    29.0
20000701 20000731    30.6
20000801 20000831    32.0
20000901 20000930    22.3
20001001 20001031    33.6
20001101 20001130     9.0
20001201 20001231     8.6
20010101 20010131     0.0
20010201 20010228    11.0
20010301 20010331    13.0
20010401 20010430     6.8
20010501 20010531    57.9
20010601 20010630    68.4
20010701 20010731    34.2
20010801 20010831    34.6
20010901 20010930    63.2
20011001 20011031    31.3
20011101 20011130    27.5
20011201 20011231    56.0
20020101 20020131    13.6
20020201 20020228     0.0
20020301 20020331     1.8
20020401 20020430    25.8
20020501 20020531    18.3
20020601 20020630    47.1
20020701 20020731    41.6
20020801 20020831    15.0
20020901 20020930    13.0
20021001 20021031    11.0
20021101 20021130    11.2
20021201 20021231    15.0
20030101 20030131    14.0
20030201 20030228    76.0
20030301 20030331     0.0
20030401 20030430     0.0
20030501 20030531    19.2
20030601 20030630    18.3
20030701 20030731    36.5
20030801 20030831    70.8
20030901 20030930    10.5
20031001 20031031    28.5
20031101 20031130     4.0
20031201 20031231    20.0
20040101 20040131     0.0
20040201 20040229     7.0
20040301 20040331     0.0
20040401 20040430    32.0
20040501 20040531    18.0
20040601 20040630    46.5
20040701 20040731    44.5
20040801 20040831    76.5
20040901 20040930    26.0
20041001 20041031     0.0
20041101 20041130    22.5
20041201 20041231    11.0
20050101 20050131     6.0
20050201 20050228     0.0
20050301 20050331     0.0
20050401 20050430     5.0
20050501 20050531     6.6
20050601 20050630    49.1
20050701 20050731    32.5
20050801 20050831    27.0
20050901 20050930    58.0
20051001 20051031    59.5
20051101 20051130    16.0
20051201 20051231    12.5
20060101 20060131    53.5
20060201 20060228 99999.9
20060301 20060331 99999.9
20060401 20060430    35.5
20060501 20060531    17.5
20060601 20060630    30.0
20060701 20060731    60.0
20060801 20060831     5.5
20060901 20060930     0.0
20061001 20061031     0.0
20061101 20061130     1.5
20061201 20061231     8.0
20070101 20070131     6.0
20070201 20070228     8.0
20070301 20070331    51.5
20070401 20070430    78.5
20070501 20070531    44.0
20070601 20070630    11.5
20070701 20070731    13.5
20070801 20070831     9.0
20070901 20070930     0.0
20071001 20071031    16.0
20071101 20071130     7.8
20071201 20071231    38.5
20080101 20080131 99999.9
20080201 20080229    10.2
20080301 20080331     0.0
20080401 20080430    12.7
20080501 20080531     5.1
20080601 20080630    16.2
20080701 20080731    48.5
20080801 20080831    27.2
20080901 20080930     0.0
20081001 20081031 99999.9
20081101 20081130    28.2
20081201 20081231    86.3
20090101 20090131     0.0
20090201 20090228     1.2
20090301 20090331 99999.9
20090401 20090430    38.5
20090501 20090531     8.4
20090601 20090630    64.3
20090701 20090731    63.9
20090801 20090831    25.0
20090901 20090930    50.8
20091001 20091031     3.2
20091101 20091130    13.6
20091201 20091231     6.5
20100101 20100131    12.0
20100201 20100228     1.4
20100301 20100331    17.6
20100401 20100430    14.4
20100501 20100531    46.0
20100601 20100630    35.6
20100701 20100731    41.0
20100801 20100831    52.8
20100901 20100930    56.0
20101001 20101031    67.4
20101101 20101130    18.2
20101201 20101231    40.0
20110101 20110131    12.6
20110201 20110228    58.4
20110301 20110331    12.8
20110401 20110430    15.0
20110501 20110531    31.6
20110601 20110630    22.6
20110701 20110731 99999.9
20110801 20110831    49.0
20110901 20110930    30.4
20111001 20111031    27.8
20111101 20111130    24.6
20111201 20111231    29.0
20120101 20120131    17.4
20120201 20120229    10.6
20120301 20120331    14.2
20120401 20120430     7.8
20120501 20120531    27.8
20120601 20120630    57.6
20120701 20120731    27.0
20120801 20120831    10.6
20120901 20120930     7.6
20121001 20121031     7.6
20121101 20121130     5.6
20121201 20121231     6.0
20130101 20130131     1.8
20130201 20130228    12.8
20130301 20130331    24.0
20130401 20130430    45.4
20130501 20130531    40.4
20130601 20130630    52.0
20130701 20130731    63.0
20130801 20130831    23.8
20130901 20130930    10.6
20131001 20131031     4.2
20131101 20131130    20.0
20131201 20131231    12.6
20140101 20140131    21.0
20140201 20140228    68.4
20140301 20140331     1.4
20140401 20140430    20.4
20140501 20140531    79.0
20140601 20140630    36.0
20140701 20140731    36.8
20140801 20140831     2.0
20140901 20140930    14.0
20141001 20141031     0.0
20141101 20141130     0.0
20141201 20141231     0.0
20150101 20150131     0.0
20150201 20150228     1.2
20150301 20150331     5.8
20150401 20150430    44.8
20150501 20150531    22.6
20150601 20150630    38.8
20150701 20150731    34.2
20150801 20150831    57.4
20150901 20150930    24.4
20151001 20151031     1.0
20151101 20151130    19.0
20151201 20151231     0.0
20160101 20160131    42.2
20160201 20160229    36.8
20160301 20160331    27.2
20160401 20160430    11.0
20160501 20160531    39.2
20160601 20160630    90.6
20160701 20160731    34.6
20160801 20160831    20.4
20160901 20160930    68.6
20161001 20161031    24.8
20161101 20161130     1.0
20161201 20161231    53.0
