PRCP       018002 18980901 20161231 missing_value=99999.9 PENNALUMBA                                
19200801 19200831    48.3
19200901 19200930    44.3
19201001 19201031    22.6
19201101 19201130    37.0
19201201 19201231     7.6
19210101 19210131     0.0
19210201 19210228    45.7
19210301 19210331     1.0
19210401 19210430    31.5
19210501 19210531    57.1
19210601 19210630    84.2
19210701 19210731    17.6
19210801 19210831    27.9
19210901 19210930    13.6
19211001 19211031    21.6
19211101 19211130    17.6
19211201 19211231    13.7
19220101 19220131     8.8
19220201 19220228     0.0
19220301 19220331     6.4
19220401 19220430    72.9
19220501 19220531    27.7
19220601 19220630    60.7
19220701 19220731    88.0
19220801 19220831    12.7
19220901 19220930    17.0
19221001 19221031    12.5
19221101 19221130     9.4
19221201 19221231    41.7
19230101 19230131     0.0
19230201 19230228     4.6
19230301 19230331     0.0
19230401 19230430     1.8
19230501 19230531    26.8
19230601 19230630    50.1
19230701 19230731    44.1
19230801 19230831    10.2
19230901 19230930    18.8
19231001 19231031    19.6
19231101 19231130     0.0
19231201 19231231    35.6
19240101 19240131     0.0
19240201 19240229     7.3
19240301 19240331    19.8
19240401 19240430     2.5
19240501 19240531    23.9
19240601 19240630    50.5
19240701 19240731     0.0
19240801 19240831    27.2
19240901 19240930    24.6
19241001 19241031    30.7
19241101 19241130    21.8
19241201 19241231     0.8
19250101 19250131     8.0
19250201 19250228     0.0
19250301 19250331     0.0
19250401 19250430    39.3
19250501 19250531    46.8
19250601 19250630     0.8
19250701 19250731    27.2
19250801 19250831    11.9
19250901 19250930    14.2
19251001 19251031     3.6
19251101 19251130    11.2
19251201 19251231     5.6
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331     6.4
19260401 19260430    25.9
19260501 19260531    37.0
19260601 19260630    44.3
19260701 19260731    26.1
19260801 19260831    46.3
19260901 19260930     2.5
19261001 19261031     0.0
19261101 19261130     0.0
19261201 19261231    16.5
19270101 19270131     0.0
19270201 19270228     7.6
19270301 19270331    43.7
19270401 19270430     2.0
19270501 19270531    19.3
19270601 19270630    73.7
19270701 19270731    45.8
19270801 19270831    26.0
19270901 19270930     2.0
19271001 19271031    10.7
19271101 19271130    17.5
19271201 19271231     4.5
19280101 19280131    17.3
19280201 19280229     5.3
19280301 19280331     0.0
19280401 19280430     1.8
19280501 19280531    18.3
19280601 19280630    47.8
19280701 19280731    40.0
19280801 19280831    11.7
19280901 19280930    19.1
19281001 19281031    22.9
19281101 19281130     1.0
19281201 19281231     0.0
19290101 19290131     2.3
19290201 19290228     0.8
19290301 19290331     6.7
19290401 19290430     0.8
19290501 19290531    19.8
19290601 19290630    24.5
19290701 19290731    35.4
19290801 19290831    34.8
19290901 19290930    21.5
19291001 19291031    14.0
19291101 19291130    23.4
19291201 19291231     3.5
19300101 19300131     0.0
19300201 19300228     9.7
19300301 19300331     0.5
19300401 19300430    10.2
19300501 19300531    38.4
19300601 19300630     3.3
19300701 19300731    21.4
19300801 19300831    58.2
19300901 19300930     5.4
19301001 19301031    46.8
19301101 19301130     0.0
19301201 19301231    36.8
19310101 19310131     7.9
19310201 19310228     2.0
19310301 19310331   104.4
19310401 19310430    48.7
19310501 19310531   113.7
19310601 19310630   101.0
19310701 19310731    77.1
19310801 19310831    26.2
19310901 19310930    28.0
19311001 19311031     4.9
19311101 19311130    60.8
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    65.2
19320301 19320331     1.8
19320401 19320430    74.8
19320501 19320531    25.1
19320601 19320630    63.3
19320701 19320731    33.3
19320801 19320831    62.1
19320901 19320930    69.3
19321001 19321031    48.1
19321101 19321130     5.6
19321201 19321231    30.3
19330101 19330131     3.8
19330201 19330228     1.5
19330301 19330331    37.2
19330401 19330430    36.9
19330501 19330531    48.8
19330601 19330630    20.6
19330701 19330731    97.7
19330801 19330831    61.1
19330901 19330930    25.1
19331001 19331031    12.0
19331101 19331130    29.1
19331201 19331231     0.0
19340101 19340131     0.0
19340201 19340228    18.5
19340301 19340331    11.0
19340401 19340430    26.0
19340501 19340531     0.0
19340601 19340630    54.7
19340701 19340731    37.4
19340801 19340831    41.1
19340901 19340930    17.8
19341001 19341031    17.7
19341101 19341130    28.2
19341201 19341231     0.0
19350101 19350131     3.8
19350201 19350228     0.0
19350301 19350331    70.9
19350401 19350430    38.4
19350501 19350531    21.5
19350601 19350630    12.3
19350701 19350731    30.3
19350801 19350831    49.3
19350901 19350930    38.9
19351001 19351031    63.5
19351101 19351130    26.2
19351201 19351231     2.3
19360101 19360131     0.0
19360201 19360229     6.6
19360301 19360331     0.0
19360401 19360430    15.2
19360501 19360531    55.6
19360601 19360630    53.6
19360701 19360731    47.9
19360801 19360831     9.0
19360901 19360930     1.5
19361001 19361031    36.6
19361101 19361130    14.3
19361201 19361231    30.5
19370101 19370131     0.0
19370201 19370228     2.8
19370301 19370331     0.0
19370401 19370430     9.4
19370501 19370531    48.0
19370601 19370630    51.6
19370701 19370731    30.3
19370801 19370831    51.9
19370901 19370930    28.0
19371001 19371031     0.0
19371101 19371130    59.1
19371201 19371231    20.4
19380101 19380131     1.5
19380201 19380228    41.5
19380301 19380331     0.0
19380401 19380430    35.4
19380501 19380531    38.5
19380601 19380630    67.2
19380701 19380731    43.7
19380801 19380831    36.1
19380901 19380930     1.0
19381001 19381031     5.6
19381101 19381130     0.0
19381201 19381231     0.0
19390101 19390131     7.1
19390201 19390228     0.0
19390301 19390331    22.6
19390401 19390430     2.0
19390501 19390531    25.2
19390601 19390630    52.4
19390701 19390731    77.5
19390801 19390831    55.2
19390901 19390930     0.8
19391001 19391031    12.7
19391101 19391130     9.4
19391201 19391231     7.1
19400101 19400131    46.5
19400201 19400229     5.8
19400301 19400331    22.9
19400401 19400430    13.2
19400501 19400531    37.8
19400601 19400630     6.4
19400701 19400731    27.2
19400801 19400831     0.0
19400901 19400930     7.9
19401001 19401031    14.2
19401101 19401130     2.5
19401201 19401231     0.0
19410101 19410131     8.1
19410201 19410228    17.8
19410301 19410331    29.9
19410401 19410430    23.8
19410501 19410531     2.3
19410601 19410630     6.9
19410701 19410731    41.6
19410801 19410831    53.1
19410901 19410930    43.7
19411001 19411031     2.8
19411101 19411130    13.7
19411201 19411231     2.8
19420101 19420131    21.8
19420201 19420228     3.3
19420301 19420331     9.4
19420401 19420430     9.3
19420501 19420531    37.1
19420601 19420630    63.2
19420701 19420731    52.0
19420801 19420831    43.1
19420901 19420930    11.4
19421001 19421031    11.7
19421101 19421130    47.8
19421201 19421231    31.5
19430101 19430131     0.0
19430201 19430228    34.5
19430301 19430331     0.0
19430401 19430430    13.8
19430501 19430531     2.0
19430601 19430630    21.1
19430701 19430731    29.0
19430801 19430831    33.4
19430901 19430930     7.7
19431001 19431031    11.2
19431101 19431130     0.0
19431201 19431231     4.6
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     0.5
19440401 19440430    33.5
19440501 19440531    40.9
19440601 19440630    11.7
19440701 19440731    35.5
19440801 19440831     3.9
19440901 19440930    14.4
19441001 19441031     2.8
19441101 19441130    13.2
19441201 19441231     5.6
19450101 19450131    50.8
19450201 19450228    20.3
19450301 19450331     1.3
19450401 19450430     0.0
19450501 19450531    29.5
19450601 19450630    38.8
19450701 19450731     6.7
19450801 19450831     7.9
19450901 19450930    20.4
19451001 19451031    22.6
19451101 19451130    34.8
19451201 19451231    61.7
19460101 19460131    14.5
19460201 19460228    22.3
19460301 19460331    11.7
19460401 19460430    25.2
19460501 19460531     7.5
19460601 19460630    44.2
19460701 19460731    21.1
19460801 19460831     7.4
19460901 19460930     1.5
19461001 19461031    12.0
19461101 19461130    15.0
19461201 19461231     9.4
19470101 19470131     0.0
19470201 19470228     7.9
19470301 19470331    23.1
19470401 19470430     6.3
19470501 19470531    25.0
19470601 19470630    10.8
19470701 19470731    26.9
19470801 19470831    28.5
19470901 19470930    53.9
19471001 19471031    44.3
19471101 19471130    25.6
19471201 19471231     2.5
19480101 19480131     0.8
19480201 19480229     1.5
19480301 19480331     0.0
19480401 19480430     7.1
19480501 19480531    21.7
19480601 19480630    17.7
19480701 19480731    21.7
19480801 19480831    40.6
19480901 19480930     2.1
19481001 19481031    20.6
19481101 19481130     9.7
19481201 19481231     0.0
19490101 19490131     0.0
19490201 19490228    28.4
19490301 19490331     0.0
19490401 19490430     9.2
19490501 19490531    40.2
19490601 19490630    30.1
19490701 19490731    28.1
19490801 19490831    19.5
19490901 19490930    50.7
19491001 19491031     9.9
19491101 19491130    24.2
19491201 19491231     8.1
19500101 19500131     8.9
19500201 19500228    15.0
19500301 19500331     0.0
19500401 19500430     6.4
19500501 19500531     9.5
19500601 19500630    43.9
19500701 19500731     9.7
19500801 19500831    47.3
19500901 19500930     9.3
19501001 19501031    45.3
19501101 19501130    12.4
19501201 19501231    55.1
19510101 19510131     0.0
19510201 19510228     0.0
19510301 19510331    12.2
19510401 19510430    20.7
19510501 19510531    51.8
19510601 19510630    34.5
19510701 19510731   116.1
19510801 19510831    52.1
19510901 19510930     9.7
19511001 19511031     6.6
19511101 19511130     0.0
19511201 19511231     3.8
19520101 19520131    28.0
19520201 19520229     5.8
19520301 19520331     7.4
19520401 19520430    49.8
19520501 19520531    80.3
19520601 19520630    16.8
19520701 19520731    26.9
19520801 19520831    32.5
19520901 19520930     9.4
19521001 19521031    27.9
19521101 19521130    30.7
19521201 19521231     0.0
19530101 19530131     8.9
19530201 19530228    58.9
19530301 19530331     5.3
19530401 19530430     3.0
19530501 19530531     6.9
19530601 19530630    85.4
19530701 19530731    23.9
19530801 19530831    48.8
19530901 19530930     8.9
19531001 19531031    16.3
19531101 19531130    15.2
19531201 19531231    52.3
19540101 19540131     9.4
19540201 19540228     1.5
19540301 19540331     0.0
19540401 19540430    54.6
19540501 19540531    13.7
19540601 19540630    97.5
19540701 19540731     9.2
19540801 19540831    20.3
19540901 19540930    15.7
19541001 19541031    30.8
19541101 19541130     3.1
19541201 19541231    38.8
19550101 19550131     4.6
19550201 19550228    26.7
19550301 19550331     5.6
19550401 19550430    26.0
19550501 19550531    58.6
19550601 19550630    88.0
19550701 19550731    31.3
19550801 19550831    34.9
19550901 19550930     8.1
19551001 19551031    14.5
19551101 19551130    24.7
19551201 19551231     8.4
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331     0.0
19560401 19560430    55.1
19560501 19560531    92.4
19560601 19560630    52.0
19560701 19560731    58.1
19560801 19560831    35.0
19560901 19560930    19.3
19561001 19561031    63.0
19561101 19561130     6.8
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228     4.6
19570301 19570331     0.0
19570401 19570430     5.1
19570501 19570531     6.9
19570601 19570630    47.3
19570701 19570731    60.6
19570801 19570831    18.8
19570901 19570930     8.9
19571001 19571031     3.8
19571101 19571130     0.3
19571201 19571231    78.8
19580101 19580131     1.3
19580201 19580228     0.0
19580301 19580331    41.9
19580401 19580430     9.1
19580501 19580531    39.5
19580601 19580630     9.4
19580701 19580731    56.1
19580801 19580831    66.8
19580901 19580930    53.8
19581001 19581031    29.6
19581101 19581130    15.8
19581201 19581231     7.6
19590101 19590131     0.0
19590201 19590228    11.5
19590301 19590331     0.5
19590401 19590430    18.1
19590501 19590531    22.9
19590601 19590630    12.5
19590701 19590731    50.6
19590801 19590831     7.1
19590901 19590930    24.9
19591001 19591031    21.4
19591101 19591130    16.3
19591201 19591231    15.8
19600101 19600131    34.0
19600201 19600229    41.6
19600301 19600331     2.1
19600401 19600430    61.6
19600501 19600531    33.9
19600601 19600630    22.9
19600701 19600731    27.0
19600801 19600831    27.5
19600901 19600930    77.3
19601001 19601031     2.0
19601101 19601130    11.5
19601201 19601231     1.8
19610101 19610131     0.0
19610201 19610228     7.4
19610301 19610331     4.6
19610401 19610430    23.0
19610501 19610531     6.8
19610601 19610630    28.6
19610701 19610731    29.4
19610801 19610831    34.9
19610901 19610930     6.7
19611001 19611031     4.0
19611101 19611130     9.9
19611201 19611231     7.7
19620101 19620131     0.8
19620201 19620228     2.3
19620301 19620331    13.7
19620401 19620430     1.3
19620501 19620531    49.6
19620601 19620630     6.4
19620701 19620731    23.2
19620801 19620831    33.5
19620901 19620930    29.0
19621001 19621031    60.1
19621101 19621130     4.8
19621201 19621231     2.3
19630101 19630131     5.1
19630201 19630228     7.9
19630301 19630331     1.0
19630401 19630430    42.4
19630501 19630531    40.7
19630601 19630630    46.3
19630701 19630731    50.1
19630801 19630831    20.6
19630901 19630930     5.9
19631001 19631031     1.3
19631101 19631130     1.8
19631201 19631231     1.8
19640101 19640131     2.8
19640201 19640229    12.9
19640301 19640331     1.3
19640401 19640430    32.9
19640501 19640531    44.5
19640601 19640630    28.0
19640701 19640731    47.3
19640801 19640831    19.9
19640901 19640930    54.1
19641001 19641031    21.3
19641101 19641130    43.1
19641201 19641231     0.0
19650101 19650131     0.3
19650201 19650228     0.0
19650301 19650331     0.8
19650401 19650430     3.6
19650501 19650531    27.2
19650601 19650630    16.8
19650701 19650731    24.6
19650801 19650831    40.2
19650901 19650930    23.1
19651001 19651031     5.8
19651101 19651130    12.7
19651201 19651231    12.2
19660101 19660131     0.0
19660201 19660228    18.5
19660301 19660331    32.3
19660401 19660430     7.6
19660501 19660531    76.9
19660601 19660630    40.2
19660701 19660731    43.1
19660801 19660831    38.5
19660901 19660930    37.3
19661001 19661031    61.8
19661101 19661130    15.2
19661201 19661231    77.7
19670101 19670131    38.9
19670201 19670228    11.7
19670301 19670331     0.0
19670401 19670430     1.0
19670501 19670531     4.8
19670601 19670630     9.1
19670701 19670731    59.8
19670801 19670831    31.8
19670901 19670930     8.1
19671001 19671031     7.2
19671101 19671130     4.0
19671201 19671231     0.0
19680101 19680131    15.5
19680201 19680229     6.6
19680301 19680331   117.7
19680401 19680430    65.1
19680501 19680531    52.8
19680601 19680630    81.2
19680701 19680731    51.9
19680801 19680831    70.7
19680901 19680930    24.1
19681001 19681031    13.3
19681101 19681130    15.8
19681201 19681231    35.8
19690101 19690131    21.5
19690201 19690228    24.9
19690301 19690331    65.5
19690401 19690430    13.9
19690501 19690531    90.7
19690601 19690630    55.7
19690701 19690731    35.4
19690801 19690831    31.4
19690901 19690930    48.1
19691001 19691031     2.5
19691101 19691130     3.8
19691201 19691231     5.0
19700101 19700131     0.8
19700201 19700228     0.0
19700301 19700331     0.0
19700401 19700430    15.1
19700501 19700531    43.2
19700601 19700630    16.3
19700701 19700731    16.0
19700801 19700831    67.7
19700901 19700930    59.5
19701001 19701031     8.6
19701101 19701130     8.9
19701201 19701231     0.0
19710101 19710131     2.1
19710201 19710228     1.0
19710301 19710331    37.8
19710401 19710430    75.4
19710501 19710531    31.6
19710601 19710630    30.1
19710701 19710731    40.1
19710801 19710831    50.0
19710901 19710930    13.2
19711001 19711031     3.0
19711101 19711130    63.3
19711201 19711231    27.2
19720101 19720131     6.4
19720201 19720229     3.8
19720301 19720331     0.0
19720401 19720430     6.9
19720501 19720531     7.1
19720601 19720630    25.5
19720701 19720731    38.5
19720801 19720831    83.6
19720901 19720930     5.6
19721001 19721031    19.8
19721101 19721130     6.4
19721201 19721231     1.0
19730101 19730131     8.7
19730201 19730228     1.1
19730301 19730331    67.7
19730401 19730430    17.6
19730501 19730531    27.6
19730601 19730630    33.9
19730701 19730731    41.4
19730801 19730831    96.5
19730901 19730930    30.3
19731001 19731031    22.3
19731101 19731130    20.2
19731201 19731231    36.8
19740101 19740131     0.0
19740201 19740228     4.6
19740301 19740331     3.0
19740401 19740430    43.6
19740501 19740531    45.0
19740601 19740630    21.8
19740701 19740731    47.2
19740801 19740831    19.6
19740901 19740930    58.4
19741001 19741031   120.2
19741101 19741130    13.4
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228    92.8
19750301 19750331    22.2
19750401 19750430    26.6
19750501 19750531    41.8
19750601 19750630    27.0
19750701 19750731    25.8
19750801 19750831    20.8
19750901 19750930    32.0
