PRCP       084030 18830301 20111031 missing_value=99999.9 ORBOST (COMPARISON)                       
19780801 19780831    40.4
19780901 19780930    39.0
19781001 19781031    95.2
19781101 19781130    69.7
19781201 19781231   149.2
19790101 19790131    17.6
19790201 19790228    12.6
19790301 19790331   129.2
19790401 19790430    38.2
19790501 19790531    97.8
19790601 19790630    15.3
19790701 19790731    11.8
19790801 19790831    64.9
19790901 19790930    46.8
19791001 19791031    41.2
19791101 19791130    31.5
19791201 19791231    12.4
19800101 19800131   167.4
19800201 19800229     4.3
19800301 19800331    32.6
19800401 19800430    21.4
19800501 19800531    54.6
19800601 19800630    51.3
19800701 19800731    49.4
19800801 19800831    23.4
19800901 19800930    42.6
19801001 19801031    90.8
19801101 19801130    75.6
19801201 19801231   175.0
19810101 19810131    74.0
19810201 19810228    59.4
19810301 19810331    65.4
19810401 19810430     9.9
19810501 19810531   311.1
19810601 19810630    93.0
19810701 19810731    63.2
19810801 19810831    54.0
19810901 19810930    39.0
19811001 19811031    39.6
19811101 19811130    78.8
19811201 19811231    84.6
19820101 19820131   100.4
19820201 19820228     5.4
19820301 19820331   181.3
19820401 19820430    33.9
19820501 19820531    24.2
19820601 19820630    92.7
19820701 19820731    96.6
19820801 19820831    12.7
19820901 19820930    56.3
19821001 19821031    56.5
19821101 19821130    11.8
19821201 19821231    43.5
19830101 19830131    45.8
19830201 19830228     5.2
19830301 19830331    45.6
19830401 19830430   201.4
19830501 19830531   216.2
19830601 19830630    28.2
19830701 19830731    57.7
19830801 19830831    72.4
19830901 19830930    72.4
19831001 19831031    82.8
19831101 19831130    38.1
19831201 19831231    53.4
19840101 19840131   116.0
19840201 19840229    55.6
19840301 19840331    43.1
19840401 19840430    62.5
19840501 19840531    73.0
19840601 19840630    70.5
19840701 19840731   248.4
19840801 19840831    53.6
19840901 19840930   137.9
19841001 19841031    26.6
19841101 19841130    20.6
19841201 19841231    67.2
19850101 19850131    39.0
19850201 19850228     8.0
19850301 19850331    57.4
19850401 19850430    83.0
19850501 19850531    24.4
19850601 19850630   120.6
19850701 19850731    63.8
19850801 19850831    73.4
19850901 19850930    90.4
19851001 19851031   172.4
19851101 19851130   140.8
19851201 19851231   201.6
19860101 19860131    81.0
19860201 19860228    11.6
19860301 19860331    24.2
19860401 19860430    36.2
19860501 19860531    30.6
19860601 19860630    11.2
19860701 19860731    56.4
19860801 19860831    28.0
19860901 19860930    56.4
19861001 19861031    73.6
19861101 19861130   100.6
19861201 19861231    48.0
19870101 19870131    23.6
19870201 19870228    56.0
19870301 19870331    74.2
19870401 19870430    35.4
19870501 19870531    62.2
19870601 19870630    40.0
19870701 19870731   126.6
19870801 19870831    57.8
19870901 19870930    62.0
19871001 19871031    48.6
19871101 19871130    47.0
19871201 19871231    93.4
19880101 19880131    48.8
19880201 19880229    20.2
19880301 19880331    37.2
19880401 19880430   131.7
19880501 19880531    84.0
19880601 19880630    26.2
19880701 19880731    28.4
19880801 19880831    43.4
19880901 19880930   117.8
19881001 19881031    34.4
19881101 19881130   308.4
19881201 19881231   111.4
19890101 19890131    26.6
19890201 19890228    17.0
19890301 19890331    78.0
19890401 19890430   140.0
19890501 19890531    48.8
19890601 19890630   123.8
19890701 19890731   145.6
19890801 19890831    66.0
19890901 19890930    83.6
19891001 19891031    95.8
19891101 19891130    52.6
19891201 19891231    63.8
19900101 19900131    13.6
19900201 19900228    83.2
19900301 19900331    47.0
19900401 19900430   219.6
19900501 19900531    37.0
19900601 19900630    16.0
19900701 19900731    36.2
19900801 19900831    66.0
19900901 19900930    90.8
19901001 19901031   142.6
19901101 19901130    54.6
19901201 19901231    62.2
19910101 19910131   106.8
19910201 19910228    49.0
19910301 19910331    71.2
19910401 19910430    30.8
19910501 19910531    24.2
19910601 19910630   135.8
19910701 19910731   127.4
19910801 19910831    54.2
19910901 19910930    88.8
19911001 19911031    22.8
19911101 19911130    24.8
19911201 19911231    88.4
19920101 19920131    80.2
19920201 19920229    85.6
19920301 19920331    36.0
19920401 19920430    54.2
19920501 19920531    32.2
19920601 19920630   107.2
19920701 19920731    46.4
19920801 19920831    55.2
19920901 19920930   152.8
19921001 19921031    78.8
19921101 19921130   188.6
19921201 19921231   106.4
19930101 19930131    63.8
19930201 19930228    56.6
19930301 19930331   128.4
19930401 19930430    16.6
19930501 19930531    26.6
19930601 19930630    44.4
19930701 19930731    59.9
19930801 19930831    45.2
19930901 19930930   215.0
19931001 19931031   122.8
19931101 19931130    55.4
19931201 19931231   139.8
19940101 19940131    45.0
19940201 19940228   186.0
19940301 19940331    64.2
19940401 19940430    89.4
19940501 19940531    40.6
19940601 19940630    60.6
19940701 19940731    14.2
19940801 19940831    11.8
19940901 19940930    57.2
19941001 19941031    45.0
19941101 19941130    87.4
19941201 19941231    52.4
19950101 19950131   127.6
19950201 19950228    45.6
19950301 19950331    55.4
19950401 19950430    44.0
19950501 19950531    73.2
19950601 19950630    78.2
19950701 19950731    37.8
19950801 19950831    29.6
19950901 19950930    79.4
19951001 19951031   165.8
19951101 19951130    82.4
19951201 19951231   199.1
19960101 19960131    77.4
19960201 19960229    80.6
19960301 19960331    21.2
19960401 19960430    96.8
19960501 19960531    57.4
19960601 19960630    34.0
19960701 19960731   152.8
19960801 19960831    43.0
19960901 19960930    65.2
19961001 19961031    55.8
19961101 19961130   128.6
19961201 19961231    56.6
19970101 19970131    57.0
19970201 19970228    20.8
19970301 19970331    67.8
19970401 19970430    40.8
19970501 19970531    66.6
19970601 19970630    88.6
19970701 19970731    29.8
19970801 19970831    17.8
19970901 19970930    51.8
19971001 19971031    71.4
19971101 19971130    51.2
19971201 19971231    86.6
19980101 19980131    23.8
19980201 19980228    34.2
19980301 19980331    57.4
19980401 19980430    49.2
19980501 19980531    28.2
19980601 19980630   425.0
19980701 19980731    61.2
19980801 19980831    71.8
19980901 19980930    31.4
19981001 19981031    63.6
19981101 19981130    85.4
19981201 19981231    72.4
19990101 19990131    83.2
19990201 19990228    58.0
19990301 19990331    68.0
19990401 19990430   100.8
19990501 19990531    23.8
19990601 19990630    60.2
19990701 19990731    36.2
19990801 19990831    36.6
19990901 19990930    37.0
19991001 19991031    65.2
19991101 19991130    42.2
19991201 19991231    88.6
20000101 20000131    85.2
20000201 20000229    37.8
20000301 20000331    97.4
20000401 20000430    66.0
20000501 20000531   115.6
20000601 20000630    84.0
20000701 20000731    44.0
20000801 20000831    87.2
20000901 20000930    83.0
20001001 20001031    58.2
20001101 20001130    72.4
20001201 20001231    30.6
20010101 20010131    59.1
20010201 20010228    55.8
20010301 20010331    81.0
20010401 20010430   109.0
20010501 20010531    64.0
20010601 20010630    57.2
20010701 20010731    75.6
20010801 20010831   127.4
20010901 20010930    45.5
20011001 20011031   111.2
20011101 20011130    96.1
20011201 20011231    65.8
20020101 20020131    44.4
20020201 20020228   186.4
20020301 20020331    34.4
20020401 20020430   165.8
20020501 20020531    45.2
20020601 20020630    86.6
20020701 20020731    25.0
20020801 20020831    10.4
20020901 20020930    59.4
20021001 20021031    28.0
20021101 20021130    63.8
20021201 20021231    57.6
20030101 20030131    18.2
20030201 20030228    19.4
20030301 20030331    63.8
20030401 20030430    78.4
20030501 20030531    38.6
20030601 20030630    14.8
20030701 20030731    24.4
20030801 20030831    54.8
20030901 20030930    43.4
20031001 20031031    84.6
20031101 20031130    65.4
20031201 20031231    52.8
20040101 20040131    46.4
20040201 20040229    38.0
20040301 20040331     9.4
20040401 20040430    99.4
20040501 20040531    91.0
20040601 20040630    24.0
20040701 20040731    65.4
20040801 20040831    41.4
20040901 20040930    65.0
20041001 20041031    54.4
20041101 20041130    81.8
20041201 20041231    95.6
20050101 20050131    43.4
20050201 20050228   120.6
20050301 20050331    98.0
20050401 20050430    40.2
20050501 20050531    27.0
20050601 20050630    47.2
20050701 20050731   122.8
20050801 20050831    59.6
20050901 20050930   109.6
20051001 20051031    70.8
20051101 20051130   102.2
20051201 20051231    48.4
20060101 20060131    81.0
20060201 20060228    22.2
20060301 20060331    20.8
20060401 20060430    56.4
20060501 20060531   128.2
20060601 20060630    89.0
20060701 20060731    71.2
20060801 20060831    46.8
20060901 20060930    92.8
20061001 20061031    21.2
20061101 20061130    36.6
20061201 20061231    14.2
20070101 20070131     4.8
20070201 20070228   129.9
20070301 20070331    33.8
20070401 20070430    93.9
20070501 20070531    11.3
20070601 20070630   292.3
20070701 20070731    90.7
20070801 20070831    38.9
20070901 20070930    29.2
20071001 20071031    30.0
20071101 20071130    92.4
20071201 20071231    87.4
20080101 20080131    40.6
20080201 20080229   101.0
20080301 20080331    28.4
20080401 20080430    22.1
20080501 20080531    11.0
20080601 20080630    24.0
20080701 20080731    48.0
20080801 20080831    61.6
20080901 20080930    29.8
20081001 20081031    33.2
20081101 20081130   174.2
20081201 20081231   117.0
20090101 20090131    17.4
20090201 20090228    20.8
20090301 20090331    22.4
20090401 20090430    44.2
20090501 20090531    33.8
20090601 20090630    45.2
20090701 20090731    39.8
20090801 20090831    37.2
20090901 20090930    93.2
20091001 20091031   100.4
20091101 20091130    52.2
20091201 20091231    52.8
20100101 20100131    50.0
20100201 20100228   133.0
20100301 20100331    47.2
20100401 20100430    59.0
20100501 20100531    73.9
20100601 20100630    42.7
20100701 20100731    20.4
20100801 20100831   102.6
20100901 20100930    37.2
20101001 20101031   101.4
20101101 20101130    40.8
20101201 20101231   120.0
20110101 20110131    30.2
20110201 20110228    96.0
20110301 20110331    88.1
20110401 20110430    76.2
20110501 20110531   116.9
20110601 20110630   106.2
20110701 20110731   139.0
20110801 20110831   113.8
20110901 20110930    40.0
20111001 20111031   102.2
