PRCP       084030 18830301 20111031 missing_value=99999.9 ORBOST (COMPARISON)                       
19050201 19050228    71.0
19050301 19050331     1.5
19050401 19050430    11.0
19050501 19050531    93.4
19050601 19050630    51.8
19050701 19050731    88.8
19050801 19050831    73.2
19050901 19050930    64.6
19051001 19051031   286.9
19051101 19051130    21.0
19051201 19051231   119.1
19060101 19060131     3.6
19060201 19060228     3.3
19060301 19060331   254.0
19060401 19060430    23.4
19060501 19060531    29.7
19060601 19060630    36.0
19060701 19060731    24.5
19060801 19060831    72.9
19060901 19060930    24.4
19061001 19061031   122.0
19061101 19061130    86.3
19061201 19061231    82.8
19070101 19070131    26.9
19070201 19070228    16.7
19070301 19070331    29.8
19070401 19070430    48.0
19070501 19070531    39.9
19070601 19070630    92.5
19070701 19070731    15.8
19070801 19070831    29.2
19070901 19070930    23.4
19071001 19071031    41.9
19071101 19071130    51.8
19071201 19071231    54.6
19080101 19080131    40.2
19080201 19080229    48.0
19080301 19080331    26.7
19080401 19080430    31.0
19080501 19080531    15.0
19080601 19080630    82.4
19080701 19080731    34.5
19080801 19080831    50.0
19080901 19080930   245.2
19081001 19081031   130.1
19081101 19081130    36.0
19081201 19081231    19.4
19090101 19090131    64.6
19090201 19090228   123.9
19090301 19090331    61.4
19090401 19090430    33.4
19090501 19090531    24.5
19090601 19090630   184.2
19090701 19090731    90.6
19090801 19090831    53.2
19090901 19090930    55.7
19091001 19091031    52.4
19091101 19091130     9.9
19091201 19091231    58.1
19100101 19100131   110.9
19100201 19100228    16.5
19100301 19100331    27.6
19100401 19100430     3.1
19100501 19100531    20.0
19100601 19100630    98.9
19100701 19100731    83.4
19100801 19100831    13.1
19100901 19100930    92.4
19101001 19101031   105.0
19101101 19101130    75.0
19101201 19101231    63.4
19110101 19110131   198.6
19110201 19110228   101.3
19110301 19110331   179.4
19110401 19110430    17.8
19110501 19110531    98.0
19110601 19110630   139.8
19110701 19110731    81.5
19110801 19110831    29.6
19110901 19110930   102.7
19111001 19111031    28.1
19111101 19111130    33.6
19111201 19111231    88.9
19120101 19120131    15.8
19120201 19120229    38.8
19120301 19120331    28.0
19120401 19120430    64.6
19120501 19120531    93.2
19120601 19120630    47.0
19120701 19120731   109.7
19120801 19120831    35.8
19120901 19120930    48.7
19121001 19121031    34.4
19121101 19121130    64.0
19121201 19121231    50.6
19130101 19130131     9.6
19130201 19130228    24.2
19130301 19130331   231.9
19130401 19130430    27.7
19130501 19130531   118.8
19130601 19130630   126.7
19130701 19130731    24.8
19130801 19130831    38.9
19130901 19130930    81.9
19131001 19131031   101.5
19131101 19131130    57.8
19131201 19131231     3.8
19140101 19140131    47.5
19140201 19140228     0.0
19140301 19140331    15.4
19140401 19140430    52.8
19140501 19140531   104.5
19140601 19140630    43.2
19140701 19140731   139.1
19140801 19140831    29.6
19140901 19140930    52.6
19141001 19141031    14.7
19141101 19141130    66.6
19141201 19141231   149.5
19150101 19150131   148.6
19150201 19150228    20.2
19150301 19150331    38.6
19150401 19150430    12.8
19150501 19150531    60.7
19150601 19150630    34.1
19150701 19150731    11.6
19150801 19150831    39.5
19150901 19150930    45.2
19151001 19151031    88.4
19151101 19151130    35.4
19151201 19151231    30.0
19160101 19160131    65.6
19160201 19160229   117.9
19160301 19160331    95.2
19160401 19160430    15.4
19160501 19160531    30.5
19160601 19160630    43.8
19160701 19160731   112.0
19160801 19160831    46.8
19160901 19160930   147.7
19161001 19161031    42.0
19161101 19161130   110.5
19161201 19161231    29.4
19170101 19170131    40.6
19170201 19170228    61.2
19170301 19170331    42.9
19170401 19170430    95.7
19170501 19170531    33.8
19170601 19170630    33.7
19170701 19170731    35.3
19170801 19170831    42.3
19170901 19170930    83.5
19171001 19171031    72.2
19171101 19171130    81.8
19171201 19171231    77.7
19180101 19180131    70.4
19180201 19180228    57.8
19180301 19180331    93.7
19180401 19180430    51.3
19180501 19180531    34.3
19180601 19180630    78.3
19180701 19180731   134.9
19180801 19180831    77.5
