PRCP       047029 18821101 20180131 missing_value=99999.9 POONCARIE TELECENTRE                      
19041001 19041031    26.2
19041101 19041130     9.9
19041201 19041231    22.4
19050101 19050131    23.1
19050201 19050228    12.9
19050301 19050331     4.4
19050401 19050430    79.4
19050501 19050531    31.8
19050601 19050630    40.0
19050701 19050731    27.5
19050801 19050831     6.4
19050901 19050930    10.2
19051001 19051031    25.4
19051101 19051130     0.0
19051201 19051231     2.8
19060101 19060131    10.9
19060201 19060228    89.2
19060301 19060331    48.9
19060401 19060430     2.3
19060501 19060531    62.2
19060601 19060630    34.0
19060701 19060731    22.6
19060801 19060831    47.1
19060901 19060930    48.0
19061001 19061031    14.2
19061101 19061130    27.4
19061201 19061231    10.4
19070101 19070131    11.9
19070201 19070228     0.0
19070301 19070331    12.9
19070401 19070430    11.7
19070501 19070531    25.1
19070601 19070630    43.2
19070701 19070731     8.8
19070801 19070831    36.5
19070901 19070930    10.0
19071001 19071031     3.3
19071101 19071130    29.0
19071201 19071231    62.0
19080101 19080131     0.0
19080201 19080229    41.9
19080301 19080331     6.2
19080401 19080430     1.0
19080501 19080531    15.3
19080601 19080630    30.8
19080701 19080731     2.8
19080801 19080831    32.8
19080901 19080930    35.8
19081001 19081031    34.8
19081101 19081130     2.3
19081201 19081231     9.9
19090101 19090131     0.0
19090201 19090228     4.3
19090301 19090331    25.1
19090401 19090430     8.1
19090501 19090531    40.1
19090601 19090630    62.6
19090701 19090731     8.0
19090801 19090831    24.6
19090901 19090930    14.7
19091001 19091031     8.9
19091101 19091130     1.8
19091201 19091231     1.0
19100101 19100131    30.0
19100201 19100228    29.2
19100301 19100331    54.4
19100401 19100430     0.0
19100501 19100531    26.8
19100601 19100630    58.7
19100701 19100731    11.2
19100801 19100831    20.0
19100901 19100930    31.6
19101001 19101031     2.7
19101101 19101130    39.1
19101201 19101231     2.0
19110101 19110131    29.3
19110201 19110228   113.5
19110301 19110331    15.7
19110401 19110430     0.0
19110501 19110531    37.5
19110601 19110630    19.2
19110701 19110731    19.3
19110801 19110831    14.5
19110901 19110930    27.5
19111001 19111031    18.4
19111101 19111130     5.6
19111201 19111231    52.1
19120101 19120131     1.5
19120201 19120229    14.7
19120301 19120331     3.8
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    92.9
19120701 19120731     8.6
19120801 19120831    25.8
19120901 19120930    11.5
19121001 19121031    11.5
19121101 19121130    85.1
19121201 19121231    17.0
19130101 19130131     0.3
19130201 19130228    26.2
19130301 19130331    30.8
19130401 19130430     5.6
19130501 19130531    17.3
19130601 19130630     0.8
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930    47.2
19131001 19131031    78.9
19131101 19131130    16.3
19131201 19131231     6.1
19140101 19140131    25.7
19140201 19140228     0.0
19140301 19140331    26.0
19140401 19140430    34.6
19140501 19140531     0.8
19140601 19140630     1.8
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     2.6
19141001 19141031    21.4
19141101 19141130    43.6
19141201 19141231    30.4
19150101 19150131    10.6
19150201 19150228     8.4
19150301 19150331     0.0
19150401 19150430     7.4
19150501 19150531    35.8
19150601 19150630    37.3
19150701 19150731    18.8
19150801 19150831    19.1
19150901 19150930    47.4
19151001 19151031    20.2
19151101 19151130     0.0
19151201 19151231     1.8
19160101 19160131    21.0
19160201 19160229     1.3
19160301 19160331     0.0
19160401 19160430     0.0
19160501 19160531    14.5
19160601 19160630    33.9
19160701 19160731    40.4
19160801 19160831    28.0
19160901 19160930    98.8
19161001 19161031    35.0
19161101 19161130    52.5
19161201 19161231     9.4
19170101 19170131    76.8
19170201 19170228    41.5
19170301 19170331     7.6
19170401 19170430     0.0
19170501 19170531    17.5
19170601 19170630    30.7
19170701 19170731    71.7
19170801 19170831    55.4
19170901 19170930    30.4
19171001 19171031    56.4
19171101 19171130    99.1
19171201 19171231     3.1
19180101 19180131    21.7
19180201 19180228     0.0
19180301 19180331    31.8
19180401 19180430    25.2
19180501 19180531    87.6
19180601 19180630    18.0
19180701 19180731    12.2
19180801 19180831    33.4
19180901 19180930     5.5
19181001 19181031    22.1
19181101 19181130     0.8
19181201 19181231     0.0
19190101 19190131     7.1
19190201 19190228    26.5
19190301 19190331     2.3
19190401 19190430    30.5
19190501 19190531    55.7
19190601 19190630     4.9
19190701 19190731     1.0
19190801 19190831     6.1
19190901 19190930     2.5
19191001 19191031     2.5
19191101 19191130     6.6
19191201 19191231    30.5
19200101 19200131    14.2
19200201 19200229     0.0
19200301 19200331     0.0
19200401 19200430    22.2
19200501 19200531    13.2
19200601 19200630    17.4
19200701 19200731    21.9
19200801 19200831    45.0
19200901 19200930    61.2
19201001 19201031    57.4
19201101 19201130    46.6
19201201 19201231    17.8
19210101 19210131     2.5
19210201 19210228    87.1
19210301 19210331    45.2
19210401 19210430    24.2
19210501 19210531    77.5
19210601 19210630   118.1
19210701 19210731     5.6
19210801 19210831    12.7
19210901 19210930    38.3
19211001 19211031     5.1
19211101 19211130     0.0
19211201 19211231     2.4
19220101 19220131     6.6
19220201 19220228    12.7
19220301 19220331     0.0
19220401 19220430     7.7
19220501 19220531    28.0
19220601 19220630    28.0
19220701 19220731    35.5
19220801 19220831    20.4
19220901 19220930     3.8
19221001 19221031    13.9
19221101 19221130     0.0
19221201 19221231    35.1
19230101 19230131     2.8
19230201 19230228     0.0
19230301 19230331     1.3
19230401 19230430     3.0
19230501 19230531    32.0
19230601 19230630   130.9
19230701 19230731    50.1
19230801 19230831     9.3
19230901 19230930     7.2
19231001 19231031    19.5
19231101 19231130     6.3
19231201 19231231    47.3
19240101 19240131    31.0
19240201 19240229     6.8
19240301 19240331    14.0
19240401 19240430     9.2
19240501 19240531     6.9
19240601 19240630    30.2
19240701 19240731     5.3
19240801 19240831    39.8
19240901 19240930    32.3
19241001 19241031    19.8
19241101 19241130    64.4
19241201 19241231    13.2
19250101 19250131    18.8
19250201 19250228    71.9
19250301 19250331    10.7
19250401 19250430     2.3
19250501 19250531    55.7
19250601 19250630     6.9
19250701 19250731    17.5
19250801 19250831    20.9
19250901 19250930    14.4
19251001 19251031     1.3
19251101 19251130     4.3
19251201 19251231     0.0
19260101 19260131     5.8
19260201 19260228     0.3
19260301 19260331    74.5
19260401 19260430    28.7
19260501 19260531    63.2
19260601 19260630    40.9
19260701 19260731    15.2
19260801 19260831    39.4
19260901 19260930    22.4
19261001 19261031     5.3
19261101 19261130     4.6
19261201 19261231    13.8
19270101 19270131     3.3
19270201 19270228     5.9
19270301 19270331     4.1
19270401 19270430     0.0
19270501 19270531     5.3
19270601 19270630    11.9
19270701 19270731    27.3
19270801 19270831     9.0
19270901 19270930    10.0
19271001 19271031    28.4
19271101 19271130    14.7
19271201 19271231     6.4
19280101 19280131     4.5
19280201 19280229    40.4
19280301 19280331    23.6
19280401 19280430    12.7
19280501 19280531     1.8
19280601 19280630    24.4
19280701 19280731    22.0
19280801 19280831     3.6
19280901 19280930     9.2
19281001 19281031    10.7
19281101 19281130     0.0
19281201 19281231    12.1
19290101 19290131     2.3
19290201 19290228     7.9
19290301 19290331    10.4
19290401 19290430    15.7
19290501 19290531     1.5
19290601 19290630     2.6
19290701 19290731     6.6
19290801 19290831    12.4
19290901 19290930    10.5
19291001 19291031     7.9
19291101 19291130     9.4
19291201 19291231    74.2
