PRCP       018001 19070801 20180131 missing_value=99999.9 ARNO BAY                                  
19290701 19290731    25.1
19290801 19290831    42.6
19290901 19290930    35.9
19291001 19291031    11.0
19291101 19291130    23.6
19291201 19291231    66.8
19300101 19300131     0.0
19300201 19300228    14.7
19300301 19300331     1.8
19300401 19300430    38.0
19300501 19300531    11.0
19300601 19300630    19.0
19300701 19300731    51.1
19300801 19300831    61.1
19300901 19300930    16.1
19301001 19301031    54.1
19301101 19301130     9.4
19301201 19301231     7.7
19310101 19310131    17.7
19310201 19310228     2.4
19310301 19310331    21.3
19310401 19310430    24.3
19310501 19310531    39.1
19310601 19310630    50.2
19310701 19310731    64.3
19310801 19310831    35.1
19310901 19310930    48.6
19311001 19311031    19.4
19311101 19311130     7.7
19311201 19311231     9.1
19320101 19320131     3.9
19320201 19320229    73.4
19320301 19320331     5.1
19320401 19320430   109.6
19320501 19320531    39.3
19320601 19320630    33.7
19320701 19320731    34.3
19320801 19320831    52.7
19320901 19320930    33.0
19321001 19321031    36.0
19321101 19321130     6.7
19321201 19321231     9.3
19330101 19330131    10.7
19330201 19330228     0.0
19330301 19330331    15.0
19330401 19330430    14.0
19330501 19330531    60.4
19330601 19330630    41.2
19330701 19330731    54.4
19330801 19330831    52.0
19330901 19330930    42.2
19331001 19331031    15.4
19331101 19331130    22.9
19331201 19331231     9.5
19340101 19340131     2.1
19340201 19340228    14.3
19340301 19340331    25.4
19340401 19340430    31.1
19340501 19340531    17.6
19340601 19340630    46.7
19340701 19340731    15.5
19340801 19340831    52.8
19340901 19340930    65.1
19341001 19341031    39.3
19341101 19341130    49.7
19341201 19341231     4.6
19350101 19350131    11.1
19350201 19350228     1.7
19350301 19350331    31.9
19350401 19350430    70.9
19350501 19350531    26.9
19350601 19350630    20.9
19350701 19350731    42.3
19350801 19350831    40.0
19350901 19350930    27.5
19351001 19351031    90.6
19351101 19351130    17.6
19351201 19351231    16.0
19360101 19360131    18.7
19360201 19360229    17.6
19360301 19360331     1.3
19360401 19360430    12.9
19360501 19360531     2.6
19360601 19360630    34.5
19360701 19360731    44.6
19360801 19360831    24.8
19360901 19360930     8.4
19361001 19361031    44.9
19361101 19361130    14.1
19361201 19361231    29.5
19370101 19370131    23.5
19370201 19370228    28.0
19370301 19370331     0.3
19370401 19370430    13.7
19370501 19370531    26.5
19370601 19370630    46.9
19370701 19370731    19.6
19370801 19370831    29.1
19370901 19370930    21.3
19371001 19371031    11.7
19371101 19371130    45.2
19371201 19371231    38.0
19380101 19380131     5.8
19380201 19380228    63.1
19380301 19380331     7.9
19380401 19380430    32.0
19380501 19380531    10.0
19380601 19380630    27.2
19380701 19380731    31.0
19380801 19380831    63.6
19380901 19380930     9.7
19381001 19381031     7.2
19381101 19381130     5.9
19381201 19381231    19.9
19390101 19390131    42.9
19390201 19390228    22.7
19390301 19390331     5.4
19390401 19390430     7.7
19390501 19390531    13.9
19390601 19390630    84.8
19390701 19390731    24.8
19390801 19390831    88.0
19390901 19390930     8.1
19391001 19391031    18.9
19391101 19391130    73.9
19391201 19391231     2.7
19400101 19400131    23.5
19400201 19400229     6.2
19400301 19400331    11.5
19400401 19400430    19.3
19400501 19400531    43.1
19400601 19400630    13.6
19400701 19400731    69.6
19400801 19400831    23.2
19400901 19400930    11.2
19401001 19401031    23.7
19401101 19401130    24.1
19401201 19401231     4.8
19410101 19410131    42.5
19410201 19410228     3.6
19410301 19410331    39.4
19410401 19410430     8.6
19410501 19410531    16.3
19410601 19410630    30.8
19410701 19410731    34.9
19410801 19410831    32.0
19410901 19410930    45.2
19411001 19411031    36.6
19411101 19411130    18.6
19411201 19411231     3.5
19420101 19420131    15.4
19420201 19420228     7.6
19420301 19420331     9.2
19420401 19420430    27.0
19420501 19420531    48.3
19420601 19420630    78.1
19420701 19420731    39.9
19420801 19420831    44.4
19420901 19420930    48.2
19421001 19421031    13.5
19421101 19421130    21.9
19421201 19421231    23.2
19430101 19430131    18.0
19430201 19430228    29.8
19430301 19430331     1.4
19430401 19430430    12.0
19430501 19430531     9.1
19430601 19430630    39.4
19430701 19430731    35.1
19430801 19430831    30.0
19430901 19430930    28.6
19431001 19431031    40.3
19431101 19431130     6.2
19431201 19431231     5.4
19440101 19440131     0.8
19440201 19440229    15.5
19440301 19440331     3.9
19440401 19440430    72.4
19440501 19440531    39.4
19440601 19440630    15.4
19440701 19440731    31.6
19440801 19440831     6.2
19440901 19440930    14.9
19441001 19441031    25.5
19441101 19441130    15.5
19441201 19441231    14.7
19450101 19450131    10.1
19450201 19450228    28.7
19450301 19450331     2.5
19450401 19450430     7.4
19450501 19450531    22.6
19450601 19450630    44.4
19450701 19450731    20.2
19450801 19450831    41.3
19450901 19450930    52.6
19451001 19451031    46.6
19451101 19451130    34.0
19451201 19451231    57.3
19460101 19460131    26.7
19460201 19460228   147.4
19460301 19460331    21.1
19460401 19460430    21.6
19460501 19460531    53.1
19460601 19460630    32.7
19460701 19460731    55.9
19460801 19460831    20.7
19460901 19460930    14.4
19461001 19461031    11.3
19461101 19461130    57.4
19461201 19461231    46.0
19470101 19470131     3.9
19470201 19470228     4.6
19470301 19470331    71.9
19470401 19470430    24.9
19470501 19470531    17.3
19470601 19470630    35.8
19470701 19470731    59.8
19470801 19470831    34.7
19470901 19470930    57.2
19471001 19471031    47.7
19471101 19471130    16.3
19471201 19471231    15.7
19480101 19480131     4.0
19480201 19480229     7.7
19480301 19480331     3.6
19480401 19480430    25.8
19480501 19480531    25.5
19480601 19480630    16.1
19480701 19480731    28.6
19480801 19480831    32.3
19480901 19480930     5.1
19481001 19481031    38.2
19481101 19481130    31.8
19481201 19481231    20.2
19490101 19490131     6.4
19490201 19490228    41.0
19490301 19490331     0.6
19490401 19490430    23.7
19490501 19490531    45.8
19490601 19490630    17.8
19490701 19490731    43.8
19490801 19490831    19.8
19490901 19490930    43.3
19491001 19491031    52.7
19491101 19491130    85.4
19491201 19491231     5.3
19500101 19500131     0.3
19500201 19500228    14.5
19500301 19500331     3.7
19500401 19500430    45.0
19500501 19500531    59.5
19500601 19500630    32.5
19500701 19500731    14.6
19500801 19500831    49.0
19500901 19500930    33.6
19501001 19501031    52.8
19501101 19501130     9.1
19501201 19501231   109.9
19510101 19510131     3.1
19510201 19510228     5.1
19510301 19510331     7.4
19510401 19510430    39.8
19510501 19510531    57.4
19510601 19510630    68.5
19510701 19510731    68.1
19510801 19510831    56.8
19510901 19510930    27.4
19511001 19511031    33.8
19511101 19511130     3.3
19511201 19511231    13.4
19520101 19520131    20.3
19520201 19520229     8.6
19520301 19520331    18.0
19520401 19520430    72.2
19520501 19520531    83.2
19520601 19520630    24.4
19520701 19520731    23.9
19520801 19520831    20.6
19520901 19520930    45.7
19521001 19521031    13.6
19521101 19521130    32.0
19521201 19521231    10.6
19530101 19530131    11.2
19530201 19530228     2.3
19530301 19530331    12.7
19530401 19530430    15.5
19530501 19530531     7.2
19530601 19530630    49.8
19530701 19530731    39.3
19530801 19530831    42.1
19530901 19530930    71.6
19531001 19531031    38.0
19531101 19531130    31.7
19531201 19531231    44.6
19540101 19540131    19.6
19540201 19540228     2.6
19540301 19540331     1.1
19540401 19540430    47.4
19540501 19540531    13.0
19540601 19540630    67.3
19540701 19540731    31.0
19540801 19540831    12.9
19540901 19540930    15.8
19541001 19541031    42.6
19541101 19541130    17.0
19541201 19541231    12.5
19550101 19550131     4.7
19550201 19550228    66.3
19550301 19550331     3.6
19550401 19550430    35.9
19550501 19550531    45.2
19550601 19550630   103.4
19550701 19550731    15.2
19550801 19550831    60.3
19550901 19550930    14.6
19551001 19551031    23.1
19551101 19551130    29.6
19551201 19551231     9.0
19560101 19560131     3.6
19560201 19560229    20.3
19560301 19560331    33.9
19560401 19560430    28.6
19560501 19560531    55.1
19560601 19560630    75.5
19560701 19560731    71.8
19560801 19560831    30.6
19560901 19560930    43.3
19561001 19561031    28.4
19561101 19561130    19.8
19561201 19561231     9.5
19570101 19570131     0.3
19570201 19570228     1.8
19570301 19570331     4.6
19570401 19570430     1.5
19570501 19570531    15.5
19570601 19570630    27.7
19570701 19570731    23.8
19570801 19570831    24.7
19570901 19570930    12.9
19571001 19571031    19.5
19571101 19571130     3.3
19571201 19571231    15.5
19580101 19580131     2.3
19580201 19580228     2.0
19580301 19580331    24.7
19580401 19580430    26.6
19580501 19580531    56.8
19580601 19580630     9.4
19580701 19580731    47.7
19580801 19580831    76.4
19580901 19580930    68.7
19581001 19581031    26.3
19581101 19581130     4.6
19581201 19581231    25.4
19590101 19590131     0.5
19590201 19590228    15.2
19590301 19590331    33.5
19590401 19590430     8.4
19590501 19590531    11.4
19590601 19590630     8.5
19590701 19590731    13.2
19590801 19590831    11.1
19590901 19590930    25.4
19591001 19591031    14.7
19591101 19591130    13.3
19591201 19591231    14.0
19600101 19600131     8.9
19600201 19600229    45.2
19600301 19600331     9.0
19600401 19600430    42.4
19600501 19600531    50.0
19600601 19600630    11.1
19600701 19600731    39.2
19600801 19600831    25.3
19600901 19600930    62.7
19601001 19601031     1.0
19601101 19601130    26.4
19601201 19601231     8.7
19610101 19610131     0.8
19610201 19610228    14.0
19610301 19610331     4.1
19610401 19610430    65.5
19610501 19610531    10.7
19610601 19610630     6.6
19610701 19610731    21.6
19610801 19610831    37.7
19610901 19610930    12.5
19611001 19611031     1.6
19611101 19611130    32.4
19611201 19611231     2.3
19620101 19620131     2.6
19620201 19620228    16.3
19620301 19620331    10.5
19620401 19620430     5.1
19620501 19620531    43.0
19620601 19620630    20.2
19620701 19620731    13.2
19620801 19620831    37.4
19620901 19620930     8.0
19621001 19621031    67.2
19621101 19621130     9.9
19621201 19621231    41.8
19630101 19630131    28.0
19630201 19630228     9.4
19630301 19630331     6.9
19630401 19630430    65.3
19630501 19630531    57.6
19630601 19630630    46.9
19630701 19630731    64.3
19630801 19630831    25.7
