PRCP       010670 19050901 20180131 missing_value=99999.9 LAKE CARMODY                              
19270801 19270831    25.4
19270901 19270930    48.6
19271001 19271031    19.4
19271101 19271130     3.3
19271201 19271231     0.0
19280101 19280131     0.0
19280201 19280229     0.0
19280301 19280331     5.1
19280401 19280430     1.3
19280501 19280531    27.9
19280601 19280630     5.1
19280701 19280731    52.3
19280801 19280831    54.9
19280901 19280930    17.4
19281001 19281031    12.6
19281101 19281130     0.0
19281201 19281231     5.8
19290101 19290131    18.8
19290201 19290228    30.2
19290301 19290331    12.7
19290401 19290430     0.0
19290501 19290531    62.0
19290601 19290630    26.2
19290701 19290731    54.6
19290801 19290831    42.7
19290901 19290930     1.0
19291001 19291031     0.0
19291101 19291130    78.5
19291201 19291231     0.8
19300101 19300131     0.0
19300201 19300228     1.3
19300301 19300331     0.0
19300401 19300430    67.0
19300501 19300531    26.6
19300601 19300630    43.6
19300701 19300731    40.2
19300801 19300831    46.7
19300901 19300930    16.5
19301001 19301031     3.0
19301101 19301130     5.6
19301201 19301231     0.0
19310101 19310131     0.0
19310201 19310228     7.4
19310301 19310331     0.0
19310401 19310430    31.2
19310501 19310531    50.1
19310601 19310630    18.4
19310701 19310731    40.1
19310801 19310831    88.9
19310901 19310930    33.8
19311001 19311031    12.8
19311101 19311130    65.3
19311201 19311231     7.9
19320101 19320131    21.8
19320201 19320229     0.0
19320301 19320331     0.0
19320401 19320430    34.3
19320501 19320531     6.1
19320601 19320630   108.1
19320701 19320731    32.5
19320801 19320831    60.2
19320901 19320930    44.1
19321001 19321031    64.8
19321101 19321130     5.6
19321201 19321231     0.0
19330101 19330131    11.4
19330201 19330228     0.0
19330301 19330331     6.4
19330401 19330430    12.7
19330501 19330531    71.1
19330601 19330630    16.8
19330701 19330731    35.2
19330801 19330831    39.7
19330901 19330930    12.5
19331001 19331031    24.2
19331101 19331130    26.4
19331201 19331231     9.9
19340101 19340131     6.9
19340201 19340228    15.8
19340301 19340331    59.2
19340401 19340430    68.1
19340501 19340531     4.5
19340601 19340630    40.1
19340701 19340731    41.9
19340801 19340831    30.9
19340901 19340930    22.5
19341001 19341031    13.2
19341101 19341130    24.2
19341201 19341231     6.6
19350101 19350131    12.7
19350201 19350228    19.7
19350301 19350331    11.0
19350401 19350430     8.1
19350501 19350531     8.9
19350601 19350630    14.8
19350701 19350731    64.0
19350801 19350831    43.5
19350901 19350930    39.6
19351001 19351031    78.6
19351101 19351130     0.3
19351201 19351231     3.6
19360101 19360131    22.1
19360201 19360229     0.5
19360301 19360331     4.0
19360401 19360430     3.8
19360501 19360531    49.9
19360601 19360630    64.5
19360701 19360731    31.4
19360801 19360831    51.5
19360901 19360930    12.0
19361001 19361031     6.2
19361101 19361130     9.2
19361201 19361231    17.2
19370101 19370131     2.5
19370201 19370228     2.6
19370301 19370331    99.5
19370401 19370430    27.4
19370501 19370531    32.7
19370601 19370630    42.6
19370701 19370731     5.1
19370801 19370831    29.3
19370901 19370930     8.1
19371001 19371031     8.1
19371101 19371130    47.0
19371201 19371231     0.0
19380101 19380131    41.2
19380201 19380228     0.0
19380301 19380331    33.2
19380401 19380430     5.8
19380501 19380531    20.3
19380601 19380630    48.3
19380701 19380731    40.6
19380801 19380831    25.5
19380901 19380930    25.4
19381001 19381031    15.3
19381101 19381130    11.7
19381201 19381231     3.6
19390101 19390131    35.2
19390201 19390228    66.6
19390301 19390331     2.1
19390401 19390430    11.1
19390501 19390531    64.5
19390601 19390630    20.1
19390701 19390731    65.2
19390801 19390831    38.9
19390901 19390930     3.8
19391001 19391031    38.2
19391101 19391130    42.4
19391201 19391231     0.0
19400101 19400131     3.0
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     7.1
19400501 19400531    16.4
19400601 19400630    17.8
19400701 19400731    37.0
19400801 19400831     9.1
19400901 19400930    15.9
19401001 19401031    34.3
19401101 19401130     8.6
19401201 19401231    72.4
19410101 19410131     0.0
19410201 19410228     0.0
19410301 19410331    14.5
19410401 19410430    16.0
