PRCP       009557 19070101 20100930 missing_value=99999.9 HOPETOUN POST OFFICE                      
19281201 19281231     6.6
19290101 19290131    19.4
19290201 19290228    20.3
19290301 19290331    31.3
19290401 19290430    14.3
19290501 19290531    82.0
19290601 19290630   104.3
19290701 19290731    63.0
19290801 19290831    26.5
19290901 19290930    39.4
19291001 19291031    39.9
19291101 19291130    61.3
19291201 19291231    15.8
19300101 19300131     2.0
19300201 19300228     1.8
19300301 19300331    45.3
19300401 19300430    85.4
19300501 19300531    92.7
19300601 19300630    51.6
19300701 19300731    24.7
19300801 19300831    43.0
19300901 19300930    18.1
19301001 19301031     9.8
19301101 19301130     6.5
19301201 19301231     4.9
19310101 19310131     5.6
19310201 19310228     4.5
19310301 19310331    14.3
19310401 19310430    42.2
19310501 19310531    61.6
19310601 19310630    65.5
19310701 19310731    51.6
19310801 19310831    97.8
19310901 19310930    77.1
19311001 19311031    41.2
19311101 19311130    25.8
19311201 19311231    11.2
19320101 19320131    49.5
19320201 19320229    20.3
19320301 19320331    36.1
19320401 19320430    47.0
19320501 19320531    39.7
19320601 19320630   100.5
19320701 19320731    39.4
19320801 19320831   100.4
19320901 19320930    44.2
19321001 19321031    78.3
19321101 19321130    11.7
19321201 19321231     2.0
19330101 19330131    15.6
19330201 19330228     0.0
19330301 19330331   100.3
19330401 19330430     7.9
19330501 19330531    52.5
19330601 19330630    44.1
19330701 19330731    31.9
19330801 19330831    52.4
19330901 19330930    50.4
19331001 19331031    80.3
19331101 19331130    24.7
19331201 19331231    31.8
19340101 19340131    10.4
19340201 19340228     5.9
19340301 19340331    65.1
19340401 19340430    51.9
19340501 19340531    14.3
19340601 19340630    77.9
19340701 19340731    94.1
19340801 19340831    50.4
19340901 19340930    70.0
19341001 19341031    47.3
19341101 19341130    56.3
19341201 19341231    21.3
19350101 19350131    21.3
19350201 19350228    31.0
19350301 19350331     4.7
19350401 19350430    36.1
19350501 19350531    22.5
19350601 19350630    95.9
19350701 19350731    54.6
19350801 19350831    49.3
19350901 19350930    66.0
19351001 19351031    45.3
19351101 19351130     7.5
19351201 19351231    28.6
19360101 19360131    20.9
19360201 19360229     6.5
19360301 19360331     3.6
19360401 19360430    11.2
19360501 19360531   118.0
19360601 19360630    49.3
19360701 19360731    56.9
19360801 19360831    21.7
19360901 19360930    16.5
19361001 19361031    20.4
19361101 19361130     5.9
19361201 19361231    12.6
19370101 19370131     5.9
19370201 19370228     3.8
19370301 19370331    79.7
19370401 19370430    29.8
19370501 19370531    66.9
19370601 19370630    72.5
19370701 19370731    71.1
19370801 19370831   103.6
19370901 19370930    66.6
19371001 19371031    19.7
19371101 19371130    40.8
19371201 19371231     2.1
19380101 19380131    48.5
19380201 19380228    10.4
19380301 19380331    23.3
19380401 19380430    52.7
19380501 19380531    25.9
19380601 19380630   140.7
19380701 19380731    98.2
19380801 19380831    37.0
19380901 19380930    17.5
19381001 19381031    22.4
