PRCP       018063 19070101 20180131 missing_value=99999.9 PENONG                                    
19281201 19281231     2.3
19290101 19290131     2.8
19290201 19290228     0.3
19290301 19290331     9.6
19290401 19290430     7.4
19290501 19290531    20.2
19290601 19290630    36.0
19290701 19290731    22.7
19290801 19290831    34.5
19290901 19290930    18.1
19291001 19291031    14.6
19291101 19291130    34.4
19291201 19291231     4.8
19300101 19300131     0.0
19300201 19300228     4.6
19300301 19300331     1.1
19300401 19300430    12.5
19300501 19300531    26.2
19300601 19300630     1.1
19300701 19300731    21.9
19300801 19300831    55.6
19300901 19300930    12.2
19301001 19301031    50.5
19301101 19301130    10.1
19301201 19301231    23.4
19310101 19310131     4.3
19310201 19310228     0.0
19310301 19310331    85.3
19310401 19310430    51.4
19310501 19310531   126.9
19310601 19310630    91.2
19310701 19310731    82.4
19310801 19310831    30.8
19310901 19310930    29.5
19311001 19311031     5.9
19311101 19311130    32.1
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    45.9
19320301 19320331     0.8
19320401 19320430    64.8
19320501 19320531    29.5
19320601 19320630    53.7
19320701 19320731    37.0
19320801 19320831    76.7
19320901 19320930    56.9
19321001 19321031    37.6
19321101 19321130     5.6
19321201 19321231    18.4
19330101 19330131     5.5
19330201 19330228     0.0
19330301 19330331    22.8
19330401 19330430    35.1
19330501 19330531    45.7
19330601 19330630    23.1
19330701 19330731    70.5
19330801 19330831    49.9
19330901 19330930    22.6
19331001 19331031    17.1
19331101 19331130    28.2
19331201 19331231     3.6
19340101 19340131     0.8
19340201 19340228    15.2
19340301 19340331    10.7
19340401 19340430    32.2
19340501 19340531     0.0
19340601 19340630    43.8
19340701 19340731    31.8
19340801 19340831    61.7
19340901 19340930    25.8
19341001 19341031    14.8
19341101 19341130    31.1
19341201 19341231     1.0
19350101 19350131     9.8
19350201 19350228     0.0
19350301 19350331    51.2
19350401 19350430    27.7
19350501 19350531    20.3
19350601 19350630    27.7
19350701 19350731    27.2
19350801 19350831    44.5
19350901 19350930    62.7
19351001 19351031    48.9
19351101 19351130    22.1
19351201 19351231    22.1
19360101 19360131     6.9
19360201 19360229     5.6
19360301 19360331     1.0
19360401 19360430     9.9
19360501 19360531    51.4
19360601 19360630    44.0
19360701 19360731    40.8
19360801 19360831    28.1
19360901 19360930     4.4
19361001 19361031    36.0
19361101 19361130    12.0
19361201 19361231    21.5
19370101 19370131     5.9
19370201 19370228     4.1
19370301 19370331     5.1
19370401 19370430     9.5
19370501 19370531    52.9
19370601 19370630    54.1
19370701 19370731    30.1
19370801 19370831    49.0
19370901 19370930    31.3
19371001 19371031     9.7
19371101 19371130    73.1
19371201 19371231    26.3
19380101 19380131     5.9
19380201 19380228    65.3
19380301 19380331     1.8
19380401 19380430    37.1
19380501 19380531    41.2
19380601 19380630    69.7
19380701 19380731    59.9
19380801 19380831    52.2
19380901 19380930     5.3
19381001 19381031    10.5
19381101 19381130     5.1
19381201 19381231     9.1
19390101 19390131     8.4
19390201 19390228     5.1
19390301 19390331    52.8
19390401 19390430    10.1
19390501 19390531    32.8
19390601 19390630    53.5
19390701 19390731    61.4
19390801 19390831    80.3
19390901 19390930     4.5
19391001 19391031    23.4
19391101 19391130    26.2
19391201 19391231     6.6
19400101 19400131    46.5
19400201 19400229     7.9
19400301 19400331    27.4
19400401 19400430    35.2
19400501 19400531    58.9
19400601 19400630    10.1
19400701 19400731    34.3
19400801 19400831     2.8
19400901 19400930    20.9
19401001 19401031    25.2
19401101 19401130    14.0
19401201 19401231     5.4
19410101 19410131    10.9
19410201 19410228     8.9
19410301 19410331    46.1
19410401 19410430    20.9
19410501 19410531     7.6
19410601 19410630    21.6
19410701 19410731    63.4
19410801 19410831    58.3
19410901 19410930    51.3
19411001 19411031    34.9
19411101 19411130    22.4
19411201 19411231     4.4
19420101 19420131    24.2
19420201 19420228     4.0
19420301 19420331    17.2
19420401 19420430     9.4
19420501 19420531    43.3
19420601 19420630    73.8
19420701 19420731    54.3
19420801 19420831    52.8
19420901 19420930    32.0
19421001 19421031    10.2
19421101 19421130    61.1
19421201 19421231    21.8
19430101 19430131     0.0
19430201 19430228    28.0
19430301 19430331     0.8
19430401 19430430    21.3
19430501 19430531    16.8
19430601 19430630    49.9
19430701 19430731    41.3
19430801 19430831    38.3
19430901 19430930    18.6
19431001 19431031    11.9
19431101 19431130     8.7
19431201 19431231     4.6
19440101 19440131     0.8
19440201 19440229     0.8
19440301 19440331     1.8
19440401 19440430    77.8
19440501 19440531    50.1
19440601 19440630    24.4
19440701 19440731    43.1
19440801 19440831     7.2
19440901 19440930     9.7
19441001 19441031     7.1
19441101 19441130    18.2
19441201 19441231    10.0
19450101 19450131    12.2
19450201 19450228    51.4
19450301 19450331     0.0
19450401 19450430     1.5
19450501 19450531    44.2
19450601 19450630    38.4
19450701 19450731     9.8
19450801 19450831    10.1
19450901 19450930    25.1
19451001 19451031    15.0
19451101 19451130    51.6
19451201 19451231    64.3
19460101 19460131    14.4
19460201 19460228    38.0
19460301 19460331    16.1
19460401 19460430    25.8
19460501 19460531    20.5
19460601 19460630    61.0
19460701 19460731    24.6
19460801 19460831    25.2
19460901 19460930     2.7
19461001 19461031    15.8
19461101 19461130    11.8
19461201 19461231    33.1
19470101 19470131     3.8
19470201 19470228    14.8
19470301 19470331    30.6
19470401 19470430    19.7
19470501 19470531    29.8
19470601 19470630    27.6
19470701 19470731    45.9
19470801 19470831    42.9
19470901 19470930    56.8
19471001 19471031    60.8
19471101 19471130    27.5
19471201 19471231    11.5
19480101 19480131     1.3
19480201 19480229     5.8
19480301 19480331     1.5
19480401 19480430    13.8
19480501 19480531    38.4
19480601 19480630    23.9
19480701 19480731    38.4
19480801 19480831    68.9
19480901 19480930     2.3
19481001 19481031    28.8
19481101 19481130    41.2
19481201 19481231    15.5
19490101 19490131     3.3
19490201 19490228    29.7
19490301 19490331     0.0
19490401 19490430     8.4
19490501 19490531    49.8
19490601 19490630    43.3
19490701 19490731    41.7
19490801 19490831    34.0
19490901 19490930    59.0
19491001 19491031    30.0
19491101 19491130    35.3
19491201 19491231    14.5
19500101 19500131     2.3
19500201 19500228    19.5
19500301 19500331     0.8
19500401 19500430    13.0
19500501 19500531    27.6
19500601 19500630    42.1
19500701 19500731    32.8
19500801 19500831    69.3
19500901 19500930    15.4
19501001 19501031    69.2
19501101 19501130    17.9
19501201 19501231    49.8
19510101 19510131     2.1
19510201 19510228     0.0
