PRCP       047045 19001101 20180131 missing_value=99999.9 WENTWORTH (WILLOW POINT)                  
19970201 19970228    60.2
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    18.6
19970601 19970630     5.6
19970701 19970731     4.2
19970801 19970831    38.8
19970901 19970930    39.6
19971001 19971031    16.6
19971101 19971130     5.0
19971201 19971231     1.4
19980101 19980131    15.8
19980201 19980228    10.8
19980301 19980331     1.4
19980401 19980430     9.8
19980501 19980531     1.6
19980601 19980630     7.6
19980701 19980731    30.2
19980801 19980831     4.4
19980901 19980930    30.6
19981001 19981031    12.8
19981101 19981130     9.8
19981201 19981231     2.0
19990101 19990131     0.8
19990201 19990228    28.2
19990301 19990331    21.8
19990401 19990430     2.2
19990501 19990531    19.0
19990601 19990630    18.0
19990701 19990731    32.4
19990801 19990831    23.0
19990901 19990930     8.4
19991001 19991031    25.6
19991101 19991130    53.4
19991201 19991231    19.0
20000101 20000131     1.8
20000201 20000229   115.8
20000301 20000331    13.0
20000401 20000430    45.6
20000501 20000531    13.2
20000601 20000630     6.4
20000701 20000731    24.6
20000801 20000831    26.2
20000901 20000930    31.4
20001001 20001031    42.0
20001101 20001130    40.8
20001201 20001231    22.0
20010101 20010131     3.8
20010201 20010228    34.6
20010301 20010331    15.8
20010401 20010430     2.8
20010501 20010531    13.6
20010601 20010630    29.8
20010701 20010731    19.4
20010801 20010831    17.0
20010901 20010930    49.8
20011001 20011031    18.2
20011101 20011130     0.0
20011201 20011231     1.2
20020101 20020131     2.8
20020201 20020228     6.4
20020301 20020331     5.6
20020401 20020430     4.4
20020501 20020531    12.0
20020601 20020630    12.2
20020701 20020731     5.0
20020801 20020831     9.6
20020901 20020930     8.6
20021001 20021031     2.2
20021101 20021130    20.6
20021201 20021231    51.6
20030101 20030131     1.2
20030201 20030228    30.0
20030301 20030331     0.0
20030401 20030430     1.4
20030501 20030531    30.0
20030601 20030630    17.8
20030701 20030731    21.0
20030801 20030831    42.2
20030901 20030930     2.2
20031001 20031031    33.0
20031101 20031130    15.6
20031201 20031231    15.4
20040101 20040131     8.4
20040201 20040229    24.2
20040301 20040331     1.0
20040401 20040430     0.0
20040501 20040531     5.2
20040601 20040630    28.4
20040701 20040731    19.8
20040801 20040831    36.0
20040901 20040930     5.8
20041001 20041031     2.2
20041101 20041130    41.8
20041201 20041231    11.0
20050101 20050131     8.2
20050201 20050228     3.2
20050301 20050331     1.4
20050401 20050430     0.4
20050501 20050531     1.2
20050601 20050630    32.0
20050701 20050731    61.2
20050801 20050831    18.6
20050901 20050930    39.4
20051001 20051031    49.8
20051101 20051130    25.2
20051201 20051231     3.2
20060101 20060131     1.0
20060201 20060228     0.0
20060301 20060331    20.2
20060401 20060430    20.8
20060501 20060531     2.8
20060601 20060630    12.8
20060701 20060731    36.8
20060801 20060831     1.2
20060901 20060930    10.2
20061001 20061031     0.0
20061101 20061130    11.2
20061201 20061231    13.4
20070101 20070131    50.2
20070201 20070228     6.0
20070301 20070331    24.4
20070401 20070430    21.8
20070501 20070531    36.8
20070601 20070630     7.0
20070701 20070731    11.0
20070801 20070831     0.0
20070901 20070930     0.4
20071001 20071031    11.0
20071101 20071130    54.0
20071201 20071231     8.0
20080101 20080131     8.6
20080201 20080229     0.0
20080301 20080331     4.8
20080401 20080430     2.0
20080501 20080531     7.6
20080601 20080630    35.4
20080701 20080731    17.0
20080801 20080831    18.2
20080901 20080930     9.0
20081001 20081031     5.6
20081101 20081130    42.6
20081201 20081231    30.8
20090101 20090131     0.0
20090201 20090228     0.0
20090301 20090331    68.6
20090401 20090430    13.0
20090501 20090531     8.6
20090601 20090630    35.6
20090701 20090731    17.0
20090801 20090831    11.8
20090901 20090930     7.2
20091001 20091031     8.8
20091101 20091130    62.4
20091201 20091231    10.4
20100101 20100131     6.8
20100201 20100228    63.0
20100301 20100331    58.0
20100401 20100430    14.8
20100501 20100531    54.0
20100601 20100630    12.0
20100701 20100731    20.4
20100801 20100831    19.4
20100901 20100930    25.8
20101001 20101031   119.2
20101101 20101130   102.6
20101201 20101231    82.6
20110101 20110131    96.6
20110201 20110228   137.6
20110301 20110331    60.8
20110401 20110430    21.0
20110501 20110531    15.2
20110601 20110630     2.2
20110701 20110731    15.2
20110801 20110831    11.6
20110901 20110930     1.6
20111001 20111031    26.4
20111101 20111130    52.6
20111201 20111231    12.6
20120101 20120131    29.4
20120201 20120229    20.6
20120301 20120331    64.6
20120401 20120430     0.0
20120501 20120531     4.2
20120601 20120630     5.8
20120701 20120731    21.4
20120801 20120831     9.6
20120901 20120930     7.0
20121001 20121031    11.4
20121101 20121130    17.4
20121201 20121231    11.8
20130101 20130131     0.0
20130201 20130228    48.8
20130301 20130331    10.6
20130401 20130430     5.8
20130501 20130531    31.0
20130601 20130630    33.2
20130701 20130731    11.0
20130801 20130831    22.6
20130901 20130930     7.2
20131001 20131031     7.8
20131101 20131130     1.6
20131201 20131231    28.0
20140101 20140131     6.0
20140201 20140228    58.2
20140301 20140331    43.4
20140401 20140430    43.4
20140501 20140531    23.0
20140601 20140630     9.0
20140701 20140731     4.6
20140801 20140831    19.6
20140901 20140930    24.8
20141001 20141031     0.0
20141101 20141130    31.2
20141201 20141231    11.6
20150101 20150131    52.0
20150201 20150228     0.0
20150301 20150331     0.0
20150401 20150430    49.8
20150501 20150531    11.2
20150601 20150630    24.8
20150701 20150731    10.3
20150801 20150831    25.6
20150901 20150930    10.8
20151001 20151031     7.2
20151101 20151130    21.4
20151201 20151231     0.0
20160101 20160131    29.4
20160201 20160229     0.0
20160301 20160331    21.2
20160401 20160430     7.4
20160501 20160531    59.2
20160601 20160630    14.6
20160701 20160731    17.2
20160801 20160831    30.8
20160901 20160930   110.6
20161001 20161031    11.2
20161101 20161130    22.8
20161201 20161231    13.0
20170101 20170131    31.1
20170201 20170228     0.0
20170301 20170331 99999.9
20170401 20170430 99999.9
20170501 20170531     4.0
20170601 20170630     0.6
20170701 20170731     1.4
20170801 20170831    23.8
20170901 20170930     0.8
20171001 20171031    24.4
20171101 20171130    27.0
20171201 20171231    63.9
20180101 20180131    16.2
