PRCP       047045 19001101 20180131 missing_value=99999.9 WENTWORTH (WILLOW POINT)                  
19220901 19220930     7.7
19221001 19221031    18.8
19221101 19221130     0.0
19221201 19221231    14.3
19230101 19230131     2.5
19230201 19230228     0.5
19230301 19230331     3.3
19230401 19230430     0.0
19230501 19230531    30.9
19230601 19230630   135.8
19230701 19230731    40.3
19230801 19230831     9.1
19230901 19230930     8.8
19231001 19231031    15.0
19231101 19231130     2.0
19231201 19231231    72.1
19240101 19240131    24.7
19240201 19240229     1.4
19240301 19240331    14.6
19240401 19240430     6.1
19240501 19240531     2.8
19240601 19240630    30.8
19240701 19240731     1.2
19240801 19240831    47.2
19240901 19240930    22.1
19241001 19241031    11.1
19241101 19241130    58.5
19241201 19241231    19.0
19250101 19250131    26.3
19250201 19250228     5.3
19250301 19250331    11.6
19250401 19250430     0.0
19250501 19250531    61.7
19250601 19250630     4.1
19250701 19250731    17.3
19250801 19250831    25.4
19250901 19250930    26.7
19251001 19251031     0.0
19251101 19251130     5.2
19251201 19251231     0.0
19260101 19260131     9.9
19260201 19260228     0.0
19260301 19260331    29.2
19260401 19260430    43.3
19260501 19260531    40.2
19260601 19260630    46.5
19260701 19260731     2.5
19260801 19260831    29.5
19260901 19260930    33.5
19261001 19261031     3.6
19261101 19261130    32.1
19261201 19261231    46.7
19270101 19270131     6.3
19270201 19270228     6.6
19270301 19270331     7.9
19270401 19270430     1.1
19270501 19270531     1.4
19270601 19270630    11.4
19270701 19270731    19.5
19270801 19270831     6.7
19270901 19270930    15.4
19271001 19271031    25.3
19271101 19271130    17.9
19271201 19271231     2.5
19280101 19280131     4.2
19280201 19280229    47.2
19280301 19280331    28.5
19280401 19280430     4.5
19280501 19280531     1.7
19280601 19280630    32.0
19280701 19280731    29.3
19280801 19280831     2.3
19280901 19280930     7.0
19281001 19281031     2.5
19281101 19281130     0.0
19281201 19281231     4.9
19290101 19290131     0.0
19290201 19290228    14.9
19290301 19290331    11.6
19290401 19290430    14.1
19290501 19290531     0.9
19290601 19290630     1.1
19290701 19290731     7.1
19290801 19290831     5.9
19290901 19290930    11.6
19291001 19291031     0.0
19291101 19291130    11.1
19291201 19291231    74.2
19300101 19300131     1.4
19300201 19300228     4.1
19300301 19300331    12.4
19300401 19300430     8.6
19300501 19300531    22.7
19300601 19300630     5.8
19300701 19300731    13.3
19300801 19300831    26.2
19300901 19300930    20.5
19301001 19301031    23.5
19301101 19301130    20.7
19301201 19301231    47.7
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331    38.6
19310401 19310430    79.1
19310501 19310531    54.5
19310601 19310630    58.3
19310701 19310731    36.2
19310801 19310831    10.0
19310901 19310930     8.8
19311001 19311031    17.1
19311101 19311130     4.1
19311201 19311231     9.7
19320101 19320131     0.0
19320201 19320229    53.0
19320301 19320331    14.1
19320401 19320430    36.2
19320501 19320531    29.0
19320601 19320630    27.4
19320701 19320731    10.2
19320801 19320831    32.3
19320901 19320930    12.2
19321001 19321031     3.3
19321101 19321130    22.6
19321201 19321231     4.5
19330101 19330131     8.9
19330201 19330228     0.0
19330301 19330331     5.0
19330401 19330430     7.2
19330501 19330531    14.1
19330601 19330630     3.3
19330701 19330731    20.6
19330801 19330831    12.0
19330901 19330930    35.7
19331001 19331031     6.3
19331101 19331130   111.5
19331201 19331231    14.2
19340101 19340131     3.6
19340201 19340228     6.3
19340301 19340331     7.2
19340401 19340430     3.6
19340501 19340531     0.0
19340601 19340630     5.7
19340701 19340731    21.1
19340801 19340831    14.5
19340901 19340930    12.3
19341001 19341031    57.1
19341101 19341130    35.9
19341201 19341231     3.1
19350101 19350131     5.0
19350201 19350228     0.5
19350301 19350331    14.5
19350401 19350430    35.8
19350501 19350531     4.8
19350601 19350630     8.1
19350701 19350731     7.1
19350801 19350831     8.5
19350901 19350930     7.0
19351001 19351031    46.5
19351101 19351130     5.1
19351201 19351231     4.1
19360101 19360131   114.5
19360201 19360229     3.3
19360301 19360331     1.3
