PRCP       042003 18800101 20110131 missing_value=99999.9 CHERITON                                  
19011201 19011231    99.1
19020101 19020131     8.0
19020201 19020228     2.6
19020301 19020331     8.0
19020401 19020430     0.0
19020501 19020531     1.6
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831    37.1
19020901 19020930     0.0
19021001 19021031     0.0
19021101 19021130    28.8
19021201 19021231    68.9
19030101 19030131    45.1
19030201 19030228     9.4
19030301 19030331   162.4
19030401 19030430    51.0
19030501 19030531    60.2
19030601 19030630   118.1
19030701 19030731   121.6
19030801 19030831    26.4
19030901 19030930   117.6
19031001 19031031    34.2
19031101 19031130    78.3
19031201 19031231    77.0
19040101 19040131    38.2
19040201 19040229    73.7
19040301 19040331    74.6
19040401 19040430    44.9
19040501 19040531    83.3
19040601 19040630     8.0
19040701 19040731    48.4
19040801 19040831    12.3
19040901 19040930    27.8
19041001 19041031    36.6
19041101 19041130     2.1
19041201 19041231    46.8
19050101 19050131   154.4
19050201 19050228    11.8
19050301 19050331    98.6
19050401 19050430   161.2
19050501 19050531    32.3
19050601 19050630     9.6
19050701 19050731     6.1
19050801 19050831     3.5
19050901 19050930     1.4
19051001 19051031    83.1
19051101 19051130   119.4
19051201 19051231    25.1
19060101 19060131     4.8
19060201 19060228    76.7
19060301 19060331    74.8
19060401 19060430     6.9
19060501 19060531     8.0
19060601 19060630    31.8
19060701 19060731     9.4
19060801 19060831    72.2
19060901 19060930    96.2
19061001 19061031    68.2
19061101 19061130    70.8
19061201 19061231    42.0
19070101 19070131   269.8
19070201 19070228    34.0
19070301 19070331   110.7
19070401 19070430     2.9
19070501 19070531    41.7
19070601 19070630    38.0
19070701 19070731    43.2
19070801 19070831    24.1
19070901 19070930     1.6
19071001 19071031    31.0
19071101 19071130   102.6
19071201 19071231    66.8
19080101 19080131     6.7
19080201 19080229   169.9
19080301 19080331   145.4
19080401 19080430    49.4
19080501 19080531     6.7
19080601 19080630     9.9
19080701 19080731    24.1
19080801 19080831    78.3
19080901 19080930    29.4
19081001 19081031    49.1
19081101 19081130    34.5
19081201 19081231    36.6
19090101 19090131    14.2
19090201 19090228    95.9
19090301 19090331    29.4
19090401 19090430    42.0
19090501 19090531    10.4
19090601 19090630    90.9
19090701 19090731    31.0
19090801 19090831    89.2
19090901 19090930    13.9
19091001 19091031    50.8
19091101 19091130    20.3
19091201 19091231    75.8
19100101 19100131   252.5
19100201 19100228    20.8
19100301 19100331   140.0
19100401 19100430     6.4
19100501 19100531    13.4
19100601 19100630    84.5
19100701 19100731    47.3
19100801 19100831     5.0
19100901 19100930     3.5
19101001 19101031    25.9
19101101 19101130    93.5
19101201 19101231   180.6
19110101 19110131   175.1
19110201 19110228   139.5
19110301 19110331    82.6
19110401 19110430    22.7
19110501 19110531    35.2
19110601 19110630     0.0
19110701 19110731    34.2
19110801 19110831    18.2
19110901 19110930    29.9
19111001 19111031     0.0
19111101 19111130    14.7
19111201 19111231    35.6
19120101 19120131     4.5
19120201 19120229    32.1
19120301 19120331    38.0
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630   144.9
19120701 19120731    47.9
19120801 19120831    25.4
19120901 19120930    18.7
19121001 19121031    53.8
19121101 19121130    42.5
19121201 19121231     5.4
19130101 19130131    22.2
19130201 19130228    68.4
19130301 19130331   180.9
19130401 19130430    55.3
19130501 19130531   174.0
19130601 19130630    67.1
19130701 19130731    17.1
19130801 19130831     0.0
19130901 19130930    14.7
19131001 19131031    57.8
19131101 19131130     6.4
19131201 19131231    29.9
19140101 19140131    47.6
19140201 19140228    98.9
19140301 19140331   250.7
19140401 19140430    25.7
19140501 19140531   105.8
19140601 19140630    14.9
19140701 19140731    46.0
19140801 19140831     8.0
19140901 19140930     0.0
19141001 19141031    18.7
19141101 19141130   152.3
19141201 19141231    61.4
19150101 19150131     6.9
19150201 19150228    17.4
19150301 19150331     0.0
19150401 19150430     4.0
19150501 19150531    18.7
19150601 19150630    14.9
19150701 19150731    34.2
19150801 19150831    32.8
19150901 19150930     6.4
19151001 19151031     1.4
19151101 19151130     0.0
19151201 19151231    62.0
19160101 19160131     8.0
19160201 19160229    44.1
19160301 19160331    41.7
19160401 19160430    21.4
19160501 19160531     2.6
19160601 19160630    80.7
19160701 19160731    80.2
19160801 19160831    32.1
19160901 19160930    43.9
19161001 19161031    51.3
19161101 19161130   112.5
19161201 19161231   142.7
19170101 19170131   101.5
19170201 19170228   188.4
19170301 19170331    41.4
19170401 19170430    11.5
19170501 19170531     0.0
19170601 19170630    10.7
19170701 19170731    15.3
19170801 19170831    11.5
19170901 19170930    98.6
19171001 19171031    25.2
19171101 19171130    89.1
19171201 19171231    81.7
19180101 19180131    91.6
19180201 19180228     0.0
19180301 19180331     1.8
19180401 19180430    46.5
19180501 19180531     6.6
19180601 19180630     0.0
19180701 19180731     5.6
19180801 19180831   120.5
19180901 19180930     0.0
19181001 19181031     1.5
19181101 19181130    20.9
19181201 19181231    18.1
19190101 19190131    52.1
19190201 19190228    81.9
19190301 19190331    12.3
19190401 19190430    50.9
19190501 19190531    76.5
19190601 19190630    10.2
19190701 19190731     3.1
19190801 19190831    11.2
19190901 19190930     3.6
19191001 19191031     9.2
19191101 19191130    23.1
19191201 19191231    49.3
19200101 19200131    32.3
19200201 19200229    61.9
19200301 19200331    18.0
19200401 19200430    15.6
19200501 19200531    51.7
19200601 19200630    86.0
19200701 19200731   102.4
19200801 19200831    25.1
19200901 19200930    46.2
19201001 19201031    48.7
19201101 19201130    14.6
19201201 19201231    59.9
19210101 19210131     1.3
19210201 19210228    13.5
19210301 19210331   117.7
19210401 19210430     7.1
19210501 19210531    77.4
19210601 19210630   138.6
19210701 19210731   142.1
19210801 19210831     0.0
19210901 19210930    93.0
19211001 19211031    52.4
19211101 19211130    50.5
19211201 19211231    43.3
19220101 19220131    30.5
19220201 19220228    57.9
19220301 19220331    32.8
19220401 19220430     6.4
19220501 19220531     0.0
19220601 19220630    40.9
19220701 19220731    18.8
19220801 19220831     1.8
19220901 19220930    51.3
19221001 19221031    43.9
19221101 19221130    15.2
19221201 19221231   122.2
19230101 19230131    14.3
19230201 19230228     7.6
19230301 19230331    26.9
19230401 19230430    25.4
19230501 19230531     9.9
19230601 19230630    51.5
19230701 19230731    16.5
19230801 19230831     0.0
19230901 19230930    32.8
19231001 19231031    36.1
19231101 19231130    17.3
19231201 19231231    89.9
19240101 19240131    57.7
19240201 19240229   122.9
19240301 19240331    56.7
19240401 19240430    27.9
19240501 19240531     5.1
19240601 19240630     3.8
19240701 19240731    84.3
19240801 19240831    72.9
19240901 19240930    41.4
19241001 19241031    41.9
19241101 19241130   173.8
19241201 19241231    50.7
19250101 19250131    52.2
19250201 19250228     7.1
19250301 19250331    31.7
19250401 19250430     0.0
19250501 19250531    44.8
19250601 19250630    73.7
19250701 19250731    19.8
19250801 19250831    41.7
19250901 19250930     0.0
19251001 19251031     2.5
19251101 19251130   109.6
19251201 19251231    66.5
19260101 19260131   101.2
19260201 19260228    43.9
19260301 19260331    67.0
19260401 19260430    19.5
19260501 19260531    82.4
19260601 19260630    16.5
19260701 19260731    27.7
19260801 19260831     7.6
19260901 19260930    41.4
19261001 19261031     2.3
19261101 19261130     0.0
19261201 19261231   112.2
19270101 19270131    45.4
19270201 19270228    26.7
19270301 19270331    72.2
19270401 19270430    21.9
19270501 19270531     5.4
19270601 19270630    33.2
19270701 19270731     0.0
19270801 19270831     9.9
19270901 19270930     2.5
19271001 19271031    64.5
19271101 19271130    76.2
19271201 19271231    71.1
19280101 19280131   104.1
19280201 19280229   164.7
19280301 19280331    60.2
19280401 19280430    68.1
19280501 19280531    10.0
19280601 19280630    47.5
19280701 19280731    23.1
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031    25.9
19281101 19281130    17.8
19281201 19281231    14.9
19290101 19290131    26.4
19290201 19290228    58.5
19290301 19290331    34.8
19290401 19290430   138.9
19290501 19290531     0.0
19290601 19290630     0.8
19290701 19290731     8.4
19290801 19290831    13.8
19290901 19290930    14.0
19291001 19291031    28.0
19291101 19291130    42.5
19291201 19291231    52.0
19300101 19300131   109.3
19300201 19300228     0.0
19300301 19300331    30.3
19300401 19300430    48.4
19300501 19300531    66.0
19300601 19300630    67.2
19300701 19300731    30.1
19300801 19300831    53.7
19300901 19300930    11.1
19301001 19301031    33.5
19301101 19301130    23.9
19301201 19301231    19.3
19310101 19310131     0.0
19310201 19310228    11.4
19310301 19310331   199.3
19310401 19310430    48.5
19310501 19310531    33.8
19310601 19310630    49.5
19310701 19310731    11.7
19310801 19310831     4.3
19310901 19310930    12.2
19311001 19311031    19.5
19311101 19311130    69.0
19311201 19311231   164.8
19320101 19320131     0.0
19320201 19320229     4.8
19320301 19320331    31.7
19320401 19320430    22.9
19320501 19320531    52.3
19320601 19320630    22.9
19320701 19320731    16.8
19320801 19320831    10.2
19320901 19320930    42.9
19321001 19321031    23.1
19321101 19321130    72.2
19321201 19321231    59.6
19330101 19330131    33.1
19330201 19330228    77.2
19330301 19330331     3.0
19330401 19330430    12.7
19330501 19330531    24.9
19330601 19330630    42.4
19330701 19330731    69.3
19330801 19330831    24.6
19330901 19330930    29.1
19331001 19331031    38.9
19331101 19331130   166.1
19331201 19331231    14.9
19340101 19340131    85.1
19340201 19340228   141.1
19340301 19340331     4.8
19340401 19340430    14.7
19340501 19340531    43.6
19340601 19340630    15.8
19340701 19340731    31.5
19340801 19340831    28.9
19340901 19340930    16.2
19341001 19341031   116.0
19341101 19341130    53.6
19341201 19341231    25.8
