PRCP       018058 19101001 20170930 missing_value=99999.9 MULLAQUANA                                
20061101 20061130    20.0
20061201 20061231    32.4
20070101 20070131    45.6
20070201 20070228     1.0
20070301 20070331    58.0
20070401 20070430    18.4
20070501 20070531    10.4
20070601 20070630    22.6
20070701 20070731     9.6
20070801 20070831    10.0
20070901 20070930     8.6
20071001 20071031    22.4
20071101 20071130    23.2
20071201 20071231    17.4
20080101 20080131     0.8
20080201 20080229     4.8
20080301 20080331     3.0
20080401 20080430    15.2
20080501 20080531    16.8
20080601 20080630    22.8
20080701 20080731    21.1
20080801 20080831    33.6
20080901 20080930     5.4
20081001 20081031     1.4
20081101 20081130    14.0
20081201 20081231    52.0
20090101 20090131     0.0
20090201 20090228     0.4
20090301 20090331     6.2
20090401 20090430     6.4
20090501 20090531    22.0
20090601 20090630    39.0
20090701 20090731    26.8
20090801 20090831    16.0
20090901 20090930    37.4
20091001 20091031    28.6
20091101 20091130    48.2
20091201 20091231    13.8
20100101 20100131    32.0
20100201 20100228     4.8
20100301 20100331    16.2
20100401 20100430    26.0
20100501 20100531    48.6
20100601 20100630    17.2
20100701 20100731    16.2
20100801 20100831    32.2
20100901 20100930    64.8
20101001 20101031    65.6
20101101 20101130    19.8
20101201 20101231    59.8
20110101 20110131     1.2
20110201 20110228    86.4
20110301 20110331    77.4
20110401 20110430     9.6
20110501 20110531    19.6
20110601 20110630    20.0
20110701 20110731    16.2
20110801 20110831    16.4
20110901 20110930    13.8
20111001 20111031    54.3
20111101 20111130    22.7
20111201 20111231    62.6
20120101 20120131    23.8
20120201 20120229    20.0
20120301 20120331    54.6
20120401 20120430     5.4
20120501 20120531    31.8
20120601 20120630 99999.9
20120701 20120731    27.4
20120801 20120831    18.8
20120901 20120930     3.4
20121001 20121031    14.4
20121101 20121130    24.4
20121201 20121231     5.8
20130101 20130131     3.6
20130201 20130228    18.2
20130301 20130331     3.8
20130401 20130430    22.2
20130501 20130531    41.2
20130601 20130630    82.8
20130701 20130731    47.0
20130801 20130831    13.0
20130901 20130930    19.8
20131001 20131031     4.8
20131101 20131130     3.2
20131201 20131231    19.0
20140101 20140131    32.6
20140201 20140228   110.4
20140301 20140331     2.8
20140401 20140430   105.6
20140501 20140531    22.8
20140601 20140630    18.6
20140701 20140731     6.8
20140801 20140831     3.0
20140901 20140930    15.8
20141001 20141031     2.6
20141101 20141130     1.0
20141201 20141231    20.2
20150101 20150131    83.4
20150201 20150228     0.0
20150301 20150331     1.2
20150401 20150430    21.0
20150501 20150531    20.4
20150601 20150630    38.2
20150701 20150731    16.2
20150801 20150831    43.6
20150901 20150930     7.0
20151001 20151031     0.8
20151101 20151130    70.0
20151201 20151231     1.6
20160101 20160131    36.2
20160201 20160229     7.4
20160301 20160331    48.2
20160401 20160430    12.4
20160501 20160531    13.0
20160601 20160630   152.2
20160701 20160731    16.8
20160801 20160831    32.2
20160901 20160930    49.6
20161001 20161031    14.6
20161101 20161130     7.8
20161201 20161231    66.8
20170101 20170131    58.2
20170201 20170228    19.6
20170301 20170331     2.4
20170401 20170430    33.0
20170501 20170531     9.6
20170601 20170630     9.2
20170701 20170731     9.2
20170801 20170831    39.4
20170901 20170930     4.0
