PRCP       063005 19080701 20180131 missing_value=99999.9 BATHURST AGRICULTURAL STATION             
19300501 19300531    31.3
19300601 19300630    39.3
19300701 19300731    73.4
19300801 19300831    49.6
19300901 19300930    13.2
19301001 19301031   111.8
19301101 19301130    42.2
19301201 19301231    76.9
19310101 19310131    86.2
19310201 19310228    46.5
19310301 19310331    74.5
19310401 19310430    76.6
19310501 19310531   111.8
19310601 19310630    81.5
19310701 19310731    31.7
19310801 19310831    23.4
19310901 19310930    45.5
19311001 19311031    26.9
19311101 19311130    38.8
19311201 19311231     0.0
19320101 19320131     2.0
19320201 19320229    62.7
19320301 19320331   165.3
19320401 19320430    55.4
19320501 19320531     4.8
19320601 19320630    46.3
19320701 19320731    33.6
19320801 19320831    35.3
19320901 19320930    34.3
19321001 19321031    35.9
19321101 19321130   105.2
19321201 19321231    64.6
19330101 19330131    90.9
19330201 19330228     0.5
19330301 19330331    34.0
19330401 19330430    22.2
19330501 19330531    32.5
19330601 19330630    20.9
19330701 19330731    50.3
19330801 19330831    14.8
19330901 19330930    64.4
19331001 19331031    53.8
19331101 19331130    49.8
19331201 19331231    38.7
19340101 19340131    57.9
19340201 19340228   108.4
19340301 19340331     0.0
19340401 19340430    30.8
19340501 19340531     1.0
19340601 19340630    34.5
19340701 19340731    75.3
19340801 19340831    58.6
19340901 19340930    31.6
19341001 19341031    97.5
19341101 19341130   104.3
19341201 19341231    50.0
19350101 19350131    97.8
19350201 19350228    54.5
19350301 19350331     5.6
19350401 19350430    73.3
19350501 19350531     6.9
19350601 19350630    20.4
19350701 19350731    46.2
19350801 19350831    25.8
19350901 19350930    32.1
19351001 19351031    63.5
19351101 19351130    18.3
19351201 19351231    59.8
19360101 19360131   110.5
19360201 19360229    39.2
19360301 19360331    75.5
19360401 19360430    30.0
19360501 19360531    51.1
19360601 19360630    28.7
19360701 19360731    73.9
19360801 19360831    37.1
19360901 19360930    19.4
19361001 19361031    20.3
19361101 19361130     2.1
19361201 19361231    97.4
19370101 19370131    57.2
19370201 19370228     1.8
19370301 19370331    61.4
19370401 19370430    24.7
19370501 19370531    20.2
19370601 19370630    43.4
19370701 19370731    17.8
19370801 19370831    41.2
19370901 19370930    54.8
19371001 19371031    28.5
19371101 19371130    64.2
19371201 19371231    27.6
19380101 19380131    55.7
19380201 19380228    22.9
19380301 19380331     0.0
19380401 19380430    40.8
19380501 19380531    23.9
19380601 19380630    29.8
19380701 19380731    49.9
19380801 19380831    41.2
19380901 19380930     9.6
19381001 19381031    95.9
19381101 19381130    34.1
19381201 19381231     1.8
19390101 19390131    87.8
19390201 19390228    16.6
19390301 19390331    44.1
19390401 19390430    47.4
19390501 19390531    23.7
19390601 19390630    37.2
19390701 19390731    19.4
19390801 19390831    63.2
19390901 19390930    18.5
19391001 19391031    94.2
19391101 19391130    71.1
19391201 19391231    16.2
19400101 19400131    11.1
19400201 19400229    14.2
19400301 19400331     0.3
19400401 19400430    83.3
19400501 19400531    26.8
19400601 19400630    24.1
19400701 19400731    16.6
19400801 19400831    11.0
19400901 19400930    59.4
19401001 19401031     2.3
19401101 19401130    34.3
19401201 19401231   142.1
19410101 19410131   160.5
19410201 19410228    32.3
19410301 19410331    49.9
19410401 19410430     2.1
19410501 19410531    23.2
19410601 19410630    49.3
19410701 19410731    17.4
19410801 19410831    34.1
19410901 19410930    50.5
19411001 19411031    36.0
19411101 19411130    33.5
19411201 19411231    63.0
19420101 19420131     5.4
19420201 19420228    28.1
19420301 19420331    44.6
19420401 19420430     4.1
19420501 19420531    76.3
19420601 19420630   107.8
19420701 19420731   101.5
19420801 19420831    61.8
19420901 19420930    80.9
19421001 19421031    22.4
19421101 19421130   112.6
19421201 19421231    61.5
19430101 19430131    56.7
19430201 19430228    40.4
19430301 19430331     5.9
19430401 19430430    50.4
19430501 19430531    86.3
