PRCP       063005 19080701 20180131 missing_value=99999.9 BATHURST AGRICULTURAL STATION             
20030301 20030331    43.2
20030401 20030430    38.7
20030501 20030531    25.4
20030601 20030630    39.7
20030701 20030731    44.4
20030801 20030831   103.0
20030901 20030930    22.6
20031001 20031031   105.1
20031101 20031130    83.6
20031201 20031231    64.6
20040101 20040131    20.5
20040201 20040229    48.4
20040301 20040331    17.8
20040401 20040430     7.6
20040501 20040531    51.1
20040601 20040630    36.8
20040701 20040731    35.5
20040801 20040831    46.9
20040901 20040930    37.0
20041001 20041031    65.8
20041101 20041130    98.8
20041201 20041231   128.2
20050101 20050131    82.0
20050201 20050228    91.6
20050301 20050331    17.2
20050401 20050430     9.4
20050501 20050531     2.6
20050601 20050630    71.6
20050701 20050731    60.4
20050801 20050831    24.6
20050901 20050930    87.6
20051001 20051031   116.5
20051101 20051130   166.6
20051201 20051231    48.4
20060101 20060131   146.6
20060201 20060228    35.2
20060301 20060331     6.4
20060401 20060430     6.8
20060501 20060531     6.8
20060601 20060630    35.2
20060701 20060731    61.6
20060801 20060831     4.2
20060901 20060930    23.2
20061001 20061031     2.8
20061101 20061130    59.0
20061201 20061231    32.3
20070101 20070131    53.6
20070201 20070228   114.2
20070301 20070331    27.0
20070401 20070430    20.6
20070501 20070531    69.6
20070601 20070630    48.8
20070701 20070731    24.3
20070801 20070831    18.2
20070901 20070930     3.8
20071001 20071031    48.0
20071101 20071130   166.4
20071201 20071231    73.4
20080101 20080131    76.6
20080201 20080229    74.4
20080301 20080331    41.8
20080401 20080430    14.8
20080501 20080531    17.4
20080601 20080630    36.8
20080701 20080731    37.8
20080801 20080831    47.4
20080901 20080930    91.8
20081001 20081031    61.2
20081101 20081130   117.3
20081201 20081231   170.6
20090101 20090131    18.6
20090201 20090228    74.6
20090301 20090331    24.8
20090401 20090430    54.0
20090501 20090531     4.8
20090601 20090630    59.4
20090701 20090731    41.7
20090801 20090831    33.4
20090901 20090930    68.8
20091001 20091031    30.9
20091101 20091130    17.0
20091201 20091231   102.2
20100101 20100131    50.0
20100201 20100228   132.8
20100301 20100331   138.4
20100401 20100430    59.8
20100501 20100531    54.0
20100601 20100630    25.6
20100701 20100731    99.0
20100801 20100831   103.0
20100901 20100930    57.0
20101001 20101031    52.9
20101101 20101130    96.9
20101201 20101231   218.5
20110101 20110131    34.1
20110201 20110228    44.3
20110301 20110331   111.1
20110401 20110430    23.6
20110501 20110531    41.9
20110601 20110630    14.2
20110701 20110731    20.4
20110801 20110831    58.8
20110901 20110930   101.0
20111001 20111031    41.8
20111101 20111130   133.0
20111201 20111231   114.0
20120101 20120131    88.0
20120201 20120229   125.7
20120301 20120331   141.7
20120401 20120430    12.4
20120501 20120531    47.0
20120601 20120630    58.2
20120701 20120731    55.4
20120801 20120831    30.6
20120901 20120930    39.2
20121001 20121031     7.9
20121101 20121130    22.2
20121201 20121231    74.6
20130101 20130131    96.0
20130201 20130228    38.3
20130301 20130331   116.8
20130401 20130430    15.6
20130501 20130531    27.2
20130601 20130630    92.0
20130701 20130731    43.3
20130801 20130831    27.1
20130901 20130930    42.4
20131001 20131031    17.1
20131101 20131130    39.8
20131201 20131231    47.4
20140101 20140131    12.8
20140201 20140228    64.0
20140301 20140331    69.0
20140401 20140430    60.2
20140501 20140531    21.2
20140601 20140630    53.0
20140701 20140731    44.4
20140801 20140831    32.0
20140901 20140930    29.0
20141001 20141031    51.1
20141101 20141130    25.6
20141201 20141231    74.8
20150101 20150131    66.6
20150201 20150228    59.2
20150301 20150331    16.2
20150401 20150430   122.6
20150501 20150531    32.6
20150601 20150630    32.8
20150701 20150731    48.1
20150801 20150831    57.0
20150901 20150930     7.8
20151001 20151031    30.8
20151101 20151130    70.8
20151201 20151231    70.0
20160101 20160131    95.6
20160201 20160229     3.6
20160301 20160331    42.0
20160401 20160430    20.4
20160501 20160531    39.7
20160601 20160630   113.1
20160701 20160731   103.0
20160801 20160831    94.4
20160901 20160930   129.8
20161001 20161031    56.2
20161101 20161130    44.0
20161201 20161231    53.1
20170101 20170131     7.0
20170201 20170228    13.0
20170301 20170331    94.3
20170401 20170430     9.4
20170501 20170531    27.8
20170601 20170630     1.2
20170701 20170731     6.2
20170801 20170831    38.6
20170901 20170930    16.6
20171001 20171031    62.6
20171101 20171130    87.8
20171201 20171231    94.2
20180101 20180131    50.2
