PRCP       037043 18911101 20120831 missing_value=99999.9 URANDANGIE                                
19131001 19131031     0.0
19131101 19131130    20.6
19131201 19131231    52.6
19140101 19140131    54.8
19140201 19140228     0.0
19140301 19140331     3.8
19140401 19140430    45.0
19140501 19140531     0.0
19140601 19140630     0.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031     0.0
19141101 19141130     4.1
19141201 19141231    17.6
19150101 19150131   112.6
19150201 19150228    18.6
19150301 19150331     0.0
19150401 19150430     7.4
19150501 19150531   114.6
19150601 19150630     0.0
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930    28.9
19151001 19151031    11.5
19151101 19151130     0.0
19151201 19151231   103.9
19160101 19160131    80.4
19160201 19160229    90.6
19160301 19160331     0.0
19160401 19160430     0.0
19160501 19160531     3.0
19160601 19160630     7.9
19160701 19160731    73.5
19160801 19160831     0.0
19160901 19160930     0.0
19161001 19161031    36.1
19161101 19161130    48.7
19161201 19161231   155.7
19170101 19170131   136.9
19170201 19170228    43.3
19170301 19170331    11.2
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630     0.0
19170701 19170731     0.0
19170801 19170831    32.7
19170901 19170930    26.6
19171001 19171031     1.3
19171101 19171130    31.2
19171201 19171231    13.5
19180101 19180131   153.6
19180201 19180228    66.4
19180301 19180331    12.7
19180401 19180430     0.0
19180501 19180531    36.9
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     0.3
19180901 19180930     0.8
19181001 19181031     0.5
19181101 19181130     0.5
19181201 19181231     4.8
19190101 19190131    69.2
19190201 19190228   167.7
19190301 19190331     4.6
19190401 19190430     3.8
19190501 19190531     0.0
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     0.5
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130     0.0
19191201 19191231     4.4
19200101 19200131   146.8
19200201 19200229   145.8
19200301 19200331     2.5
19200401 19200430    48.7
19200501 19200531    10.0
19200601 19200630     5.1
19200701 19200731    38.9
19200801 19200831     4.5
19200901 19200930    22.1
19201001 19201031     9.7
19201101 19201130    54.2
19201201 19201231    45.2
19210101 19210131    26.4
19210201 19210228   123.7
19210301 19210331    60.2
19210401 19210430     3.1
19210501 19210531    23.7
19210601 19210630    68.8
19210701 19210731     9.1
19210801 19210831     0.0
19210901 19210930     2.0
19211001 19211031    26.9
19211101 19211130    14.5
19211201 19211231    33.0
19220101 19220131    17.8
19220201 19220228    48.7
19220301 19220331     0.0
19220401 19220430    33.0
19220501 19220531     2.5
19220601 19220630    14.2
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    10.1
19221101 19221130     3.0
19221201 19221231    72.1
19230101 19230131    14.0
19230201 19230228     6.4
19230301 19230331    16.2
19230401 19230430     1.3
19230501 19230531     5.1
