PRCP       058012 18820101 20180131 missing_value=99999.9 YAMBA PILOT STATION                       
19031201 19031231    70.6
19040101 19040131    70.6
19040201 19040229    46.1
19040301 19040331   242.5
19040401 19040430   280.7
19040501 19040531   246.6
19040601 19040630    10.7
19040701 19040731   101.3
19040801 19040831    30.8
19040901 19040930    26.4
19041001 19041031    69.5
19041101 19041130    70.8
19041201 19041231    78.2
19050101 19050131    40.1
19050201 19050228   137.9
19050301 19050331   194.8
19050401 19050430   182.4
19050501 19050531   189.1
19050601 19050630    20.4
19050701 19050731     2.3
19050801 19050831    30.2
19050901 19050930    17.3
19051001 19051031    70.9
19051101 19051130    33.0
19051201 19051231    75.7
19060101 19060131   103.4
19060201 19060228   216.6
19060301 19060331   244.1
19060401 19060430    14.8
19060501 19060531   106.5
19060601 19060630   154.0
19060701 19060731     2.1
19060801 19060831   133.2
19060901 19060930    76.2
19061001 19061031   120.3
19061101 19061130    47.8
19061201 19061231   166.1
19070101 19070131   241.5
19070201 19070228   173.9
19070301 19070331   289.4
19070401 19070430    25.2
19070501 19070531   117.1
19070601 19070630   176.7
19070701 19070731    14.1
19070801 19070831    21.1
19070901 19070930     3.3
19071001 19071031    54.8
19071101 19071130    85.8
19071201 19071231    75.0
19080101 19080131    58.7
19080201 19080229   198.1
19080301 19080331   132.8
19080401 19080430   208.6
19080501 19080531   159.7
19080601 19080630    23.1
19080701 19080731    64.3
19080801 19080831   153.3
19080901 19080930    46.6
19081001 19081031    29.2
19081101 19081130    64.9
19081201 19081231   103.2
19090101 19090131    42.6
19090201 19090228   124.4
19090301 19090331   339.3
19090401 19090430   165.3
19090501 19090531    56.8
19090601 19090630    98.4
19090701 19090731    61.9
19090801 19090831    57.6
19090901 19090930   103.8
19091001 19091031    36.2
19091101 19091130   175.9
19091201 19091231   129.7
19100101 19100131   231.4
19100201 19100228   112.1
19100301 19100331   196.4
19100401 19100430   330.6
19100501 19100531    70.5
19100601 19100630   128.8
19100701 19100731     5.8
19100801 19100831    24.4
19100901 19100930    43.4
19101001 19101031    83.0
19101101 19101130   104.4
19101201 19101231   115.9
19110101 19110131   245.9
19110201 19110228   172.9
19110301 19110331   123.6
19110401 19110430   155.5
19110501 19110531    58.3
19110601 19110630    43.3
19110701 19110731    71.4
19110801 19110831   200.2
19110901 19110930    29.2
19111001 19111031    77.7
19111101 19111130    35.0
19111201 19111231    22.9
19120101 19120131    29.2
19120201 19120229    75.9
19120301 19120331   276.9
19120401 19120430    37.8
19120501 19120531    32.0
19120601 19120630   128.9
19120701 19120731   399.3
19120801 19120831    41.5
19120901 19120930    16.2
19121001 19121031    60.2
19121101 19121130   100.9
19121201 19121231    57.5
19130101 19130131    39.4
19130201 19130228   120.2
19130301 19130331    53.7
19130401 19130430   163.2
19130501 19130531   205.1
19130601 19130630   241.6
19130701 19130731   210.6
19130801 19130831     0.0
19130901 19130930   122.8
19131001 19131031    24.3
19131101 19131130    87.6
19131201 19131231   104.8
19140101 19140131    53.9
19140201 19140228   111.0
19140301 19140331   282.7
19140401 19140430    21.3
19140501 19140531   196.0
19140601 19140630   368.5
19140701 19140731   298.6
19140801 19140831    70.4
19140901 19140930    70.0
19141001 19141031   264.6
19141101 19141130    89.4
19141201 19141231    70.2
19150101 19150131    84.1
19150201 19150228    80.9
19150301 19150331    13.6
19150401 19150430    39.4
19150501 19150531   239.9
19150601 19150630    20.1
19150701 19150731    65.8
19150801 19150831    48.0
19150901 19150930    38.8
19151001 19151031     1.5
19151101 19151130    12.8
19151201 19151231    34.1
19160101 19160131    98.3
19160201 19160229   324.1
19160301 19160331    88.7
19160401 19160430   291.5
19160501 19160531   111.1
19160601 19160630    28.7
19160701 19160731    45.0
19160801 19160831    93.3
19160901 19160930   131.8
19161001 19161031    78.1
19161101 19161130   154.7
19161201 19161231   108.9
19170101 19170131   165.0
19170201 19170228   156.1
19170301 19170331   253.1
19170401 19170430   180.3
19170501 19170531   132.8
19170601 19170630    16.9
19170701 19170731    12.4
19170801 19170831    89.8
19170901 19170930   157.2
19171001 19171031    68.8
19171101 19171130   330.4
19171201 19171231   108.2
19180101 19180131   193.0
19180201 19180228    76.1
19180301 19180331   143.7
19180401 19180430   220.4
19180501 19180531   102.9
19180601 19180630    64.9
19180701 19180731    50.8
19180801 19180831    59.6
19180901 19180930    68.4
19181001 19181031    22.4
19181101 19181130    14.0
19181201 19181231    38.2
19190101 19190131    77.8
19190201 19190228    44.1
19190301 19190331   175.8
19190401 19190430   205.0
19190501 19190531   419.2
19190601 19190630   167.1
19190701 19190731    41.8
19190801 19190831     9.8
19190901 19190930     1.3
19191001 19191031    77.4
19191101 19191130    18.6
19191201 19191231   103.3
19200101 19200131   185.2
19200201 19200229    54.7
19200301 19200331   169.6
19200401 19200430   167.8
19200501 19200531   167.6
19200601 19200630    64.0
19200701 19200731   120.7
19200801 19200831    38.0
19200901 19200930   120.8
19201001 19201031   108.3
19201101 19201130   118.9
19201201 19201231    33.3
19210101 19210131   259.9
19210201 19210228    67.9
19210301 19210331   107.8
19210401 19210430   229.8
19210501 19210531   753.0
19210601 19210630   152.1
19210701 19210731   245.3
19210801 19210831    58.1
19210901 19210930   128.5
19211001 19211031    76.0
19211101 19211130    44.7
19211201 19211231   266.0
19220101 19220131   106.5
19220201 19220228   217.4
19220301 19220331    54.4
19220401 19220430    12.7
19220501 19220531   159.3
19220601 19220630   147.9
19220701 19220731   236.0
19220801 19220831    57.2
19220901 19220930   184.9
19221001 19221031    37.9
19221101 19221130    34.3
19221201 19221231    38.8
19230101 19230131    61.4
19230201 19230228    30.0
19230301 19230331    84.9
19230401 19230430   593.1
19230501 19230531     8.5
19230601 19230630    71.1
19230701 19230731    80.2
19230801 19230831    99.6
19230901 19230930    17.0
19231001 19231031    33.5
19231101 19231130    30.8
19231201 19231231   153.7
19240101 19240131   100.6
19240201 19240229    98.0
19240301 19240331   142.9
19240401 19240430   114.3
19240501 19240531   156.5
19240601 19240630   198.3
19240701 19240731   306.5
19240801 19240831    62.1
19240901 19240930    17.7
19241001 19241031    82.2
19241101 19241130   120.0
19241201 19241231   134.4
19250101 19250131   158.0
19250201 19250228    70.3
19250301 19250331   262.0
19250401 19250430   174.7
19250501 19250531   203.3
19250601 19250630   120.2
19250701 19250731    25.4
19250801 19250831   264.7
19250901 19250930     3.1
19251001 19251031    55.2
19251101 19251130   283.7
19251201 19251231   156.7
19260101 19260131   127.4
19260201 19260228     5.8
19260301 19260331   164.9
19260401 19260430   280.4
19260501 19260531   118.6
19260601 19260630   107.7
19260701 19260731    66.0
19260801 19260831    29.8
19260901 19260930    50.9
19261001 19261031    33.6
19261101 19261130     0.8
19261201 19261231   170.2
19270101 19270131   371.8
19270201 19270228   124.3
19270301 19270331   171.1
19270401 19270430    87.8
19270501 19270531     3.8
19270601 19270630   122.1
19270701 19270731     9.1
19270801 19270831    13.7
19270901 19270930    86.0
19271001 19271031    99.6
19271101 19271130   203.1
19271201 19271231   120.0
19280101 19280131   159.0
19280201 19280229   158.6
19280301 19280331   112.3
19280401 19280430   105.4
19280501 19280531   125.0
19280601 19280630   114.9
19280701 19280731    84.4
19280801 19280831    81.2
19280901 19280930     3.8
19281001 19281031    47.7
19281101 19281130    13.6
19281201 19281231    73.0
19290101 19290131   217.1
19290201 19290228   253.2
19290301 19290331   269.4
19290401 19290430   230.0
19290501 19290531   147.5
19290601 19290630   355.5
19290701 19290731    56.4
19290801 19290831    51.4
19290901 19290930    28.0
19291001 19291031    86.1
19291101 19291130    37.0
19291201 19291231    50.3
19300101 19300131   268.2
19300201 19300228    49.2
19300301 19300331   195.7
19300401 19300430   210.4
19300501 19300531   358.7
19300601 19300630   332.9
19300701 19300731    61.4
19300801 19300831    91.3
19300901 19300930    39.9
19301001 19301031    33.8
19301101 19301130    22.1
19301201 19301231    88.9
19310101 19310131    82.2
19310201 19310228   253.0
19310301 19310331   179.9
19310401 19310430   111.9
19310501 19310531    42.2
19310601 19310630    93.9
19310701 19310731    51.8
19310801 19310831    47.1
19310901 19310930    17.8
19311001 19311031    26.1
19311101 19311130    89.5
19311201 19311231   246.7
19320101 19320131    35.4
19320201 19320229    18.3
19320301 19320331    25.4
19320401 19320430   101.0
19320501 19320531   137.0
19320601 19320630   105.3
19320701 19320731    38.4
19320801 19320831    34.8
19320901 19320930    88.6
19321001 19321031    76.2
19321101 19321130    67.5
19321201 19321231     8.1
19330101 19330131   290.1
19330201 19330228    55.4
19330301 19330331   147.5
19330401 19330430   173.0
19330501 19330531    88.7
19330601 19330630   204.0
19330701 19330731   242.7
19330801 19330831     6.3
19330901 19330930   106.8
19331001 19331031   135.1
19331101 19331130   118.2
19331201 19331231   171.1
19340101 19340131   119.3
19340201 19340228   175.1
19340301 19340331    72.5
19340401 19340430   157.6
19340501 19340531   283.1
19340601 19340630    38.4
19340701 19340731   260.6
19340801 19340831    52.5
19340901 19340930   133.6
19341001 19341031    68.5
19341101 19341130    86.8
19341201 19341231   132.1
19350101 19350131    96.4
19350201 19350228   160.7
19350301 19350331   254.3
19350401 19350430   117.2
19350501 19350531   202.9
19350601 19350630    24.1
19350701 19350731   106.2
19350801 19350831    29.6
19350901 19350930   170.9
19351001 19351031    50.1
19351101 19351130    31.8
19351201 19351231    83.6
19360101 19360131    79.5
19360201 19360229    61.8
19360301 19360331   264.7
19360401 19360430    86.8
19360501 19360531   168.4
19360601 19360630    48.7
19360701 19360731    64.4
19360801 19360831    13.9
19360901 19360930    89.6
