PRCP       058012 18820101 20180131 missing_value=99999.9 YAMBA PILOT STATION                       
19780501 19780531   125.3
19780601 19780630    38.4
19780701 19780731    65.4
19780801 19780831    79.0
19780901 19780930    99.0
19781001 19781031   242.4
19781101 19781130    18.4
19781201 19781231   146.5
19790101 19790131   122.0
19790201 19790228   107.6
19790301 19790331   120.8
19790401 19790430   260.5
19790501 19790531   134.0
19790601 19790630   216.1
19790701 19790731    79.3
19790801 19790831     4.0
19790901 19790930    14.0
19791001 19791031    95.3
19791101 19791130    63.1
19791201 19791231    49.9
19800101 19800131   113.9
19800201 19800229    73.2
19800301 19800331    52.7
19800401 19800430    47.2
19800501 19800531   554.5
19800601 19800630    77.3
19800701 19800731    42.0
19800801 19800831    22.6
19800901 19800930     2.4
19801001 19801031    30.4
19801101 19801130   121.8
19801201 19801231    76.8
19810101 19810131    37.2
19810201 19810228   326.3
19810301 19810331   150.2
19810401 19810430   253.7
19810501 19810531   147.7
19810601 19810630    25.3
19810701 19810731    50.7
19810801 19810831    45.4
19810901 19810930    27.3
19811001 19811031    67.1
19811101 19811130   168.6
19811201 19811231   107.9
19820101 19820131   163.7
19820201 19820228   129.2
19820301 19820331   180.6
19820401 19820430   194.6
19820501 19820531    59.4
19820601 19820630    58.8
19820701 19820731    85.8
19820801 19820831    96.0
19820901 19820930   214.3
19821001 19821031   194.0
19821101 19821130    34.6
19821201 19821231   102.4
19830101 19830131    76.6
19830201 19830228   103.8
19830301 19830331   202.6
19830401 19830430   281.5
19830501 19830531   304.5
19830601 19830630   259.6
19830701 19830731   125.8
19830801 19830831    75.4
19830901 19830930    63.0
19831001 19831031   128.6
19831101 19831130   181.2
19831201 19831231   233.2
19840101 19840131   140.0
19840201 19840229   136.2
19840301 19840331   123.2
19840401 19840430   147.1
19840501 19840531    72.0
19840601 19840630   258.4
19840701 19840731   142.0
19840801 19840831    17.2
19840901 19840930    22.2
19841001 19841031    94.0
19841101 19841130   134.8
19841201 19841231   157.0
19850101 19850131    47.1
19850201 19850228   269.0
19850301 19850331   203.6
19850401 19850430   299.2
19850501 19850531   307.0
19850601 19850630    51.4
19850701 19850731   197.4
19850801 19850831    17.8
19850901 19850930   114.8
19851001 19851031    54.0
19851101 19851130    40.2
19851201 19851231   130.2
19860101 19860131    93.4
19860201 19860228    75.4
19860301 19860331    76.0
19860401 19860430    45.6
19860501 19860531   218.6
19860601 19860630    98.6
19860701 19860731    36.6
19860801 19860831    17.4
19860901 19860930    10.8
19861001 19861031    72.0
19861101 19861130   193.4
19861201 19861231    69.2
19870101 19870131    66.2
19870201 19870228   112.0
19870301 19870331   310.2
19870401 19870430    79.2
19870501 19870531   265.6
19870601 19870630   189.4
19870701 19870731   132.6
19870801 19870831   184.2
19870901 19870930     2.2
19871001 19871031    53.6
19871101 19871130    88.2
19871201 19871231   232.0
19880101 19880131   178.0
19880201 19880229   167.8
19880301 19880331   374.1
19880401 19880430   629.4
19880501 19880531    52.2
19880601 19880630   160.4
19880701 19880731   191.9
19880801 19880831    41.4
19880901 19880930   189.2
19881001 19881031     6.4
19881101 19881130    44.6
19881201 19881231   141.3
19890101 19890131   283.2
19890201 19890228    87.2
19890301 19890331   242.8
19890401 19890430   243.2
19890501 19890531   138.0
19890601 19890630   201.2
19890701 19890731    43.2
19890801 19890831    32.0
19890901 19890930     7.4
19891001 19891031    18.4
19891101 19891130   163.7
19891201 19891231   120.8
19900101 19900131    95.6
19900201 19900228   290.6
19900301 19900331    64.8
19900401 19900430   365.0
19900501 19900531   366.2
19900601 19900630    96.8
19900701 19900731    69.2
19900801 19900831     8.4
19900901 19900930    81.6
19901001 19901031    52.4
19901101 19901130    42.8
19901201 19901231    66.8
19910101 19910131    51.6
19910201 19910228    88.6
19910301 19910331    40.6
19910401 19910430    75.2
19910501 19910531   142.6
19910601 19910630   195.6
19910701 19910731    63.4
19910801 19910831     2.2
19910901 19910930     0.1
19911001 19911031    45.4
19911101 19911130    59.8
19911201 19911231   262.6
19920101 19920131   212.4
19920201 19920229   208.8
19920301 19920331   242.3
19920401 19920430   148.8
19920501 19920531   123.2
19920601 19920630   120.4
19920701 19920731    29.8
19920801 19920831    14.2
19920901 19920930    18.2
19921001 19921031    61.2
19921101 19921130    78.4
19921201 19921231   172.9
19930101 19930131   103.6
19930201 19930228    80.4
19930301 19930331   116.6
19930401 19930430   161.8
19930501 19930531    75.2
19930601 19930630    91.8
19930701 19930731   185.0
19930801 19930831    26.8
19930901 19930930    24.4
19931001 19931031    78.6
19931101 19931130    71.8
19931201 19931231   122.4
19940101 19940131    46.6
19940201 19940228    91.6
19940301 19940331   567.4
19940401 19940430    59.0
19940501 19940531    90.4
19940601 19940630    18.2
19940701 19940731    94.6
19940801 19940831    82.2
19940901 19940930    10.0
19941001 19941031    55.4
19941101 19941130    59.0
19941201 19941231   162.4
19950101 19950131    62.8
19950201 19950228   300.0
19950301 19950331   145.0
19950401 19950430   110.4
19950501 19950531   114.0
19950601 19950630   100.6
19950701 19950731     9.8
19950801 19950831    26.2
19950901 19950930    31.6
19951001 19951031    77.7
19951101 19951130   144.2
19951201 19951231   107.2
19960101 19960131   328.4
19960201 19960229    97.0
19960301 19960331   145.6
19960401 19960430    37.4
19960501 19960531   494.2
19960601 19960630   251.2
19960701 19960731    80.4
19960801 19960831    33.0
19960901 19960930    25.2
19961001 19961031    57.4
19961101 19961130   119.2
19961201 19961231   139.1
19970101 19970131    94.2
19970201 19970228   209.0
19970301 19970331   168.8
19970401 19970430    78.6
19970501 19970531   232.8
19970601 19970630   131.2
19970701 19970731   125.8
19970801 19970831    41.0
19970901 19970930    56.2
19971001 19971031   104.6
19971101 19971130    62.6
19971201 19971231    44.0
19980101 19980131    62.0
19980201 19980228    74.2
19980301 19980331   107.1
19980401 19980430   196.3
19980501 19980531   126.8
19980601 19980630    53.4
19980701 19980731   128.6
19980801 19980831    98.8
19980901 19980930   120.0
19981001 19981031    60.6
19981101 19981130   128.4
19981201 19981231   103.6
19990101 19990131   130.8
19990201 19990228   276.4
19990301 19990331   486.4
19990401 19990430   173.6
19990501 19990531   223.2
19990601 19990630   249.2
19990701 19990731   271.0
19990801 19990831   151.6
19990901 19990930    29.4
19991001 19991031   143.4
19991101 19991130   138.2
19991201 19991231   126.8
20000101 20000131   150.0
20000201 20000229    65.5
20000301 20000331   112.2
20000401 20000430   145.6
20000501 20000531   116.8
20000601 20000630   116.1
20000701 20000731    21.3
20000801 20000831    57.5
20000901 20000930    22.4
20001001 20001031    64.4
20001101 20001130    80.6
20001201 20001231    63.5
20010101 20010131    76.8
20010201 20010228   254.0
20010301 20010331   382.4
20010401 20010430   116.0
20010501 20010531   164.0
20010601 20010630    38.3
20010701 20010731    78.8
20010801 20010831    33.2
20010901 20010930    25.0
20011001 20011031    38.7
20011101 20011130   152.6
20011201 20011231    57.0
20020101 20020131    75.2
20020201 20020228   158.6
20020301 20020331    93.3
20020401 20020430   136.1
20020501 20020531    95.8
20020601 20020630   117.6
20020701 20020731     1.4
20020801 20020831   107.6
20020901 20020930    35.1
20021001 20021031    22.4
20021101 20021130    37.8
20021201 20021231    68.0
20030101 20030131    34.4
20030201 20030228   274.0
20030301 20030331   188.2
20030401 20030430   179.2
20030501 20030531   409.8
20030601 20030630   120.0
20030701 20030731    56.0
20030801 20030831    13.2
20030901 20030930     2.8
20031001 20031031   126.6
20031101 20031130    20.6
20031201 20031231    52.8
20040101 20040131   234.6
20040201 20040229   112.8
20040301 20040331   183.8
20040401 20040430    98.2
20040501 20040531    10.2
20040601 20040630    49.8
20040701 20040731    19.4
20040801 20040831    12.4
20040901 20040930    24.7
20041001 20041031   142.0
20041101 20041130    92.3
20041201 20041231   131.8
20050101 20050131   156.4
20050201 20050228    64.2
20050301 20050331    52.8
20050401 20050430    74.0
20050501 20050531   176.3
20050601 20050630   330.5
20050701 20050731    94.8
20050801 20050831    21.9
20050901 20050930    29.3
20051001 20051031    52.4
20051101 20051130   187.6
20051201 20051231   135.4
20060101 20060131   210.6
20060201 20060228    74.0
20060301 20060331   214.3
20060401 20060430    40.7
20060501 20060531    67.0
20060601 20060630   191.0
20060701 20060731   121.7
20060801 20060831   230.1
20060901 20060930   113.0
20061001 20061031    39.2
20061101 20061130   135.1
20061201 20061231    71.6
20070101 20070131    56.4
20070201 20070228    65.6
20070301 20070331   129.6
20070401 20070430    97.5
20070501 20070531    56.9
20070601 20070630   169.2
20070701 20070731     0.4
20070801 20070831   224.5
20070901 20070930    34.4
20071001 20071031    61.6
20071101 20071130   249.6
20071201 20071231    57.0
20080101 20080131   293.6
20080201 20080229   259.9
20080301 20080331    39.3
20080401 20080430   307.9
20080501 20080531    69.2
20080601 20080630    77.2
20080701 20080731   110.0
20080801 20080831    16.2
20080901 20080930    43.7
20081001 20081031    16.0
20081101 20081130   191.4
20081201 20081231    83.4
20090101 20090131    68.2
20090201 20090228   152.1
20090301 20090331   242.6
20090401 20090430   268.6
20090501 20090531   327.8
20090601 20090630   181.0
20090701 20090731    66.8
20090801 20090831     2.3
20090901 20090930    27.2
20091001 20091031   218.4
20091101 20091130    75.2
20091201 20091231   145.1
20100101 20100131    49.5
20100201 20100228    95.4
20100301 20100331   323.0
20100401 20100430    88.2
20100501 20100531   129.9
20100601 20100630   156.8
20100701 20100731   119.8
20100801 20100831    42.9
20100901 20100930    76.4
20101001 20101031   331.4
20101101 20101130   136.6
20101201 20101231   226.0
20110101 20110131   228.9
20110201 20110228   206.3
20110301 20110331   140.5
20110401 20110430   476.8
20110501 20110531    57.2
20110601 20110630   393.5
20110701 20110731    58.6
20110801 20110831   158.4
20110901 20110930   113.2
20111001 20111031   104.4
20111101 20111130   122.5
20111201 20111231   127.3
20120101 20120131   266.5
20120201 20120229   157.5
20120301 20120331   138.2
20120401 20120430   283.0
20120501 20120531    97.4
20120601 20120630   412.6
20120701 20120731    60.8
20120801 20120831     1.6
20120901 20120930    17.8
20121001 20121031    27.8
20121101 20121130   159.4
20121201 20121231   106.0
20130101 20130131   249.2
20130201 20130228   260.0
20130301 20130331   149.7
20130401 20130430   175.2
20130501 20130531   130.6
20130601 20130630    92.9
20130701 20130731    99.6
20130801 20130831     6.2
20130901 20130930    42.6
20131001 20131031    32.4
20131101 20131130   253.8
20131201 20131231    25.7
20140101 20140131    58.2
20140201 20140228    26.8
20140301 20140331   318.6
20140401 20140430    64.0
20140501 20140531    69.7
20140601 20140630    57.2
20140701 20140731    24.4
20140801 20140831   238.8
20140901 20140930    43.0
20141001 20141031    13.8
20141101 20141130    29.6
20141201 20141231   227.2
20150101 20150131   112.5
20150201 20150228   275.4
20150301 20150331    45.6
20150401 20150430   183.2
20150501 20150531   221.4
20150601 20150630    90.2
20150701 20150731    82.6
20150801 20150831    47.6
20150901 20150930    78.2
20151001 20151031    21.6
20151101 20151130   146.8
20151201 20151231    83.0
20160101 20160131   135.6
20160201 20160229    49.4
20160301 20160331   190.4
20160401 20160430    51.4
20160501 20160531    11.0
20160601 20160630   307.6
20160701 20160731    17.6
20160801 20160831   195.6
20160901 20160930    22.4
20161001 20161031    31.8
20161101 20161130    36.2
20161201 20161231    21.8
20170101 20170131   268.0
20170201 20170228     3.6
20170301 20170331   728.8
20170401 20170430    88.4
20170501 20170531   121.6
20170601 20170630   382.0
20170701 20170731    23.0
20170801 20170831     0.6
20170901 20170930     0.8
20171001 20171031   171.6
20171101 20171130   103.2
20171201 20171231    92.0
20180101 20180131    41.2
