PRCP       016083 18910601 20171231 missing_value=99999.9 HAMILTON STATION                          
19130501 19130531     1.6
19130601 19130630     0.0
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     1.1
19131001 19131031    15.2
19131101 19131130     9.5
19131201 19131231     9.3
19140101 19140131    70.2
19140201 19140228     0.0
19140301 19140331     0.0
19140401 19140430     6.0
19140501 19140531     7.9
19140601 19140630     4.9
19140701 19140731     1.1
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    17.6
19141101 19141130     6.2
19141201 19141231     4.4
19150101 19150131     5.1
19150201 19150228     1.9
19150301 19150331     0.0
19150401 19150430    11.6
19150501 19150531     4.9
19150601 19150630     5.3
19150701 19150731     0.5
19150801 19150831     1.1
19150901 19150930     5.7
19151001 19151031    12.7
19151101 19151130     0.0
19151201 19151231     0.0
19160101 19160131    15.6
19160201 19160229     6.0
19160301 19160331    45.8
19160401 19160430     0.9
19160501 19160531     1.1
19160601 19160630    75.1
19160701 19160731    11.4
19160801 19160831     0.0
19160901 19160930     3.0
19161001 19161031    55.0
19161101 19161130    15.5
19161201 19161231     6.2
19170101 19170131    55.8
19170201 19170228    20.1
19170301 19170331    13.0
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630     0.0
19170701 19170731    22.7
19170801 19170831     3.8
19170901 19170930     4.1
19171001 19171031     2.7
19171101 19171130    13.6
19171201 19171231     0.0
19180101 19180131    24.1
19180201 19180228     0.0
19180301 19180331     0.0
19180401 19180430     2.1
19180501 19180531     7.6
19180601 19180630     3.2
19180701 19180731     0.0
19180801 19180831    13.2
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130     0.0
19181201 19181231     0.0
19190101 19190131     0.0
19190201 19190228     6.7
19190301 19190331     0.0
19190401 19190430    17.1
19190501 19190531     0.0
19190601 19190630     0.0
19190701 19190731     1.6
19190801 19190831     0.0
19190901 19190930     0.0
19191001 19191031     1.1
19191101 19191130     4.9
19191201 19191231     0.0
19200101 19200131    51.2
19200201 19200229     2.5
19200301 19200331     0.0
19200401 19200430     1.1
19200501 19200531     2.5
19200601 19200630    45.9
19200701 19200731     2.1
19200801 19200831    42.0
19200901 19200930    24.9
19201001 19201031    52.8
19201101 19201130    66.4
19201201 19201231    12.0
19210101 19210131     0.0
19210201 19210228    47.2
19210301 19210331    20.2
19210401 19210430     0.0
19210501 19210531    93.6
19210601 19210630     5.4
19210701 19210731     0.0
19210801 19210831    10.0
19210901 19210930     4.6
19211001 19211031     4.1
19211101 19211130     0.0
19211201 19211231    21.4
19220101 19220131     1.1
19220201 19220228    33.6
19220301 19220331     2.1
19220401 19220430    35.5
19220501 19220531    18.1
19220601 19220630     9.5
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    10.6
19221101 19221130     0.0
19221201 19221231    37.1
19230101 19230131     0.0
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     0.5
19230501 19230531    23.0
19230601 19230630    29.9
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     3.5
19231101 19231130     1.4
19231201 19231231    88.0
19240101 19240131    19.0
19240201 19240229     1.1
19240301 19240331     0.0
19240401 19240430    18.7
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831     3.5
19240901 19240930     6.3
19241001 19241031    61.8
19241101 19241130    24.1
19241201 19241231     0.0
19250101 19250131    25.2
19250201 19250228     0.0
19250301 19250331     0.0
19250401 19250430     6.0
19250501 19250531     1.4
19250601 19250630     0.0
19250701 19250731    33.4
19250801 19250831     0.0
19250901 19250930     0.9
19251001 19251031     0.0
19251101 19251130     5.4
19251201 19251231     0.0
19260101 19260131     0.9
19260201 19260228     1.1
19260301 19260331    21.6
19260401 19260430    15.8
19260501 19260531    12.0
19260601 19260630     1.4
19260701 19260731     0.0
19260801 19260831     2.7
19260901 19260930    12.2
19261001 19261031    10.9
19261101 19261130     0.0
19261201 19261231    10.3
19270101 19270131     2.8
19270201 19270228     2.1
19270301 19270331     3.5
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630    55.9
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930    35.5
19271001 19271031    12.3
19271101 19271130    10.9
19271201 19271231     4.4
19280101 19280131     0.0
19280201 19280229     8.1
19280301 19280331     0.0
19280401 19280430     0.0
19280501 19280531     3.0
19280601 19280630    33.6
19280701 19280731     6.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031    14.4
19281101 19281130     0.0
19281201 19281231     8.1
19290101 19290131     0.0
19290201 19290228     0.0
19290301 19290331     6.5
19290401 19290430     0.0
19290501 19290531     0.0
19290601 19290630     3.0
19290701 19290731     0.0
19290801 19290831     4.9
19290901 19290930    15.7
19291001 19291031     0.0
19291101 19291130     3.0
19291201 19291231    34.5
19300101 19300131     3.8
19300201 19300228     7.9
19300301 19300331     0.0
19300401 19300430     6.0
19300501 19300531     5.1
19300601 19300630     5.1
19300701 19300731     2.5
19300801 19300831    13.0
19300901 19300930     0.0
19301001 19301031    63.2
19301101 19301130    13.0
19301201 19301231    40.9
19310101 19310131    19.3
19310201 19310228     0.0
19310301 19310331    11.9
19310401 19310430     0.0
19310501 19310531     2.5
19310601 19310630    19.3
19310701 19310731     2.3
19310801 19310831    12.7
19310901 19310930     0.0
19311001 19311031     2.5
19311101 19311130     0.0
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    14.2
19320301 19320331     0.0
19320401 19320430     3.6
19320501 19320531     0.0
19320601 19320630    31.0
19320701 19320731    14.2
19320801 19320831    10.2
19320901 19320930     0.0
19321001 19321031     0.0
19321101 19321130     4.1
19321201 19321231     0.0
19330101 19330131     0.0
19330201 19330228     0.0
19330301 19330331     0.0
19330401 19330430     0.0
19330501 19330531     0.0
19330601 19330630     0.0
19330701 19330731     0.0
19330801 19330831    70.6
19330901 19330930    22.9
19331001 19331031     8.9
19331101 19331130     0.0
19331201 19331231     8.4
19340101 19340131     0.0
19340201 19340228     0.0
19340301 19340331     0.0
19340401 19340430     0.0
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031    12.7
19341101 19341130    37.6
19341201 19341231     6.4
19350101 19350131    38.1
19350201 19350228     0.0
19350301 19350331    15.2
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630    17.3
19350701 19350731     0.0
19350801 19350831    22.1
19350901 19350930    19.8
19351001 19351031    43.2
19351101 19351130     6.4
19351201 19351231     0.0
19360101 19360131     2.0
19360201 19360229    71.9
19360301 19360331     0.0
19360401 19360430     0.0
19360501 19360531    12.7
19360601 19360630     9.1
19360701 19360731    16.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130    22.4
19361201 19361231    12.7
19370101 19370131    93.7
19370201 19370228     0.0
19370301 19370331     0.0
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     4.6
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     9.7
19371001 19371031     0.0
19371101 19371130     0.0
19371201 19371231     6.6
19380101 19380131     0.0
19380201 19380228   114.3
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630    16.0
