PRCP       070027 18890701 20180131 missing_value=99999.9 DELEGATE (WEEWALLA)                       
19840701 19840731   166.2
19840801 19840831    45.8
19840901 19840930   128.8
19841001 19841031    23.0
19841101 19841130    36.0
19841201 19841231    30.8
19850101 19850131    19.0
19850201 19850228    27.4
19850301 19850331    67.8
19850401 19850430    73.6
19850501 19850531    12.4
19850601 19850630    39.6
19850701 19850731    16.6
19850801 19850831    70.6
19850901 19850930    94.2
19851001 19851031   154.8
19851101 19851130   118.8
19851201 19851231   118.0
19860101 19860131    33.2
19860201 19860228     2.6
19860301 19860331    16.8
19860401 19860430     8.2
19860501 19860531    16.8
19860601 19860630    13.0
19860701 19860731    60.4
19860801 19860831    28.0
19860901 19860930    63.4
19861001 19861031    40.8
19861101 19861130    60.6
19861201 19861231    41.2
19870101 19870131    19.6
19870201 19870228    78.4
19870301 19870331    62.8
19870401 19870430     5.8
19870501 19870531    17.4
19870601 19870630    22.0
19870701 19870731    89.8
19870801 19870831    19.4
19870901 19870930    26.2
19871001 19871031    27.6
19871101 19871130    38.4
19871201 19871231    64.6
19880101 19880131    45.2
19880201 19880229    19.6
19880301 19880331    41.8
19880401 19880430    70.0
19880501 19880531    60.4
19880601 19880630    24.0
19880701 19880731    33.0
19880801 19880831    28.0
19880901 19880930    53.6
19881001 19881031    12.4
19881101 19881130   170.4
19881201 19881231    72.2
19890101 19890131    55.2
19890201 19890228     8.0
19890301 19890331   119.0
19890401 19890430   103.4
19890501 19890531    29.2
19890601 19890630    69.8
19890701 19890731   122.8
19890801 19890831    35.0
19890901 19890930    36.4
19891001 19891031    57.2
19891101 19891130   102.8
19891201 19891231    39.8
19900101 19900131    26.8
19900201 19900228    78.0
19900301 19900331    22.8
19900401 19900430   101.6
19900501 19900531    50.4
19900601 19900630    11.0
19900701 19900731    19.6
19900801 19900831    73.0
19900901 19900930    55.6
19901001 19901031    50.2
19901101 19901130    37.4
19901201 19901231    25.0
19910101 19910131   118.6
19910201 19910228    16.0
19910301 19910331    33.6
19910401 19910430    47.4
19910501 19910531    28.2
19910601 19910630   142.8
19910701 19910731   125.4
19910801 19910831    42.0
19910901 19910930    49.2
19911001 19911031    19.2
19911101 19911130    12.6
19911201 19911231    74.2
19920101 19920131   112.8
19920201 19920229    52.2
19920301 19920331    23.8
19920401 19920430    29.4
19920501 19920531    15.4
19920601 19920630    55.6
19920701 19920731    28.8
19920801 19920831    60.6
19920901 19920930    92.6
19921001 19921031    72.6
19921101 19921130    93.8
19921201 19921231    81.4
19930101 19930131    44.0
19930201 19930228    89.0
19930301 19930331   133.0
19930401 19930430     7.0
19930501 19930531    20.4
19930601 19930630    38.4
19930701 19930731    60.4
19930801 19930831    17.8
19930901 19930930    50.4
19931001 19931031    73.8
19931101 19931130    35.8
19931201 19931231    60.4
19940101 19940131    73.8
19940201 19940228    86.2
19940301 19940331    35.4
19940401 19940430   112.0
19940501 19940531    13.2
19940601 19940630    27.2
19940701 19940731     4.6
19940801 19940831    15.6
19940901 19940930    30.8
19941001 19941031    60.2
19941101 19941130    97.0
19941201 19941231    54.0
19950101 19950131   147.8
19950201 19950228    35.8
19950301 19950331    29.0
19950401 19950430    23.2
19950501 19950531    41.0
19950601 19950630    53.0
19950701 19950731    29.8
19950801 19950831    15.2
19950901 19950930    50.8
19951001 19951031   124.8
19951101 19951130    80.4
19951201 19951231    87.2
19960101 19960131    78.4
19960201 19960229    23.8
19960301 19960331    32.8
19960401 19960430    29.6
19960501 19960531    68.2
19960601 19960630     9.2
19960701 19960731    45.8
19960801 19960831    31.4
19960901 19960930    36.4
19961001 19961031    25.6
19961101 19961130    68.6
19961201 19961231    42.8
19970101 19970131    79.6
19970201 19970228    10.8
19970301 19970331    67.4
19970401 19970430 99999.9
19970501 19970531    41.2
19970601 19970630    62.6
19970701 19970731 99999.9
19970801 19970831     8.0
19970901 19970930     7.6
19971001 19971031    37.0
19971101 19971130    16.6
19971201 19971231    34.2
19980101 19980131    30.0
19980201 19980228     7.2
19980301 19980331    16.2
19980401 19980430    19.6
19980501 19980531    21.2
19980601 19980630   115.6
19980701 19980731    33.0
19980801 19980831    78.2
19980901 19980930 99999.9
19981001 19981031    60.3
19981101 19981130    64.4
19981201 19981231    57.8
19990101 19990131    55.8
19990201 19990228    51.4
19990301 19990331    54.2
19990401 19990430    60.4
19990501 19990531     3.8
19990601 19990630    18.4
19990701 19990731    14.4
19990801 19990831    14.6
19990901 19990930    20.0
19991001 19991031    50.4
19991101 19991130    27.2
19991201 19991231    99.0
20000101 20000131    30.0
20000201 20000229    39.4
20000301 20000331    82.8
20000401 20000430    34.6
20000501 20000531    38.8
20000601 20000630    52.4
20000701 20000731    27.7
20000801 20000831    44.4
20000901 20000930    55.4
20001001 20001031    44.4
20001101 20001130   150.4
20001201 20001231    27.0
20010101 20010131    83.6
20010201 20010228   105.2
20010301 20010331    33.6
20010401 20010430    47.6
20010501 20010531    21.1
20010601 20010630    26.1
20010701 20010731   105.8
20010801 20010831    64.4
20010901 20010930    46.6
20011001 20011031    76.2
20011101 20011130    45.8
20011201 20011231    30.8
20020101 20020131    61.6
20020201 20020228   123.4
20020301 20020331    42.2
20020401 20020430   100.4
20020501 20020531    19.4
20020601 20020630    37.0
20020701 20020731    15.4
20020801 20020831    22.0
20020901 20020930    36.4
20021001 20021031    45.7
20021101 20021130    54.4
20021201 20021231    24.8
20030101 20030131    11.2
20030201 20030228    47.6
20030301 20030331   111.2
20030401 20030430    39.0
20030501 20030531    17.4
20030601 20030630    20.4
20030701 20030731    18.2
20030801 20030831    56.4
20030901 20030930    30.1
20031001 20031031    72.0
20031101 20031130    62.0
20031201 20031231    97.8
20040101 20040131    77.4
20040201 20040229    23.2
20040301 20040331     0.2
20040401 20040430    42.8
20040501 20040531    56.6
20040601 20040630     6.6
20040701 20040731    67.6
20040801 20040831    13.2
20040901 20040930    49.1
20041001 20041031    59.0
20041101 20041130    51.0
20041201 20041231   124.4
20050101 20050131    72.8
20050201 20050228    66.0
20050301 20050331    47.4
20050401 20050430    29.4
20050501 20050531     7.6
20050601 20050630    30.2
20050701 20050731   119.6
20050801 20050831    37.0
20050901 20050930    85.4
20051001 20051031    49.6
20051101 20051130    70.2
20051201 20051231    53.8
20060101 20060131   109.4
20060201 20060228     0.6
20060301 20060331     4.2
20060401 20060430    34.8
20060501 20060531    73.4
20060601 20060630    93.0
20060701 20060731    46.0
20060801 20060831    31.4
20060901 20060930    22.2
20061001 20061031     4.4
20061101 20061130    40.8
20061201 20061231    17.2
20070101 20070131    46.0
20070201 20070228   146.4
20070301 20070331    30.2
20070401 20070430    24.8
20070501 20070531    15.6
20070601 20070630   171.2
20070701 20070731    53.0
20070801 20070831    13.2
20070901 20070930    12.6
20071001 20071031    34.8
20071101 20071130   102.0
20071201 20071231    50.7
20080101 20080131    38.4
20080201 20080229    62.0
20080301 20080331    23.6
20080401 20080430     8.5
20080501 20080531    13.8
20080601 20080630    23.6
20080701 20080731    41.6
20080801 20080831    34.2
20080901 20080930    32.8
20081001 20081031    29.4
20081101 20081130    85.8
20081201 20081231    43.4
20090101 20090131    14.2
20090201 20090228    16.2
20090301 20090331    15.0
20090401 20090430    78.4
20090501 20090531     7.6
20090601 20090630    52.6
20090701 20090731    18.4
20090801 20090831    23.6
20090901 20090930    48.4
20091001 20091031    79.6
20091101 20091130    39.0
20091201 20091231    25.6
20100101 20100131    58.6
20100201 20100228   125.4
20100301 20100331    38.8
20100401 20100430    11.4
20100501 20100531    70.4
20100601 20100630    17.4
20100701 20100731    17.2
20100801 20100831    59.0
20100901 20100930    14.0
20101001 20101031    87.0
20101101 20101130   104.6
20101201 20101231    96.2
20110101 20110131    20.4
20110201 20110228    99.0
20110301 20110331   111.8
20110401 20110430     5.8
20110501 20110531    28.8
20110601 20110630    96.2
20110701 20110731    65.4
20110801 20110831    41.6
20110901 20110930    31.0
20111001 20111031    48.4
20111101 20111130   103.0
20111201 20111231    44.8
20120101 20120131    46.6
20120201 20120229    97.4
20120301 20120331   230.8
20120401 20120430    76.0
20120501 20120531    26.0
20120601 20120630    77.6
20120701 20120731    25.2
20120801 20120831    49.3
20120901 20120930    38.8
20121001 20121031    64.2
20121101 20121130    63.2
20121201 20121231    24.8
20130101 20130131    34.8
20130201 20130228    94.6
20130301 20130331    33.4
20130401 20130430    59.8
20130501 20130531     9.2
20130601 20130630   119.2
20130701 20130731    10.5
20130801 20130831    30.4
20130901 20130930    35.8
20131001 20131031    40.2
20131101 20131130    77.6
20131201 20131231    74.6
20140101 20140131    46.6
20140201 20140228     8.2
20140301 20140331    46.4
20140401 20140430   113.6
20140501 20140531    23.6
20140601 20140630   110.0
20140701 20140731    39.0
20140801 20140831    34.6
20140901 20140930    68.6
20141001 20141031    74.4
20141101 20141130    58.6
20141201 20141231   143.8
20150101 20150131   100.8
20150201 20150228    33.8
20150301 20150331     3.6
20150401 20150430   173.0
20150501 20150531    11.0
20150601 20150630    29.4
20150701 20150731    80.0
20150801 20150831    66.6
20150901 20150930    50.0
20151001 20151031    26.0
20151101 20151130    93.2
20151201 20151231    38.4
20160101 20160131   121.6
20160201 20160229     4.6
20160301 20160331    59.0
20160401 20160430    18.0
20160501 20160531    33.2
20160601 20160630   105.0
20160701 20160731    82.4
20160801 20160831    12.0
20160901 20160930    96.8
20161001 20161031    51.6
20161101 20161130    31.0
20161201 20161231    39.0
20170101 20170131    21.2
20170201 20170228    38.8
20170301 20170331    58.2
20170401 20170430    23.4
20170501 20170531    55.4
20170601 20170630    20.6
20170701 20170731    16.0
20170801 20170831    33.8
20170901 20170930    20.4
20171001 20171031    36.8
20171101 20171130    59.8
20171201 20171231    74.6
20180101 20180131    76.0
