PRCP       070027 18890701 20180131 missing_value=99999.9 DELEGATE (WEEWALLA)                       
19110601 19110630   103.3
19110701 19110731    43.1
19110801 19110831    32.6
19110901 19110930    42.9
19111001 19111031    34.5
19111101 19111130    15.6
19111201 19111231    71.8
19120101 19120131    12.0
19120201 19120229    25.5
19120301 19120331    37.0
19120401 19120430    32.1
19120501 19120531    18.8
19120601 19120630    42.3
19120701 19120731   128.2
19120801 19120831    20.1
19120901 19120930    25.1
19121001 19121031    41.2
19121101 19121130    75.3
19121201 19121231    73.2
19130101 19130131    29.4
19130201 19130228    35.7
19130301 19130331   163.3
19130401 19130430    19.0
19130501 19130531   131.2
19130601 19130630   125.3
19130701 19130731    18.3
19130801 19130831    47.9
19130901 19130930    37.2
19131001 19131031    67.2
19131101 19131130    47.3
19131201 19131231    27.1
19140101 19140131    37.8
19140201 19140228     3.2
19140301 19140331   100.0
19140401 19140430    44.2
19140501 19140531    55.7
19140601 19140630    23.5
19140701 19140731    76.9
19140801 19140831    12.1
19140901 19140930    42.0
19141001 19141031    12.0
19141101 19141130    48.1
19141201 19141231    38.4
19150101 19150131    66.3
19150201 19150228    10.2
19150301 19150331    15.7
19150401 19150430    16.8
19150501 19150531    27.2
19150601 19150630    24.6
19150701 19150731    12.7
19150801 19150831    50.3
19150901 19150930    60.5
19151001 19151031    66.8
19151101 19151130    22.1
19151201 19151231    79.5
19160101 19160131    66.8
19160201 19160229    82.2
19160301 19160331    42.6
19160401 19160430    24.5
19160501 19160531    15.2
19160601 19160630    31.0
19160701 19160731    45.1
19160801 19160831    33.1
19160901 19160930    90.9
19161001 19161031    36.9
19161101 19161130    84.3
19161201 19161231    66.4
19170101 19170131    70.6
19170201 19170228    64.2
19170301 19170331    28.2
19170401 19170430    40.3
19170501 19170531    19.6
19170601 19170630    32.9
19170701 19170731    23.1
19170801 19170831    36.5
19170901 19170930    44.3
19171001 19171031    46.1
19171101 19171130    59.7
19171201 19171231    58.5
19180101 19180131   106.6
19180201 19180228    67.2
19180301 19180331    85.2
19180401 19180430    32.6
19180501 19180531    24.2
19180601 19180630    28.9
19180701 19180731    79.6
19180801 19180831    38.3
19180901 19180930    34.8
19181001 19181031    53.4
19181101 19181130    20.1
19181201 19181231    33.0
19190101 19190131     3.9
19190201 19190228   211.3
19190301 19190331    86.3
19190401 19190430    47.3
19190501 19190531    84.1
19190601 19190630    28.1
19190701 19190731    18.3
19190801 19190831   176.5
19190901 19190930    41.3
19191001 19191031    46.2
19191101 19191130    39.5
19191201 19191231   147.9
19200101 19200131   147.2
19200201 19200229    28.8
19200301 19200331    53.8
19200401 19200430    38.1
19200501 19200531    19.9
19200601 19200630    22.9
19200701 19200731    32.7
19200801 19200831    38.5
19200901 19200930    28.5
19201001 19201031    75.1
19201101 19201130    40.8
19201201 19201231   112.2
19210101 19210131   138.2
19210201 19210228   120.1
19210301 19210331    31.3
19210401 19210430    98.6
19210501 19210531    31.7
19210601 19210630    20.9
19210701 19210731    18.1
19210801 19210831    16.3
19210901 19210930    44.1
19211001 19211031    80.8
19211101 19211130    63.4
19211201 19211231    93.9
19220101 19220131    55.5
19220201 19220228    40.1
19220301 19220331    14.8
19220401 19220430     3.8
19220501 19220531    30.1
19220601 19220630    34.3
19220701 19220731   125.8
19220801 19220831    34.6
19220901 19220930    64.6
19221001 19221031    25.6
19221101 19221130    15.4
19221201 19221231    58.0
19230101 19230131    40.8
19230201 19230228     2.3
19230301 19230331    14.9
19230401 19230430     2.4
19230501 19230531    18.0
19230601 19230630    56.3
19230701 19230731    55.4
19230801 19230831    19.6
19230901 19230930   104.9
19231001 19231031    81.1
19231101 19231130    73.6
19231201 19231231    78.3
19240101 19240131    69.9
19240201 19240229   141.3
19240301 19240331    42.1
19240401 19240430    38.3
19240501 19240531    20.2
19240601 19240630    29.3
19240701 19240731    22.4
19240801 19240831    25.8
19240901 19240930    26.2
19241001 19241031    32.0
19241101 19241130   115.6
19241201 19241231   109.1
19250101 19250131    47.9
19250201 19250228    52.3
19250301 19250331    22.7
19250401 19250430    81.3
19250501 19250531   149.7
19250601 19250630    20.5
19250701 19250731   145.9
19250801 19250831    28.6
19250901 19250930    20.5
19251001 19251031    41.5
19251101 19251130    32.2
19251201 19251231     4.0
19260101 19260131    83.4
19260201 19260228     0.0
19260301 19260331    55.9
19260401 19260430    45.4
19260501 19260531    26.9
19260601 19260630    29.5
19260701 19260731    20.9
19260801 19260831    52.7
19260901 19260930    32.4
19261001 19261031    40.2
19261101 19261130    22.7
19261201 19261231    40.6
19270101 19270131    72.9
19270201 19270228    10.0
19270301 19270331    16.6
19270401 19270430    19.7
19270501 19270531    75.5
19270601 19270630    11.2
19270701 19270731    57.2
19270801 19270831    30.5
19270901 19270930    55.9
19271001 19271031   105.8
19271101 19271130    43.8
