PRCP       017004 19100101 20160630 missing_value=99999.9 ANNA CREEK                                
19311201 19311231     2.9
19320101 19320131     0.0
19320201 19320229     9.8
19320301 19320331    17.8
19320401 19320430     4.8
19320501 19320531    34.1
19320601 19320630     4.7
19320701 19320731     1.1
19320801 19320831     0.8
19320901 19320930    17.0
19321001 19321031    17.2
19321101 19321130     6.7
19321201 19321231     4.5
19330101 19330131     3.2
19330201 19330228     0.0
19330301 19330331     5.7
19330401 19330430     0.0
19330501 19330531    11.7
19330601 19330630     0.0
19330701 19330731     2.3
19330801 19330831    22.3
19330901 19330930     2.1
19331001 19331031     0.0
19331101 19331130     1.8
19331201 19331231    14.4
19340101 19340131     3.5
19340201 19340228     3.7
19340301 19340331     8.9
19340401 19340430     0.0
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731     0.8
19340801 19340831     0.3
19340901 19340930     0.5
19341001 19341031    53.3
19341101 19341130     7.5
19341201 19341231     0.0
19350101 19350131    13.9
19350201 19350228     0.0
19350301 19350331     0.3
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630    37.9
19350701 19350731     0.8
19350801 19350831    41.4
19350901 19350930    38.2
19351001 19351031    17.8
19351101 19351130     8.2
19351201 19351231     0.0
19360101 19360131    24.1
19360201 19360229    10.2
19360301 19360331     1.5
19360401 19360430     0.0
19360501 19360531     1.5
19360601 19360630     0.0
19360701 19360731    13.4
19360801 19360831     3.7
19360901 19360930     0.0
19361001 19361031    34.1
19361101 19361130     4.8
19361201 19361231    15.2
19370101 19370131    44.6
19370201 19370228     8.5
19370301 19370331     0.0
19370401 19370430     1.3
19370501 19370531     2.6
19370601 19370630     6.3
19370701 19370731     0.0
19370801 19370831     5.8
19370901 19370930     0.0
19371001 19371031     4.0
19371101 19371130     4.7
19371201 19371231     0.0
19380101 19380131     4.3
19380201 19380228   146.6
19380301 19380331     0.0
19380401 19380430     0.3
19380501 19380531     2.0
19380601 19380630    10.3
19380701 19380731     0.3
19380801 19380831     8.5
19380901 19380930     0.0
19381001 19381031     6.5
19381101 19381130     0.3
19381201 19381231     2.6
19390101 19390131    86.1
19390201 19390228    49.7
19390301 19390331    15.6
19390401 19390430     2.9
19390501 19390531     8.5
19390601 19390630    51.9
19390701 19390731     5.6
19390801 19390831     0.5
19390901 19390930     0.0
19391001 19391031     7.5
19391101 19391130    29.3
19391201 19391231     0.0
19400101 19400131     6.4
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     6.3
19400501 19400531     5.1
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     2.0
19401001 19401031     0.8
19401101 19401130     0.0
19401201 19401231     1.0
19410101 19410131    39.7
19410201 19410228     1.5
19410301 19410331     5.6
19410401 19410430    23.9
19410501 19410531     0.0
19410601 19410630    22.3
19410701 19410731     7.6
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    16.2
19411101 19411130     6.6
19411201 19411231     0.0
19420101 19420131    19.4
19420201 19420228     0.0
19420301 19420331     0.0
19420401 19420430     0.0
19420501 19420531    16.3
19420601 19420630    10.2
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031    44.4
19421101 19421130     8.6
19421201 19421231    28.0
19430101 19430131     0.0
19430201 19430228    28.0
19430301 19430331     0.0
19430401 19430430    10.4
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731    16.3
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130     5.1
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229    16.3
19440301 19440331     0.0
19440401 19440430     0.0
19440501 19440531     0.0
19440601 19440630     3.8
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     0.0
19441201 19441231     0.0
19450101 19450131     1.3
19450201 19450228     0.0
19450301 19450331    18.0
19450401 19450430     0.0
19450501 19450531     0.0
19450601 19450630    30.5
19450701 19450731    26.6
19450801 19450831    10.1
19450901 19450930    21.6
19451001 19451031    33.1
19451101 19451130     0.0
19451201 19451231    30.5
19460101 19460131    28.7
19460201 19460228    86.8
19460301 19460331     0.0
19460401 19460430     7.6
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     1.3
19461001 19461031     0.0
19461101 19461130     3.8
19461201 19461231     0.0
19470101 19470131     0.0
19470201 19470228     6.4
19470301 19470331    74.4
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     3.8
19470701 19470731     0.0
19470801 19470831     5.1
19470901 19470930     6.2
19471001 19471031    13.2
19471101 19471130    14.5
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229    66.8
19480301 19480331     0.0
19480401 19480430     0.0
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     5.1
19480801 19480831     0.0
19480901 19480930     5.1
19481001 19481031     0.0
19481101 19481130     0.0
19481201 19481231    33.5
19490101 19490131     0.0
19490201 19490228    14.0
19490301 19490331    40.7
19490401 19490430     0.0
19490501 19490531    20.1
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930    24.7
19491001 19491031    32.0
19491101 19491130     0.0
19491201 19491231     0.0
19500101 19500131     0.0
19500201 19500228    25.4
19500301 19500331     3.8
19500401 19500430     0.0
19500501 19500531    66.0
19500601 19500630    59.9
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     0.0
19501101 19501130    41.9
19501201 19501231    33.0
19510101 19510131     0.0
19510201 19510228     0.0
19510301 19510331     0.0
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    29.0
19510701 19510731     0.0
19510801 19510831     5.3
19510901 19510930     7.6
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131    16.3
19520201 19520229     0.0
19520301 19520331     0.0
19520401 19520430     0.0
19520501 19520531    17.8
19520601 19520630     0.0
19520701 19520731    23.7
19520801 19520831     5.8
19520901 19520930     2.3
19521001 19521031    60.7
19521101 19521130     8.6
19521201 19521231     0.0
19530101 19530131    20.3
19530201 19530228    38.1
19530301 19530331     7.6
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    21.4
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130     7.9
19531201 19531231    12.9
19540101 19540131     7.4
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    13.2
19540501 19540531     0.0
19540601 19540630    14.2
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031    22.9
19541101 19541130     8.4
19541201 19541231    20.6
19550101 19550131     0.0
19550201 19550228    11.2
19550301 19550331    93.3
19550401 19550430     0.0
19550501 19550531    35.2
19550601 19550630     0.0
19550701 19550731    25.4
19550801 19550831    18.3
19550901 19550930     0.0
19551001 19551031     0.0
19551101 19551130     9.1
19551201 19551231     0.0
19560101 19560131    17.3
19560201 19560229     3.8
19560301 19560331     0.0
19560401 19560430     9.4
19560501 19560531     0.0
19560601 19560630    20.5
19560701 19560731    15.5
19560801 19560831     0.0
19560901 19560930     0.0
19561001 19561031    33.0
19561101 19561130     0.0
19561201 19561231     0.0
19570101 19570131     6.4
19570201 19570228     5.3
19570301 19570331     5.1
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630    26.6
19570701 19570731    13.5
19570801 19570831     3.8
19570901 19570930     1.3
19571001 19571031     3.0
19571101 19571130     0.0
19571201 19571231    32.6
19580101 19580131     8.4
19580201 19580228     0.0
19580301 19580331    10.1
19580401 19580430     0.0
19580501 19580531    11.9
19580601 19580630    10.7
19580701 19580731    36.8
19580801 19580831    64.0
19580901 19580930     9.7
19581001 19581031     7.6
19581101 19581130    16.3
19581201 19581231     9.1
19590101 19590131     0.0
19590201 19590228     6.9
19590301 19590331    27.2
19590401 19590430     0.0
19590501 19590531    26.4
19590601 19590630     0.0
19590701 19590731    14.2
19590801 19590831     0.0
19590901 19590930    14.0
19591001 19591031     0.0
19591101 19591130    24.2
19591201 19591231    30.4
19600101 19600131    14.0
19600201 19600229    15.2
19600301 19600331     6.3
19600401 19600430    24.3
19600501 19600531     7.1
19600601 19600630     0.0
19600701 19600731     3.8
19600801 19600831     0.0
19600901 19600930     3.0
19601001 19601031     3.0
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131     0.0
19610201 19610228     0.0
19610301 19610331     0.0
19610401 19610430    14.0
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130    50.8
19611201 19611231     0.0
19620101 19620131    33.0
19620201 19620228     5.0
19620301 19620331     6.4
19620401 19620430     0.0
19620501 19620531     7.4
19620601 19620630     0.0
19620701 19620731    25.4
19620801 19620831     0.5
19620901 19620930     2.5
19621001 19621031     7.6
19621101 19621130     0.0
19621201 19621231     0.0
19630101 19630131     0.8
19630201 19630228     0.0
19630301 19630331     0.0
19630401 19630430     1.3
19630501 19630531    51.6
19630601 19630630    29.2
