PRCP       035070 18850101 20180131 missing_value=99999.9 TAROOM POST OFFICE                        
19801001 19801031    78.4
19801101 19801130    24.0
19801201 19801231    94.8
19810101 19810131    34.8
19810201 19810228   131.9
19810301 19810331    87.5
19810401 19810430   120.8
19810501 19810531    60.2
19810601 19810630    93.0
19810701 19810731    34.9
19810801 19810831    19.6
19810901 19810930     0.0
19811001 19811031    50.6
19811101 19811130    94.6
19811201 19811231    94.0
19820101 19820131   116.8
19820201 19820228    43.8
19820301 19820331   202.9
19820401 19820430    22.4
19820501 19820531    57.4
19820601 19820630     2.2
19820701 19820731     9.2
19820801 19820831     8.4
19820901 19820930    16.4
19821001 19821031    35.1
19821101 19821130     0.2
19821201 19821231    30.2
19830101 19830131    76.2
19830201 19830228    32.4
19830301 19830331    28.7
19830401 19830430   200.0
19830501 19830531   270.1
19830601 19830630    84.2
19830701 19830731    12.6
19830801 19830831    39.0
19830901 19830930     0.0
19831001 19831031   159.2
19831101 19831130   151.8
19831201 19831231    63.0
19840101 19840131   181.6
19840201 19840229    11.8
19840301 19840331    70.8
19840401 19840430    54.1
19840501 19840531     7.9
19840601 19840630    21.0
19840701 19840731   170.2
19840801 19840831    23.3
19840901 19840930    66.8
19841001 19841031   108.9
19841101 19841130    12.6
19841201 19841231   325.5
19850101 19850131    29.0
19850201 19850228    57.1
19850301 19850331    52.0
19850401 19850430    13.5
19850501 19850531    14.0
19850601 19850630    46.0
19850701 19850731    32.6
19850801 19850831    32.4
19850901 19850930    36.2
19851001 19851031    89.6
19851101 19851130    48.8
19851201 19851231    56.6
19860101 19860131    92.6
19860201 19860228   125.2
19860301 19860331     1.4
19860401 19860430     2.0
19860501 19860531    19.4
19860601 19860630     0.0
19860701 19860731    63.2
19860801 19860831    20.0
19860901 19860930    26.0
19861001 19861031   103.6
19861101 19861130    74.4
19861201 19861231    79.8
19870101 19870131    97.6
19870201 19870228    10.6
19870301 19870331     9.4
19870401 19870430     2.4
19870501 19870531    46.0
19870601 19870630     8.0
19870701 19870731    12.4
19870801 19870831    13.0
19870901 19870930     6.0
19871001 19871031    46.6
19871101 19871130    89.6
19871201 19871231    95.8
19880101 19880131    64.6
19880201 19880229   117.9
19880301 19880331    15.2
19880401 19880430    48.4
19880501 19880531    35.6
19880601 19880630    16.2
19880701 19880731    61.6
19880801 19880831    50.0
19880901 19880930    14.4
19881001 19881031     3.4
19881101 19881130    45.2
19881201 19881231    98.8
19890101 19890131   104.7
19890201 19890228    92.8
19890301 19890331    49.4
19890401 19890430   150.6
19890501 19890531    47.8
19890601 19890630    38.3
19890701 19890731    30.4
19890801 19890831    40.4
19890901 19890930     1.0
19891001 19891031   108.8
19891101 19891130    90.2
19891201 19891231    49.0
19900101 19900131     8.2
19900201 19900228   115.6
19900301 19900331    84.0
19900401 19900430   141.4
19900501 19900531    64.0
19900601 19900630    33.4
19900701 19900731     7.8
19900801 19900831     3.8
19900901 19900930    21.0
19901001 19901031    46.6
19901101 19901130    13.2
19901201 19901231    88.6
19910101 19910131    85.6
19910201 19910228    51.6
19910301 19910331    27.4
19910401 19910430     0.4
19910501 19910531    22.6
19910601 19910630     5.2
19910701 19910731    23.8
19910801 19910831     0.0
19910901 19910930     7.4
19911001 19911031    68.9
19911101 19911130    36.6
19911201 19911231    95.8
19920101 19920131    52.0
19920201 19920229    96.6
19920301 19920331    46.0
19920401 19920430    30.2
19920501 19920531    38.4
19920601 19920630     0.0
19920701 19920731     6.4
19920801 19920831    27.0
19920901 19920930    74.8
19921001 19921031    29.2
19921101 19921130    71.8
19921201 19921231   104.9
19930101 19930131    42.4
19930201 19930228    20.6
19930301 19930331     6.4
19930401 19930430     0.0
19930501 19930531     1.2
19930601 19930630     8.0
19930701 19930731    44.4
19930801 19930831    17.8
19930901 19930930    80.9
19931001 19931031   197.7
19931101 19931130    22.0
19931201 19931231   152.0
19940101 19940131     5.4
19940201 19940228    86.6
19940301 19940331   133.0
19940401 19940430     4.6
19940501 19940531    35.1
19940601 19940630    16.8
19940701 19940731     0.6
19940801 19940831     0.0
19940901 19940930     1.1
19941001 19941031   102.0
19941101 19941130    40.8
19941201 19941231    74.6
19950101 19950131    88.7
19950201 19950228   245.1
19950301 19950331     5.9
19950401 19950430    14.0
19950501 19950531    46.0
19950601 19950630    21.6
19950701 19950731     2.8
19950801 19950831    10.6
19950901 19950930    51.4
19951001 19951031   137.4
19951101 19951130    74.0
19951201 19951231   108.4
19960101 19960131   185.4
19960201 19960229    25.9
19960301 19960331    18.6
19960401 19960430    12.5
19960501 19960531   126.4
19960601 19960630     9.2
19960701 19960731    32.5
19960801 19960831    28.5
19960901 19960930    42.8
19961001 19961031    60.7
19961101 19961130    25.8
19961201 19961231   100.3
19970101 19970131    96.8
19970201 19970228   142.0
19970301 19970331    28.0
19970401 19970430     0.5
19970501 19970531    51.9
19970601 19970630     1.2
19970701 19970731    13.8
19970801 19970831    18.2
19970901 19970930    13.6
19971001 19971031    67.8
19971101 19971130   100.4
19971201 19971231    58.8
19980101 19980131    40.9
19980201 19980228   186.4
19980301 19980331     0.0
19980401 19980430   198.0
19980501 19980531    37.4
19980601 19980630    34.0
19980701 19980731    22.8
19980801 19980831   181.9
19980901 19980930   136.4
19981001 19981031    16.1
19981101 19981130   165.8
19981201 19981231    80.2
19990101 19990131   222.4
19990201 19990228    59.2
19990301 19990331    11.4
19990401 19990430    33.3
19990501 19990531     8.2
19990601 19990630    31.1
19990701 19990731    32.0
19990801 19990831    17.2
19990901 19990930     1.0
19991001 19991031    35.3
19991101 19991130    86.0
19991201 19991231    51.1
20000101 20000131    65.6
20000201 20000229   116.7
20000301 20000331    21.3
20000401 20000430    40.6
20000501 20000531    22.8
20000601 20000630    42.5
20000701 20000731     5.6
20000801 20000831    26.6
20000901 20000930     0.6
20001001 20001031    90.7
20001101 20001130   143.5
20001201 20001231    46.3
20010101 20010131    34.2
20010201 20010228    14.4
20010301 20010331    61.6
20010401 20010430     5.0
20010501 20010531     8.0
20010601 20010630     7.2
20010701 20010731    31.4
20010801 20010831     2.6
20010901 20010930    20.0
20011001 20011031    57.5
20011101 20011130   150.0
20011201 20011231   108.8
20020101 20020131   116.9
20020201 20020228    53.9
20020301 20020331    38.4
20020401 20020430     0.4
20020501 20020531     5.8
20020601 20020630    65.4
20020701 20020731     0.0
20020801 20020831    42.0
20020901 20020930     1.2
20021001 20021031     2.4
20021101 20021130    14.6
20021201 20021231    58.6
20030101 20030131     7.4
20030201 20030228   113.3
20030301 20030331    82.9
20030401 20030430    60.9
20030501 20030531     6.5
20030601 20030630    34.9
20030701 20030731    13.6
20030801 20030831    66.4
20030901 20030930     4.2
20031001 20031031    43.9
20031101 20031130     5.4
20031201 20031231    38.0
20040101 20040131   206.4
20040201 20040229   102.8
20040301 20040331    49.5
20040401 20040430     9.4
20040501 20040531     1.0
20040601 20040630     0.0
20040701 20040731     5.5
20040801 20040831     6.8
20040901 20040930    29.9
20041001 20041031    99.0
20041101 20041130   127.4
20041201 20041231   119.4
20050101 20050131    52.4
20050201 20050228     7.6
20050301 20050331    26.3
20050401 20050430     9.1
20050501 20050531    28.7
20050601 20050630   122.3
20050701 20050731     0.3
20050801 20050831    10.6
20050901 20050930    11.0
20051001 20051031   109.6
20051101 20051130    53.2
20051201 20051231   132.5
20060101 20060131    52.3
20060201 20060228    66.2
20060301 20060331    24.2
20060401 20060430    17.7
20060501 20060531    44.6
20060601 20060630     4.3
20060701 20060731    16.7
20060801 20060831     4.6
20060901 20060930    11.1
20061001 20061031     0.0
20061101 20061130    66.6
20061201 20061231    51.1
20070101 20070131    45.7
20070201 20070228    14.5
20070301 20070331    39.6
20070401 20070430     8.4
20070501 20070531     5.1
20070601 20070630   105.0
20070701 20070731     0.2
20070801 20070831    47.4
20070901 20070930    32.2
20071001 20071031    68.2
20071101 20071130    26.4
20071201 20071231   184.4
20080101 20080131   175.2
20080201 20080229   129.3
20080301 20080331     3.2
20080401 20080430     0.0
20080501 20080531    30.4
20080601 20080630    45.1
20080701 20080731    74.0
20080801 20080831    13.6
20080901 20080930    70.8
20081001 20081031    58.1
20081101 20081130    64.2
20081201 20081231    63.9
20090101 20090131    57.9
20090201 20090228    98.0
20090301 20090331     8.6
20090401 20090430    58.9
20090501 20090531    20.6
20090601 20090630    18.4
20090701 20090731     0.0
20090801 20090831     1.2
20090901 20090930     9.2
20091001 20091031    23.4
20091101 20091130    38.2
20091201 20091231    77.9
20100101 20100131   101.2
20100201 20100228   341.6
20100301 20100331   231.0
20100401 20100430    27.6
20100501 20100531    36.0
20100601 20100630    11.8
20100701 20100731    33.5
20100801 20100831   108.8
20100901 20100930   185.3
20101001 20101031    39.8
20101101 20101130   117.2
20101201 20101231   360.2
20110101 20110131    97.5
20110201 20110228    68.0
20110301 20110331   118.0
20110401 20110430   114.7
20110501 20110531    18.4
20110601 20110630     8.2
20110701 20110731    13.9
20110801 20110831    56.4
20110901 20110930    13.2
20111001 20111031    36.4
20111101 20111130    18.4
20111201 20111231   101.3
20120101 20120131   118.3
20120201 20120229   151.8
20120301 20120331    65.0
20120401 20120430    32.6
20120501 20120531    26.3
20120601 20120630   149.2
20120701 20120731    19.6
20120801 20120831     2.4
20120901 20120930    11.2
20121001 20121031    35.0
20121101 20121130    60.2
20121201 20121231    75.5
20130101 20130131   182.0
20130201 20130228    38.2
20130301 20130331    77.7
20130401 20130430    26.4
20130501 20130531    25.2
20130601 20130630    15.2
20130701 20130731    15.0
20130801 20130831     3.0
20130901 20130930     4.0
20131001 20131031    34.4
20131101 20131130   100.0
20131201 20131231    42.1
20140101 20140131    66.4
20140201 20140228     9.9
20140301 20140331   117.4
20140401 20140430    11.6
20140501 20140531    40.3
20140601 20140630    12.5
20140701 20140731     2.4
20140801 20140831    19.7
20140901 20140930    74.9
20141001 20141031    20.8
20141101 20141130    11.0
20141201 20141231   169.0
20150101 20150131   173.6
20150201 20150228    37.6
20150301 20150331    42.2
20150401 20150430    21.9
20150501 20150531    14.8
20150601 20150630    21.5
20150701 20150731     4.7
20150801 20150831    22.6
20150901 20150930    11.9
20151001 20151031    60.1
20151101 20151130    70.4
20151201 20151231    78.7
20160101 20160131    66.2
20160201 20160229    62.2
20160301 20160331     7.1
20160401 20160430     0.0
20160501 20160531     3.6
20160601 20160630    76.9
20160701 20160731    76.7
20160801 20160831    34.7
20160901 20160930   112.4
20161001 20161031    18.8
20161101 20161130    18.7
20161201 20161231    16.2
20170101 20170131    41.3
20170201 20170228    90.2
20170301 20170331   126.9
20170401 20170430     2.2
20170501 20170531    17.8
20170601 20170630    18.0
20170701 20170731    27.0
20170801 20170831     2.2
20170901 20170930     0.0
20171001 20171031   128.7
20171101 20171130    56.1
20171201 20171231    36.9
20180101 20180131    96.2
