PRCP       010536 19100101 20171231 missing_value=99999.9 CORRIGIN                                  
19311201 19311231    28.0
19320101 19320131    13.2
19320201 19320229     0.0
19320301 19320331    11.7
19320401 19320430    19.0
19320501 19320531    96.6
19320601 19320630    30.5
19320701 19320731    91.1
19320801 19320831   104.4
19320901 19320930    33.7
19321001 19321031    99.2
19321101 19321130     0.0
19321201 19321231     3.6
19330101 19330131     9.2
19330201 19330228     1.0
19330301 19330331    41.8
19330401 19330430    13.2
19330501 19330531    54.9
19330601 19330630    63.7
19330701 19330731    43.3
19330801 19330831    51.6
19330901 19330930    19.6
19331001 19331031    35.5
19331101 19331130     4.4
19331201 19331231     3.8
19340101 19340131    11.0
19340201 19340228     6.9
19340301 19340331   137.4
19340401 19340430    63.8
19340501 19340531    52.1
19340601 19340630    68.0
19340701 19340731    58.6
19340801 19340831    35.8
19340901 19340930    20.2
19341001 19341031    14.7
19341101 19341130    22.9
19341201 19341231     4.8
19350101 19350131    31.0
19350201 19350228    15.7
19350301 19350331    13.7
19350401 19350430    27.5
19350501 19350531    48.0
19350601 19350630    37.8
19350701 19350731    92.0
19350801 19350831    65.0
19350901 19350930    29.4
19351001 19351031    47.7
19351101 19351130     0.0
19351201 19351231     4.0
19360101 19360131    13.8
19360201 19360229     0.3
19360301 19360331     1.3
19360401 19360430     6.9
19360501 19360531    41.7
19360601 19360630    74.9
19360701 19360731    47.4
19360801 19360831    67.6
19360901 19360930    27.2
19361001 19361031     2.8
19361101 19361130     0.0
19361201 19361231    31.2
19370101 19370131     0.8
19370201 19370228     1.0
19370301 19370331     8.9
19370401 19370430    34.1
19370501 19370531    73.4
19370601 19370630    56.4
19370701 19370731    10.5
19370801 19370831    54.5
19370901 19370930     9.9
19371001 19371031     8.2
19371101 19371130    29.4
19371201 19371231     0.5
19380101 19380131     9.1
19380201 19380228     6.4
19380301 19380331    79.0
19380401 19380430     5.6
19380501 19380531    25.4
19380601 19380630    36.6
19380701 19380731    89.9
19380801 19380831    31.8
19380901 19380930    30.4
19381001 19381031    13.8
19381101 19381130    14.0
19381201 19381231     0.8
19390101 19390131     0.0
19390201 19390228   107.7
19390301 19390331     0.0
19390401 19390430     3.8
19390501 19390531   102.3
19390601 19390630    82.6
19390701 19390731    91.4
19390801 19390831    52.6
19390901 19390930     5.6
19391001 19391031    29.0
19391101 19391130    72.9
19391201 19391231     2.0
19400101 19400131    23.5
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    14.0
19400501 19400531    23.4
19400601 19400630    48.6
19400701 19400731    52.3
19400801 19400831    21.3
19400901 19400930    23.7
19401001 19401031    22.6
19401101 19401130     3.6
19401201 19401231   124.8
19410101 19410131     7.5
19410201 19410228     2.5
19410301 19410331     4.9
19410401 19410430    25.8
19410501 19410531    30.5
19410601 19410630    63.9
19410701 19410731    59.5
19410801 19410831    50.5
19410901 19410930    45.7
19411001 19411031    22.3
19411101 19411130     6.4
19411201 19411231     9.7
19420101 19420131     2.3
19420201 19420228     2.3
19420301 19420331   107.1
19420401 19420430    22.2
19420501 19420531    68.5
19420601 19420630    48.1
19420701 19420731    64.8
19420801 19420831    74.9
19420901 19420930    32.8
19421001 19421031    18.3
19421101 19421130     4.3
19421201 19421231    48.5
19430101 19430131    17.8
19430201 19430228    34.8
19430301 19430331    40.2
19430401 19430430    34.6
19430501 19430531    50.2
19430601 19430630    84.7
19430701 19430731    42.6
19430801 19430831    40.4
19430901 19430930    38.2
19431001 19431031    13.5
19431101 19431130     2.0
19431201 19431231     9.2
19440101 19440131    10.6
19440201 19440229     0.8
19440301 19440331     2.8
19440401 19440430    20.4
19440501 19440531    61.1
19440601 19440630    25.0
19440701 19440731    62.7
19440801 19440831    49.6
19440901 19440930    10.5
19441001 19441031     0.0
19441101 19441130     2.8
19441201 19441231     7.7
19450101 19450131     0.0
19450201 19450228     4.7
19450301 19450331    29.2
19450401 19450430     5.1
19450501 19450531    35.6
19450601 19450630   157.3
19450701 19450731    46.3
19450801 19450831    94.8
19450901 19450930    23.7
19451001 19451031     1.3
