PRCP       087053 18840601 20170131 missing_value=99999.9 PORTARLINGTON                             
19060501 19060531    59.1
19060601 19060630    58.0
19060701 19060731    34.1
19060801 19060831    58.5
19060901 19060930    98.5
19061001 19061031    89.2
19061101 19061130    61.7
19061201 19061231     5.6
19070101 19070131     4.3
19070201 19070228    11.7
19070301 19070331    16.8
19070401 19070430    48.7
19070501 19070531    61.5
19070601 19070630    20.8
19070701 19070731    53.8
19070801 19070831    58.3
19070901 19070930    15.9
19071001 19071031    30.7
19071101 19071130    38.2
19071201 19071231   122.4
19080101 19080131    12.2
19080201 19080229    12.4
19080301 19080331    54.8
19080401 19080430     9.1
19080501 19080531    31.3
19080601 19080630   100.9
19080701 19080731    29.9
19080801 19080831    46.0
19080901 19080930    55.9
19081001 19081031    63.5
19081101 19081130    28.2
19081201 19081231     5.6
19090101 19090131    47.2
19090201 19090228    50.8
19090301 19090331    39.2
19090401 19090430    64.4
19090501 19090531    64.0
19090601 19090630    75.4
19090701 19090731    34.0
19090801 19090831    94.0
19090901 19090930    47.7
19091001 19091031    44.6
19091101 19091130    13.2
19091201 19091231    47.0
19100101 19100131    18.9
19100201 19100228     8.2
19100301 19100331    68.0
19100401 19100430    22.0
19100501 19100531    53.0
19100601 19100630    36.0
19100701 19100731    87.1
19100801 19100831    38.0
19100901 19100930    85.3
19101001 19101031    56.6
19101101 19101130    84.3
19101201 19101231    61.5
19110101 19110131    11.2
19110201 19110228    71.3
19110301 19110331   179.0
19110401 19110430    15.5
19110501 19110531    94.1
19110601 19110630    90.7
19110701 19110731    50.6
19110801 19110831    26.5
19110901 19110930   106.9
19111001 19111031    28.3
19111101 19111130    31.8
19111201 19111231    91.4
19120101 19120131     0.0
19120201 19120229    15.7
19120301 19120331     8.6
19120401 19120430    65.1
19120501 19120531    18.2
19120601 19120630    42.6
19120701 19120731    49.2
19120801 19120831    31.2
19120901 19120930    75.7
19121001 19121031    24.9
19121101 19121130    54.7
19121201 19121231    68.0
19130101 19130131     4.3
19130201 19130228    12.7
19130301 19130331   193.8
19130401 19130430    23.1
19130501 19130531    62.5
19130601 19130630    21.7
19130701 19130731    25.8
19130801 19130831    62.1
19130901 19130930    64.5
19131001 19131031    36.2
19131101 19131130    40.3
19131201 19131231    24.4
19140101 19140131    29.6
19140201 19140228     3.6
19140301 19140331    20.3
19140401 19140430    28.7
19140501 19140531    58.1
19140601 19140630    38.4
19140701 19140731    48.5
19140801 19140831    12.5
19140901 19140930    40.5
19141001 19141031     4.6
19141101 19141130    54.4
19141201 19141231    63.8
19150101 19150131    48.1
19150201 19150228    18.2
19150301 19150331     7.1
19150401 19150430    51.6
19150501 19150531    78.7
19150601 19150630    67.4
19150701 19150731    50.0
19150801 19150831    45.5
19150901 19150930    56.4
19151001 19151031    61.9
19151101 19151130    32.6
19151201 19151231     7.7
19160101 19160131    60.8
19160201 19160229    31.2
19160301 19160331    12.4
19160401 19160430    45.9
19160501 19160531    23.3
19160601 19160630    69.9
19160701 19160731    41.1
19160801 19160831    48.7
19160901 19160930   158.5
19161001 19161031    77.9
19161101 19161130    83.6
19161201 19161231    71.3
19170101 19170131    21.4
19170201 19170228    44.2
19170301 19170331    42.3
19170401 19170430    54.6
19170501 19170531    50.3
19170601 19170630    56.6
19170701 19170731    37.6
19170801 19170831    73.6
19170901 19170930    60.1
19171001 19171031    91.4
19171101 19171130    46.4
19171201 19171231    27.5
19180101 19180131    15.0
19180201 19180228    26.7
19180301 19180331    78.6
19180401 19180430    26.8
19180501 19180531    73.8
19180601 19180630    42.3
19180701 19180731    79.1
19180801 19180831    95.5
19180901 19180930   102.3
19181001 19181031    49.4
19181101 19181130     9.4
19181201 19181231    39.7
19190101 19190131    11.2
19190201 19190228    97.8
19190301 19190331   134.2
19190401 19190430    11.4
19190501 19190531    37.2
19190601 19190630    52.1
19190701 19190731    64.7
19190801 19190831    33.9
19190901 19190930    21.0
19191001 19191031    40.1
19191101 19191130    12.4
19191201 19191231    76.0
19200101 19200131    16.8
19200201 19200229     9.0
19200301 19200331    29.6
19200401 19200430    36.8
19200501 19200531    48.4
19200601 19200630    70.7
19200701 19200731    32.1
19200801 19200831    97.1
19200901 19200930    99.2
19201001 19201031    51.3
19201101 19201130    59.9
19201201 19201231    39.3
19210101 19210131    79.8
19210201 19210228    29.2
19210301 19210331    25.4
19210401 19210430    17.6
19210501 19210531    68.9
19210601 19210630    31.8
19210701 19210731    61.0
19210801 19210831   103.3
19210901 19210930    74.6
19211001 19211031    47.6
19211101 19211130    46.2
19211201 19211231    21.9
19220101 19220131    12.4
19220201 19220228    52.7
19220301 19220331     9.3
19220401 19220430    31.0
19220501 19220531    60.8
19220601 19220630    38.4
19220701 19220731    80.6
19220801 19220831    56.3
19220901 19220930    63.0
19221001 19221031    81.9
19221101 19221130    22.3
