PRCP       087053 18840601 20170131 missing_value=99999.9 PORTARLINGTON                             
19800701 19800731    39.2
19800801 19800831    55.4
19800901 19800930    26.2
19801001 19801031    93.4
19801101 19801130    34.2
19801201 19801231    43.6
19810101 19810131    74.2
19810201 19810228    19.6
19810301 19810331    40.4
19810401 19810430    13.4
19810501 19810531    63.8
19810601 19810630    51.2
19810701 19810731    65.6
19810801 19810831    79.4
19810901 19810930    14.8
19811001 19811031    67.6
19811101 19811130    45.4
19811201 19811231    22.8
19820101 19820131    37.8
19820201 19820228     5.8
19820301 19820331    62.0
19820401 19820430    43.8
19820501 19820531    37.4
19820601 19820630    39.4
19820701 19820731    15.2
19820801 19820831    25.6
19820901 19820930    37.8
19821001 19821031    18.0
19821101 19821130     8.8
19821201 19821231    63.8
19830101 19830131    14.8
19830201 19830228     2.4
19830301 19830331    35.2
19830401 19830430    48.0
19830501 19830531    72.8
19830601 19830630    40.8
19830701 19830731    46.2
19830801 19830831    60.0
19830901 19830930    79.8
19831001 19831031   109.2
19831101 19831130    56.2
19831201 19831231     8.0
19840101 19840131    47.4
19840201 19840229    19.8
19840301 19840331    62.4
19840401 19840430    43.8
19840501 19840531    13.2
19840601 19840630    17.4
19840701 19840731    40.8
19840801 19840831    69.0
19840901 19840930    82.4
19841001 19841031    55.8
19841101 19841130    33.8
19841201 19841231    32.6
19850101 19850131     6.0
19850201 19850228     9.2
19850301 19850331    37.2
19850401 19850430    65.2
19850501 19850531    49.2
19850601 19850630    41.2
19850701 19850731    48.8
19850801 19850831    71.6
19850901 19850930    29.8
19851001 19851031    59.4
19851101 19851130    60.0
19851201 19851231   107.8
19860101 19860131    12.4
19860201 19860228    14.6
19860301 19860331     7.6
19860401 19860430    59.8
19860501 19860531    67.4
19860601 19860630    25.0
19860701 19860731   107.4
19860801 19860831    38.2
19860901 19860930    42.8
19861001 19861031    83.6
19861101 19861130    23.8
19861201 19861231    58.0
19870101 19870131    76.4
19870201 19870228    51.2
19870301 19870331    40.6
19870401 19870430    25.6
19870501 19870531    77.6
19870601 19870630    43.0
19870701 19870731    70.6
19870801 19870831    34.2
19870901 19870930    29.4
19871001 19871031    33.4
19871101 19871130    35.6
19871201 19871231   117.8
19880101 19880131    73.2
19880201 19880229     9.2
19880301 19880331    28.6
19880401 19880430     9.4
19880501 19880531    71.4
19880601 19880630    54.8
19880701 19880731    37.0
19880801 19880831    66.0
19880901 19880930    51.0
19881001 19881031    27.6
19881101 19881130    70.0
19881201 19881231   139.6
19890101 19890131    78.2
19890201 19890228     5.8
19890301 19890331    80.2
19890401 19890430    43.4
19890501 19890531    53.8
19890601 19890630    75.0
19890701 19890731    54.2
19890801 19890831    72.0
19890901 19890930    50.4
19891001 19891031    80.6
19891101 19891130    31.0
19891201 19891231    31.0
19900101 19900131     5.4
19900201 19900228    65.8
19900301 19900331    26.2
19900401 19900430    58.0
19900501 19900531    22.2
19900601 19900630    49.8
19900701 19900731    92.0
19900801 19900831    69.3
19900901 19900930    46.0
19901001 19901031    77.6
19901101 19901130    33.6
19901201 19901231    37.4
19910101 19910131    87.8
19910201 19910228     0.0
19910301 19910331    31.6
19910401 19910430    26.0
19910501 19910531    19.0
19910601 19910630   105.6
19910701 19910731    48.4
19910801 19910831    55.2
19910901 19910930    99.6
19911001 19911031    18.4
19911101 19911130    31.0
19911201 19911231   109.8
19920101 19920131    24.0
19920201 19920229    29.4
19920301 19920331    34.2
19920401 19920430    65.4
19920501 19920531    65.2
19920601 19920630    47.6
19920701 19920731    34.8
19920801 19920831    54.4
19920901 19920930    94.0
19921001 19921031    64.8
19921101 19921130    91.2
19921201 19921231    88.2
19930101 19930131   109.5
19930201 19930228    42.4
19930301 19930331    29.8
19930401 19930430    16.6
19930501 19930531    21.2
19930601 19930630    54.6
19930701 19930731    55.4
19930801 19930831    62.0
19930901 19930930   122.2
19931001 19931031    80.0
19931101 19931130    48.8
19931201 19931231   103.6
19940101 19940131    27.2
19940201 19940228    97.2
19940301 19940331    10.0
19940401 19940430    38.0
19940501 19940531    19.8
19940601 19940630    24.6
19940701 19940731    12.4
19940801 19940831    23.4
19940901 19940930    50.8
19941001 19941031    42.8
19941101 19941130    46.6
19941201 19941231    15.8
19950101 19950131    82.5
19950201 19950228    16.0
19950301 19950331    51.0
19950401 19950430    90.0
19950501 19950531    62.8
19950601 19950630    86.8
19950701 19950731    63.2
19950801 19950831    42.4
19950901 19950930    41.0
19951001 19951031    82.0
19951101 19951130    67.2
19951201 19951231    47.8
19960101 19960131    56.2
19960201 19960229    53.2
19960301 19960331    42.2
19960401 19960430    60.4
19960501 19960531    21.2
19960601 19960630    63.6
19960701 19960731   112.8
19960801 19960831    65.0
19960901 19960930    90.6
19961001 19961031    39.8
19961101 19961130    23.8
19961201 19961231    15.4
19970101 19970131    34.4
19970201 19970228     2.4
19970301 19970331     8.4
19970401 19970430    13.8
19970501 19970531    67.8
19970601 19970630    20.8
19970701 19970731    14.8
19970801 19970831    30.6
19970901 19970930    61.6
19971001 19971031    55.2
19971101 19971130    40.8
19971201 19971231     6.0
19980101 19980131    46.8
19980201 19980228    57.8
19980301 19980331 99999.9
19980401 19980430 99999.9
19980501 19980531 99999.9
19980601 19980630 99999.9
19980701 19980731 99999.9
19980801 19980831 99999.9
19980901 19980930 99999.9
19981001 19981031 99999.9
19981101 19981130 99999.9
19981201 19981231 99999.9
19990101 19990131 99999.9
19990201 19990228 99999.9
19990301 19990331 99999.9
19990401 19990430 99999.9
19990501 19990531 99999.9
19990601 19990630 99999.9
19990701 19990731 99999.9
19990801 19990831 99999.9
19990901 19990930 99999.9
19991001 19991031 99999.9
19991101 19991130 99999.9
19991201 19991231 99999.9
20000101 20000131 99999.9
20000201 20000229 99999.9
20000301 20000331 99999.9
20000401 20000430 99999.9
20000501 20000531 99999.9
20000601 20000630 99999.9
20000701 20000731 99999.9
20000801 20000831 99999.9
20000901 20000930 99999.9
20001001 20001031 99999.9
20001101 20001130 99999.9
20001201 20001231 99999.9
20010101 20010131 99999.9
20010201 20010228 99999.9
20010301 20010331 99999.9
20010401 20010430   160.0
20010501 20010531    28.5
20010601 20010630    50.4
20010701 20010731    19.3
20010801 20010831    66.3
20010901 20010930    40.6
20011001 20011031    80.3
20011101 20011130    81.1
20011201 20011231    35.0
20020101 20020131    24.1
20020201 20020228    37.2
20020301 20020331    22.4
20020401 20020430    39.5
20020501 20020531    48.4
20020601 20020630    53.2
20020701 20020731    39.4
20020801 20020831    38.4
20020901 20020930    29.7
20021001 20021031    31.6
20021101 20021130    29.7
20021201 20021231    16.3
20030101 20030131    18.8
20030201 20030228    27.4
20030301 20030331    24.5
20030401 20030430    73.0
20030501 20030531    18.4
20030601 20030630    24.7
20030701 20030731   105.6
20030801 20030831    76.6
20030901 20030930    38.2
20031001 20031031    90.4
20031101 20031130    31.3
20031201 20031231    28.9
20040101 20040131    31.9
20040201 20040229    25.7
20040301 20040331    19.9
20040401 20040430    57.9
20040501 20040531    39.8
20040601 20040630    58.1
20040701 20040731    55.5
20040801 20040831    67.6
20040901 20040930    73.0
20041001 20041031    53.8
20041101 20041130    82.0
20041201 20041231    49.7
20050101 20050131    73.3
20050201 20050228   150.1
20050301 20050331    13.8
20050401 20050430    17.2
20050501 20050531    16.2
20050601 20050630    57.8
20050701 20050731    42.0
20050801 20050831    58.1
20050901 20050930    88.6
20051001 20051031    48.2
20051101 20051130    58.6
20051201 20051231    41.2
20060101 20060131    49.2
20060201 20060228    28.2
20060301 20060331    10.5
20060401 20060430    54.0
20060501 20060531    45.2
20060601 20060630    25.0
20060701 20060731    32.1
20060801 20060831    27.0
20060901 20060930    32.3
20061001 20061031     8.6
20061101 20061130    22.9
20061201 20061231    25.0
20070101 20070131    39.2
20070201 20070228    22.8
20070301 20070331    20.8
20070401 20070430    35.3
20070501 20070531    33.9
20070601 20070630    71.3
20070701 20070731   122.6
20070801 20070831    29.7
20070901 20070930    21.1
20071001 20071031    26.9
20071101 20071130    97.7
20071201 20071231    54.2
20080101 20080131    15.6
20080201 20080229    29.3
20080301 20080331    31.2
20080401 20080430    10.6
20080501 20080531    61.8
20080601 20080630    54.2
20080701 20080731    58.6
20080801 20080831    66.0
20080901 20080930    20.2
20081001 20081031     8.7
20081101 20081130    38.4
20081201 20081231    75.9
20090101 20090131     1.6
20090201 20090228     3.0
20090301 20090331    38.1
20090401 20090430    44.9
20090501 20090531    12.7
20090601 20090630    29.2
20090701 20090731    64.6
20090801 20090831    69.6
20090901 20090930    80.0
20091001 20091031    38.0
20091101 20091130    77.0
20091201 20091231    37.2
20100101 20100131    18.4
20100201 20100228    20.2
20100301 20100331    93.5
20100401 20100430    49.0
20100501 20100531    34.4
20100601 20100630    63.6
20100701 20100731    32.8
20100801 20100831    87.8
20100901 20100930    65.9
20101001 20101031   126.3
20101101 20101130   121.3
20101201 20101231    41.7
20110101 20110131   116.6
20110201 20110228    88.8
20110301 20110331    22.0
20110401 20110430    63.7
20110501 20110531    39.6
20110601 20110630    36.8
20110701 20110731    47.5
20110801 20110831    26.0
20110901 20110930    55.2
20111001 20111031    70.8
20111101 20111130   151.4
20111201 20111231    45.8
20120101 20120131    28.8
20120201 20120229    67.7
20120301 20120331    41.8
20120401 20120430    73.4
20120501 20120531   111.4
20120601 20120630   103.6
20120701 20120731    71.0
20120801 20120831    62.2
20120901 20120930    50.7
20121001 20121031    21.2
20121101 20121130    25.4
20121201 20121231    26.8
20130101 20130131     2.8
20130201 20130228    45.7
20130301 20130331    22.4
20130401 20130430    15.6
20130501 20130531    47.2
20130601 20130630    88.2
20130701 20130731    62.9
20130801 20130831    47.8
20130901 20130930    73.4
20131001 20131031    55.3
20131101 20131130    56.6
20131201 20131231    30.4
20140101 20140131    14.8
20140201 20140228    10.6
20140301 20140331    33.8
20140401 20140430    56.8
20140501 20140531    45.6
20140601 20140630    59.8
20140701 20140731    52.2
20140801 20140831    60.6
20140901 20140930    34.4
20141001 20141031    27.0
20141101 20141130    50.2
20141201 20141231    43.0
20150101 20150131    64.6
20150201 20150228    28.3
20150301 20150331    20.1
20150401 20150430    55.8
20150501 20150531    54.8
20150601 20150630    43.8
20150701 20150731    61.5
20150801 20150831    25.6
20150901 20150930    36.0
20151001 20151031     9.0
20151101 20151130    33.7
20151201 20151231    26.6
20160101 20160131    36.8
20160201 20160229    10.2
20160301 20160331    28.8
20160401 20160430    30.8
20160501 20160531    74.2
20160601 20160630    56.6
20160701 20160731    82.0
20160801 20160831 99999.9
20160901 20160930    86.1
20161001 20161031    65.2
20161101 20161130    26.8
20161201 20161231    12.6
20170101 20170131    38.9
