PRCP       037051 18840101 20120531 missing_value=99999.9 WINTON POST OFFICE                        
19051201 19051231    43.7
19060101 19060131   104.4
19060201 19060228   161.0
19060301 19060331   215.6
19060401 19060430     0.5
19060501 19060531     0.5
19060601 19060630     0.0
19060701 19060731     3.6
19060801 19060831     0.0
19060901 19060930    56.3
19061001 19061031    28.7
19061101 19061130    25.7
19061201 19061231    44.9
19070101 19070131     6.6
19070201 19070228    19.6
19070301 19070331    54.8
19070401 19070430     5.9
19070501 19070531    15.3
19070601 19070630    27.7
19070701 19070731     6.1
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031    21.1
19071101 19071130    24.1
19071201 19071231    62.6
19080101 19080131     8.1
19080201 19080229   135.7
19080301 19080331   117.0
19080401 19080430    33.8
19080501 19080531    35.8
19080601 19080630     4.6
19080701 19080731     9.7
19080801 19080831     1.5
19080901 19080930     0.0
19081001 19081031    36.5
19081101 19081130    18.1
19081201 19081231    38.3
19090101 19090131    33.8
19090201 19090228    48.2
19090301 19090331    68.3
19090401 19090430    40.6
19090501 19090531     0.8
19090601 19090630    26.1
19090701 19090731     0.0
19090801 19090831    22.7
19090901 19090930     0.0
19091001 19091031    13.2
19091101 19091130     0.0
19091201 19091231    67.5
19100101 19100131    94.1
19100201 19100228   159.0
19100301 19100331    16.7
19100401 19100430     2.8
19100501 19100531     0.0
19100601 19100630    35.8
19100701 19100731    31.7
19100801 19100831     0.0
19100901 19100930    43.8
19101001 19101031     1.8
19101101 19101130    93.3
19101201 19101231     3.8
19110101 19110131   128.4
19110201 19110228    90.2
19110301 19110331     1.5
19110401 19110430    36.0
19110501 19110531     6.1
19110601 19110630     0.0
19110701 19110731     6.6
19110801 19110831     1.0
19110901 19110930     4.8
19111001 19111031     5.6
19111101 19111130    99.6
19111201 19111231    50.3
19120101 19120131    38.7
19120201 19120229    62.1
19120301 19120331    62.7
19120401 19120430     0.0
19120501 19120531     0.5
19120601 19120630   158.1
19120701 19120731    34.2
19120801 19120831     0.5
19120901 19120930     4.6
19121001 19121031     0.0
19121101 19121130    19.4
19121201 19121231    40.5
19130101 19130131    25.8
19130201 19130228   294.0
19130301 19130331    47.2
19130401 19130430    25.4
19130501 19130531     0.0
19130601 19130630    13.7
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     3.8
19131001 19131031    10.1
19131101 19131130     1.8
19131201 19131231    54.6
19140101 19140131   102.9
19140201 19140228   124.0
19140301 19140331     3.1
19140401 19140430     3.8
19140501 19140531     3.6
19140601 19140630    62.3
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    34.8
19141101 19141130    25.9
19141201 19141231    53.2
19150101 19150131    22.8
19150201 19150228    16.0
19150301 19150331     2.3
19150401 19150430     1.0
19150501 19150531    56.2
19150601 19150630     0.0
19150701 19150731     0.0
19150801 19150831    17.8
19150901 19150930    48.5
19151001 19151031     3.8
19151101 19151130     0.0
19151201 19151231    90.0
19160101 19160131   175.8
19160201 19160229   102.7
19160301 19160331     2.6
19160401 19160430     5.9
19160501 19160531     0.0
19160601 19160630     9.9
19160701 19160731   113.5
19160801 19160831     7.8
