PRCP       050052 18800201 20180131 missing_value=99999.9 CONDOBOLIN AG RESEARCH STN                
19011201 19011231     0.0
19020101 19020131    12.8
19020201 19020228     0.3
19020301 19020331    28.3
19020401 19020430     0.3
19020501 19020531     4.2
19020601 19020630    12.2
19020701 19020731    22.0
19020801 19020831    19.1
19020901 19020930    21.6
19021001 19021031    29.2
19021101 19021130    16.3
19021201 19021231    63.7
19030101 19030131     0.5
19030201 19030228     1.3
19030301 19030331    16.0
19030401 19030430    71.7
19030501 19030531    32.3
19030601 19030630    32.5
19030701 19030731    29.7
19030801 19030831    23.1
19030901 19030930    88.1
19031001 19031031    28.9
19031101 19031130     5.5
19031201 19031231    28.2
19040101 19040131    56.7
19040201 19040229     3.1
19040301 19040331    15.0
19040401 19040430    10.2
19040501 19040531    29.9
19040601 19040630    13.2
19040701 19040731    92.3
19040801 19040831     9.3
19040901 19040930    13.8
19041001 19041031    74.4
19041101 19041130    14.3
19041201 19041231    65.5
19050101 19050131    14.7
19050201 19050228    14.0
19050301 19050331    14.4
19050401 19050430   139.7
19050501 19050531    38.6
19050601 19050630    51.4
19050701 19050731    42.0
19050801 19050831     6.6
19050901 19050930    24.3
19051001 19051031    49.0
19051101 19051130     2.3
19051201 19051231    14.3
19060101 19060131     0.7
19060201 19060228    23.7
19060301 19060331    96.7
19060401 19060430    16.2
19060501 19060531    47.7
19060601 19060630    33.1
19060701 19060731    17.2
19060801 19060831    42.1
19060901 19060930    91.9
19061001 19061031    40.2
19061101 19061130    57.0
19061201 19061231    39.9
19070101 19070131    34.9
19070201 19070228    11.5
19070301 19070331    14.7
19070401 19070430    12.2
19070501 19070531     3.3
19070601 19070630    45.6
19070701 19070731    38.0
19070801 19070831    34.7
19070901 19070930    24.6
19071001 19071031    17.1
19071101 19071130    36.2
19071201 19071231    55.0
19080101 19080131    39.9
19080201 19080229    76.7
19080301 19080331     1.3
19080401 19080430    16.3
19080501 19080531    24.1
19080601 19080630    27.9
19080701 19080731    32.9
19080801 19080831    28.4
19080901 19080930    37.8
19081001 19081031     8.2
19081101 19081130    16.2
19081201 19081231     9.2
19090101 19090131    37.7
19090201 19090228    35.2
19090301 19090331    76.7
19090401 19090430    12.3
19090501 19090531    30.7
19090601 19090630    71.4
19090701 19090731     9.4
19090801 19090831    52.4
19090901 19090930    24.7
19091001 19091031    16.3
19091101 19091130     7.7
19091201 19091231    15.4
19100101 19100131    93.4
19100201 19100228     0.0
19100301 19100331    80.2
19100401 19100430     5.0
19100501 19100531    23.1
19100601 19100630    67.3
19100701 19100731    34.5
19100801 19100831    13.5
19100901 19100930    43.2
19101001 19101031    26.4
19101101 19101130    51.8
19101201 19101231    38.2
19110101 19110131   116.4
19110201 19110228    68.9
19110301 19110331    42.4
19110401 19110430     0.4
19110501 19110531    31.1
19110601 19110630    13.4
19110701 19110731    26.5
19110801 19110831     4.5
19110901 19110930    42.6
19111001 19111031     8.0
19111101 19111130    45.3
19111201 19111231    67.5
19120101 19120131    13.3
19120201 19120229     8.0
19120301 19120331    34.8
19120401 19120430     1.6
19120501 19120531     0.0
19120601 19120630    37.3
19120701 19120731    95.6
19120801 19120831    61.9
19120901 19120930    31.8
19121001 19121031    15.2
19121101 19121130    10.0
19121201 19121231    22.1
19130101 19130131    22.2
19130201 19130228    41.0
19130301 19130331    73.3
19130401 19130430     6.2
19130501 19130531    59.5
19130601 19130630    43.2
19130701 19130731    12.7
19130801 19130831     7.3
19130901 19130930    10.1
19131001 19131031    35.5
19131101 19131130     2.6
19131201 19131231    23.6
19140101 19140131    18.4
19140201 19140228     4.9
19140301 19140331    34.0
19140401 19140430    28.9
19140501 19140531    18.7
19140601 19140630    14.8
19140701 19140731    24.7
19140801 19140831     0.9
19140901 19140930    20.3
19141001 19141031    16.8
19141101 19141130    54.8
19141201 19141231    36.8
19150101 19150131     1.1
19150201 19150228     9.6
19150301 19150331     1.6
19150401 19150430     5.3
19150501 19150531    46.0
19150601 19150630    33.1
19150701 19150731    47.9
19150801 19150831    26.4
19150901 19150930    38.1
19151001 19151031    20.3
19151101 19151130     0.9
19151201 19151231    52.8
19160101 19160131    30.9
19160201 19160229    23.0
19160301 19160331    14.3
19160401 19160430    62.9
19160501 19160531    18.4
19160601 19160630   115.8
19160701 19160731    51.2
19160801 19160831    60.9
19160901 19160930    49.7
19161001 19161031    65.5
19161101 19161130    59.1
19161201 19161231    64.9
19170101 19170131    89.0
19170201 19170228    34.8
19170301 19170331     3.7
19170401 19170430    11.4
19170501 19170531    26.4
19170601 19170630    61.0
19170701 19170731    61.3
19170801 19170831    49.1
19170901 19170930    33.3
19171001 19171031    63.6
19171101 19171130   111.6
19171201 19171231    31.6
19180101 19180131    43.9
19180201 19180228    20.9
19180301 19180331    15.2
19180401 19180430    34.9
19180501 19180531    24.5
19180601 19180630    24.0
19180701 19180731    20.5
19180801 19180831    50.8
19180901 19180930    13.3
19181001 19181031    16.7
19181101 19181130     8.1
19181201 19181231    13.7
19190101 19190131     9.7
19190201 19190228    30.3
19190301 19190331    16.1
19190401 19190430    11.2
19190501 19190531    80.3
19190601 19190630     5.8
19190701 19190731     3.6
19190801 19190831    21.6
19190901 19190930    17.5
19191001 19191031     9.3
19191101 19191130     2.9
19191201 19191231    75.9
19200101 19200131     7.5
19200201 19200229     2.2
19200301 19200331    49.6
19200401 19200430    22.5
19200501 19200531     6.6
19200601 19200630    72.3
19200701 19200731    49.0
19200801 19200831    38.6
19200901 19200930    61.0
19201001 19201031    24.8
19201101 19201130    18.6
19201201 19201231    60.1
19210101 19210131    26.7
19210201 19210228    29.0
19210301 19210331    25.7
19210401 19210430    48.1
19210501 19210531    53.8
19210601 19210630    74.4
19210701 19210731    19.0
19210801 19210831    29.3
19210901 19210930    30.4
19211001 19211031    26.9
19211101 19211130     8.4
19211201 19211231   105.8
19220101 19220131    17.1
19220201 19220228    10.1
19220301 19220331     0.3
19220401 19220430    22.5
19220501 19220531    27.1
19220601 19220630    26.7
19220701 19220731    49.9
19220801 19220831    20.5
19220901 19220930    22.1
19221001 19221031    19.0
19221101 19221130     0.0
19221201 19221231    90.1
19230101 19230131    33.6
19230201 19230228     0.0
19230301 19230331     7.1
19230401 19230430     1.6
19230501 19230531    16.1
19230601 19230630    94.8
19230701 19230731    42.7
19230801 19230831    12.9
19230901 19230930    27.4
19231001 19231031    44.0
19231101 19231130    23.4
19231201 19231231    47.9
19240101 19240131    15.9
19240201 19240229    70.7
19240301 19240331     0.4
19240401 19240430    20.5
19240501 19240531    31.3
19240601 19240630    38.1
19240701 19240731    47.3
19240801 19240831    64.9
19240901 19240930    42.7
19241001 19241031    25.6
19241101 19241130   186.4
19241201 19241231    19.0
19250101 19250131    67.5
19250201 19250228    34.6
19250301 19250331    27.7
19250401 19250430     4.2
19250501 19250531    59.1
19250601 19250630    74.7
19250701 19250731    32.5
19250801 19250831    20.2
19250901 19250930    15.6
19251001 19251031    25.2
19251101 19251130    55.1
19251201 19251231    29.7
19260101 19260131    26.7
19260201 19260228     1.6
19260301 19260331   144.4
19260401 19260430   111.2
19260501 19260531    54.4
19260601 19260630    30.3
19260701 19260731    30.5
19260801 19260831    27.8
19260901 19260930    51.2
19261001 19261031    11.3
19261101 19261130     2.1
19261201 19261231    16.9
19270101 19270131    59.6
19270201 19270228     4.0
19270301 19270331    16.6
19270401 19270430    25.5
19270501 19270531    22.0
19270601 19270630    20.0
19270701 19270731    14.3
19270801 19270831    15.2
19270901 19270930    23.5
19271001 19271031    37.2
19271101 19271130    50.4
19271201 19271231    19.0
19280101 19280131   103.2
19280201 19280229   148.3
19280301 19280331    66.8
19280401 19280430    62.1
19280501 19280531    12.1
19280601 19280630    30.0
19280701 19280731    45.6
19280801 19280831    17.8
19280901 19280930     7.7
19281001 19281031    17.1
19281101 19281130     6.8
19281201 19281231     2.3
19290101 19290131     2.3
19290201 19290228    47.2
19290301 19290331    36.7
19290401 19290430    25.7
19290501 19290531    14.9
19290601 19290630     7.1
19290701 19290731     6.6
19290801 19290831    35.6
19290901 19290930    36.1
19291001 19291031    19.4
19291101 19291130    16.7
19291201 19291231    58.3
19300101 19300131     3.7
19300201 19300228     7.5
19300301 19300331    43.0
19300401 19300430    24.9
19300501 19300531    30.0
19300601 19300630    49.5
19300701 19300731    28.6
19300801 19300831    52.2
19300901 19300930     8.1
19301001 19301031    78.6
19301101 19301130    20.0
19301201 19301231    58.3
19310101 19310131    20.4
19310201 19310228     6.8
19310301 19310331    59.5
19310401 19310430    48.6
19310501 19310531   133.2
19310601 19310630    98.9
19310701 19310731    27.1
19310801 19310831    14.1
19310901 19310930    26.0
19311001 19311031     9.5
19311101 19311130    25.8
19311201 19311231   105.1
19320101 19320131     2.4
19320201 19320229    19.2
19320301 19320331    46.0
19320401 19320430    70.3
19320501 19320531    18.6
19320601 19320630    28.4
19320701 19320731    49.4
19320801 19320831    35.8
19320901 19320930    72.5
19321001 19321031    20.5
19321101 19321130    28.8
19321201 19321231    17.2
19330101 19330131    37.8
19330201 19330228     0.0
19330301 19330331    15.0
19330401 19330430    15.7
19330501 19330531    15.8
19330601 19330630    23.2
19330701 19330731    48.1
19330801 19330831    22.7
19330901 19330930    36.2
19331001 19331031    34.6
19331101 19331130    52.5
19331201 19331231    75.3
19340101 19340131    25.8
19340201 19340228   122.9
19340301 19340331     6.6
19340401 19340430    42.5
19340501 19340531     0.0
19340601 19340630    34.7
19340701 19340731    55.5
19340801 19340831    35.1
19340901 19340930    26.2
19341001 19341031    71.2
19341101 19341130    99.8
19341201 19341231    37.9
19350101 19350131    47.4
19350201 19350228    21.4
19350301 19350331     6.2
19350401 19350430    45.4
19350501 19350531    17.0
19350601 19350630    12.3
19350701 19350731    37.4
19350801 19350831     9.7
19350901 19350930    25.0
19351001 19351031    35.9
19351101 19351130     4.0
19351201 19351231    20.7
19360101 19360131    46.0
19360201 19360229    86.0
19360301 19360331    53.8
19360401 19360430     7.3
19360501 19360531    17.1
19360601 19360630    55.7
19360701 19360731    62.7
19360801 19360831    39.3
19360901 19360930    17.8
19361001 19361031    11.0
19361101 19361130     3.7
19361201 19361231   120.8
19370101 19370131    34.6
19370201 19370228     6.8
19370301 19370331    68.5
19370401 19370430    18.7
19370501 19370531    29.0
19370601 19370630    36.6
19370701 19370731     4.8
19370801 19370831    34.0
19370901 19370930    18.9
