PRCP       082001 18760101 20180131 missing_value=99999.9 BEECHWORTH COMPOSITE                      
18971201 18971231     8.9
18980101 18980131     9.1
18980201 18980228    83.8
18980301 18980331    17.5
18980401 18980430    38.6
18980501 18980531    52.3
18980601 18980630   147.8
18980701 18980731    80.0
18980801 18980831    75.4
18980901 18980930    89.4
18981001 18981031   101.9
18981101 18981130    53.8
18981201 18981231    32.3
18990101 18990131    61.5
18990201 18990228    46.5
18990301 18990331   132.3
18990401 18990430    77.2
18990501 18990531    45.5
18990601 18990630   165.1
18990701 18990731    33.8
18990801 18990831    54.9
18990901 18990930    25.7
18991001 18991031    50.5
18991101 18991130    52.1
18991201 18991231     5.6
19000101 19000131    41.7
19000201 19000228     5.3
19000301 19000331   142.7
19000401 19000430   102.6
19000501 19000531    85.3
19000601 19000630    85.3
19000701 19000731    69.1
19000801 19000831   134.4
19000901 19000930    68.3
19001001 19001031    21.1
19001101 19001130    40.1
19001201 19001231    29.2
19010101 19010131    12.2
19010201 19010228     7.4
19010301 19010331    55.1
19010401 19010430    88.6
19010501 19010531    24.4
19010601 19010630    85.3
19010701 19010731    58.2
19010801 19010831    78.0
19010901 19010930    88.9
19011001 19011031    97.5
19011101 19011130    19.6
19011201 19011231     5.8
19020101 19020131    48.8
19020201 19020228     8.9
19020301 19020331    61.0
19020401 19020430     0.0
19020501 19020531     3.6
19020601 19020630   128.8
19020701 19020731    17.8
19020801 19020831    18.0
19020901 19020930    31.8
19021001 19021031    51.3
19021101 19021130    15.7
19021201 19021231   108.2
19030101 19030131    14.2
19030201 19030228    33.3
19030301 19030331    95.5
19030401 19030430    74.9
19030501 19030531    24.6
19030601 19030630   137.7
19030701 19030731   136.4
19030801 19030831    37.8
19030901 19030930   115.6
19031001 19031031    93.5
19031101 19031130    50.0
19031201 19031231    46.7
19040101 19040131    90.7
19040201 19040229    41.1
19040301 19040331    15.0
19040401 19040430    35.6
19040501 19040531    82.6
19040601 19040630   129.8
19040701 19040731   175.8
19040801 19040831   148.1
19040901 19040930    46.0
19041001 19041031   134.4
19041101 19041130    52.1
19041201 19041231    55.4
19050101 19050131    34.8
19050201 19050228     9.4
19050301 19050331    25.7
19050401 19050430    83.6
19050501 19050531   108.0
19050601 19050630   124.0
19050701 19050731   247.1
19050801 19050831    37.1
19050901 19050930    70.4
19051001 19051031   101.6
19051101 19051130     9.7
19051201 19051231    67.1
19060101 19060131     0.8
19060201 19060228    17.5
19060301 19060331   249.4
19060401 19060430    22.6
19060501 19060531   129.8
19060601 19060630   155.7
19060701 19060731   115.6
19060801 19060831    82.8
19060901 19060930   133.1
19061001 19061031   119.6
19061101 19061130   124.5
19061201 19061231    72.9
19070101 19070131    22.4
19070201 19070228    16.3
19070301 19070331    43.9
19070401 19070430    65.3
19070501 19070531    51.3
19070601 19070630    77.2
19070701 19070731   108.7
19070801 19070831    85.6
19070901 19070930    41.7
19071001 19071031    30.5
19071101 19071130    82.0
19071201 19071231    88.4
19080101 19080131     5.7
19080201 19080229    57.6
19080301 19080331    39.3
19080401 19080430    26.5
19080501 19080531    89.5
19080601 19080630   158.4
19080701 19080731    78.4
19080801 19080831    64.4
19080901 19080930   112.2
19081001 19081031    71.2
19081101 19081130    68.1
19081201 19081231    22.3
19090101 19090131    30.7
19090201 19090228    27.1
19090301 19090331   163.9
19090401 19090430   162.0
19090501 19090531   127.4
19090601 19090630   204.2
19090701 19090731   128.5
19090801 19090831   152.4
19090901 19090930    66.4
19091001 19091031    55.6
19091101 19091130     8.5
19091201 19091231    20.8
19100101 19100131    44.3
19100201 19100228     1.3
19100301 19100331    81.6
19100401 19100430     3.5
19100501 19100531   106.5
19100601 19100630   117.3
19100701 19100731   122.7
19100801 19100831    71.1
19100901 19100930   138.7
19101001 19101031    65.9
19101101 19101130    97.6
19101201 19101231    89.3
19110101 19110131    65.1
19110201 19110228   253.5
19110301 19110331    57.3
19110401 19110430    10.5
19110501 19110531   172.6
19110601 19110630   120.7
19110701 19110731    82.0
19110801 19110831    49.5
19110901 19110930    65.1
19111001 19111031    18.4
19111101 19111130    25.0
19111201 19111231    92.6
19120101 19120131    20.8
19120201 19120229    25.5
19120301 19120331    34.6
19120401 19120430    15.0
19120501 19120531     1.8
19120601 19120630   128.0
19120701 19120731   153.1
19120801 19120831    74.7
19120901 19120930   133.5
19121001 19121031    44.5
19121101 19121130   180.9
19121201 19121231   118.5
19130101 19130131    42.9
19130201 19130228    41.9
19130301 19130331   203.4
19130401 19130430     7.4
19130501 19130531    72.9
19130601 19130630    66.2
19130701 19130731    40.7
19130801 19130831    68.1
19130901 19130930   111.1
19131001 19131031    86.7
19131101 19131130    31.4
19131201 19131231    20.1
19140101 19140131    25.4
19140201 19140228     3.1
19140301 19140331    64.6
19140401 19140430    55.9
19140501 19140531    89.5
19140601 19140630    20.4
19140701 19140731    59.8
19140801 19140831    16.0
19140901 19140930    24.7
19141001 19141031     1.5
19141101 19141130    47.3
19141201 19141231   106.6
19150101 19150131    30.3
19150201 19150228    11.2
19150301 19150331     6.7
19150401 19150430    32.8
19150501 19150531   181.6
19150601 19150630   169.1
19150701 19150731    97.5
19150801 19150831   161.6
19150901 19150930   112.6
19151001 19151031   129.3
19151101 19151130    11.4
19151201 19151231    15.8
19160101 19160131    54.4
19160201 19160229    41.5
19160301 19160331    17.2
19160401 19160430    52.0
19160501 19160531    43.6
19160601 19160630   175.9
19160701 19160731   218.3
19160801 19160831   175.7
19160901 19160930   160.3
19161001 19161031   162.2
19161101 19161130   176.7
19161201 19161231    66.1
19170101 19170131   117.3
19170201 19170228    72.7
19170301 19170331    47.1
19170401 19170430    32.5
19170501 19170531   182.4
19170601 19170630   268.3
19170701 19170731   222.2
19170801 19170831   155.1
19170901 19170930   180.9
19171001 19171031   248.7
19171101 19171130   209.5
19171201 19171231    91.6
19180101 19180131   114.9
19180201 19180228    49.8
19180301 19180331    60.0
19180401 19180430    75.9
19180501 19180531   240.5
19180601 19180630   133.4
19180701 19180731    81.9
19180801 19180831   186.5
19180901 19180930    78.5
19181001 19181031    49.1
19181101 19181130     5.9
19181201 19181231    36.0
