PRCP       082001 18760101 20180131 missing_value=99999.9 BEECHWORTH COMPOSITE                      
19710501 19710531   126.2
19710601 19710630    74.5
19710701 19710731    85.9
19710801 19710831   128.1
19710901 19710930    93.4
19711001 19711031    70.8
19711101 19711130   142.0
19711201 19711231    92.3
19720101 19720131    75.3
19720201 19720229    64.1
19720301 19720331    25.0
19720401 19720430    50.8
19720501 19720531    53.6
19720601 19720630    23.7
19720701 19720731    95.1
19720801 19720831   137.8
19720901 19720930    21.9
19721001 19721031    38.3
19721101 19721130    43.2
19721201 19721231     2.6
19730101 19730131    99.7
19730201 19730228   209.7
19730301 19730331    92.0
19730401 19730430   173.2
19730501 19730531   120.3
19730601 19730630   147.3
19730701 19730731   101.0
19730801 19730831   166.0
19730901 19730930   122.0
19731001 19731031   155.0
19731101 19731130    81.7
19731201 19731231    67.5
19740101 19740131   190.2
19740201 19740228    38.6
19740301 19740331    44.0
19740401 19740430   176.6
19740501 19740531   194.6
19740601 19740630    52.0
19740701 19740731   169.8
19740801 19740831   127.0
19740901 19740930   118.0
19741001 19741031   141.6
19741101 19741130    70.8
19741201 19741231    23.0
19750101 19750131    36.0
19750201 19750228    43.6
19750301 19750331    45.2
19750401 19750430    31.9
19750501 19750531   122.3
19750601 19750630    18.6
19750701 19750731   111.2
19750801 19750831   161.8
19750901 19750930   165.6
19751001 19751031   211.4
19751101 19751130    40.2
19751201 19751231   169.2
19760101 19760131    48.2
19760201 19760229    61.5
19760301 19760331    10.6
19760401 19760430    18.0
19760501 19760531    27.4
19760601 19760630    55.6
19760701 19760731    56.5
19760801 19760831    84.5
19760901 19760930   104.6
19761001 19761031   143.7
19761101 19761130    88.6
19761201 19761231    53.6
19770101 19770131    47.0
19770201 19770228    62.0
19770301 19770331    63.8
19770401 19770430    31.4
19770501 19770531   110.8
19770601 19770630   160.0
19770701 19770731    78.4
19770801 19770831    35.2
19770901 19770930    55.6
19771001 19771031    24.4
19771101 19771130    39.8
19771201 19771231    15.5
19780101 19780131    84.2
19780201 19780228     4.2
19780301 19780331    99.0
19780401 19780430    69.0
19780501 19780531   142.8
19780601 19780630    84.2
19780701 19780731   152.8
19780801 19780831   140.2
19780901 19780930   138.2
19781001 19781031    80.8
19781101 19781130   126.1
19781201 19781231    61.4
19790101 19790131    31.8
19790201 19790228     2.2
19790301 19790331    27.4
19790401 19790430    85.4
19790501 19790531    91.6
19790601 19790630    69.0
19790701 19790731    42.2
19790801 19790831   138.6
19790901 19790930   229.2
19791001 19791031   160.2
19791101 19791130   117.6
19791201 19791231     3.4
19800101 19800131    36.0
19800201 19800229    10.8
19800301 19800331    26.2
19800401 19800430    67.0
19800501 19800531    74.0
19800601 19800630   128.6
19800701 19800731   137.6
19800801 19800831   102.9
19800901 19800930    96.7
19801001 19801031    90.8
19801101 19801130    49.0
19801201 19801231   115.4
19810101 19810131    63.0
19810201 19810228    60.0
19810301 19810331    41.2
19810401 19810430    28.4
19810501 19810531    87.2
19810601 19810630   291.6
19810701 19810731   295.4
19810801 19810831   218.2
19810901 19810930    79.2
19811001 19811031    66.2
19811101 19811130    54.8
19811201 19811231    57.1
19820101 19820131    56.8
19820201 19820228     2.6
19820301 19820331    62.8
19820401 19820430    29.8
19820501 19820531    75.8
19820601 19820630    58.2
19820701 19820731    26.8
19820801 19820831    28.4
19820901 19820930    62.6
19821001 19821031    17.0
19821101 19821130     7.8
19821201 19821231    42.6
19830101 19830131     6.8
19830201 19830228    47.4
19830301 19830331   159.8
19830401 19830430   100.0
19830501 19830531   166.2
19830601 19830630    89.3
19830701 19830731   177.0
19830801 19830831   145.0
19830901 19830930   159.8
19831001 19831031    56.2
19831101 19831130    72.8
19831201 19831231    45.6
19840101 19840131   199.6
19840201 19840229    62.6
19840301 19840331    42.8
19840401 19840430    40.4
19840501 19840531    20.4
19840601 19840630    24.2
19840701 19840731   138.6
19840801 19840831   201.0
19840901 19840930    97.6
19841001 19841031   104.8
19841101 19841130    17.4
19841201 19841231    14.4
19850101 19850131    26.4
19850201 19850228     6.4
19850301 19850331   128.4
19850401 19850430    79.4
19850501 19850531    78.6
19850601 19850630    80.0
19850701 19850731    58.0
19850801 19850831   195.2
19850901 19850930    25.8
19851001 19851031   104.2
19851101 19851130   138.0
19851201 19851231   120.4
19860101 19860131    12.6
19860201 19860228    19.4
19860301 19860331     1.0
19860401 19860430    58.8
19860501 19860531    98.4
19860601 19860630    56.6
19860701 19860731   280.4
19860801 19860831   128.2
19860901 19860930   100.0
19861001 19861031   166.0
19861101 19861130    39.8
19861201 19861231    68.1
19870101 19870131 99999.9
19870201 19870228    46.0
19870301 19870331    35.0
19870401 19870430    75.0
19870501 19870531    90.8
19870601 19870630   189.0
19870701 19870731   110.6
19870801 19870831    87.2
19870901 19870930    50.0
19871001 19871031    41.8
19871101 19871130    64.0
19871201 19871231    75.6
19880101 19880131    34.6
19880201 19880229    36.0
19880301 19880331    65.6
19880401 19880430    40.0
19880501 19880531   239.8
19880601 19880630   150.8
19880701 19880731   125.8
19880801 19880831    64.4
19880901 19880930    86.0
19881001 19881031    54.0
19881101 19881130   153.4
19881201 19881231   212.0
19890101 19890131    19.6
19890201 19890228    17.4
19890301 19890331   144.6
19890401 19890430   143.8
19890501 19890531   197.4
19890601 19890630   108.6
19890701 19890731   103.2
19890801 19890831   163.6
19890901 19890930    62.2
19891001 19891031   139.6
19891101 19891130    57.6
19891201 19891231    40.0
19900101 19900131    26.2
19900201 19900228    52.8
19900301 19900331    15.4
19900401 19900430   150.4
19900501 19900531   131.4
19900601 19900630   152.4
19900701 19900731   287.0
19900801 19900831   188.6
19900901 19900930    76.8
19901001 19901031    99.4
19901101 19901130    19.2
19901201 19901231    32.2
19910101 19910131   105.8
19910201 19910228     1.0
19910301 19910331    26.8
19910401 19910430    18.0
19910501 19910531    10.0
19910601 19910630   216.6
19910701 19910731   138.2
19910801 19910831   206.2
19910901 19910930   115.4
19911001 19911031     8.4
19911101 19911130    26.2
19911201 19911231   103.0
19920101 19920131    41.2
19920201 19920229    23.0
19920301 19920331    42.2
19920401 19920430   142.2
19920501 19920531   113.0
19920601 19920630    91.2
19920701 19920731    79.4
19920801 19920831   186.4
19920901 19920930   188.4
19921001 19921031   210.2
19921101 19921130   153.8
19921201 19921231   166.0
19930101 19930131   121.8
19930201 19930228    56.2
19930301 19930331    82.0
19930401 19930430    12.4
19930501 19930531    48.8
19930601 19930630    56.2
19930701 19930731   188.0
19930801 19930831    74.4
19930901 19930930   189.8
19931001 19931031   186.8
19931101 19931130    61.4
19931201 19931231   171.0
19940101 19940131    32.8
19940201 19940228   178.0
19940301 19940331    51.0
19940401 19940430    74.2
19940501 19940531    39.4
19940601 19940630   136.2
19940701 19940731    40.6
19940801 19940831    42.0
19940901 19940930    42.6
19941001 19941031    64.2
19941101 19941130    97.6
19941201 19941231    28.8
19950101 19950131   152.4
19950201 19950228    37.2
19950301 19950331     2.2
19950401 19950430    85.2
19950501 19950531   179.2
19950601 19950630   164.4
19950701 19950731   224.0
19950801 19950831    53.2
19950901 19950930    71.8
19951001 19951031    85.8
19951101 19951130   110.4
19951201 19951231    17.2
19960101 19960131   183.2
19960201 19960229    93.8
19960301 19960331    53.6
19960401 19960430    57.8
19960501 19960531    67.6
19960601 19960630   185.8
19960701 19960731   181.2
19960801 19960831   134.6
19960901 19960930   144.4
19961001 19961031   118.2
19961101 19961130    57.2
19961201 19961231    35.4
19970101 19970131    84.4
19970201 19970228    15.4
19970301 19970331    61.8
19970401 19970430     6.2
19970501 19970531   111.2
19970601 19970630    38.2
19970701 19970731    39.2
19970801 19970831   113.0
19970901 19970930    92.4
19971001 19971031    18.0
19971101 19971130    67.2
19971201 19971231     5.8
19980101 19980131    23.6
19980201 19980228    49.6
19980301 19980331     2.6
19980401 19980430   125.0
19980501 19980531    16.6
19980601 19980630   117.6
19980701 19980731   152.0
19980801 19980831    72.4
19980901 19980930   186.8
19981001 19981031    83.2
19981101 19981130   109.4
19981201 19981231    42.6
19990101 19990131    54.8
19990201 19990228     7.0
19990301 19990331   112.8
19990401 19990430    32.0
19990501 19990531   157.4
19990601 19990630   112.0
19990701 19990731    66.6
19990801 19990831   155.2
19990901 19990930    76.6
19991001 19991031    96.4
19991101 19991130    66.2
19991201 19991231   115.6
20000101 20000131    14.4
20000201 20000229    54.2
20000301 20000331    59.6
20000401 20000430    49.0
20000501 20000531   178.2
20000601 20000630   118.6
20000701 20000731    97.6
20000801 20000831   127.6
20000901 20000930   157.0
20001001 20001031   144.0
20001101 20001130   129.4
20001201 20001231    17.0
20010101 20010131    50.6
20010201 20010228    70.6
20010301 20010331    55.4
20010401 20010430    26.6
20010501 20010531    29.4
20010601 20010630   142.2
20010701 20010731    51.4
20010801 20010831   118.4
20010901 20010930    66.0
20011001 20011031   168.2
20011101 20011130    22.0
20011201 20011231    19.2
20020101 20020131    27.2
20020201 20020228    56.6
20020301 20020331    57.4
20020401 20020430    33.4
20020501 20020531    49.4
20020601 20020630   112.0
20020701 20020731    66.4
20020801 20020831    44.6
20020901 20020930   100.8
20021001 20021031    25.6
20021101 20021130    57.0
20021201 20021231    17.2
20030101 20030131    15.8
20030201 20030228     9.2
20030301 20030331    15.2
20030401 20030430    79.0
20030501 20030531    63.0
20030601 20030630   104.6
20030701 20030731   172.4
20030801 20030831   140.8
20030901 20030930    85.4
20031001 20031031   111.0
20031101 20031130    80.4
20031201 20031231   164.0
20040101 20040131    25.6
20040201 20040229    15.4
20040301 20040331     4.8
20040401 20040430    25.8
20040501 20040531    57.2
20040601 20040630   171.8
20040701 20040731   121.0
20040801 20040831   119.8
20040901 20040930   112.0
20041001 20041031    24.8
20041101 20041130   123.6
20041201 20041231   163.6
20050101 20050131    57.0
20050201 20050228   207.4
20050301 20050331    26.0
20050401 20050430    14.0
20050501 20050531    16.8
20050601 20050630   205.8
20050701 20050731   100.8
20050801 20050831   165.6
20050901 20050930   105.0
20051001 20051031   160.2
20051101 20051130    95.4
20051201 20051231    61.6
20060101 20060131    13.6
20060201 20060228    15.2
20060301 20060331    47.0
20060401 20060430    47.2
20060501 20060531    49.6
20060601 20060630    42.2
20060701 20060731    70.8
20060801 20060831    38.0
20060901 20060930    39.0
20061001 20061031     2.8
20061101 20061130    42.2
20061201 20061231     5.6
20070101 20070131    35.2
20070201 20070228    21.4
20070301 20070331    66.8
20070401 20070430    51.6
20070501 20070531   113.0
20070601 20070630    79.4
20070701 20070731   125.0
20070801 20070831    37.0
20070901 20070930    32.6
20071001 20071031    31.6
20071101 20071130    83.2
20071201 20071231   101.0
20080101 20080131    78.4
20080201 20080229    90.2
20080301 20080331    36.0
20080401 20080430    25.2
20080501 20080531    52.0
20080601 20080630    35.4
20080701 20080731   158.6
20080801 20080831    91.6
20080901 20080930    50.2
20081001 20081031    10.8
20081101 20081130    84.2
20081201 20081231    74.8
20090101 20090131    16.6
20090201 20090228     1.8
20090301 20090331    30.6
20090401 20090430    80.4
20090501 20090531    30.4
20090601 20090630    99.8
20090701 20090731   117.6
20090801 20090831    92.4
20090901 20090930   101.0
20091001 20091031    63.6
20091101 20091130    87.4
20091201 20091231    33.4
20100101 20100131    41.4
20100201 20100228   134.8
20100301 20100331    94.2
20100401 20100430    75.6
20100501 20100531    71.0
20100601 20100630    72.4
20100701 20100731   114.2
20100801 20100831   171.2
20100901 20100930   122.2
20101001 20101031   187.6
20101101 20101130   162.6
20101201 20101231   196.4
20110101 20110131   140.6
20110201 20110228   284.6
20110301 20110331    59.8
20110401 20110430    47.0
20110501 20110531    56.0
20110601 20110630    65.0
20110701 20110731   147.4
20110801 20110831   101.8
20110901 20110930    81.8
20111001 20111031    41.6
20111101 20111130   171.0
20111201 20111231    43.6
20120101 20120131   111.4
20120201 20120229   130.4
20120301 20120331   203.0
20120401 20120430    25.6
20120501 20120531    65.2
20120601 20120630    60.6
20120701 20120731   119.4
20120801 20120831   112.6
20120901 20120930    29.8
20121001 20121031    14.2
20121101 20121130    69.8
20121201 20121231    81.4
20130101 20130131     6.8
20130201 20130228    17.6
20130301 20130331    77.0
20130401 20130430    21.2
20130501 20130531    91.0
20130601 20130630   100.8
20130701 20130731   136.0
20130801 20130831   153.0
20130901 20130930    89.2
20131001 20131031    44.0
20131101 20131130    23.8
20131201 20131231    70.2
20140101 20140131    34.4
20140201 20140228    23.2
20140301 20140331   116.4
20140401 20140430   111.4
20140501 20140531   104.4
20140601 20140630   160.4
20140701 20140731   102.0
20140801 20140831    22.2
20140901 20140930    77.8
20141001 20141031    29.0
20141101 20141130    82.0
20141201 20141231    84.2
20150101 20150131   113.4
20150201 20150228    55.0
20150301 20150331     8.6
20150401 20150430   130.2
20150501 20150531   117.0
20150601 20150630    83.8
20150701 20150731   108.8
20150801 20150831   126.2
20150901 20150930    30.6
20151001 20151031    41.4
20151101 20151130    91.2
20151201 20151231    58.4
20160101 20160131   107.8
20160201 20160229    37.4
20160301 20160331    38.6
20160401 20160430    25.2
20160501 20160531   238.4
20160601 20160630   159.8
20160701 20160731   184.0
20160801 20160831   168.6
20160901 20160930   225.6
20161001 20161031   130.6
20161101 20161130    65.0
20161201 20161231    48.6
20170101 20170131    50.8
20170201 20170228    27.8
20170301 20170331    45.4
20170401 20170430    94.0
20170501 20170531    55.2
20170601 20170630    16.0
20170701 20170731   114.8
20170801 20170831   178.6
20170901 20170930    44.4
20171001 20171031    76.2
20171101 20171130    76.6
20171201 20171231   198.2
20180101 20180131    55.2
