PRCP       075012 18960101 20180131 missing_value=99999.9 WAKOOL (CALIMO)                           
19920501 19920531    68.8
19920601 19920630    15.3
19920701 19920731    26.6
19920801 19920831    60.5
19920901 19920930    76.1
19921001 19921031    87.2
19921101 19921130    57.2
19921201 19921231   184.6
19930101 19930131    56.9
19930201 19930228    15.0
19930301 19930331    46.6
19930401 19930430     0.4
19930501 19930531    19.9
19930601 19930630     9.4
19930701 19930731    49.8
19930801 19930831    17.0
19930901 19930930    74.2
19931001 19931031    96.4
19931101 19931130    42.4
19931201 19931231    78.5
19940101 19940131     2.5
19940201 19940228    58.9
19940301 19940331    41.3
19940401 19940430     4.8
19940501 19940531     3.0
19940601 19940630    37.8
19940701 19940731    13.2
19940801 19940831     2.6
19940901 19940930    12.3
19941001 19941031    12.0
19941101 19941130     9.0
19941201 19941231    39.8
19950101 19950131    67.4
19950201 19950228    13.0
19950301 19950331     0.0
19950401 19950430    25.1
19950501 19950531    66.6
19950601 19950630    30.3
19950701 19950731    82.8
19950801 19950831     8.4
19950901 19950930    16.2
19951001 19951031    47.6
19951101 19951130    42.8
19951201 19951231    20.4
19960101 19960131    49.0
19960201 19960229    34.4
19960301 19960331    19.8
19960401 19960430    16.0
19960501 19960531    14.0
19960601 19960630    42.6
19960701 19960731    55.2
19960801 19960831    48.5
19960901 19960930    42.4
19961001 19961031    24.9
19961101 19961130    39.3
19961201 19961231     9.3
19970101 19970131    76.6
19970201 19970228     9.7
19970301 19970331    16.8
19970401 19970430     6.4
19970501 19970531    44.1
19970601 19970630    18.9
19970701 19970731     8.9
19970801 19970831    50.0
19970901 19970930    54.4
19971001 19971031    23.6
19971101 19971130    25.6
19971201 19971231    10.2
19980101 19980131    46.2
19980201 19980228    33.2
19980301 19980331     4.0
19980401 19980430    62.7
19980501 19980531     3.6
19980601 19980630    18.0
19980701 19980731    57.6
19980801 19980831    55.6
19980901 19980930    57.3
19981001 19981031    29.2
19981101 19981130    50.4
19981201 19981231    15.4
19990101 19990131    13.5
19990201 19990228     7.8
19990301 19990331   106.0
19990401 19990430     5.2
19990501 19990531    56.0
19990601 19990630    16.8
19990701 19990731    23.4
19990801 19990831    59.2
19990901 19990930    29.0
19991001 19991031    67.4
19991101 19991130    48.8
19991201 19991231    51.4
20000101 20000131    24.8
20000201 20000229    55.8
20000301 20000331    26.0
20000401 20000430    38.7
20000501 20000531    29.2
20000601 20000630    23.0
20000701 20000731    28.3
20000801 20000831    23.5
20000901 20000930    47.9
20001001 20001031    53.0
20001101 20001130    98.4
20001201 20001231     1.8
20010101 20010131    18.0
20010201 20010228    81.4
20010301 20010331    20.6
20010401 20010430    43.6
20010501 20010531     8.7
20010601 20010630    20.0
20010701 20010731    36.8
20010801 20010831    36.2
20010901 20010930    19.2
20011001 20011031    46.6
20011101 20011130    16.7
20011201 20011231     3.8
20020101 20020131    19.0
20020201 20020228    41.8
20020301 20020331    26.6
20020401 20020430     6.2
20020501 20020531    19.3
20020601 20020630    10.7
20020701 20020731    12.6
20020801 20020831     9.3
20020901 20020930    16.8
20021001 20021031     3.7
20021101 20021130     9.7
20021201 20021231     7.4
20030101 20030131    11.3
20030201 20030228    39.1
20030301 20030331     0.0
20030401 20030430    39.5
20030501 20030531    26.5
20030601 20030630    39.9
20030701 20030731    70.5
20030801 20030831    60.8
20030901 20030930    31.9
20031001 20031031    32.0
20031101 20031130    43.2
20031201 20031231    51.5
20040101 20040131     7.0
20040201 20040229     1.6
20040301 20040331     1.8
20040401 20040430     2.5
20040501 20040531    15.3
20040601 20040630    36.9
20040701 20040731    23.5
20040801 20040831    38.3
20040901 20040930    40.7
20041001 20041031     1.9
20041101 20041130    64.8
20041201 20041231    87.9
20050101 20050131    21.5
20050201 20050228    92.0
20050301 20050331     4.2
20050401 20050430     6.0
20050501 20050531     6.2
20050601 20050630    51.1
20050701 20050731    29.0
20050801 20050831    41.0
20050901 20050930    54.2
20051001 20051031    83.6
20051101 20051130    47.8
20051201 20051231    29.4
20060101 20060131    13.4
20060201 20060228     4.2
20060301 20060331    15.4
20060401 20060430    23.4
20060501 20060531     9.8
20060601 20060630    25.0
20060701 20060731    48.9
20060801 20060831     5.6
20060901 20060930    14.6
20061001 20061031     0.0
20061101 20061130    23.2
20061201 20061231     2.6
20070101 20070131    34.8
20070201 20070228    18.7
20070301 20070331    13.8
20070401 20070430    44.7
20070501 20070531    47.6
20070601 20070630    12.2
20070701 20070731    34.5
20070801 20070831     4.2
20070901 20070930     9.8
20071001 20071031     7.4
20071101 20071130    31.9
20071201 20071231    61.9
20080101 20080131    64.0
20080201 20080229    20.0
20080301 20080331    24.4
20080401 20080430     8.8
20080501 20080531    14.6
20080601 20080630    18.0
20080701 20080731    41.9
20080801 20080831    19.5
20080901 20080930    16.6
20081001 20081031    10.0
20081101 20081130    67.3
20081201 20081231    63.1
20090101 20090131     0.0
20090201 20090228     0.0
20090301 20090331    10.4
20090401 20090430    31.8
20090501 20090531     9.3
20090601 20090630    72.2
20090701 20090731    19.6
20090801 20090831    19.4
20090901 20090930    54.3
20091001 20091031    21.8
20091101 20091130    55.0
20091201 20091231    12.0
20100101 20100131    32.2
20100201 20100228    68.4
20100301 20100331   102.6
20100401 20100430    25.8
20100501 20100531    71.0
20100601 20100630    25.0
20100701 20100731    23.4
20100801 20100831    56.8
20100901 20100930    27.2
20101001 20101031    88.8
20101101 20101130    59.7
20101201 20101231    77.6
20110101 20110131   104.8
20110201 20110228    85.8
20110301 20110331    71.4
20110401 20110430    30.0
20110501 20110531    11.3
20110601 20110630    15.7
20110701 20110731    40.1
20110801 20110831    68.1
20110901 20110930    29.7
20111001 20111031    21.8
20111101 20111130    45.1
20111201 20111231    38.0
20120101 20120131    33.1
20120201 20120229    53.8
20120301 20120331    81.1
20120401 20120430     9.2
20120501 20120531     7.4
20120601 20120630    14.0
20120701 20120731    44.6
20120801 20120831    25.8
20120901 20120930    34.4
20121001 20121031    16.1
20121101 20121130    14.2
20121201 20121231     5.5
20130101 20130131     3.8
20130201 20130228    32.6
20130301 20130331     6.2
20130401 20130430     2.6
20130501 20130531    24.4
20130601 20130630    61.8
20130701 20130731    51.6
20130801 20130831    22.4
20130901 20130930    19.8
20131001 20131031    13.0
20131101 20131130     9.5
20131201 20131231    64.1
20140101 20140131     5.8
20140201 20140228    20.6
20140301 20140331    32.2
20140401 20140430    47.6
20140501 20140531    35.0
20140601 20140630    52.6
20140701 20140731    17.6
20140801 20140831     4.2
20140901 20140930    36.8
20141001 20141031     8.2
20141101 20141130    33.2
20141201 20141231    11.0
20150101 20150131    71.0
20150201 20150228     1.5
20150301 20150331     1.6
20150401 20150430    50.0
20150501 20150531    13.6
20150601 20150630    44.2
20150701 20150731    30.1
20150801 20150831    27.9
20150901 20150930    15.2
20151001 20151031    19.0
20151101 20151130    16.8
20151201 20151231     8.0
20160101 20160131    11.0
20160201 20160229    22.6
20160301 20160331    10.5
20160401 20160430    25.8
20160501 20160531    81.8
20160601 20160630    36.3
20160701 20160731    45.5
20160801 20160831    68.7
20160901 20160930   119.3
20161001 20161031    36.2
20161101 20161130    16.2
20161201 20161231    15.6
20170101 20170131    24.0
20170201 20170228    11.0
20170301 20170331    17.8
20170401 20170430    55.7
20170501 20170531    44.7
20170601 20170630     3.4
20170701 20170731    19.6
20170801 20170831    79.5
20170901 20170930     4.6
20171001 20171031    17.4
20171101 20171130    42.6
20171201 20171231    65.3
20180101 20180131    24.0
