PRCP       075012 18960101 20180131 missing_value=99999.9 WAKOOL (CALIMO)                           
19171201 19171231    29.0
19180101 19180131    48.3
19180201 19180228    45.0
19180301 19180331    30.5
19180401 19180430    35.3
19180501 19180531   113.5
19180601 19180630    27.2
19180701 19180731     3.8
19180801 19180831    73.7
19180901 19180930     1.4
19181001 19181031    21.5
19181101 19181130     0.0
19181201 19181231     4.9
19190101 19190131     0.0
19190201 19190228    83.1
19190301 19190331    21.1
19190401 19190430    27.4
19190501 19190531    75.7
19190601 19190630    35.3
19190701 19190731     7.6
19190801 19190831    12.4
19190901 19190930    25.1
19191001 19191031    14.5
19191101 19191130    26.2
19191201 19191231    33.5
19200101 19200131     4.3
19200201 19200229     0.0
19200301 19200331     0.0
19200401 19200430     9.9
19200501 19200531    13.7
19200601 19200630    46.2
19200701 19200731    48.5
19200801 19200831   103.1
19200901 19200930    81.3
19201001 19201031    60.2
19201101 19201130    25.4
19201201 19201231    26.7
19210101 19210131    14.0
19210201 19210228    36.3
19210301 19210331    17.8
19210401 19210430    25.9
19210501 19210531    53.3
19210601 19210630    47.5
19210701 19210731    34.5
19210801 19210831    37.3
19210901 19210930    81.3
19211001 19211031    29.7
19211101 19211130     8.9
19211201 19211231    12.7
19220101 19220131    11.4
19220201 19220228    12.7
19220301 19220331     0.0
19220401 19220430    19.1
19220501 19220531    34.5
19220601 19220630    25.4
19220701 19220731    27.4
19220801 19220831    14.2
19220901 19220930    24.6
19221001 19221031    49.0
19221101 19221130     0.0
19221201 19221231    22.4
19230101 19230131     0.0
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    33.0
19230601 19230630   153.4
19230701 19230731    97.3
19230801 19230831    17.0
19230901 19230930    37.1
19231001 19231031    12.7
19231101 19231130    11.7
19231201 19231231    45.7
19240101 19240131    20.8
19240201 19240229    32.0
19240301 19240331    31.2
19240401 19240430    38.4
19240501 19240531    11.7
19240601 19240630    49.8
19240701 19240731    18.3
19240801 19240831    57.2
19240901 19240930    22.1
19241001 19241031    27.2
19241101 19241130   109.2
19241201 19241231    44.5
19250101 19250131    33.0
19250201 19250228    29.5
19250301 19250331     1.9
19250401 19250430     2.6
19250501 19250531    90.1
19250601 19250630    59.4
19250701 19250731    25.8
19250801 19250831    24.5
19250901 19250930    37.7
19251001 19251031    11.3
19251101 19251130     3.0
19251201 19251231     0.0
19260101 19260131     9.7
19260201 19260228     0.0
19260301 19260331    44.2
19260401 19260430    47.0
19260501 19260531    55.1
19260601 19260630    26.9
19260701 19260731    22.6
19260801 19260831    47.2
19260901 19260930    58.2
19261001 19261031    24.9
19261101 19261130     0.0
19261201 19261231    23.4
19270101 19270131     0.0
19270201 19270228    15.7
19270301 19270331     3.0
19270401 19270430     0.0
19270501 19270531    27.4
19270601 19270630     9.4
19270701 19270731    29.5
19270801 19270831    33.3
19270901 19270930     9.4
19271001 19271031    37.3
19271101 19271130    29.0
19271201 19271231     0.0
19280101 19280131    24.6
19280201 19280229    73.4
19280301 19280331    33.5
19280401 19280430    29.7
19280501 19280531    27.4
19280601 19280630    18.3
19280701 19280731    21.6
19280801 19280831     9.1
19280901 19280930     9.9
19281001 19281031    34.8
19281101 19281130     1.5
19281201 19281231     0.0
19290101 19290131     2.0
19290201 19290228    14.7
19290301 19290331    13.2
19290401 19290430    57.7
19290501 19290531     9.4
19290601 19290630     8.9
19290701 19290731     5.6
19290801 19290831    33.0
19290901 19290930    14.2
19291001 19291031    50.5
19291101 19291130    14.5
19291201 19291231    39.1
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331     8.9
19300401 19300430     6.9
19300501 19300531   102.1
19300601 19300630     7.1
19300701 19300731    29.2
19300801 19300831    34.5
19300901 19300930     6.6
19301001 19301031    50.0
19301101 19301130     3.0
19301201 19301231   104.6
19310101 19310131    41.1
19310201 19310228     0.0
19310301 19310331    60.7
19310401 19310430    93.5
19310501 19310531    68.6
19310601 19310630    84.6
19310701 19310731    28.7
19310801 19310831    14.2
19310901 19310930    34.5
19311001 19311031    26.7
19311101 19311130    53.1
19311201 19311231     6.6
19320101 19320131     0.0
19320201 19320229    55.6
19320301 19320331    40.6
19320401 19320430    33.0
19320501 19320531    33.8
19320601 19320630    64.3
19320701 19320731    52.8
19320801 19320831    55.1
19320901 19320930    34.8
19321001 19321031    16.3
19321101 19321130    14.2
19321201 19321231    35.3
19330101 19330131    74.2
19330201 19330228     0.0
19330301 19330331    29.2
19330401 19330430     5.1
19330501 19330531    37.3
19330601 19330630    47.0
19330701 19330731    25.1
19330801 19330831    53.8
19330901 19330930    49.5
19331001 19331031    18.5
19331101 19331130    65.0
19331201 19331231    64.0
19340101 19340131    15.7
19340201 19340228    68.3
19340301 19340331     3.8
19340401 19340430    11.7
19340501 19340531     0.0
19340601 19340630    18.8
19340701 19340731    55.6
19340801 19340831    47.2
19340901 19340930    17.0
19341001 19341031    89.4
19341101 19341130    19.1
19341201 19341231    22.1
19350101 19350131    13.5
19350201 19350228    17.3
19350301 19350331    22.1
19350401 19350430    41.7
19350501 19350531     4.1
19350601 19350630    21.6
19350701 19350731    53.3
19350801 19350831    24.1
19350901 19350930    37.3
19351001 19351031    35.8
19351101 19351130     7.1
19351201 19351231    36.3
19360101 19360131    48.3
19360201 19360229     2.5
19360301 19360331     0.0
19360401 19360430    25.7
19360501 19360531    48.8
19360601 19360630    22.1
19360701 19360731    99.6
19360801 19360831    45.7
19360901 19360930    15.7
19361001 19361031    23.6
19361101 19361130     5.6
19361201 19361231    94.5
19370101 19370131    50.5
19370201 19370228     6.9
19370301 19370331     0.0
19370401 19370430    10.9
19370501 19370531    32.8
19370601 19370630    12.7
19370701 19370731     5.6
19370801 19370831    38.1
19370901 19370930    14.2
19371001 19371031    43.2
19371101 19371130     6.1
19371201 19371231    30.0
19380101 19380131     6.4
19380201 19380228    10.4
19380301 19380331     0.0
19380401 19380430     9.9
19380501 19380531     8.6
19380601 19380630    49.8
19380701 19380731    64.8
19380801 19380831    31.5
19380901 19380930     7.6
19381001 19381031    11.2
19381101 19381130     2.0
19381201 19381231     0.0
19390101 19390131     0.0
19390201 19390228    85.1
19390301 19390331    61.7
19390401 19390430   141.0
19390501 19390531    49.8
19390601 19390630    54.4
19390701 19390731    18.5
19390801 19390831    67.3
19390901 19390930    33.8
19391001 19391031    64.8
19391101 19391130    47.5
19391201 19391231     0.0
19400101 19400131     0.0
19400201 19400229     0.0
19400301 19400331    10.9
19400401 19400430    40.4
19400501 19400531     0.0
19400601 19400630     4.8
19400701 19400731    18.5
19400801 19400831     6.1
19400901 19400930    52.1
19401001 19401031     0.0
19401101 19401130    16.0
19401201 19401231    29.0
19410101 19410131   179.6
19410201 19410228     5.1
19410301 19410331    55.4
19410401 19410430     3.0
19410501 19410531     0.0
19410601 19410630    19.6
19410701 19410731    48.3
19410801 19410831     6.9
19410901 19410930    37.1
19411001 19411031    25.9
19411101 19411130     0.0
19411201 19411231     0.0
19420101 19420131    15.2
19420201 19420228    13.7
19420301 19420331    27.2
19420401 19420430    19.1
19420501 19420531    51.1
19420601 19420630    38.4
19420701 19420731    11.7
19420801 19420831    55.6
19420901 19420930     4.6
19421001 19421031    37.3
19421101 19421130    19.1
19421201 19421231    10.2
19430101 19430131     9.4
19430201 19430228     0.0
19430301 19430331     8.1
19430401 19430430     8.4
19430501 19430531    13.5
19430601 19430630    23.1
19430701 19430731    30.2
19430801 19430831    10.9
19430901 19430930    24.1
19431001 19431031    25.7
19431101 19431130    19.3
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331    18.8
19440401 19440430    38.1
19440501 19440531    41.9
19440601 19440630     0.0
19440701 19440731    23.1
19440801 19440831     0.0
19440901 19440930     6.4
19441001 19441031    16.5
19441101 19441130    13.5
19441201 19441231    28.7
19450101 19450131    41.4
19450201 19450228    30.5
19450301 19450331     0.0
19450401 19450430     0.0
19450501 19450531    13.0
19450601 19450630    65.3
19450701 19450731    23.6
19450801 19450831    39.9
19450901 19450930     0.0
19451001 19451031    54.1
19451101 19451130     8.9
19451201 19451231     8.6
19460101 19460131    68.1
19460201 19460228   138.9
19460301 19460331    17.8
19460401 19460430     0.0
19460501 19460531    21.6
19460601 19460630    26.7
19460701 19460731    54.4
19460801 19460831    17.8
19460901 19460930     0.0
19461001 19461031    10.7
19461101 19461130    54.9
19461201 19461231     2.5
19470101 19470131     0.0
19470201 19470228    21.6
19470301 19470331    77.5
19470401 19470430    18.5
19470501 19470531     5.1
19470601 19470630    30.5
19470701 19470731    81.0
19470801 19470831    21.6
19470901 19470930    37.3
19471001 19471031    52.1
19471101 19471130    38.1
19471201 19471231    79.2
19480101 19480131     0.0
19480201 19480229    38.1
19480301 19480331     0.0
19480401 19480430    43.2
19480501 19480531    35.6
19480601 19480630    55.9
19480701 19480731    17.0
19480801 19480831     6.4
19480901 19480930    21.6
19481001 19481031    50.5
19481101 19481130     5.1
19481201 19481231    32.3
19490101 19490131    14.0
19490201 19490228    34.5
19490301 19490331    83.1
19490401 19490430     5.1
19490501 19490531    40.1
19490601 19490630    17.0
19490701 19490731    21.3
19490801 19490831    11.2
19490901 19490930    32.3
19491001 19491031    93.5
19491101 19491130    12.2
19491201 19491231     0.0
19500101 19500131     0.0
19500201 19500228    54.4
19500301 19500331    97.3
19500401 19500430    15.2
19500501 19500531    48.5
19500601 19500630    40.9
19500701 19500731    55.6
19500801 19500831    22.9
19500901 19500930    27.7
19501001 19501031    41.9
19501101 19501130    41.9
19501201 19501231    25.4
19510101 19510131    23.6
19510201 19510228    48.8
19510301 19510331     0.0
19510401 19510430    32.8
19510501 19510531    90.9
19510601 19510630   101.9
19510701 19510731    40.6
19510801 19510831    49.8
19510901 19510930    23.4
19511001 19511031    27.2
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131     0.0
19520201 19520229     0.8
19520301 19520331    20.3
19520401 19520430    54.4
19520501 19520531    89.2
19520601 19520630    40.6
19520701 19520731    27.7
19520801 19520831    22.1
19520901 19520930    29.2
19521001 19521031   129.0
19521101 19521130    61.5
19521201 19521231    17.3
19530101 19530131    41.9
19530201 19530228    13.7
19530301 19530331     0.0
19530401 19530430    30.7
19530501 19530531    23.1
19530601 19530630    41.1
19530701 19530731    22.9
19530801 19530831    59.2
19530901 19530930    79.5
19531001 19531031    60.5
19531101 19531130    48.0
19531201 19531231     1.5
19540101 19540131    36.6
19540201 19540228    46.7
19540301 19540331     5.1
19540401 19540430    41.4
19540501 19540531    10.4
19540601 19540630    23.4
19540701 19540731    19.8
19540801 19540831    27.4
19540901 19540930    35.8
19541001 19541031    33.8
19541101 19541130    65.3
19541201 19541231   139.7
19550101 19550131     1.8
19550201 19550228    77.2
19550301 19550331    64.0
19550401 19550430     0.0
19550501 19550531    56.9
19550601 19550630    58.4
19550701 19550731    85.6
19550801 19550831    52.6
19550901 19550930    63.2
19551001 19551031    57.2
19551101 19551130    21.1
19551201 19551231     7.4
19560101 19560131    97.3
19560201 19560229     3.6
19560301 19560331   151.1
19560401 19560430    55.1
19560501 19560531   172.2
19560601 19560630    78.2
19560701 19560731   101.9
19560801 19560831    25.9
19560901 19560930    43.2
19561001 19561031   125.7
19561101 19561130    19.3
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228    26.4
19570301 19570331    20.3
19570401 19570430    10.4
19570501 19570531     2.5
19570601 19570630    75.7
19570701 19570731    41.7
19570801 19570831    20.6
19570901 19570930    13.5
19571001 19571031    24.4
19571101 19571130    16.8
19571201 19571231    31.0
19580101 19580131    20.6
19580201 19580228    17.0
19580301 19580331    26.7
19580401 19580430     4.3
19580501 19580531    58.4
19580601 19580630     6.9
19580701 19580731    68.6
19580801 19580831   115.6
19580901 19580930    55.4
19581001 19581031    84.8
19581101 19581130    71.1
19581201 19581231    11.7
19590101 19590131    26.9
19590201 19590228    10.2
19590301 19590331    17.3
19590401 19590430    25.9
19590501 19590531    10.7
19590601 19590630    64.8
19590701 19590731    13.7
19590801 19590831    24.1
19590901 19590930    21.8
19591001 19591031   118.4
19591101 19591130     0.5
19591201 19591231    77.7
19600101 19600131    84.8
19600201 19600229    35.1
19600301 19600331    15.2
19600401 19600430    22.6
19600501 19600531   108.7
19600601 19600630    29.0
19600701 19600731    61.2
19600801 19600831    32.3
19600901 19600930    79.0
19601001 19601031     5.1
19601101 19601130    43.4
19601201 19601231    64.5
19610101 19610131     8.4
19610201 19610228     9.7
19610301 19610331    57.9
19610401 19610430    38.1
19610501 19610531    11.7
19610601 19610630    26.7
19610701 19610731    24.6
19610801 19610831    41.9
19610901 19610930    12.7
19611001 19611031    12.4
19611101 19611130    38.4
19611201 19611231    41.7
19620101 19620131   118.4
19620201 19620228     0.3
19620301 19620331    26.7
19620401 19620430     4.1
19620501 19620531    51.1
19620601 19620630    17.0
19620701 19620731    30.5
19620801 19620831    33.8
19620901 19620930    27.2
19621001 19621031    17.0
19621101 19621130    10.9
19621201 19621231    37.8
19630101 19630131    84.6
19630201 19630228     3.8
19630301 19630331    32.0
19630401 19630430    35.1
19630501 19630531    51.1
19630601 19630630    71.6
19630701 19630731    40.9
19630801 19630831    19.6
19630901 19630930    39.9
19631001 19631031    49.3
19631101 19631130    11.9
19631201 19631231    33.0
19640101 19640131    11.9
19640201 19640229    10.9
19640301 19640331     2.5
19640401 19640430    62.7
19640501 19640531    22.6
19640601 19640630    31.8
19640701 19640731    36.3
19640801 19640831    18.5
19640901 19640930    86.9
19641001 19641031    58.2
19641101 19641130    54.1
19641201 19641231    19.1
19650101 19650131     0.5
19650201 19650228     0.0
19650301 19650331     3.3
19650401 19650430     6.6
19650501 19650531    27.2
19650601 19650630    18.0
19650701 19650731    29.5
19650801 19650831    51.3
19650901 19650930    38.6
19651001 19651031    25.7
19651101 19651130    40.6
19651201 19651231    47.8
19660101 19660131    14.5
19660201 19660228    22.1
19660301 19660331    46.0
19660401 19660430     4.8
19660501 19660531    15.7
19660601 19660630    20.1
19660701 19660731    16.3
19660801 19660831    46.0
19660901 19660930    75.4
19661001 19661031    37.3
19661101 19661130    22.9
19661201 19661231    41.9
19670101 19670131     3.3
19670201 19670228     0.3
19670301 19670331    11.7
19670401 19670430     4.3
19670501 19670531    14.0
19670601 19670630    46.2
19670701 19670731     8.9
19670801 19670831    25.7
19670901 19670930    15.5
19671001 19671031     9.4
19671101 19671130     1.5
19671201 19671231     1.3
19680101 19680131    20.1
19680201 19680229     0.0
19680301 19680331    10.9
19680401 19680430    39.1
19680501 19680531    73.4
19680601 19680630    47.8
19680701 19680731    23.6
19680801 19680831    18.0
19680901 19680930     5.6
19681001 19681031    24.4
19681101 19681130    17.0
19681201 19681231    30.5
19690101 19690131     4.6
19690201 19690228    77.0
19690301 19690331    79.2
19690401 19690430    18.8
19690501 19690531    38.9
19690601 19690630    10.2
19690701 19690731    48.0
19690801 19690831    40.1
19690901 19690930    20.6
19691001 19691031    18.3
19691101 19691130    20.6
19691201 19691231    10.9
19700101 19700131    53.3
19700201 19700228    15.7
19700301 19700331    40.1
19700401 19700430    75.7
