PRCP       014902 18900701 20180131 missing_value=99999.9 KATHERINE COUNCIL                         
19120601 19120630     0.0
19120701 19120731     0.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     2.3
19121101 19121130    56.9
19121201 19121231   124.5
19130101 19130131   133.8
19130201 19130228   337.2
19130301 19130331   201.0
19130401 19130430     0.0
19130501 19130531     0.0
19130601 19130630     0.0
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     1.3
19131001 19131031     1.3
19131101 19131130    48.2
19131201 19131231   114.9
19140101 19140131   429.7
19140201 19140228    55.0
19140301 19140331   114.8
19140401 19140430    44.7
19140501 19140531    16.8
19140601 19140630     0.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    11.2
19141101 19141130    38.1
19141201 19141231   193.3
19150101 19150131   296.3
19150201 19150228   109.3
19150301 19150331    40.7
19150401 19150430     0.0
19150501 19150531    61.7
19150601 19150630     0.0
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930     0.5
19151001 19151031   141.3
19151101 19151130    36.6
19151201 19151231   444.0
19160101 19160131   196.4
19160201 19160229   140.5
19160301 19160331   103.2
19160401 19160430     0.0
19160501 19160531     0.5
19160601 19160630     0.0
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930     8.9
19161001 19161031    19.4
19161101 19161130   183.3
19161201 19161231   281.5
19170101 19170131   280.2
19170201 19170228   170.3
19170301 19170331   161.1
19170401 19170430    29.7
19170501 19170531     0.0
19170601 19170630     2.3
19170701 19170731     0.0
19170801 19170831     6.4
19170901 19170930     7.3
19171001 19171031    76.0
19171101 19171130   244.8
19171201 19171231   238.7
19180101 19180131   419.5
19180201 19180228   158.3
19180301 19180331    67.3
19180401 19180430     1.0
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     2.5
19180901 19180930     0.0
19181001 19181031     0.8
19181101 19181130    67.9
19181201 19181231   125.9
19190101 19190131   134.6
19190201 19190228   209.9
19190301 19190331    43.5
19190401 19190430    25.7
19190501 19190531    13.2
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     0.0
19190901 19190930     0.0
19191001 19191031    30.5
