PRCP       092037 19040101 20041031 missing_value=99999.9 SWAN ISLAND LIGHTHOUSE                    
19251101 19251130    10.0
19251201 19251231    11.0
19260101 19260131    12.5
19260201 19260228    11.0
19260301 19260331     6.5
19260401 19260430    69.1
19260501 19260531    49.9
19260601 19260630    45.6
19260701 19260731    81.6
19260801 19260831    80.0
19260901 19260930    36.3
19261001 19261031    91.2
19261101 19261130    43.7
19261201 19261231    47.2
19270101 19270131    42.9
19270201 19270228    22.7
19270301 19270331    91.8
19270401 19270430     7.7
19270501 19270531    48.6
19270601 19270630    22.2
19270701 19270731    64.0
19270801 19270831    64.8
19270901 19270930    28.8
19271001 19271031    31.6
19271101 19271130    25.8
19271201 19271231    37.3
19280101 19280131    45.3
19280201 19280229    54.6
19280301 19280331    50.7
19280401 19280430    92.2
19280501 19280531    46.8
19280601 19280630   104.6
19280701 19280731    55.1
19280801 19280831    43.9
19280901 19280930    99.9
19281001 19281031   119.2
19281101 19281130    39.5
19281201 19281231    50.8
19290101 19290131    24.9
19290201 19290228    27.9
19290301 19290331    32.9
19290401 19290430   166.0
19290501 19290531    53.6
19290601 19290630    85.8
19290701 19290731    30.1
19290801 19290831    49.7
19290901 19290930    37.3
19291001 19291031    65.8
19291101 19291130    84.9
19291201 19291231    83.0
19300101 19300131     2.8
19300201 19300228    67.6
19300301 19300331     5.3
19300401 19300430    53.1
19300501 19300531    50.3
19300601 19300630    34.0
19300701 19300731   100.1
19300801 19300831    67.2
19300901 19300930    39.3
19301001 19301031   104.0
19301101 19301130    46.8
19301201 19301231   107.9
19310101 19310131    22.6
19310201 19310228    26.3
19310301 19310331   142.5
19310401 19310430    36.6
19310501 19310531    86.3
19310601 19310630   121.8
19310701 19310731    92.6
19310801 19310831    32.6
19310901 19310930    42.0
19311001 19311031    46.6
19311101 19311130    40.6
19311201 19311231     6.2
19320101 19320131     9.1
19320201 19320229    22.3
19320301 19320331    87.9
19320401 19320430    84.8
19320501 19320531     1.3
19320601 19320630   114.3
19320701 19320731    48.8
19320801 19320831    87.0
19320901 19320930    20.2
19321001 19321031   100.6
19321101 19321130    71.3
19321201 19321231    56.8
19330101 19330131    39.3
19330201 19330228    13.8
19330301 19330331    32.7
19330401 19330430    56.5
19330501 19330531    66.9
19330601 19330630    24.6
19330701 19330731    37.3
19330801 19330831    78.7
19330901 19330930    73.4
19331001 19331031    58.2
19331101 19331130    15.5
19331201 19331231    40.7
19340101 19340131    24.2
19340201 19340228    75.0
19340301 19340331    39.5
19340401 19340430   108.3
19340501 19340531     9.3
19340601 19340630    24.7
19340701 19340731    71.1
19340801 19340831    38.6
19340901 19340930    71.0
19341001 19341031   108.9
19341101 19341130    69.9
19341201 19341231    76.1
19350101 19350131    77.4
19350201 19350228   107.9
19350301 19350331    48.8
19350401 19350430   108.5
19350501 19350531    66.8
19350601 19350630    56.8
19350701 19350731    37.1
19350801 19350831    66.0
19350901 19350930    44.8
19351001 19351031    30.6
19351101 19351130    42.3
19351201 19351231    17.8
19360101 19360131    31.1
19360201 19360229    35.1
19360301 19360331    46.2
19360401 19360430    38.4
19360501 19360531    39.5
19360601 19360630   115.1
19360701 19360731    84.2
19360801 19360831   138.9
19360901 19360930    36.0
19361001 19361031    56.4
19361101 19361130    59.3
19361201 19361231    78.3
19370101 19370131    97.1
19370201 19370228    34.3
19370301 19370331    85.8
19370401 19370430    13.6
19370501 19370531    38.4
19370601 19370630    48.1
19370701 19370731    24.2
19370801 19370831    20.9
19370901 19370930    90.6
19371001 19371031    52.1
19371101 19371130    35.2
19371201 19371231    44.1
19380101 19380131    23.6
19380201 19380228    88.1
19380301 19380331    48.6
19380401 19380430    45.1
19380501 19380531    46.8
19380601 19380630   136.4
19380701 19380731    91.8
19380801 19380831    35.5
19380901 19380930    25.7
19381001 19381031    31.7
19381101 19381130    24.2
19381201 19381231    32.7
19390101 19390131     2.0
19390201 19390228   110.2
19390301 19390331    44.0
19390401 19390430    52.6
19390501 19390531    57.1
19390601 19390630   298.6
19390701 19390731    27.4
19390801 19390831   260.3
19390901 19390930    52.4
19391001 19391031    69.7
19391101 19391130    61.4
19391201 19391231    60.7
19400101 19400131    51.1
19400201 19400229    16.2
19400301 19400331    15.5
19400401 19400430    54.3
19400501 19400531    35.3
19400601 19400630    23.5
19400701 19400731    40.4
19400801 19400831    19.1
19400901 19400930    42.9
19401001 19401031     7.5
19401101 19401130    91.1
19401201 19401231    61.6
19410101 19410131    57.2
19410201 19410228    12.4
19410301 19410331    64.1
19410401 19410430     8.3
19410501 19410531     9.2
19410601 19410630    40.6
19410701 19410731    36.6
19410801 19410831    41.7
19410901 19410930    59.5
19411001 19411031    31.6
19411101 19411130    34.1
19411201 19411231    26.2
19420101 19420131    25.5
19420201 19420228    20.1
19420301 19420331    12.3
19420401 19420430    34.4
19420501 19420531   144.1
19420601 19420630    61.5
19420701 19420731   154.8
19420801 19420831    84.2
19420901 19420930    39.7
19421001 19421031    43.3
19421101 19421130    12.4
19421201 19421231    40.7
19430101 19430131    27.4
19430201 19430228    26.7
19430301 19430331     2.0
19430401 19430430    72.4
19430501 19430531    26.8
19430601 19430630    37.5
19430701 19430731    51.0
19430801 19430831    47.3
19430901 19430930    51.1
19431001 19431031    29.3
19431101 19431130    45.9
19431201 19431231     9.9
19440101 19440131    69.9
19440201 19440229    25.9
19440301 19440331    53.0
19440401 19440430    33.1
19440501 19440531    77.0
19440601 19440630    21.1
19440701 19440731    43.6
19440801 19440831    17.2
19440901 19440930    30.1
19441001 19441031    61.8
19441101 19441130    36.0
19441201 19441231    71.9
19450101 19450131    34.6
19450201 19450228    82.2
19450301 19450331     9.2
19450401 19450430    36.0
19450501 19450531    41.9
19450601 19450630    57.3
19450701 19450731    19.3
19450801 19450831    98.6
19450901 19450930    48.1
19451001 19451031    42.4
19451101 19451130    29.2
19451201 19451231    37.6
19460101 19460131    82.1
19460201 19460228   137.3
19460301 19460331   117.6
19460401 19460430    71.7
19460501 19460531    24.1
19460601 19460630   104.7
19460701 19460731   105.0
19460801 19460831    52.4
19460901 19460930    53.9
19461001 19461031    23.5
19461101 19461130    25.7
19461201 19461231    38.8
19470101 19470131    10.6
19470201 19470228    21.6
19470301 19470331    62.4
19470401 19470430    24.7
19470501 19470531    40.4
19470601 19470630   129.7
19470701 19470731   110.0
19470801 19470831   101.9
19470901 19470930    44.1
19471001 19471031    83.9
19471101 19471130    69.7
19471201 19471231    61.1
19480101 19480131    21.2
19480201 19480229    25.5
19480301 19480331    15.0
19480401 19480430    15.3
19480501 19480531    51.6
19480601 19480630    18.9
19480701 19480731    60.7
19480801 19480831    19.8
19480901 19480930    31.0
19481001 19481031   180.7
19481101 19481130    31.7
19481201 19481231    20.2
19490101 19490131    41.4
19490201 19490228    50.0
19490301 19490331    50.3
19490401 19490430     5.2
19490501 19490531    42.6
19490601 19490630   116.5
19490701 19490731    66.9
19490801 19490831    26.0
19490901 19490930    10.8
