PRCP       045022 19300901 20170630 missing_value=99999.9 WHYNOT STATION                            
19520801 19520831    16.7
19520901 19520930     0.0
19521001 19521031    57.9
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131    79.4
19530201 19530228   111.9
19530301 19530331     6.1
19530401 19530430    33.3
19530501 19530531    29.5
19530601 19530630     0.0
19530701 19530731     4.6
19530801 19530831    11.7
19530901 19530930     3.8
19531001 19531031     6.8
19531101 19531130    55.7
19531201 19531231     0.0
19540101 19540131   144.9
19540201 19540228   107.7
19540301 19540331     0.0
19540401 19540430    21.0
19540501 19540531     0.0
19540601 19540630    51.3
19540701 19540731    16.5
19540801 19540831    19.3
19540901 19540930    11.4
19541001 19541031   145.2
19541101 19541130     4.8
19541201 19541231    61.7
19550101 19550131   178.7
19550201 19550228    65.8
19550301 19550331    82.3
19550401 19550430    19.3
19550501 19550531   107.9
19550601 19550630    12.7
19550701 19550731    51.5
19550801 19550831    26.4
19550901 19550930     0.0
19551001 19551031    37.1
19551101 19551130    30.9
19551201 19551231     0.0
19560101 19560131    40.1
19560201 19560229   123.0
19560301 19560331   292.1
19560401 19560430     8.9
19560501 19560531    25.5
19560601 19560630    22.4
19560701 19560731    75.4
19560801 19560831     0.0
19560901 19560930     0.0
19561001 19561031    22.3
19561101 19561130     0.0
19561201 19561231    86.3
19570101 19570131    29.5
19570201 19570228    62.8
19570301 19570331    44.2
19570401 19570430    18.5
19570501 19570531     7.6
19570601 19570630    52.8
19570701 19570731     1.3
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231    10.9
19580101 19580131    15.7
19580201 19580228     2.0
19580301 19580331     0.0
19580401 19580430    25.4
19580501 19580531    11.5
19580601 19580630    14.2
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031    13.2
19581101 19581130    75.7
19581201 19581231    23.3
19590101 19590131   101.4
19590201 19590228     2.5
19590301 19590331    33.8
19590401 19590430    34.6
19590501 19590531    21.6
19590601 19590630     0.0
19590701 19590731     1.5
19590801 19590831    27.9
19590901 19590930     4.0
19591001 19591031    29.1
19591101 19591130     0.0
19591201 19591231     2.8
19600101 19600131    38.6
19600201 19600229    83.3
19600301 19600331     0.0
19600401 19600430     2.8
19600501 19600531    54.1
19600601 19600630     1.3
19600701 19600731    28.7
19600801 19600831     8.4
19600901 19600930    13.0
19601001 19601031     0.0
19601101 19601130    10.1
19601201 19601231    14.5
19610101 19610131     6.6
19610201 19610228    25.1
19610301 19610331    66.0
19610401 19610430    27.7
19610501 19610531     0.0
19610601 19610630     5.1
19610701 19610731    24.4
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031    12.2
19611101 19611130    10.2
19611201 19611231    25.2
19620101 19620131   114.6
19620201 19620228     0.0
19620301 19620331    47.6
19620401 19620430    14.0
19620501 19620531     6.1
19620601 19620630    40.7
19620701 19620731    13.0
19620801 19620831    14.3
19620901 19620930     1.3
19621001 19621031    18.7
19621101 19621130    11.9
19621201 19621231    44.1
19630101 19630131   144.0
19630201 19630228    49.5
19630301 19630331   167.5
19630401 19630430    12.2
19630501 19630531     0.0
19630601 19630630    20.3
19630701 19630731     0.0
19630801 19630831     1.3
19630901 19630930     1.0
19631001 19631031     7.9
19631101 19631130    34.6
19631201 19631231     0.0
19640101 19640131   122.4
19640201 19640229    20.6
19640301 19640331     0.0
19640401 19640430    14.2
19640501 19640531     4.6
19640601 19640630     5.1
19640701 19640731    11.9
19640801 19640831     0.0
19640901 19640930    62.8
19641001 19641031    27.7
19641101 19641130     2.3
19641201 19641231     0.0
19650101 19650131    10.9
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     2.3
19650801 19650831    19.6
19650901 19650930    13.5
19651001 19651031     3.6
19651101 19651130     0.0
19651201 19651231    49.7
19660101 19660131    84.9
19660201 19660228    31.5
19660301 19660331     0.0
19660401 19660430     0.0
19660501 19660531    26.9
19660601 19660630     1.5
19660701 19660731    16.5
19660801 19660831    32.0
19660901 19660930    17.8
19661001 19661031    13.7
19661101 19661130    14.7
19661201 19661231    16.8
19670101 19670131    13.5
19670201 19670228     1.3
19670301 19670331   117.6
19670401 19670430     0.0
19670501 19670531    20.0
19670601 19670630    68.2
19670701 19670731     0.0
19670801 19670831     4.1
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     0.0
19671201 19671231     6.4
19680101 19680131    33.5
19680201 19680229    23.1
19680301 19680331    11.1
19680401 19680430    57.4
19680501 19680531   103.4
19680601 19680630    10.6
19680701 19680731    18.6
19680801 19680831    14.5
19680901 19680930     0.0
19681001 19681031     1.3
19681101 19681130     0.0
19681201 19681231     6.9
19690101 19690131     1.3
19690201 19690228     1.0
19690301 19690331   102.3
19690401 19690430     0.0
19690501 19690531    17.2
19690601 19690630     0.0
19690701 19690731    19.1
19690801 19690831     3.6
19690901 19690930    16.3
19691001 19691031     0.0
19691101 19691130     0.0
19691201 19691231     8.6
19700101 19700131     0.0
19700201 19700228     4.6
19700301 19700331    70.8
19700401 19700430    71.2
19700501 19700531    25.7
19700601 19700630     0.3
19700701 19700731     0.4
19700801 19700831     0.5
19700901 19700930    29.4
19701001 19701031     0.5
19701101 19701130    25.4
19701201 19701231    13.9
19710101 19710131    40.6
19710201 19710228     4.3
19710301 19710331   114.0
19710401 19710430    29.9
19710501 19710531    22.6
19710601 19710630     6.6
19710701 19710731    11.8
19710801 19710831    18.0
19710901 19710930    23.9
19711001 19711031     7.7
19711101 19711130     3.3
19711201 19711231     5.3
19720101 19720131    59.9
19720201 19720229     0.0
19720301 19720331     0.0
19720401 19720430     1.0
19720501 19720531    36.1
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     2.8
19720901 19720930     0.0
19721001 19721031    83.3
19721101 19721130     3.0
19721201 19721231    10.4
19730101 19730131    11.7
19730201 19730228   303.7
19730301 19730331    12.2
19730401 19730430    10.6
19730501 19730531     1.3
19730601 19730630    23.4
19730701 19730731    43.5
19730801 19730831    26.6
19730901 19730930    18.3
19731001 19731031    47.0
19731101 19731130    95.4
19731201 19731231    58.1
19740101 19740131   456.0
19740201 19740228    42.0
19740301 19740331    12.0
19740401 19740430    51.0
19740501 19740531    17.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    22.0
19740901 19740930    20.0
19741001 19741031    23.0
19741101 19741130    11.1
19741201 19741231     9.4
19750101 19750131    62.4
19750201 19750228    63.4
19750301 19750331    93.0
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    55.8
19750701 19750731    33.0
19750801 19750831    29.2
19750901 19750930    17.4
19751001 19751031    25.4
19751101 19751130     6.0
19751201 19751231   248.6
19760101 19760131   163.4
19760201 19760229   187.2
19760301 19760331    50.6
19760401 19760430     0.0
19760501 19760531     8.2
19760601 19760630     3.0
19760701 19760731    16.6
19760801 19760831     0.0
19760901 19760930     2.8
19761001 19761031    70.2
19761101 19761130    23.0
19761201 19761231    63.2
19770101 19770131    58.8
19770201 19770228   102.8
19770301 19770331    43.2
19770401 19770430    39.4
19770501 19770531    54.6
19770601 19770630     4.6
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     2.0
19771001 19771031     4.2
19771101 19771130     0.0
19771201 19771231    13.2
19780101 19780131   119.8
19780201 19780228     0.0
19780301 19780331    29.0
19780401 19780430     4.2
19780501 19780531    77.2
19780601 19780630    11.6
19780701 19780731    51.8
19780801 19780831    71.4
19780901 19780930    35.0
19781001 19781031    41.2
19781101 19781130    22.6
19781201 19781231    16.6
19790101 19790131     7.6
19790201 19790228    50.8
19790301 19790331    14.6
19790401 19790430     0.0
19790501 19790531    42.4
19790601 19790630    27.0
19790701 19790731     0.0
19790801 19790831    20.6
19790901 19790930    16.8
19791001 19791031    41.0
