PRCP       022009 18791001 20171130 missing_value=99999.9 MINLATON                                  
19010901 19010930    48.1
19011001 19011031    82.5
19011101 19011130    15.6
19011201 19011231    15.8
19020101 19020131     4.3
19020201 19020228    19.3
19020301 19020331    31.5
19020401 19020430     1.5
19020501 19020531    17.7
19020601 19020630    98.1
19020701 19020731    48.0
19020801 19020831    21.8
19020901 19020930    35.9
19021001 19021031    35.3
19021101 19021130    10.3
19021201 19021231    39.9
19030101 19030131    11.2
19030201 19030228    12.8
19030301 19030331    43.2
19030401 19030430    35.6
19030501 19030531    29.0
19030601 19030630    81.4
19030701 19030731    48.9
19030801 19030831    47.9
19030901 19030930    41.3
19031001 19031031    34.7
19031101 19031130    44.0
19031201 19031231    16.3
19040101 19040131    40.9
19040201 19040229    22.0
19040301 19040331     6.1
19040401 19040430    33.9
19040501 19040531    29.7
19040601 19040630    95.2
19040701 19040731    75.4
19040801 19040831    48.3
19040901 19040930    12.7
19041001 19041031    25.5
19041101 19041130     9.3
19041201 19041231     0.0
19050101 19050131    15.3
19050201 19050228     2.8
19050301 19050331     8.1
19050401 19050430    90.5
19050501 19050531    66.0
19050601 19050630    76.6
19050701 19050731    48.0
19050801 19050831    29.5
19050901 19050930    39.7
19051001 19051031    63.8
19051101 19051130     3.6
19051201 19051231     0.0
19060101 19060131     0.0
19060201 19060228     1.8
19060301 19060331    67.3
19060401 19060430    26.3
19060501 19060531    19.8
19060601 19060630   108.9
19060701 19060731    61.7
19060801 19060831    90.9
19060901 19060930    59.3
19061001 19061031    28.5
19061101 19061130    63.9
19061201 19061231    11.5
19070101 19070131     0.0
19070201 19070228     1.5
19070301 19070331    39.1
19070401 19070430    76.7
19070501 19070531    33.3
19070601 19070630    36.8
19070701 19070731    61.0
19070801 19070831    66.8
19070901 19070930    15.0
19071001 19071031    42.7
19071101 19071130    31.0
19071201 19071231    14.4
19080101 19080131     6.4
19080201 19080229     9.2
19080301 19080331    15.3
19080401 19080430    27.7
19080501 19080531    58.1
19080601 19080630    91.2
19080701 19080731    50.2
19080801 19080831    37.8
19080901 19080930    48.1
19081001 19081031    40.2
19081101 19081130     3.6
19081201 19081231    13.0
19090101 19090131     9.5
19090201 19090228     5.2
19090301 19090331    15.5
19090401 19090430    50.2
19090501 19090531    52.4
19090601 19090630    46.3
19090701 19090731    96.8
19090801 19090831   113.0
19090901 19090930    35.2
19091001 19091031    58.5
19091101 19091130    52.6
19091201 19091231    12.1
19100101 19100131     0.0
19100201 19100228     0.0
19100301 19100331    71.7
19100401 19100430     2.6
19100501 19100531   113.4
19100601 19100630    74.5
19100701 19100731    73.3
19100801 19100831    52.5
19100901 19100930    76.4
19101001 19101031    51.1
19101101 19101130    28.2
19101201 19101231    18.3
19110101 19110131     0.0
19110201 19110228    54.3
19110301 19110331     3.4
19110401 19110430    12.6
19110501 19110531    68.2
19110601 19110630    51.1
19110701 19110731    51.7
19110801 19110831    31.4
19110901 19110930    55.5
19111001 19111031    22.1
19111101 19111130    11.2
19111201 19111231    43.2
19120101 19120131     0.0
19120201 19120229    15.0
19120301 19120331    29.7
19120401 19120430    13.4
19120501 19120531     6.1
19120601 19120630    22.8
19120701 19120731    69.9
19120801 19120831    61.5
19120901 19120930    59.1
19121001 19121031    10.7
19121101 19121130    41.7
19121201 19121231    27.4
19130101 19130131     2.5
19130201 19130228     4.3
19130301 19130331    39.7
19130401 19130430     5.5
19130501 19130531    26.2
19130601 19130630    14.6
19130701 19130731    22.9
19130801 19130831    57.4
19130901 19130930    48.8
19131001 19131031    76.1
19131101 19131130    25.8
19131201 19131231    16.8
19140101 19140131    18.4
19140201 19140228     0.8
19140301 19140331    31.6
19140401 19140430    96.2
19140501 19140531    33.5
19140601 19140630    12.7
19140701 19140731    44.5
