PRCP       091011 18960401 20170731 missing_value=99999.9 CAPE GRIM (WOOLNORTH)                     
19920201 19920229    38.2
19920301 19920331    17.6
19920401 19920430   171.6
19920501 19920531    95.0
19920601 19920630   119.6
19920701 19920731   139.4
19920801 19920831   127.6
19920901 19920930   113.2
19921001 19921031    85.4
19921101 19921130    89.0
19921201 19921231    64.2
19930101 19930131    38.6
19930201 19930228    97.6
19930301 19930331    38.0
19930401 19930430    31.8
19930501 19930531    82.8
19930601 19930630    75.2
19930701 19930731    98.0
19930801 19930831    73.0
19930901 19930930    73.6
19931001 19931031   110.8
19931101 19931130    58.2
19931201 19931231   126.4
19940101 19940131    52.2
19940201 19940228    34.2
19940301 19940331     6.8
19940401 19940430    74.8
19940501 19940531   118.2
19940601 19940630    92.0
19940701 19940731    99.4
19940801 19940831    69.6
19940901 19940930    62.8
19941001 19941031   107.8
19941101 19941130    65.4
19941201 19941231    10.8
19950101 19950131    14.8
19950201 19950228    43.4
19950301 19950331    90.6
19950401 19950430   149.8
19950501 19950531    48.4
19950601 19950630   119.4
19950701 19950731   127.2
19950801 19950831    84.4
19950901 19950930    72.6
19951001 19951031    37.6
19951101 19951130    40.6
19951201 19951231    31.2
19960101 19960131    63.4
19960201 19960229    54.2
19960301 19960331    60.2
19960401 19960430    62.2
19960501 19960531    28.4
19960601 19960630    78.4
19960701 19960731   224.0
19960801 19960831   189.6
19960901 19960930   155.2
19961001 19961031    50.2
19961101 19961130    92.8
19961201 19961231    26.8
19970101 19970131   112.4
19970201 19970228    29.6
19970301 19970331    55.0
19970401 19970430    38.2
19970501 19970531   130.2
19970601 19970630    39.0
19970701 19970731    49.4
19970801 19970831    95.2
19970901 19970930    93.0
19971001 19971031    45.9
19971101 19971130    69.6
19971201 19971231    41.0
19980101 19980131    19.4
19980201 19980228    27.0
19980301 19980331    26.9
19980401 19980430    71.2
19980501 19980531    57.4
19980601 19980630    70.2
19980701 19980731   114.0
19980801 19980831    70.2
19980901 19980930   129.0
19981001 19981031   100.8
19981101 19981130    77.4
19981201 19981231    88.7
19990101 19990131    11.7
19990201 19990228   104.2
19990301 19990331    61.0
19990401 19990430    30.0
19990501 19990531   146.4
19990601 19990630    82.4
19990701 19990731    86.4
19990801 19990831   110.0
19990901 19990930    47.4
19991001 19991031    86.0
19991101 19991130    60.8
19991201 19991231    46.4
20000101 20000131    43.3
20000201 20000229    41.2
20000301 20000331    26.8
20000401 20000430    65.4
20000501 20000531   102.2
20000601 20000630    72.8
20000701 20000731   167.2
20000801 20000831    97.4
20000901 20000930    92.2
20001001 20001031    96.6
20001101 20001130    46.8
20001201 20001231    35.8
20010101 20010131    39.2
20010201 20010228    21.4
20010301 20010331    97.1
20010401 20010430    38.0
20010501 20010531    28.8
20010601 20010630   115.2
20010701 20010731    47.8
20010801 20010831   173.6
20010901 20010930    87.8
20011001 20011031   150.3
20011101 20011130    65.8
20011201 20011231    58.4
20020101 20020131    71.6
20020201 20020228    26.6
20020301 20020331    10.4
20020401 20020430    26.2
20020501 20020531    56.8
20020601 20020630   158.4
20020701 20020731   142.4
20020801 20020831   106.0
20020901 20020930    99.2
20021001 20021031    80.0
20021101 20021130    29.8
20021201 20021231    30.8
20030101 20030131    42.6
20030201 20030228     7.4
20030301 20030331    51.6
20030401 20030430    50.8
20030501 20030531    37.6
20030601 20030630   161.4
20030701 20030731   142.6
20030801 20030831   169.5
20030901 20030930   118.2
20031001 20031031    59.8
20031101 20031130    19.8
20031201 20031231    60.0
20040101 20040131    45.8
20040201 20040229    19.6
20040301 20040331    35.0
20040401 20040430    51.2
20040501 20040531    81.6
20040601 20040630   176.6
20040701 20040731   111.2
20040801 20040831    76.2
20040901 20040930    48.8
20041001 20041031    47.2
20041101 20041130    72.8
20041201 20041231    37.2
20050101 20050131    35.8
20050201 20050228    42.8
20050301 20050331    25.6
20050401 20050430    74.0
20050501 20050531    40.2
20050601 20050630    90.4
20050701 20050731   129.4
20050801 20050831   122.5
20050901 20050930   126.4
20051001 20051031   104.0
20051101 20051130    65.4
20051201 20051231    84.4
20060101 20060131    28.8
20060201 20060228    27.7
20060301 20060331    47.2
20060401 20060430   126.0
20060501 20060531    68.8
20060601 20060630    71.6
20060701 20060731   101.2
20060801 20060831    39.4
20060901 20060930    57.4
20061001 20061031    37.3
20061101 20061130    26.4
20061201 20061231    27.7
20070101 20070131    37.2
20070201 20070228    12.2
20070301 20070331    41.4
20070401 20070430    67.6
20070501 20070531   163.1
20070601 20070630   109.4
20070701 20070731   141.9
20070801 20070831   120.9
20070901 20070930    89.6
20071001 20071031    47.6
20071101 20071130    12.6
20071201 20071231    84.4
20080101 20080131 99999.9
20080201 20080229    22.1
20080301 20080331    43.4
20080401 20080430    55.4
20080501 20080531    65.2
20080601 20080630    64.4
20080701 20080731   172.3
20080801 20080831   110.0
20080901 20080930    89.2
20081001 20081031    17.9
20081101 20081130    47.8
20081201 20081231    85.9
20090101 20090131    30.0
20090201 20090228     8.6
20090301 20090331    79.8
20090401 20090430    99.6
20090501 20090531    56.8
20090601 20090630    89.5
20090701 20090731   165.6
20090801 20090831   203.0
20090901 20090930   110.6
20091001 20091031    48.6
20091101 20091130    97.8
20091201 20091231    39.3
20100101 20100131     7.4
20100201 20100228    56.2
20100301 20100331    93.0
20100401 20100430    59.7
20100501 20100531    55.2
20100601 20100630    73.4
20100701 20100731    83.1
20100801 20100831   118.6
20100901 20100930    97.4
20101001 20101031    75.5
20101101 20101130    95.0
20101201 20101231    66.9
20110101 20110131   105.2
20110201 20110228    58.0
20110301 20110331    84.3
20110401 20110430    54.1
20110501 20110531 99999.9
20110601 20110630   108.7
20110701 20110731    74.4
20110801 20110831   125.8
20110901 20110930    59.8
20111001 20111031    75.5
20111101 20111130   120.0
20111201 20111231    31.0
20120101 20120131    45.1
20120201 20120229    16.6
20120301 20120331    92.1
20120401 20120430   105.3
20120501 20120531   145.8
20120601 20120630    90.0
20120701 20120731   101.0
20120801 20120831   136.0
20120901 20120930    89.0
20121001 20121031    50.6
20121101 20121130    45.2
20121201 20121231    60.6
20130101 20130131    23.2
20130201 20130228 99999.9
20130301 20130331 99999.9
20130401 20130430 99999.9
20130501 20130531 99999.9
20130601 20130630 99999.9
20130701 20130731 99999.9
20130801 20130831 99999.9
20130901 20130930 99999.9
20131001 20131031 99999.9
20131101 20131130 99999.9
20131201 20131231 99999.9
20140101 20140131 99999.9
20140201 20140228 99999.9
20140301 20140331 99999.9
20140401 20140430 99999.9
20140501 20140531 99999.9
20140601 20140630 99999.9
20140701 20140731 99999.9
20140801 20140831 99999.9
20140901 20140930 99999.9
20141001 20141031    76.6
20141101 20141130    24.7
20141201 20141231    43.3
20150101 20150131    44.5
20150201 20150228    36.3
20150301 20150331    85.1
20150401 20150430    25.6
20150501 20150531   150.8
20150601 20150630    76.9
20150701 20150731   129.3
20150801 20150831    97.4
20150901 20150930    37.4
20151001 20151031     2.6
20151101 20151130 99999.9
20151201 20151231    42.2
20160101 20160131    48.7
20160201 20160229 99999.9
20160301 20160331    54.9
20160401 20160430 99999.9
20160501 20160531   149.6
20160601 20160630   168.0
20160701 20160731   194.8
20160801 20160831   113.1
20160901 20160930   156.3
20161001 20161031    96.2
20161101 20161130 99999.9
20161201 20161231    62.7
20170101 20170131    56.8
20170201 20170228    20.4
20170301 20170331    46.9
20170401 20170430    19.1
20170501 20170531   100.0
20170601 20170630    46.7
20170701 20170731   162.6
