PRCP       091011 18960401 20170731 missing_value=99999.9 CAPE GRIM (WOOLNORTH)                     
19180201 19180228    54.6
19180301 19180331    37.7
19180401 19180430    26.1
19180501 19180531   117.4
19180601 19180630   127.6
19180701 19180731   135.2
19180801 19180831    68.2
19180901 19180930    41.3
19181001 19181031   125.7
19181101 19181130    28.8
19181201 19181231    71.2
19190101 19190131    30.8
19190201 19190228    57.7
19190301 19190331    53.2
19190401 19190430    26.8
19190501 19190531    79.2
19190601 19190630   127.6
19190701 19190731   130.0
19190801 19190831    75.9
19190901 19190930    63.6
19191001 19191031    58.9
19191101 19191130    24.0
19191201 19191231    56.6
19200101 19200131     8.9
19200201 19200229    21.9
19200301 19200331    49.2
19200401 19200430    96.8
19200501 19200531    95.9
19200601 19200630   172.2
19200701 19200731   171.5
19200801 19200831   143.1
19200901 19200930    84.6
19201001 19201031    49.2
19201101 19201130    51.0
19201201 19201231    33.5
19210101 19210131    25.7
19210201 19210228    50.3
19210301 19210331    13.6
19210401 19210430    55.7
19210501 19210531    70.1
19210601 19210630   159.8
19210701 19210731   141.1
19210801 19210831   127.4
19210901 19210930    98.2
19211001 19211031    76.5
19211101 19211130    66.9
19211201 19211231    19.7
19220101 19220131    60.7
19220201 19220228    75.2
19220301 19220331    76.2
19220401 19220430    69.2
19220501 19220531   139.0
19220601 19220630    93.6
19220701 19220731    58.5
19220801 19220831    96.3
19220901 19220930    79.9
19221001 19221031   105.0
19221101 19221130    31.2
19221201 19221231    75.7
19230101 19230131    78.2
19230201 19230228    33.1
19230301 19230331    29.2
19230401 19230430     4.1
19230501 19230531   212.6
19230601 19230630   184.7
19230701 19230731   142.3
19230801 19230831    84.6
19230901 19230930   129.5
19231001 19231031   132.3
19231101 19231130    91.9
19231201 19231231    85.2
19240101 19240131    90.0
19240201 19240229   129.2
19240301 19240331    76.2
19240401 19240430    84.5
19240501 19240531    74.2
19240601 19240630   159.3
19240701 19240731    96.6
19240801 19240831   105.6
19240901 19240930   111.1
19241001 19241031    81.7
19241101 19241130    87.0
19241201 19241231    31.3
19250101 19250131    40.2
19250201 19250228    63.5
19250301 19250331    25.7
19250401 19250430    60.4
19250501 19250531    49.8
19250601 19250630    64.9
19250701 19250731    88.6
19250801 19250831    87.8
19250901 19250930    86.5
19251001 19251031    86.9
19251101 19251130    22.0
19251201 19251231    34.9
19260101 19260131    12.2
19260201 19260228    49.8
19260301 19260331    44.4
19260401 19260430    87.9
19260501 19260531   104.6
19260601 19260630   114.9
19260701 19260731   136.8
19260801 19260831   139.9
19260901 19260930    55.8
19261001 19261031    93.9
19261101 19261130    77.2
19261201 19261231    54.6
19270101 19270131    13.8
19270201 19270228    51.6
19270301 19270331    36.2
19270401 19270430    24.2
19270501 19270531   111.1
19270601 19270630    76.2
19270701 19270731   127.4
19270801 19270831   148.3
19270901 19270930    61.5
19271001 19271031    39.2
19271101 19271130    13.8
19271201 19271231    60.0
19280101 19280131    50.5
19280201 19280229    79.9
19280301 19280331    48.3
19280401 19280430    78.7
19280501 19280531    70.2
19280601 19280630    95.2
19280701 19280731   126.0
19280801 19280831    94.9
19280901 19280930   119.5
19281001 19281031   146.5
19281101 19281130    88.9
19281201 19281231    51.6
19290101 19290131    60.6
19290201 19290228    42.3
19290301 19290331    58.0
19290401 19290430   192.8
19290501 19290531    65.4
19290601 19290630   171.4
19290701 19290731   115.1
19290801 19290831    87.7
19290901 19290930    82.3
19291001 19291031    96.7
19291101 19291130    70.8
19291201 19291231    92.0
19300101 19300131    28.0
19300201 19300228    39.8
19300301 19300331    17.4
19300401 19300430    54.1
19300501 19300531    76.0
19300601 19300630    40.4
19300701 19300731    87.7
19300801 19300831   170.3
19300901 19300930   119.2
19301001 19301031    80.4
19301101 19301130    74.9
19301201 19301231    76.3
19310101 19310131    27.2
19310201 19310228    29.7
19310301 19310331    89.0
19310401 19310430    58.8
19310501 19310531   169.5
19310601 19310630   175.0
19310701 19310731   172.2
19310801 19310831   115.1
19310901 19310930    76.7
19311001 19311031    63.7
19311101 19311130   105.2
19311201 19311231    10.7
19320101 19320131    21.8
19320201 19320229    46.4
19320301 19320331   139.4
19320401 19320430   195.9
19320501 19320531    21.4
19320601 19320630   185.4
19320701 19320731   119.6
19320801 19320831    96.2
19320901 19320930    67.1
19321001 19321031    86.5
19321101 19321130    49.7
19321201 19321231    53.2
19330101 19330131    46.5
19330201 19330228    21.6
19330301 19330331    66.4
19330401 19330430    70.9
19330501 19330531    93.2
19330601 19330630    98.6
19330701 19330731    56.0
19330801 19330831   168.6
19330901 19330930    96.5
19331001 19331031    89.6
19331101 19331130    49.0
19331201 19331231    91.2
19340101 19340131    37.7
19340201 19340228    24.5
19340301 19340331    16.1
19340401 19340430   126.4
19340501 19340531    31.8
19340601 19340630    50.5
19340701 19340731    99.4
19340801 19340831    99.2
19340901 19340930    92.8
19341001 19341031    88.4
19341101 19341130    72.3
19341201 19341231    97.7
19350101 19350131    58.0
19350201 19350228    57.2
19350301 19350331    88.9
19350401 19350430    78.4
19350501 19350531    93.8
19350601 19350630   116.0
19350701 19350731   101.4
19350801 19350831   126.3
19350901 19350930    50.4
19351001 19351031    62.8
19351101 19351130    69.5
19351201 19351231    34.0
19360101 19360131    19.5
19360201 19360229    14.3
19360301 19360331    45.6
19360401 19360430    68.9
19360501 19360531    75.0
19360601 19360630    69.5
19360701 19360731   134.7
19360801 19360831   202.0
19360901 19360930   120.6
19361001 19361031   125.5
19361101 19361130    47.6
19361201 19361231    37.8
19370101 19370131   119.7
19370201 19370228    55.7
19370301 19370331    50.6
19370401 19370430    36.2
19370501 19370531    85.4
19370601 19370630    32.2
19370701 19370731   122.2
19370801 19370831    67.9
19370901 19370930   116.4
19371001 19371031    58.0
19371101 19371130    49.2
19371201 19371231   113.1
19380101 19380131    50.7
19380201 19380228   136.6
19380301 19380331    35.4
19380401 19380430    78.7
19380501 19380531    68.1
19380601 19380630   160.0
19380701 19380731   140.8
19380801 19380831    65.0
19380901 19380930    58.8
19381001 19381031    81.1
19381101 19381130    32.8
19381201 19381231    62.6
19390101 19390131     2.8
19390201 19390228    60.7
19390301 19390331    44.3
19390401 19390430    75.7
19390501 19390531    99.9
19390601 19390630   155.3
19390701 19390731    77.6
19390801 19390831   215.9
19390901 19390930   135.0
19391001 19391031    71.0
19391101 19391130   121.8
19391201 19391231    69.0
19400101 19400131    56.1
19400201 19400229    34.2
19400301 19400331    16.6
19400401 19400430    36.9
19400501 19400531    29.8
19400601 19400630   109.1
19400701 19400731   125.7
19400801 19400831    59.6
19400901 19400930    49.9
19401001 19401031    43.1
19401101 19401130    74.0
19401201 19401231    42.3
19410101 19410131    22.3
19410201 19410228    18.8
19410301 19410331   100.9
19410401 19410430    24.2
19410501 19410531    52.7
19410601 19410630    79.0
19410701 19410731   121.8
19410801 19410831    71.5
19410901 19410930   121.2
19411001 19411031    69.0
19411101 19411130    48.2
19411201 19411231    29.1
19420101 19420131    64.9
19420201 19420228    40.4
19420301 19420331    50.0
19420401 19420430    78.4
19420501 19420531   154.8
19420601 19420630   108.9
19420701 19420731   227.3
19420801 19420831   166.3
19420901 19420930   131.4
19421001 19421031    50.7
19421101 19421130    24.5
19421201 19421231    32.1
19430101 19430131    35.7
19430201 19430228    56.8
19430301 19430331    11.8
19430401 19430430   125.4
19430501 19430531    53.0
19430601 19430630   132.1
19430701 19430731   151.2
19430801 19430831   124.8
19430901 19430930    92.1
19431001 19431031    45.6
19431101 19431130    59.2
19431201 19431231    20.3
19440101 19440131    48.3
19440201 19440229    64.9
19440301 19440331    18.8
19440401 19440430   106.6
19440501 19440531   114.8
19440601 19440630    59.0
19440701 19440731   112.3
19440801 19440831    50.2
19440901 19440930    68.4
19441001 19441031   105.2
19441101 19441130    77.4
19441201 19441231    81.3
19450101 19450131    29.3
19450201 19450228   161.0
19450301 19450331    29.5
19450401 19450430    11.0
19450501 19450531    44.0
19450601 19450630   126.6
19450701 19450731   101.5
19450801 19450831   156.7
19450901 19450930    73.3
19451001 19451031   118.6
19451101 19451130    66.7
19451201 19451231    16.5
19460101 19460131    63.0
19460201 19460228   129.8
19460301 19460331    91.8
19460401 19460430    42.9
19460501 19460531    85.8
19460601 19460630    55.5
19460701 19460731   217.2
19460801 19460831   165.0
19460901 19460930    57.1
19461001 19461031    55.7
19461101 19461130    66.0
19461201 19461231    65.1
19470101 19470131    31.3
19470201 19470228    21.9
19470301 19470331   101.5
19470401 19470430    95.3
19470501 19470531    77.8
19470601 19470630   222.8
19470701 19470731   198.5
19470801 19470831   144.1
19470901 19470930    67.4
19471001 19471031   122.6
19471101 19471130    80.8
19471201 19471231   116.1
19480101 19480131    26.9
19480201 19480229    51.3
19480301 19480331    54.0
19480401 19480430   124.4
19480501 19480531   239.1
19480601 19480630    46.1
19480701 19480731   127.7
19480801 19480831    89.4
19480901 19480930    69.0
19481001 19481031   104.5
19481101 19481130    51.4
19481201 19481231    53.2
19490101 19490131    26.8
19490201 19490228    79.0
19490301 19490331    40.1
19490401 19490430    17.5
19490501 19490531    56.0
19490601 19490630    57.2
19490701 19490731    76.4
19490801 19490831    73.2
19490901 19490930    54.9
19491001 19491031   210.3
19491101 19491130    57.1
19491201 19491231    34.3
19500101 19500131    61.1
