PRCP       015086 18890101 20171130 missing_value=99999.9 NEWCASTLE WATERS                          
19101201 19101231   166.3
19110101 19110131    23.7
19110201 19110228    45.7
19110301 19110331    22.9
19110401 19110430    45.7
19110501 19110531     0.0
19110601 19110630     0.0
19110701 19110731     0.0
19110801 19110831     0.0
19110901 19110930     6.3
19111001 19111031    43.9
19111101 19111130     8.4
19111201 19111231   111.5
19120101 19120131    33.4
19120201 19120229   117.5
19120301 19120331    28.2
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630     8.9
19120701 19120731     0.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     3.8
19121101 19121130    13.7
19121201 19121231    14.0
19130101 19130131    12.7
19130201 19130228    73.9
19130301 19130331    33.8
19130401 19130430     0.0
19130501 19130531     0.0
19130601 19130630    23.9
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     0.0
19131001 19131031    10.1
19131101 19131130     3.8
19131201 19131231    46.8
19140101 19140131   169.4
19140201 19140228     7.1
19140301 19140331     4.8
19140401 19140430     4.3
19140501 19140531     0.0
19140601 19140630     0.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    37.8
19141101 19141130    13.2
19141201 19141231    73.9
19150101 19150131   129.9
19150201 19150228    27.7
19150301 19150331     0.0
19150401 19150430     0.0
19150501 19150531     8.9
19150601 19150630     0.0
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930     0.0
19151001 19151031     0.0
19151101 19151130     0.0
19151201 19151231    15.7
19160101 19160131   121.2
19160201 19160229    33.0
19160301 19160331    32.8
19160401 19160430     2.5
19160501 19160531    17.8
19160601 19160630     0.0
19160701 19160731     0.0
19160801 19160831     3.8
19160901 19160930     9.4
19161001 19161031    11.4
19161101 19161130   103.3
19161201 19161231   147.5
19170101 19170131   137.2
19170201 19170228    63.7
19170301 19170331     0.0
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630    15.2
19170701 19170731     0.0
19170801 19170831     0.0
19170901 19170930    19.1
19171001 19171031    27.9
19171101 19171130    43.2
19171201 19171231    55.9
19180101 19180131   292.0
19180201 19180228   165.2
19180301 19180331     3.8
19180401 19180430     0.0
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     0.8
19180901 19180930     0.0
19181001 19181031    11.2
19181101 19181130    30.6
19181201 19181231    15.9
19190101 19190131    68.1
19190201 19190228   344.7
19190301 19190331     0.0
19190401 19190430     0.0
19190501 19190531     0.5
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     0.0
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130    27.1
19191201 19191231    15.6
19200101 19200131   384.6
19200201 19200229     5.3
19200301 19200331    60.2
19200401 19200430     0.0
19200501 19200531     0.0
19200601 19200630     0.0
19200701 19200731    20.8
19200801 19200831     0.0
19200901 19200930    11.4
19201001 19201031    23.4
19201101 19201130   110.3
19201201 19201231   152.3
19210101 19210131   110.9
19210201 19210228   147.7
19210301 19210331   240.1
19210401 19210430     0.0
19210501 19210531     1.8
19210601 19210630     0.0
19210701 19210731     0.0
19210801 19210831     0.0
19210901 19210930     3.0
19211001 19211031    20.0
19211101 19211130    49.3
19211201 19211231    64.9
19220101 19220131   101.5
19220201 19220228    99.6
19220301 19220331   136.4
19220401 19220430     0.0
19220501 19220531    14.8
19220601 19220630     0.0
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     2.0
19221001 19221031    57.4
19221101 19221130    56.6
19221201 19221231   128.3
19230101 19230131    64.6
19230201 19230228   122.7
19230301 19230331   100.5
19230401 19230430   180.6
19230501 19230531     4.0
19230601 19230630    39.9
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    26.9
19231101 19231130    18.0
19231201 19231231   134.5
19240101 19240131   119.4
19240201 19240229    79.7
19240301 19240331   134.9
19240401 19240430     0.0
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831     3.0
19240901 19240930     1.5
19241001 19241031     3.3
19241101 19241130    17.8
19241201 19241231    30.8
19250101 19250131   124.7
19250201 19250228    66.1
19250301 19250331    44.4
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.8
19251001 19251031     0.0
19251101 19251130    42.2
19251201 19251231    16.7
19260101 19260131   275.9
19260201 19260228    43.2
19260301 19260331    33.7
19260401 19260430     0.0
19260501 19260531     4.6
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031     0.0
19261101 19261130    28.5
19261201 19261231   110.9
19270101 19270131   148.4
19270201 19270228   104.8
19270301 19270331     8.9
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630     0.0
19270701 19270731     0.0
19270801 19270831     7.6
19270901 19270930     0.0
19271001 19271031    54.6
19271101 19271130    25.1
19271201 19271231    55.1
19280101 19280131    33.9
19280201 19280229   230.0
19280301 19280331    43.0
19280401 19280430     0.0
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     1.5
19281101 19281130     8.7
19281201 19281231   111.0
19290101 19290131   216.5
19290201 19290228     0.0
19290301 19290331    91.4
19290401 19290430    26.7
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130    60.6
19291201 19291231   137.7
19300101 19300131    52.6
19300201 19300228   169.1
19300301 19300331   219.0
19300401 19300430     0.0
19300501 19300531     0.0
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031    30.0
19301101 19301130    32.3
19301201 19301231    87.9
19310101 19310131   129.5
19310201 19310228     1.3
19310301 19310331    95.0
19310401 19310430    76.7
19310501 19310531     0.0
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930    21.1
19311001 19311031     0.0
19311101 19311130    42.4
19311201 19311231    34.7
19320101 19320131    27.2
19320201 19320229    33.5
19320301 19320331   167.1
19320401 19320430     0.0
19320501 19320531    39.8
19320601 19320630     3.8
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.5
19321001 19321031    35.0
19321101 19321130    25.9
19321201 19321231   134.0
19330101 19330131    87.7
19330201 19330228    94.2
19330301 19330331    28.1
19330401 19330430    12.2
19330501 19330531    43.7
19330601 19330630    61.0
19330701 19330731     0.0
19330801 19330831     0.0
19330901 19330930     0.0
19331001 19331031     4.3
19331101 19331130    36.8
19331201 19331231    62.5
19340101 19340131   115.7
19340201 19340228    89.7
19340301 19340331    12.5
19340401 19340430     0.3
19340501 19340531     0.0
19340601 19340630     1.0
19340701 19340731    10.4
19340801 19340831     0.0
19340901 19340930     7.9
19341001 19341031    61.8
19341101 19341130   153.5
19341201 19341231     0.0
19350101 19350131    56.4
19350201 19350228    16.5
19350301 19350331   115.9
19350401 19350430     0.0
19350501 19350531     1.5
19350601 19350630    11.9
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930    10.7
19351001 19351031    17.8
19351101 19351130     7.6
19351201 19351231    26.7
19360101 19360131    53.8
19360201 19360229   197.5
19360301 19360331    79.6
19360401 19360430    67.3
19360501 19360531    19.6
19360601 19360630     1.5
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     5.3
19361001 19361031     8.5
19361101 19361130    79.8
19361201 19361231    94.3
19370101 19370131   226.9
19370201 19370228    23.6
19370301 19370331    26.2
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     4.8
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031    21.6
19371101 19371130    67.4
19371201 19371231    29.2
19380101 19380131   131.6
19380201 19380228   120.5
19380301 19380331     0.0
19380401 19380430     0.8
19380501 19380531     0.0
19380601 19380630     0.3
19380701 19380731    39.6
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     2.0
19381101 19381130    60.2
19381201 19381231     0.5
19390101 19390131   163.5
19390201 19390228    83.9
19390301 19390331    19.3
19390401 19390430    12.7
19390501 19390531     0.3
19390601 19390630    24.7
19390701 19390731     8.3
19390801 19390831     0.0
19390901 19390930     4.6
19391001 19391031    17.0
19391101 19391130    26.4
19391201 19391231    24.3
19400101 19400131   317.0
19400201 19400229   116.1
19400301 19400331     6.4
19400401 19400430    31.8
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    12.7
19401201 19401231    67.3
19410101 19410131    99.9
19410201 19410228    48.3
19410301 19410331   427.5
19410401 19410430     2.3
19410501 19410531    47.8
19410601 19410630    20.1
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     6.6
19411101 19411130    25.9
19411201 19411231    90.7
19420101 19420131   222.5
19420201 19420228    27.9
19420301 19420331     0.0
19420401 19420430    30.0
19420501 19420531     7.6
19420601 19420630     0.0
19420701 19420731     1.3
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031    89.2
19421101 19421130     0.0
19421201 19421231    73.7
19430101 19430131    23.1
19430201 19430228    94.2
19430301 19430331    67.3
19430401 19430430    11.9
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    12.7
19431001 19431031    17.5
19431101 19431130     8.6
19431201 19431231     6.4
19440101 19440131   115.9
19440201 19440229    50.7
19440301 19440331   150.6
19440401 19440430     0.0
19440501 19440531     0.0
19440601 19440630    34.5
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130    12.2
19441201 19441231    65.8
19450101 19450131   234.1
19450201 19450228   131.6
19450301 19450331    94.2
19450401 19450430     0.0
19450501 19450531     0.0
19450601 19450630     0.0
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     3.8
19451101 19451130    26.7
19451201 19451231   218.2
19460101 19460131    97.0
19460201 19460228   242.9
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     3.6
19461201 19461231    15.5
19470101 19470131    70.7
19470201 19470228   238.3
19470301 19470331   198.0
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     0.0
19470701 19470731     0.0
19470801 19470831    20.1
19470901 19470930     9.1
19471001 19471031    20.3
19471101 19471130    53.0
19471201 19471231     5.9
19480101 19480131    11.5
19480201 19480229   216.9
19480301 19480331    64.3
19480401 19480430    32.7
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     0.0
19481201 19481231    41.6
19490101 19490131     5.3
19490201 19490228   123.6
19490301 19490331   104.5
19490401 19490430     0.0
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     4.3
19491101 19491130    54.2
19491201 19491231   295.4
19500101 19500131    47.9
19500201 19500228   100.1
19500301 19500331    85.6
19500401 19500430     0.0
19500501 19500531     0.0
19500601 19500630     0.0
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031   181.0
19501101 19501130   121.7
19501201 19501231   191.9
19510101 19510131   305.8
19510201 19510228    85.0
19510301 19510331     1.3
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630     0.0
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031    35.5
19511101 19511130     2.5
19511201 19511231    22.6
19520101 19520131    37.5
19520201 19520229    31.2
19520301 19520331     0.0
19520401 19520430     0.0
19520501 19520531     0.0
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     3.3
19520901 19520930     0.0
19521001 19521031     6.6
19521101 19521130    29.7
19521201 19521231    69.1
19530101 19530131   151.8
19530201 19530228   145.8
19530301 19530331    75.2
19530401 19530430     3.3
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     0.0
19530901 19530930     0.0
19531001 19531031     5.1
19531101 19531130    22.3
19531201 19531231    73.2
19540101 19540131    76.0
19540201 19540228    10.2
19540301 19540331    13.5
19540401 19540430    21.1
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031    61.3
19541101 19541130    42.5
19541201 19541231   140.7
19550101 19550131    42.9
19550201 19550228    74.1
19550301 19550331    42.3
19550401 19550430    75.4
19550501 19550531    70.1
19550601 19550630     0.8
19550701 19550731     0.0
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031    15.7
19551101 19551130    40.2
19551201 19551231     5.6
19560101 19560131    20.1
19560201 19560229   264.9
19560301 19560331    11.5
19560401 19560430     9.9
19560501 19560531    31.2
19560601 19560630     0.0
19560701 19560731    47.0
19560801 19560831     0.0
19560901 19560930     6.6
19561001 19561031    65.4
19561101 19561130    28.2
19561201 19561231    89.4
19570101 19570131    62.9
19570201 19570228    97.3
19570301 19570331   255.9
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630     0.0
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     9.9
19571101 19571130     9.4
19571201 19571231   104.2
19580101 19580131    92.8
19580201 19580228     3.5
19580301 19580331     8.4
19580401 19580430    35.3
19580501 19580531    18.0
19580601 19580630     0.0
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031    43.1
19581101 19581130     6.6
19581201 19581231    30.2
19590101 19590131   315.0
19590201 19590228    10.5
19590301 19590331    16.5
19590401 19590430    11.1
19590501 19590531    30.7
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.5
19591001 19591031     1.0
19591101 19591130    15.2
19591201 19591231   140.8
19600101 19600131   196.1
19600201 19600229    53.0
19600301 19600331    80.6
19600401 19600430    83.1
19600501 19600531    73.4
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930    12.3
19601001 19601031     1.5
19601101 19601130    85.3
19601201 19601231   161.2
19610101 19610131    15.5
19610201 19610228    41.1
19610301 19610331     1.5
19610401 19610430    15.5
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     5.6
19611001 19611031     0.0
19611101 19611130    21.9
19611201 19611231    28.3
19620101 19620131   263.0
19620201 19620228   146.9
19620301 19620331    15.0
19620401 19620430     7.1
19620501 19620531    11.4
19620601 19620630     0.5
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     2.3
19621101 19621130     2.3
19621201 19621231    20.3
19630101 19630131    91.7
19630201 19630228    83.7
19630301 19630331    46.2
19630401 19630430    52.9
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930    11.7
19631001 19631031    13.5
19631101 19631130     7.1
19631201 19631231    45.1
19640101 19640131   153.3
19640201 19640229    30.5
19640301 19640331    99.0
19640401 19640430     3.3
19640501 19640531     3.5
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.8
19641001 19641031    29.7
19641101 19641130     4.4
19641201 19641231    45.5
19650101 19650131    25.5
19650201 19650228     3.6
19650301 19650331   173.1
19650401 19650430     0.0
19650501 19650531     1.3
19650601 19650630     6.4
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.8
19651101 19651130    14.7
19651201 19651231    59.5
19660101 19660131   190.3
19660201 19660228    63.4
19660301 19660331     8.3
19660401 19660430     0.0
19660501 19660531     0.0
19660601 19660630     0.5
19660701 19660731     0.0
19660801 19660831     1.0
19660901 19660930    10.5
19661001 19661031    23.6
19661101 19661130     6.7
19661201 19661231    79.0
19670101 19670131    92.6
19670201 19670228   547.5
19670301 19670331   165.9
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     4.8
19671101 19671130     0.0
19671201 19671231   104.5
19680101 19680131   215.8
19680201 19680229   172.4
19680301 19680331    37.9
19680401 19680430     0.0
19680501 19680531    79.8
19680601 19680630     0.0
19680701 19680731    29.5
19680801 19680831     2.0
19680901 19680930     2.8
19681001 19681031     0.0
19681101 19681130    11.0
19681201 19681231    61.5
19690101 19690131    59.1
19690201 19690228   121.8
19690301 19690331    53.2
19690401 19690430     0.0
19690501 19690531     0.0
19690601 19690630     1.3
19690701 19690731     4.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    64.7
19691101 19691130    11.8
19691201 19691231    27.8
19700101 19700131    19.1
19700201 19700228    69.4
19700301 19700331    30.8
19700401 19700430    63.5
19700501 19700531     0.3
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     0.3
19701001 19701031     3.6
19701101 19701130    63.5
19701201 19701231   161.6
19710101 19710131     9.7
19710201 19710228     8.7
19710301 19710331   128.2
19710401 19710430    93.3
19710501 19710531     0.0
19710601 19710630     0.0
19710701 19710731     0.3
19710801 19710831     0.5
19710901 19710930     2.8
19711001 19711031     5.4
19711101 19711130    92.3
19711201 19711231    52.1
19720101 19720131     5.1
19720201 19720229   199.6
19720301 19720331   332.0
19720401 19720430    74.1
19720501 19720531     0.5
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     2.6
19721101 19721130    45.9
19721201 19721231     2.5
19730101 19730131   157.8
19730201 19730228    33.7
19730301 19730331    59.3
19730401 19730430    14.8
19730501 19730531     1.5
19730601 19730630    97.8
19730701 19730731     0.0
19730801 19730831     0.8
19730901 19730930    40.6
19731001 19731031    20.3
19731101 19731130   148.0
19731201 19731231    34.6
19740101 19740131   400.1
19740201 19740228   272.0
19740301 19740331   456.2
19740401 19740430     5.0
19740501 19740531     2.9
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     6.4
19740901 19740930     2.8
19741001 19741031     3.0
19741101 19741130    70.4
19741201 19741231    68.0
19750101 19750131    93.8
19750201 19750228   228.2
19750301 19750331   135.8
19750401 19750430   164.2
19750501 19750531     0.0
19750601 19750630    21.0
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930    38.3
19751001 19751031    50.0
19751101 19751130    19.2
19751201 19751231    95.8
19760101 19760131   145.7
19760201 19760229   457.8
19760301 19760331   146.4
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    10.5
19761101 19761130    46.4
19761201 19761231    39.2
19770101 19770131   157.8
19770201 19770228    92.4
19770301 19770331   221.8
19770401 19770430    55.0
19770501 19770531     0.8
19770601 19770630     0.0
