PRCP       043038 18970901 20180131 missing_value=99999.9 WALLUMBILLA POST OFFICE                   
19930401 19930430     0.0
19930501 19930531     1.4
19930601 19930630    65.0
19930701 19930731    47.2
19930801 19930831    13.6
19930901 19930930    46.4
19931001 19931031    50.4
19931101 19931130    23.4
19931201 19931231   138.8
19940101 19940131     5.8
19940201 19940228   150.4
19940301 19940331   153.8
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630    27.8
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031    59.7
19941101 19941130    45.6
19941201 19941231    18.4
19950101 19950131   117.5
19950201 19950228   106.4
19950301 19950331     5.0
19950401 19950430     0.0
19950501 19950531    34.6
19950601 19950630    35.8
19950701 19950731    15.8
19950801 19950831     8.0
19950901 19950930    26.6
19951001 19951031    75.9
19951101 19951130   156.7
19951201 19951231    73.4
19960101 19960131   184.3
19960201 19960229    14.2
19960301 19960331    19.4
19960401 19960430    16.8
19960501 19960531    94.0
19960601 19960630    14.6
19960701 19960731     3.2
19960801 19960831    20.2
19960901 19960930    40.2
19961001 19961031    51.0
19961101 19961130    24.0
19961201 19961231    89.8
19970101 19970131    40.4
19970201 19970228   120.0
19970301 19970331    53.7
19970401 19970430     2.0
19970501 19970531    61.4
19970601 19970630     0.4
19970701 19970731     4.8
19970801 19970831     0.2
19970901 19970930    27.2
19971001 19971031    55.3
19971101 19971130    75.1
19971201 19971231    81.6
19980101 19980131    60.0
19980201 19980228   115.2
19980301 19980331     3.0
19980401 19980430    78.8
19980501 19980531    53.8
19980601 19980630    42.2
19980701 19980731    54.8
19980801 19980831    90.0
19980901 19980930    62.4
19981001 19981031    33.6
19981101 19981130    79.3
19981201 19981231    25.8
19990101 19990131    97.7
19990201 19990228    25.4
19990301 19990331   104.6
19990401 19990430    28.8
19990501 19990531    18.4
19990601 19990630    25.2
19990701 19990731    23.0
19990801 19990831     7.4
19990901 19990930     0.0
19991001 19991031    52.1
19991101 19991130    84.4
19991201 19991231   100.4
20000101 20000131   113.8
20000201 20000229    86.4
20000301 20000331    46.2
20000401 20000430     4.8
20000501 20000531    37.0
20000601 20000630    16.2
20000701 20000731     0.0
20000801 20000831    35.6
20000901 20000930     0.0
20001001 20001031   124.5
20001101 20001130   102.0
20001201 20001231    17.8
20010101 20010131    29.4
20010201 20010228    18.8
20010301 20010331   108.8
20010401 20010430    48.4
20010501 20010531     0.8
20010601 20010630     4.3
20010701 20010731    67.4
20010801 20010831     0.0
20010901 20010930    30.8
20011001 20011031    42.8
20011101 20011130   178.9
20011201 20011231    52.8
20020101 20020131    69.0
20020201 20020228    90.6
20020301 20020331    46.8
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     3.6
20020701 20020731     7.4
20020801 20020831    62.2
20020901 20020930     0.0
20021001 20021031     2.8
20021101 20021130    24.2
20021201 20021231    77.0
20030101 20030131     2.2
20030201 20030228    41.4
20030301 20030331    27.0
20030401 20030430   174.0
20030501 20030531     8.0
20030601 20030630    82.6
20030701 20030731    22.5
20030801 20030831    37.6
20030901 20030930     0.0
20031001 20031031    39.0
20031101 20031130    47.2
20031201 20031231    48.2
20040101 20040131   215.2
20040201 20040229    69.6
20040301 20040331    64.0
20040401 20040430    72.0
20040501 20040531     9.2
20040601 20040630     0.0
20040701 20040731    16.8
20040801 20040831    18.4
20040901 20040930    26.6
20041001 20041031    38.4
20041101 20041130    80.8
20041201 20041231   171.8
20050101 20050131     6.6
20050201 20050228     0.0
20050301 20050331 99999.9
20050401 20050430 99999.9
20050501 20050531 99999.9
20050601 20050630 99999.9
20050701 20050731 99999.9
20050801 20050831 99999.9
20050901 20050930 99999.9
20051001 20051031 99999.9
20051101 20051130 99999.9
20051201 20051231 99999.9
20060101 20060131    25.0
20060201 20060228    23.4
20060301 20060331    45.4
20060401 20060430    36.2
20060501 20060531     0.0
20060601 20060630     9.4
20060701 20060731    10.6
20060801 20060831     4.8
20060901 20060930     9.4
20061001 20061031     2.0
20061101 20061130    87.4
20061201 20061231    24.8
20070101 20070131    83.0
20070201 20070228 99999.9
20070301 20070331 99999.9
20070401 20070430 99999.9
20070501 20070531 99999.9
20070601 20070630 99999.9
20070701 20070731 99999.9
20070801 20070831 99999.9
20070901 20070930 99999.9
20071001 20071031 99999.9
20071101 20071130 99999.9
20071201 20071231 99999.9
20080101 20080131 99999.9
20080201 20080229    93.4
20080301 20080331     2.8
20080401 20080430    23.6
20080501 20080531     7.2
20080601 20080630    72.0
20080701 20080731    55.0
20080801 20080831     0.8
20080901 20080930    32.6
20081001 20081031 99999.9
20081101 20081130 99999.9
20081201 20081231 99999.9
20090101 20090131 99999.9
20090201 20090228 99999.9
20090301 20090331 99999.9
20090401 20090430 99999.9
20090501 20090531 99999.9
20090601 20090630 99999.9
20090701 20090731 99999.9
20090801 20090831 99999.9
20090901 20090930 99999.9
20091001 20091031 99999.9
20091101 20091130 99999.9
20091201 20091231 99999.9
20100101 20100131 99999.9
20100201 20100228 99999.9
20100301 20100331 99999.9
20100401 20100430 99999.9
20100501 20100531 99999.9
20100601 20100630 99999.9
20100701 20100731    53.8
20100801 20100831    61.8
20100901 20100930   147.4
20101001 20101031    58.8
20101101 20101130   159.2
20101201 20101231   221.4
20110101 20110131    99.8
20110201 20110228 99999.9
20110301 20110331 99999.9
20110401 20110430 99999.9
20110501 20110531 99999.9
20110601 20110630 99999.9
20110701 20110731 99999.9
20110801 20110831 99999.9
20110901 20110930 99999.9
20111001 20111031 99999.9
20111101 20111130 99999.9
20111201 20111231   157.4
20120101 20120131   109.8
20120201 20120229   154.0
20120301 20120331    72.6
20120401 20120430    14.8
20120501 20120531    32.0
20120601 20120630    57.0
20120701 20120731 99999.9
20120801 20120831 99999.9
20120901 20120930 99999.9
20121001 20121031 99999.9
20121101 20121130    28.8
20121201 20121231    68.6
20130101 20130131 99999.9
20130201 20130228    44.0
20130301 20130331    88.4
20130401 20130430    11.6
20130501 20130531    41.8
20130601 20130630    12.6
20130701 20130731     7.4
20130801 20130831 99999.9
20130901 20130930     0.6
20131001 20131031    37.0
20131101 20131130   115.8
20131201 20131231    12.0
20140101 20140131    13.0
20140201 20140228    13.0
20140301 20140331   187.4
20140401 20140430     9.8
20140501 20140531     6.4
20140601 20140630    16.0
20140701 20140731     2.8
20140801 20140831     9.8
20140901 20140930    20.8
20141001 20141031    11.4
20141101 20141130    17.8
20141201 20141231   114.0
20150101 20150131    76.1
20150201 20150228    23.6
20150301 20150331    26.9
20150401 20150430    13.4
20150501 20150531    13.8
20150601 20150630    44.0
20150701 20150731    19.2
20150801 20150831    27.6
20150901 20150930     7.5
20151001 20151031    12.2
20151101 20151130    91.2
20151201 20151231    77.1
20160101 20160131    76.2
20160201 20160229    79.8
20160301 20160331    16.2
20160401 20160430     1.6
20160501 20160531    23.6
20160601 20160630    50.2
20160701 20160731    51.4
20160801 20160831    47.2
20160901 20160930   127.2
20161001 20161031    25.4
20161101 20161130     7.8
20161201 20161231    32.6
20170101 20170131    50.2
20170201 20170228    26.4
20170301 20170331   170.8
20170401 20170430     0.4
20170501 20170531    23.6
20170601 20170630     7.6
20170701 20170731    11.4
20170801 20170831     3.4
20170901 20170930     0.0
20171001 20171031   166.6
20171101 20171130    53.2
20171201 20171231    35.4
20180101 20180131    12.4
