PRCP       010149 19021001 20171231 missing_value=99999.9 CODG CODGEN                               
19990301 19990331   103.8
19990401 19990430    19.0
19990501 19990531   167.2
19990601 19990630    34.4
19990701 19990731    56.6
19990801 19990831    40.6
19990901 19990930    33.8
19991001 19991031    37.0
19991101 19991130     2.6
19991201 19991231    58.0
20000101 20000131   114.8
20000201 20000229     2.0
20000301 20000331    47.8
20000401 20000430    19.0
20000501 20000531     5.6
20000601 20000630    20.1
20000701 20000731    55.4
20000801 20000831    38.8
20000901 20000930    16.4
20001001 20001031     0.4
20001101 20001130     2.6
20001201 20001231     7.6
20010101 20010131    84.4
20010201 20010228    23.2
20010301 20010331     0.4
20010401 20010430     2.8
20010501 20010531    28.5
20010601 20010630     6.8
20010701 20010731    57.6
20010801 20010831    25.2
20010901 20010930    29.6
20011001 20011031    13.0
20011101 20011130    12.2
20011201 20011231     3.6
20020101 20020131    17.0
20020201 20020228     1.4
20020301 20020331     4.0
20020401 20020430    41.8
20020501 20020531    11.0
20020601 20020630    20.6
20020701 20020731    27.8
20020801 20020831    27.2
20020901 20020930    20.4
20021001 20021031    10.4
20021101 20021130     4.2
20021201 20021231    28.6
20030101 20030131     0.0
20030201 20030228    51.0
20030301 20030331    22.6
20030401 20030430    45.8
20030501 20030531    55.8
20030601 20030630    40.4
20030701 20030731    47.4
20030801 20030831    73.8
20030901 20030930    29.8
20031001 20031031    12.6
20031101 20031130    10.8
20031201 20031231     5.2
20040101 20040131    16.6
20040201 20040229    17.4
20040301 20040331     4.4
20040401 20040430    20.2
20040501 20040531    50.0
20040601 20040630    69.4
20040701 20040731    51.0
20040801 20040831    44.0
20040901 20040930     9.6
20041001 20041031    19.5
20041101 20041130    10.6
20041201 20041231     1.4
20050101 20050131     0.0
20050201 20050228     1.6
20050301 20050331    37.4
20050401 20050430    30.1
20050501 20050531    71.4
20050601 20050630    65.4
20050701 20050731    19.2
20050801 20050831    49.8
20050901 20050930    31.2
20051001 20051031    13.4
20051101 20051130     3.8
20051201 20051231     1.5
20060101 20060131    89.2
20060201 20060228    54.2
20060301 20060331    18.0
20060401 20060430    32.6
20060501 20060531    19.2
20060601 20060630     9.0
20060701 20060731    28.8
20060801 20060831    27.8
20060901 20060930    50.6
20061001 20061031    25.6
20061101 20061130    20.8
20061201 20061231     8.2
20070101 20070131    16.4
20070201 20070228     2.0
20070301 20070331     0.8
20070401 20070430    16.2
20070501 20070531    20.6
20070601 20070630    23.9
20070701 20070731    49.0
20070801 20070831    28.6
20070901 20070930    26.4
20071001 20071031    22.2
20071101 20071130     0.0
20071201 20071231    32.0
20080101 20080131     1.0
20080201 20080229    14.2
20080301 20080331     3.0
20080401 20080430    30.8
20080501 20080531    10.0
20080601 20080630    29.2
20080701 20080731    77.2
20080801 20080831    14.8
20080901 20080930    55.8
20081001 20081031    31.4
20081101 20081130    17.2
20081201 20081231     0.0
20090101 20090131     1.2
20090201 20090228     2.0
20090301 20090331    11.0
20090401 20090430     7.6
20090501 20090531     7.4
20090601 20090630    43.4
20090701 20090731    61.2
20090801 20090831    45.4
20090901 20090930    20.3
20091001 20091031    14.0
20091101 20091130    37.8
20091201 20091231     9.8
20100101 20100131     8.2
20100201 20100228     0.0
20100301 20100331    11.0
20100401 20100430     0.0
20100501 20100531    23.8
20100601 20100630    18.6
20100701 20100731    42.6
20100801 20100831    15.2
20100901 20100930    10.0
20101001 20101031     2.8
20101101 20101130     4.8
20101201 20101231    14.6
20110101 20110131    58.6
20110201 20110228    25.2
20110301 20110331     1.6
20110401 20110430     4.4
20110501 20110531    50.4
20110601 20110630    38.0
20110701 20110731    67.8
20110801 20110831    36.2
20110901 20110930    33.6
20111001 20111031    84.8
20111101 20111130    34.4
20111201 20111231    96.4
20120101 20120131    60.2
20120201 20120229    14.2
20120301 20120331     6.0
20120401 20120430     4.8
20120501 20120531    16.4
20120601 20120630    63.4
20120701 20120731    13.0
20120801 20120831    34.4
20120901 20120930    27.2
20121001 20121031     3.4
20121101 20121130    77.4
20121201 20121231    64.0
20130101 20130131    50.8
20130201 20130228    22.0
20130301 20130331    45.0
20130401 20130430     5.6
20130501 20130531    31.0
20130601 20130630     8.8
20130701 20130731    39.6
20130801 20130831    36.8
20130901 20130930    48.4
20131001 20131031    24.4
20131101 20131130     5.0
20131201 20131231     1.0
20140101 20140131     4.8
20140201 20140228    15.6
20140301 20140331     1.2
20140401 20140430    28.4
20140501 20140531    51.0
20140601 20140630    24.2
20140701 20140731    55.2
20140801 20140831    21.6
20140901 20140930    31.4
20141001 20141031    22.2
20141101 20141130    26.4
20141201 20141231     9.6
20150101 20150131     0.0
20150201 20150228     0.2
20150301 20150331    70.8
20150401 20150430    23.8
20150501 20150531    17.8
20150601 20150630    52.2
20150701 20150731    83.6
20150801 20150831    63.6
20150901 20150930     5.8
20151001 20151031     9.0
20151101 20151130    38.0
20151201 20151231     2.2
20160101 20160131    53.2
20160201 20160229     2.8
20160301 20160331    81.8
20160401 20160430    44.0
20160501 20160531    44.0
20160601 20160630    35.8
20160701 20160731    45.2
20160801 20160831    41.4
20160901 20160930    20.0
20161001 20161031    10.2
20161101 20161130     0.2
20161201 20161231    18.2
20170101 20170131    54.4
20170201 20170228    35.6
20170301 20170331    22.8
20170401 20170430     5.0
20170501 20170531    11.0
20170601 20170630     3.6
20170701 20170731    41.8
20170801 20170831    44.8
20170901 20170930    33.2
20171001 20171031    32.2
20171101 20171130     8.4
20171201 20171231     3.4
