PRCP       016032 19030101 20170430 missing_value=99999.9 NONNING                                   
19241201 19241231    18.0
19250101 19250131     2.5
19250201 19250228    16.2
19250301 19250331     0.0
19250401 19250430    17.7
19250501 19250531    23.5
19250601 19250630     9.0
19250701 19250731    38.0
19250801 19250831    16.2
19250901 19250930    20.1
19251001 19251031     2.1
19251101 19251130    10.9
19251201 19251231     0.3
19260101 19260131     0.0
19260201 19260228     4.3
19260301 19260331    44.7
19260401 19260430    11.3
19260501 19260531    37.6
19260601 19260630    43.7
19260701 19260731    19.3
19260801 19260831    33.7
19260901 19260930    31.1
19261001 19261031     9.4
19261101 19261130     0.0
19261201 19261231     2.1
19270101 19270131     2.5
19270201 19270228     1.6
19270301 19270331     4.1
19270401 19270430     0.0
19270501 19270531     7.7
19270601 19270630    40.5
19270701 19270731     8.9
19270801 19270831     6.1
19270901 19270930     6.9
19271001 19271031     1.0
19271101 19271130     7.6
19271201 19271231    12.7
19280101 19280131     0.3
19280201 19280229    32.2
19280301 19280331     3.8
19280401 19280430     0.8
19280501 19280531     9.7
19280601 19280630     8.5
19280701 19280731    12.9
19280801 19280831     8.4
19280901 19280930     5.4
19281001 19281031    10.3
19281101 19281130     0.0
19281201 19281231     0.0
19290101 19290131     0.0
19290201 19290228     4.0
19290301 19290331     0.0
19290401 19290430     0.0
19290501 19290531    23.4
19290601 19290630    21.1
19290701 19290731     2.0
19290801 19290831     8.7
19290901 19290930    20.4
19291001 19291031     0.0
19291101 19291130     6.8
19291201 19291231    23.6
19300101 19300131     0.0
19300201 19300228     8.2
19300301 19300331     0.0
19300401 19300430     7.4
19300501 19300531     3.0
19300601 19300630    10.0
19300701 19300731    46.1
19300801 19300831    26.8
19300901 19300930     9.9
19301001 19301031    49.5
19301101 19301130     1.5
19301201 19301231     9.7
19310101 19310131     1.8
19310201 19310228     1.5
19310301 19310331    22.4
19310401 19310430    34.1
19310501 19310531    26.1
19310601 19310630    78.4
19310701 19310731    17.8
19310801 19310831    21.1
19310901 19310930    11.3
19311001 19311031     3.0
19311101 19311130     1.3
19311201 19311231     3.3
19320101 19320131     0.0
19320201 19320229    35.6
19320301 19320331     1.5
19320401 19320430    21.3
19320501 19320531    31.3
19320601 19320630    19.5
19320701 19320731    21.3
19320801 19320831    26.0
19320901 19320930    38.1
19321001 19321031     7.4
19321101 19321130     2.1
19321201 19321231     9.7
19330101 19330131     3.3
19330201 19330228     0.0
19330301 19330331    15.0
19330401 19330430     3.3
19330501 19330531    23.0
19330601 19330630     4.5
19330701 19330731    12.7
19330801 19330831    51.3
19330901 19330930    18.1
19331001 19331031     1.8
19331101 19331130    31.2
19331201 19331231     3.8
19340101 19340131     5.3
19340201 19340228    46.2
19340301 19340331    14.5
19340401 19340430     2.8
19340501 19340531     3.3
19340601 19340630    36.3
19340701 19340731     8.4
19340801 19340831    28.5
19340901 19340930    16.3
19341001 19341031    33.8
19341101 19341130    34.6
19341201 19341231     0.0
19350101 19350131    36.6
19350201 19350228     0.0
19350301 19350331    19.5
19350401 19350430    26.2
19350501 19350531     5.0
19350601 19350630    21.2
19350701 19350731     7.3
19350801 19350831    15.7
19350901 19350930    31.2
19351001 19351031    38.4
19351101 19351130     7.8
19351201 19351231     9.1
19360101 19360131    37.2
19360201 19360229    16.0
19360301 19360331     0.0
19360401 19360430     0.0
19360501 19360531     1.3
19360601 19360630    14.3
19360701 19360731    57.4
19360801 19360831    15.3
19360901 19360930     2.3
19361001 19361031    21.8
19361101 19361130     0.0
19361201 19361231    21.5
19370101 19370131    17.2
19370201 19370228     3.3
19370301 19370331    12.9
19370401 19370430     4.4
19370501 19370531    12.3
19370601 19370630    18.2
19370701 19370731    22.5
19370801 19370831    40.2
19370901 19370930    10.7
19371001 19371031    20.6
19371101 19371130     2.3
19371201 19371231    42.7
19380101 19380131     4.8
19380201 19380228    80.3
19380301 19380331     0.0
19380401 19380430    10.7
19380501 19380531     0.0
19380601 19380630    25.6
19380701 19380731    24.4
19380801 19380831    39.9
19380901 19380930     3.8
19381001 19381031    40.3
19381101 19381130     0.0
19381201 19381231     1.5
19390101 19390131    12.6
19390201 19390228    12.7
19390301 19390331    21.9
19390401 19390430     0.8
19390501 19390531    32.1
19390601 19390630    12.4
19390701 19390731    23.3
19390801 19390831    21.3
19390901 19390930     2.8
19391001 19391031     3.8
19391101 19391130    54.8
19391201 19391231     0.0
19400101 19400131    27.2
19400201 19400229     4.6
19400301 19400331    11.9
19400401 19400430     7.2
19400501 19400531    28.5
19400601 19400630     4.6
19400701 19400731     9.4
19400801 19400831     7.9
19400901 19400930     3.8
19401001 19401031     8.1
19401101 19401130     3.6
19401201 19401231     1.8
19410101 19410131    45.7
19410201 19410228     0.3
19410301 19410331    36.0
19410401 19410430    15.0
19410501 19410531     3.6
19410601 19410630    13.9
19410701 19410731    24.5
19410801 19410831     6.4
19410901 19410930    24.4
19411001 19411031    37.6
19411101 19411130    30.9
19411201 19411231     2.5
19420101 19420131    21.9
19420201 19420228     0.5
19420301 19420331     4.5
19420401 19420430    35.6
19420501 19420531    22.3
19420601 19420630    47.0
19420701 19420731    20.0
19420801 19420831    40.7
19420901 19420930    36.5
19421001 19421031     4.1
19421101 19421130    27.7
19421201 19421231    64.5
19430101 19430131     7.1
19430201 19430228     4.3
19430301 19430331     3.8
19430401 19430430     8.7
19430501 19430531     1.3
19430601 19430630     6.4
19430701 19430731    18.3
19430801 19430831    38.0
19430901 19430930    11.5
19431001 19431031    32.0
19431101 19431130     8.2
19431201 19431231     2.5
