PRCP       006055 19040101 20180131 missing_value=99999.9 WOOLGORONG                                
19251201 19251231     7.1
19260101 19260131     0.0
19260201 19260228     1.8
19260301 19260331    29.4
19260401 19260430    34.1
19260501 19260531    55.1
19260601 19260630    33.1
19260701 19260731    45.4
19260801 19260831     6.4
19260901 19260930     5.1
19261001 19261031     5.8
19261101 19261130    13.7
19261201 19261231     5.7
19270101 19270131     0.0
19270201 19270228    18.0
19270301 19270331   162.2
19270401 19270430     1.0
19270501 19270531    33.8
19270601 19270630    97.3
19270701 19270731    40.1
19270801 19270831    14.6
19270901 19270930    15.6
19271001 19271031     0.5
19271101 19271130     0.0
19271201 19271231     7.1
19280101 19280131    19.6
19280201 19280229     0.0
19280301 19280331    19.3
19280401 19280430    14.3
19280501 19280531    33.3
19280601 19280630    26.4
19280701 19280731    34.3
19280801 19280831    10.0
19280901 19280930    10.9
19281001 19281031     4.3
19281101 19281130     0.5
19281201 19281231    36.1
19290101 19290131    38.4
19290201 19290228    58.2
19290301 19290331     8.1
19290401 19290430     0.0
19290501 19290531    65.6
19290601 19290630    50.4
19290701 19290731     8.5
19290801 19290831    14.2
19290901 19290930     0.8
19291001 19291031     2.3
19291101 19291130     6.9
19291201 19291231     0.0
19300101 19300131     2.5
19300201 19300228     0.5
19300301 19300331    25.8
19300401 19300430     9.6
19300501 19300531    19.4
19300601 19300630    71.5
19300701 19300731    26.1
19300801 19300831    22.8
19300901 19300930    11.1
19301001 19301031     1.0
19301101 19301130     2.5
19301201 19301231     7.9
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331     7.6
19310401 19310430    16.8
19310501 19310531    27.4
19310601 19310630    38.2
19310701 19310731    40.6
19310801 19310831    13.0
19310901 19310930     7.8
19311001 19311031     4.3
19311101 19311130    15.5
19311201 19311231    14.2
19320101 19320131    24.1
19320201 19320229    13.5
19320301 19320331    37.8
19320401 19320430    11.5
19320501 19320531    40.3
19320601 19320630    19.0
19320701 19320731    23.1
19320801 19320831    51.8
19320901 19320930     1.3
19321001 19321031     8.6
19321101 19321130     0.0
19321201 19321231    18.5
19330101 19330131     1.5
19330201 19330228     0.0
19330301 19330331    42.4
19330401 19330430     0.0
19330501 19330531    26.6
19330601 19330630    36.1
19330701 19330731    34.0
19330801 19330831    54.5
19330901 19330930     4.3
19331001 19331031     5.4
19331101 19331130     1.3
19331201 19331231     3.6
19340101 19340131    16.2
19340201 19340228     6.9
19340301 19340331   101.3
19340401 19340430    96.0
19340501 19340531     9.1
19340601 19340630    57.1
19340701 19340731    36.0
19340801 19340831    23.0
19340901 19340930     4.3
19341001 19341031     0.0
19341101 19341130     5.3
19341201 19341231     0.0
19350101 19350131    18.5
19350201 19350228    51.5
19350301 19350331    46.4
19350401 19350430    27.2
19350501 19350531     0.0
19350601 19350630    14.7
19350701 19350731    22.9
19350801 19350831    30.2
19350901 19350930     0.0
19351001 19351031     4.6
19351101 19351130     0.0
19351201 19351231     0.0
19360101 19360131     0.0
19360201 19360229     3.3
19360301 19360331    15.7
19360401 19360430    12.5
19360501 19360531     3.8
19360601 19360630    34.3
19360701 19360731    15.3
19360801 19360831     9.2
19360901 19360930     2.0
19361001 19361031     0.8
19361101 19361130     2.8
19361201 19361231    13.4
19370101 19370131     0.0
19370201 19370228     7.7
19370301 19370331    29.2
19370401 19370430    50.8
19370501 19370531    22.9
19370601 19370630    16.3
19370701 19370731     0.0
19370801 19370831    32.3
19370901 19370930     5.6
19371001 19371031     0.0
19371101 19371130     0.8
19371201 19371231     1.8
19380101 19380131    19.1
19380201 19380228     6.9
19380301 19380331    12.4
19380401 19380430    16.6
19380501 19380531     3.3
19380601 19380630     8.4
19380701 19380731    38.4
19380801 19380831    14.7
19380901 19380930     3.0
19381001 19381031     0.0
19381101 19381130     6.1
19381201 19381231     0.5
19390101 19390131     2.6
19390201 19390228    49.2
19390301 19390331     4.6
19390401 19390430     4.6
19390501 19390531    48.7
19390601 19390630    55.3
19390701 19390731    50.3
19390801 19390831    21.5
19390901 19390930     0.0
19391001 19391031    19.5
19391101 19391130    46.7
19391201 19391231     0.0
19400101 19400131    16.8
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     0.0
19400501 19400531    13.7
19400601 19400630    23.4
19400701 19400731    38.9
19400801 19400831     6.4
19400901 19400930     3.3
19401001 19401031     0.0
19401101 19401130     0.0
19401201 19401231     0.8
19410101 19410131     0.0
19410201 19410228    20.8
19410301 19410331     0.0
19410401 19410430    25.2
19410501 19410531    15.7
19410601 19410630    46.4
19410701 19410731    30.6
19410801 19410831    27.4
19410901 19410930     9.6
19411001 19411031     0.0
19411101 19411130     2.8
19411201 19411231    22.3
19420101 19420131    22.1
19420201 19420228    33.3
19420301 19420331    19.4
19420401 19420430    28.4
19420501 19420531    59.2
19420601 19420630   108.1
19420701 19420731     7.0
19420801 19420831    16.7
19420901 19420930     2.5
19421001 19421031     0.0
19421101 19421130     0.0
19421201 19421231     0.0
19430101 19430131     0.0
19430201 19430228    25.6
19430301 19430331    94.9
19430401 19430430    14.5
19430501 19430531     6.1
19430601 19430630    49.1
19430701 19430731    14.7
19430801 19430831     7.9
19430901 19430930     7.7
19431001 19431031     0.0
19431101 19431130     2.0
19431201 19431231     3.8
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     0.0
19440401 19440430     0.5
19440501 19440531    11.2
19440601 19440630    15.8
19440701 19440731    43.8
19440801 19440831    21.0
19440901 19440930     2.3
19441001 19441031     0.0
19441101 19441130     6.1
19441201 19441231     0.0
19450101 19450131     0.0
19450201 19450228    55.1
19450301 19450331     5.6
19450401 19450430     1.5
19450501 19450531     7.4
19450601 19450630   120.3
19450701 19450731    13.1
19450801 19450831    46.3
19450901 19450930    10.2
19451001 19451031     0.0
19451101 19451130     6.4
19451201 19451231     0.0
19460101 19460131     8.1
19460201 19460228     1.3
19460301 19460331     0.0
19460401 19460430     3.0
19460501 19460531    27.8
19460601 19460630    28.2
19460701 19460731    57.8
19460801 19460831    15.2
19460901 19460930     0.0
19461001 19461031     7.6
19461101 19461130     8.7
19461201 19461231     0.0
19470101 19470131     0.0
19470201 19470228    22.8
19470301 19470331    14.2
19470401 19470430     0.8
19470501 19470531    90.7
19470601 19470630    34.5
19470701 19470731    64.6
19470801 19470831    15.5
19470901 19470930    12.0
19471001 19471031    29.2
19471101 19471130     0.0
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229    54.4
19480301 19480331    13.5
19480401 19480430    15.2
19480501 19480531     3.6
19480601 19480630    43.0
19480701 19480731    23.4
19480801 19480831    16.1
19480901 19480930     3.1
19481001 19481031     0.0
19481101 19481130    39.8
19481201 19481231     0.0
19490101 19490131     2.5
19490201 19490228    17.2
19490301 19490331     0.0
19490401 19490430    11.4
19490501 19490531     0.3
19490601 19490630    23.8
19490701 19490731    29.4
19490801 19490831    65.0
19490901 19490930    25.2
19491001 19491031     5.0
19491101 19491130     0.0
19491201 19491231     7.9
19500101 19500131     0.0
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    51.7
19500601 19500630    14.3
19500701 19500731    31.4
19500801 19500831    11.2
19500901 19500930     2.6
19501001 19501031     3.5
19501101 19501130     0.0
19501201 19501231     0.0
19510101 19510131    13.7
19510201 19510228    24.2
19510301 19510331    11.2
19510401 19510430    46.9
19510501 19510531     8.6
19510601 19510630    69.0
19510701 19510731    36.0
19510801 19510831    12.5
19510901 19510930    11.2
19511001 19511031     7.1
19511101 19511130     0.0
19511201 19511231     1.5
19520101 19520131    57.2
19520201 19520229    10.0
19520301 19520331     4.8
19520401 19520430     0.0
19520501 19520531    85.2
19520601 19520630    16.0
19520701 19520731    67.9
19520801 19520831     5.6
19520901 19520930    15.8
19521001 19521031     1.3
19521101 19521130     0.0
19521201 19521231     0.8
19530101 19530131     0.3
19530201 19530228     2.5
19530301 19530331   106.4
19530401 19530430    47.3
19530501 19530531    56.4
19530601 19530630    41.3
19530701 19530731    50.5
19530801 19530831    12.5
19530901 19530930     3.5
19531001 19531031    15.2
19531101 19531130     0.0
19531201 19531231     0.0
19540101 19540131    11.0
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     2.1
19540501 19540531    70.4
19540601 19540630    12.1
19540701 19540731    15.7
19540801 19540831    18.8
19540901 19540930     6.6
19541001 19541031     0.0
19541101 19541130     0.0
19541201 19541231     0.0
19550101 19550131    40.2
19550201 19550228    32.6
19550301 19550331     7.9
19550401 19550430    22.0
19550501 19550531    38.3
19550601 19550630     7.2
19550701 19550731    19.7
19550801 19550831    26.8
19550901 19550930    20.1
19551001 19551031     6.4
19551101 19551130     0.0
19551201 19551231     8.4
19560101 19560131     0.0
19560201 19560229     1.5
19560301 19560331     3.6
19560401 19560430     0.0
19560501 19560531    51.0
19560601 19560630    36.6
19560701 19560731    29.2
19560801 19560831    27.7
19560901 19560930     0.0
19561001 19561031    22.1
19561101 19561130     8.6
19561201 19561231     0.0
19570101 19570131    12.2
19570201 19570228     0.0
19570301 19570331    30.0
19570401 19570430     0.0
19570501 19570531    20.5
19570601 19570630    61.4
19570701 19570731     3.8
19570801 19570831    32.3
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231     9.1
19580101 19580131    33.5
19580201 19580228     8.9
19580301 19580331     5.3
19580401 19580430     6.1
19580501 19580531    42.1
19580601 19580630     7.1
19580701 19580731    75.6
19580801 19580831    53.3
19580901 19580930    31.3
19581001 19581031     2.5
19581101 19581130    14.0
19581201 19581231     4.6
19590101 19590131     3.8
19590201 19590228     1.8
19590301 19590331     1.8
19590401 19590430     2.8
19590501 19590531     7.9
19590601 19590630    59.7
19590701 19590731    31.0
19590801 19590831    10.1
19590901 19590930     0.0
19591001 19591031     5.1
19591101 19591130     1.8
19591201 19591231     6.9
19600101 19600131     1.8
19600201 19600229    60.7
19600301 19600331    14.5
19600401 19600430    17.3
19600501 19600531    23.3
19600601 19600630     9.2
19600701 19600731    96.0
19600801 19600831     7.6
19600901 19600930     4.6
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    17.8
19610201 19610228     3.8
19610301 19610331     6.6
19610401 19610430    25.7
19610501 19610531    12.6
19610601 19610630   149.0
19610701 19610731     9.8
19610801 19610831    20.8
19610901 19610930     0.0
19611001 19611031     2.8
19611101 19611130     0.0
19611201 19611231     0.0
19620101 19620131    12.4
19620201 19620228    17.8
19620301 19620331     0.0
19620401 19620430     8.4
19620501 19620531   125.8
19620601 19620630    28.7
19620701 19620731    31.0
19620801 19620831    10.9
19620901 19620930    16.3
19621001 19621031     2.3
19621101 19621130     8.4
19621201 19621231    13.9
19630101 19630131    65.1
19630201 19630228    39.2
19630301 19630331     8.6
19630401 19630430     4.5
19630501 19630531   128.4
19630601 19630630    98.8
19630701 19630731    57.0
19630801 19630831    17.7
19630901 19630930     0.8
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231     5.5
19640101 19640131     0.0
19640201 19640229     4.9
19640301 19640331    37.3
19640401 19640430    28.4
19640501 19640531     0.0
19640601 19640630    64.6
19640701 19640731    66.0
19640801 19640831    16.5
19640901 19640930    18.1
19641001 19641031     1.0
19641101 19641130     2.8
19641201 19641231     0.0
19650101 19650131    20.5
19650201 19650228     8.6
19650301 19650331     6.3
19650401 19650430     0.0
19650501 19650531    20.3
19650601 19650630   104.7
19650701 19650731    47.2
19650801 19650831    21.2
19650901 19650930     6.9
19651001 19651031     3.8
19651101 19651130    61.5
19651201 19651231     0.0
19660101 19660131    10.4
19660201 19660228    10.9
19660301 19660331     0.0
19660401 19660430   143.6
19660501 19660531     0.8
19660601 19660630    27.2
19660701 19660731    17.3
19660801 19660831    11.2
19660901 19660930     2.5
19661001 19661031    11.7
19661101 19661130     5.8
19661201 19661231     0.0
19670101 19670131    59.9
19670201 19670228     4.6
19670301 19670331     0.0
19670401 19670430     1.5
19670501 19670531    28.4
19670601 19670630    22.7
19670701 19670731    31.1
19670801 19670831    23.2
19670901 19670930     3.5
19671001 19671031     3.8
19671101 19671130     0.0
19671201 19671231    30.5
19680101 19680131    29.7
19680201 19680229     4.3
19680301 19680331    21.0
19680401 19680430    46.7
19680501 19680531    15.3
19680601 19680630   136.7
19680701 19680731    16.3
19680801 19680831    14.9
19680901 19680930    11.2
19681001 19681031     0.0
19681101 19681130     2.8
19681201 19681231     0.0
19690101 19690131     0.0
19690201 19690228    22.4
19690301 19690331     2.0
19690401 19690430     0.0
19690501 19690531    76.2
19690601 19690630    48.1
19690701 19690731     5.4
19690801 19690831     0.0
19690901 19690930     3.8
19691001 19691031     2.5
19691101 19691130     5.8
19691201 19691231     0.0
19700101 19700131     0.0
19700201 19700228    84.1
19700301 19700331     4.8
19700401 19700430    22.6
19700501 19700531    18.8
19700601 19700630    51.1
19700701 19700731    14.0
19700801 19700831     8.7
19700901 19700930    12.9
19701001 19701031    11.7
19701101 19701130     0.0
19701201 19701231    13.2
19710101 19710131    28.7
19710201 19710228     5.1
19710301 19710331    56.5
19710401 19710430     0.0
19710501 19710531    14.5
19710601 19710630    53.8
19710701 19710731    55.3
19710801 19710831    26.2
19710901 19710930     0.0
19711001 19711031     6.8
19711101 19711130     0.0
19711201 19711231     0.0
19720101 19720131     0.0
19720201 19720229    10.7
19720301 19720331     0.0
19720401 19720430     0.0
19720501 19720531    24.1
19720601 19720630    34.9
19720701 19720731    85.1
19720801 19720831    25.4
19720901 19720930    17.0
19721001 19721031     0.5
19721101 19721130     0.0
19721201 19721231     1.3
19730101 19730131     8.9
19730201 19730228     9.2
19730301 19730331     9.1
19730401 19730430     6.8
19730501 19730531    11.2
19730601 19730630    36.2
19730701 19730731    56.4
