PRCP       006055 19040101 20180131 missing_value=99999.9 WOOLGORONG                                
20000301 20000331   152.6
20000401 20000430    25.8
20000501 20000531     0.0
20000601 20000630    13.0
20000701 20000731    25.4
20000801 20000831    27.0
20000901 20000930     9.2
20001001 20001031     3.2
20001101 20001130     0.0
20001201 20001231    12.6
20010101 20010131    43.4
20010201 20010228    29.2
20010301 20010331     5.0
20010401 20010430    16.8
20010501 20010531    17.2
20010601 20010630    15.2
20010701 20010731    26.6
20010801 20010831    19.6
20010901 20010930    13.8
20011001 20011031    34.0
20011101 20011130    11.2
20011201 20011231     8.2
20020101 20020131    37.6
20020201 20020228     0.8
20020301 20020331     3.0
20020401 20020430    12.8
20020501 20020531    23.8
20020601 20020630    16.7
20020701 20020731    15.4
20020801 20020831    20.0
20020901 20020930    11.2
20021001 20021031     4.4
20021101 20021130     1.8
20021201 20021231     9.8
20030101 20030131     0.0
20030201 20030228     0.0
20030301 20030331    40.4
20030401 20030430     1.6
20030501 20030531    28.5
20030601 20030630    29.2
20030701 20030731     7.6
20030801 20030831    29.0
20030901 20030930    10.8
20031001 20031031     1.2
20031101 20031130    12.0
20031201 20031231     0.0
20040101 20040131     5.0
20040201 20040229    50.0
20040301 20040331     3.4
20040401 20040430    15.8
20040501 20040531    16.0
20040601 20040630    22.4
20040701 20040731    53.0
20040801 20040831     7.8
20040901 20040930    20.0
20041001 20041031     2.6
20041101 20041130     4.3
20041201 20041231     1.0
20050101 20050131     1.6
20050201 20050228     1.6
20050301 20050331    11.0
20050401 20050430    16.8
20050501 20050531    64.3
20050601 20050630    68.4
20050701 20050731     3.4
20050801 20050831    22.1
20050901 20050930    16.6
20051001 20051031     6.2
20051101 20051130     0.0
20051201 20051231     0.0
20060101 20060131 99999.9
20060201 20060228 99999.9
20060301 20060331 99999.9
20060401 20060430 99999.9
20060501 20060531 99999.9
20060601 20060630 99999.9
20060701 20060731 99999.9
20060801 20060831 99999.9
20060901 20060930 99999.9
20061001 20061031 99999.9
20061101 20061130 99999.9
20061201 20061231 99999.9
20070101 20070131    11.0
20070201 20070228     0.0
20070301 20070331     0.0
20070401 20070430     0.0
20070501 20070531     2.1
20070601 20070630    22.5
20070701 20070731    30.6
20070801 20070831     4.0
20070901 20070930     1.0
20071001 20071031     5.9
20071101 20071130     0.0
20071201 20071231    19.0
20080101 20080131    15.5
20080201 20080229   119.8
20080301 20080331    30.7
20080401 20080430    35.6
20080501 20080531     3.2
20080601 20080630    25.0
20080701 20080731    49.1
20080801 20080831     4.5
20080901 20080930    12.3
20081001 20081031     1.6
20081101 20081130    10.8
20081201 20081231     3.4
20090101 20090131    10.0
20090201 20090228    34.8
20090301 20090331     9.2
20090401 20090430     4.2
20090501 20090531    12.2
20090601 20090630    22.6
20090701 20090731    36.2
20090801 20090831     5.9
20090901 20090930     7.0
20091001 20091031     0.6
20091101 20091130    13.7
20091201 20091231    13.0
20100101 20100131     0.0
20100201 20100228     0.0
20100301 20100331    15.8
20100401 20100430    16.8
20100501 20100531    16.9
20100601 20100630    23.2
20100701 20100731    17.0
20100801 20100831    38.0
20100901 20100930     6.9
20101001 20101031     1.8
20101101 20101130     0.0
20101201 20101231   116.7
20110101 20110131    55.3
20110201 20110228    46.9
20110301 20110331     6.8
20110401 20110430     3.0
20110501 20110531    39.1
20110601 20110630    38.3
20110701 20110731    71.9
20110801 20110831    13.3
20110901 20110930    10.6
20111001 20111031     8.1
20111101 20111130     5.7
20111201 20111231     1.8
20120101 20120131    19.3
20120201 20120229     7.7
20120301 20120331     5.0
20120401 20120430     1.4
20120501 20120531     2.8
20120601 20120630    70.8
20120701 20120731    10.3
20120801 20120831     7.0
20120901 20120930     8.7
20121001 20121031     1.0
20121101 20121130    20.2
20121201 20121231     6.8
20130101 20130131    20.4
20130201 20130228     4.6
20130301 20130331     9.8
20130401 20130430     1.0
20130501 20130531    26.0
20130601 20130630    16.6
20130701 20130731     7.6
20130801 20130831     8.8
20130901 20130930    11.6
20131001 20131031     5.8
20131101 20131130     0.0
20131201 20131231     0.0
20140101 20140131     9.4
20140201 20140228    18.2
20140301 20140331     3.4
20140401 20140430    23.4
20140501 20140531    68.7
20140601 20140630     5.7
20140701 20140731     6.6
20140801 20140831    14.7
20140901 20140930    18.0
20141001 20141031     5.1
20141101 20141130    24.7
20141201 20141231     1.8
20150101 20150131    14.2
20150201 20150228    87.3
20150301 20150331    79.2
20150401 20150430    13.2
20150501 20150531     8.5
20150601 20150630    29.0
20150701 20150731    72.6
20150801 20150831    22.3
20150901 20150930     2.8
20151001 20151031     0.0
20151101 20151130    14.0
20151201 20151231     5.0
20160101 20160131    71.9
20160201 20160229     0.0
20160301 20160331    12.1
20160401 20160430    16.5
20160501 20160531    35.3
20160601 20160630    49.0
20160701 20160731    35.2
20160801 20160831    17.0
20160901 20160930     2.2
20161001 20161031     2.6
20161101 20161130     9.8
20161201 20161231     3.0
20170101 20170131     3.7
20170201 20170228   171.8
20170301 20170331     0.0
20170401 20170430     0.4
20170501 20170531     2.2
20170601 20170630     0.4
20170701 20170731    17.5
20170801 20170831    25.3
20170901 20170930    14.5
20171001 20171031     0.0
20171101 20171130     4.1
20171201 20171231    27.6
20180101 20180131    59.5
