PRCP       008088 18960101 20171231 missing_value=99999.9 MINGENEW POST OFFICE                      
19171201 19171231    41.2
19180101 19180131    11.7
19180201 19180228    47.7
19180301 19180331    11.9
19180401 19180430    80.1
19180501 19180531    63.1
19180601 19180630   153.1
19180701 19180731    49.7
19180801 19180831    54.1
19180901 19180930    56.7
19181001 19181031    22.3
19181101 19181130     4.0
19181201 19181231     1.3
19190101 19190131     0.5
19190201 19190228     0.0
19190301 19190331     0.0
19190401 19190430    44.3
19190501 19190531    16.0
19190601 19190630    76.6
19190701 19190731   110.8
19190801 19190831    89.6
19190901 19190930    14.8
19191001 19191031    11.4
19191101 19191130    14.3
19191201 19191231    21.8
19200101 19200131     4.8
19200201 19200229     0.0
19200301 19200331    32.8
19200401 19200430    15.3
19200501 19200531    93.4
19200601 19200630   122.7
19200701 19200731    60.1
19200801 19200831   100.2
19200901 19200930    28.7
19201001 19201031    10.0
19201101 19201130     0.6
19201201 19201231     0.0
19210101 19210131     9.4
19210201 19210228    32.5
19210301 19210331    28.2
19210401 19210430     3.0
19210501 19210531   178.6
19210601 19210630    69.4
19210701 19210731    51.6
19210801 19210831    36.8
19210901 19210930    47.3
19211001 19211031    22.6
19211101 19211130     6.9
19211201 19211231    10.7
19220101 19220131     0.5
19220201 19220228     2.8
19220301 19220331    13.0
19220401 19220430    35.9
19220501 19220531    20.8
19220601 19220630    24.7
19220701 19220731    76.0
19220801 19220831    21.9
19220901 19220930    19.6
19221001 19221031     5.9
19221101 19221130     0.0
19221201 19221231     0.8
19230101 19230131    18.9
19230201 19230228    34.6
19230301 19230331     1.0
19230401 19230430    28.5
19230501 19230531    39.3
19230601 19230630   206.1
19230701 19230731    31.5
19230801 19230831    31.8
19230901 19230930    45.7
19231001 19231031     7.1
19231101 19231130     0.0
19231201 19231231     0.0
19240101 19240131     0.0
19240201 19240229     0.0
19240301 19240331     1.5
19240401 19240430     0.3
19240501 19240531    31.2
19240601 19240630    87.3
19240701 19240731    82.3
19240801 19240831    83.8
19240901 19240930    23.3
19241001 19241031    45.0
19241101 19241130    18.2
19241201 19241231     0.0
19250101 19250131    26.9
19250201 19250228    30.1
19250301 19250331     8.6
19250401 19250430     0.5
19250501 19250531    63.1
19250601 19250630   123.5
19250701 19250731    59.9
19250801 19250831    25.9
19250901 19250930    57.3
19251001 19251031    15.0
19251101 19251130     0.0
19251201 19251231    15.8
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331     4.2
19260401 19260430    42.8
19260501 19260531    47.4
19260601 19260630    78.6
19260701 19260731   100.0
19260801 19260831    44.3
19260901 19260930    40.6
19261001 19261031    33.9
19261101 19261130    29.0
19261201 19261231     1.3
19270101 19270131     0.0
19270201 19270228     0.0
19270301 19270331   112.7
19270401 19270430     3.6
19270501 19270531    49.8
19270601 19270630    87.4
19270701 19270731   101.6
19270801 19270831    48.3
19270901 19270930    61.5
19271001 19271031     5.1
19271101 19271130     0.0
19271201 19271231    14.3
19280101 19280131     9.9
19280201 19280229     0.0
19280301 19280331    14.2
19280401 19280430    10.6
19280501 19280531    56.2
19280601 19280630    40.7
19280701 19280731   120.2
19280801 19280831    53.6
19280901 19280930    27.9
19281001 19281031    24.4
19281101 19281130     1.3
19281201 19281231    19.8
19290101 19290131     0.8
19290201 19290228    20.8
19290301 19290331     1.3
19290401 19290430     2.0
19290501 19290531    83.6
19290601 19290630   116.7
19290701 19290731    44.4
19290801 19290831    42.3
19290901 19290930     8.4
19291001 19291031     7.1
19291101 19291130    37.3
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    31.8
19300401 19300430     8.2
19300501 19300531    23.3
19300601 19300630   194.7
19300701 19300731    93.5
19300801 19300831    50.4
19300901 19300930    36.4
19301001 19301031    28.4
19301101 19301130     2.5
19301201 19301231     2.3
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331     2.5
19310401 19310430    16.5
19310501 19310531   120.1
19310601 19310630    48.8
19310701 19310731    97.9
19310801 19310831    55.7
19310901 19310930    57.6
19311001 19311031    23.2
19311101 19311130    53.9
19311201 19311231    17.8
19320101 19320131    16.5
19320201 19320229     0.5
19320301 19320331    26.2
19320401 19320430    28.3
19320501 19320531    84.6
19320601 19320630    57.0
19320701 19320731   117.6
19320801 19320831   141.7
19320901 19320930    21.0
19321001 19321031    35.6
19321101 19321130     1.0
19321201 19321231     6.6
19330101 19330131     0.0
19330201 19330228     0.3
19330301 19330331    37.5
19330401 19330430     4.6
19330501 19330531    67.3
19330601 19330630   160.6
19330701 19330731    54.5
19330801 19330831    88.1
19330901 19330930    21.3
19331001 19331031    24.7
19331101 19331130    21.8
19331201 19331231    13.0
19340101 19340131    30.0
19340201 19340228     0.0
19340301 19340331   133.3
19340401 19340430   144.1
19340501 19340531    14.7
19340601 19340630    82.3
19340701 19340731    65.9
19340801 19340831    58.9
19340901 19340930    24.1
19341001 19341031     4.1
19341101 19341130     7.4
19341201 19341231     7.1
19350101 19350131    24.8
19350201 19350228    15.2
19350301 19350331    36.8
19350401 19350430    43.4
19350501 19350531     8.9
19350601 19350630    24.6
19350701 19350731   111.0
19350801 19350831    73.3
19350901 19350930    21.0
19351001 19351031     8.5
19351101 19351130     1.0
19351201 19351231     2.5
19360101 19360131     0.8
19360201 19360229     8.6
19360301 19360331     1.1
19360401 19360430    17.8
19360501 19360531    28.7
19360601 19360630    82.0
19360701 19360731    42.5
19360801 19360831    64.3
19360901 19360930    17.8
19361001 19361031    11.0
19361101 19361130    23.4
19361201 19361231     2.5
19370101 19370131     2.5
19370201 19370228     1.0
19370301 19370331     1.3
19370401 19370430    32.1
19370501 19370531    72.7
19370601 19370630    74.5
19370701 19370731    11.8
19370801 19370831    47.9
19370901 19370930    33.3
19371001 19371031     4.2
19371101 19371130     3.6
19371201 19371231     1.0
19380101 19380131     0.8
19380201 19380228     2.6
19380301 19380331    22.4
19380401 19380430    34.1
19380501 19380531    14.6
19380601 19380630    24.8
19380701 19380731   106.1
19380801 19380831    43.7
19380901 19380930    14.6
19381001 19381031     5.9
19381101 19381130    10.4
19381201 19381231     0.0
19390101 19390131    17.2
19390201 19390228    41.9
19390301 19390331     3.0
19390401 19390430     2.3
19390501 19390531    72.3
19390601 19390630   132.1
19390701 19390731   120.8
19390801 19390831    69.3
19390901 19390930     4.3
19391001 19391031    18.5
19391101 19391130     8.6
19391201 19391231     1.0
19400101 19400131     1.6
19400201 19400229     0.0
19400301 19400331     0.5
19400401 19400430     1.0
19400501 19400531    53.7
19400601 19400630    83.1
19400701 19400731    85.0
19400801 19400831    13.8
19400901 19400930    24.9
19401001 19401031    27.2
19401101 19401130     4.8
19401201 19401231     4.1
19410101 19410131     0.0
19410201 19410228     3.3
19410301 19410331     0.3
19410401 19410430    68.5
19410501 19410531    60.8
19410601 19410630    97.0
19410701 19410731    60.2
19410801 19410831    55.1
19410901 19410930    34.1
19411001 19411031    20.8
19411101 19411130    10.3
19411201 19411231     3.4
19420101 19420131    13.4
19420201 19420228     1.3
19420301 19420331     9.2
19420401 19420430    50.5
19420501 19420531    95.7
19420601 19420630   108.6
19420701 19420731    45.8
19420801 19420831    56.9
19420901 19420930    36.1
19421001 19421031    11.7
19421101 19421130     0.0
19421201 19421231     0.0
19430101 19430131    24.1
19430201 19430228    29.0
19430301 19430331    49.0
19430401 19430430    17.5
19430501 19430531    26.6
19430601 19430630    74.1
19430701 19430731    65.8
19430801 19430831    46.0
19430901 19430930    42.2
19431001 19431031     9.7
19431101 19431130     0.0
19431201 19431231    20.0
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331    20.1
19440401 19440430    17.5
19440501 19440531    55.6
19440601 19440630    65.8
19440701 19440731   144.1
19440801 19440831    57.2
19440901 19440930    13.2
19441001 19441031     1.5
19441101 19441130    10.5
19441201 19441231    13.0
19450101 19450131     0.0
19450201 19450228    16.8
19450301 19450331     9.2
19450401 19450430     2.8
19450501 19450531   105.6
19450601 19450630   271.3
19450701 19450731    52.2
19450801 19450831   102.9
19450901 19450930    29.9
19451001 19451031     1.8
19451101 19451130    15.8
19451201 19451231     8.4
19460101 19460131     1.0
19460201 19460228     0.0
19460301 19460331     7.9
19460401 19460430    16.7
19460501 19460531    36.2
19460601 19460630   110.4
19460701 19460731   184.4
19460801 19460831    60.5
19460901 19460930     7.7
19461001 19461031     0.0
19461101 19461130    30.5
19461201 19461231     1.3
19470101 19470131     0.0
19470201 19470228     3.0
19470301 19470331    16.3
19470401 19470430    19.0
19470501 19470531    88.6
19470601 19470630    66.0
19470701 19470731    84.5
19470801 19470831    29.3
19470901 19470930    45.4
19471001 19471031   101.4
19471101 19471130     5.0
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     3.8
19480401 19480430    52.6
