PRCP       008088 18960101 20171231 missing_value=99999.9 MINGENEW POST OFFICE                      
19911001 19911031    26.0
19911101 19911130    31.6
19911201 19911231    30.6
19920101 19920131     2.9
19920201 19920229    10.6
19920301 19920331    39.6
19920401 19920430    61.0
19920501 19920531    12.5
19920601 19920630    87.4
19920701 19920731    17.8
19920801 19920831   133.4
19920901 19920930    78.8
19921001 19921031     4.6
19921101 19921130    17.0
19921201 19921231     4.8
19930101 19930131     0.8
19930201 19930228     0.0
19930301 19930331     2.2
19930401 19930430     6.0
19930501 19930531   110.6
19930601 19930630    48.8
19930701 19930731    57.0
19930801 19930831    78.2
19930901 19930930    30.2
19931001 19931031     8.6
19931101 19931130    18.6
19931201 19931231     5.8
19940101 19940131     0.0
19940201 19940228     9.8
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531    73.4
19940601 19940630    53.2
19940701 19940731    45.4
19940801 19940831    59.6
19940901 19940930    15.7
19941001 19941031     5.0
19941101 19941130     0.0
19941201 19941231     0.0
19950101 19950131    33.6
19950201 19950228     9.0
19950301 19950331     1.1
19950401 19950430    23.6
19950501 19950531    30.7
19950601 19950630    75.6
19950701 19950731   120.7
19950801 19950831    13.4
19950901 19950930    21.2
19951001 19951031    21.4
19951101 19951130     7.2
19951201 19951231     1.2
19960101 19960131     0.0
19960201 19960229     4.7
19960301 19960331     0.0
19960401 19960430    37.6
19960501 19960531    22.4
19960601 19960630    96.4
19960701 19960731   131.0
19960801 19960831    66.4
19960901 19960930    55.2
19961001 19961031    11.4
19961101 19961130    26.0
19961201 19961231     1.0
19970101 19970131     0.0
19970201 19970228     6.0
19970301 19970331     1.4
19970401 19970430    68.4
19970501 19970531    31.2
19970601 19970630    34.0
19970701 19970731    58.8
19970801 19970831   102.6
19970901 19970930    52.6
19971001 19971031    13.6
19971101 19971130    13.6
19971201 19971231     0.0
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331    11.2
19980401 19980430     3.0
19980501 19980531    87.8
19980601 19980630   112.0
19980701 19980731    92.4
19980801 19980831    31.6
19980901 19980930    32.6
19981001 19981031     8.2
19981101 19981130     0.0
19981201 19981231    15.2
19990101 19990131     0.0
19990201 19990228     0.0
19990301 19990331    87.1
19990401 19990430    30.6
19990501 19990531   228.6
19990601 19990630    90.0
19990701 19990731    77.0
19990801 19990831    35.0
19990901 19990930    62.2
19991001 19991031    26.8
19991101 19991130     0.6
19991201 19991231     6.4
20000101 20000131    28.0
20000201 20000229     0.0
20000301 20000331    90.0
20000401 20000430     8.4
20000501 20000531     7.4
20000601 20000630    34.8
20000701 20000731    75.6
20000801 20000831    59.4
20000901 20000930    31.6
20001001 20001031     0.2
20001101 20001130     2.4
20001201 20001231     1.4
20010101 20010131     2.4
20010201 20010228     2.8
20010301 20010331     9.4
20010401 20010430     0.0
20010501 20010531    56.4
20010601 20010630    15.6
20010701 20010731    73.9
20010801 20010831    23.8
20010901 20010930    59.6
20011001 20011031    36.8
20011101 20011130    21.6
20011201 20011231     0.0
20020101 20020131     7.1
20020201 20020228     3.0
20020301 20020331    14.2
20020401 20020430    22.0
20020501 20020531    24.0
20020601 20020630    34.6
20020701 20020731    53.4
20020801 20020831    31.8
20020901 20020930    27.4
20021001 20021031    16.4
20021101 20021130     4.0
20021201 20021231     7.0
20030101 20030131     0.0
20030201 20030228     2.8
20030301 20030331    23.8
20030401 20030430    13.4
20030501 20030531    55.2
20030601 20030630    62.4
20030701 20030731    53.6
20030801 20030831   101.6
20030901 20030930    65.0
20031001 20031031     6.6
20031101 20031130    19.2
20031201 20031231     0.0
20040101 20040131     4.6
20040201 20040229     0.0
20040301 20040331     2.6
20040401 20040430     7.0
20040501 20040531    42.4
20040601 20040630    60.4
20040701 20040731    47.2
20040801 20040831    35.8
20040901 20040930    46.8
20041001 20041031     4.8
20041101 20041130     5.6
20041201 20041231     7.6
20050101 20050131     9.4
20050201 20050228     5.2
20050301 20050331    25.2
20050401 20050430    15.0
20050501 20050531    86.2
20050601 20050630   114.0
20050701 20050731    19.0
20050801 20050831    67.2
20050901 20050930    32.2
20051001 20051031    11.8
20051101 20051130     1.0
20051201 20051231     1.2
20060101 20060131    77.8
20060201 20060228    33.8
20060301 20060331     0.0
20060401 20060430    10.0
20060501 20060531    19.0
20060601 20060630    16.0
20060701 20060731    28.6
20060801 20060831    43.6
20060901 20060930    31.6
20061001 20061031     4.0
20061101 20061130     4.8
20061201 20061231    27.8
20070101 20070131     4.2
20070201 20070228     9.0
20070301 20070331     0.6
20070401 20070430     4.4
20070501 20070531    24.6
20070601 20070630    24.4
20070701 20070731    64.4
20070801 20070831    21.6
20070901 20070930    23.8
20071001 20071031    11.8
20071101 20071130     0.4
20071201 20071231     8.6
20080101 20080131     7.0
20080201 20080229    98.4
20080301 20080331    27.4
20080401 20080430    20.4
20080501 20080531     6.4
20080601 20080630    62.6
20080701 20080731   114.4
20080801 20080831     5.4
20080901 20080930    34.2
20081001 20081031    18.4
20081101 20081130     6.4
20081201 20081231    14.8
20090101 20090131    10.6
20090201 20090228     0.0
20090301 20090331     2.8
20090401 20090430     0.0
20090501 20090531    45.0
20090601 20090630    85.7
20090701 20090731   115.8
20090801 20090831    40.4
20090901 20090930    30.1
20091001 20091031    10.1
20091101 20091130    13.8
20091201 20091231     0.0
20100101 20100131     0.0
20100201 20100228     0.0
20100301 20100331    24.4
20100401 20100430    21.8
20100501 20100531    44.0
20100601 20100630    17.8
20100701 20100731    71.3
20100801 20100831    60.2
20100901 20100930     4.5
20101001 20101031     1.0
20101101 20101130     0.0
20101201 20101231    22.6
20110101 20110131    14.6
20110201 20110228    47.8
20110301 20110331     0.3
20110401 20110430    18.8
20110501 20110531   103.0
20110601 20110630    64.6
20110701 20110731    72.2
20110801 20110831    68.4
20110901 20110930    39.7
20111001 20111031    34.0
20111101 20111130    14.5
20111201 20111231     5.2
20120101 20120131    12.0
20120201 20120229     4.4
20120301 20120331     0.0
20120401 20120430     7.4
20120501 20120531    17.4
20120601 20120630    88.2
20120701 20120731    32.4
20120801 20120831    26.2
20120901 20120930    37.8
20121001 20121031     9.4
20121101 20121130    29.5
20121201 20121231     7.0
20130101 20130131     3.2
20130201 20130228     0.6
20130301 20130331    58.6
20130401 20130430    20.4
20130501 20130531    90.8
20130601 20130630     4.0
20130701 20130731    46.8
20130801 20130831    68.7
20130901 20130930    53.8
20131001 20131031    19.2
20131101 20131130     2.4
20131201 20131231     0.8
20140101 20140131    10.2
20140201 20140228     1.0
20140301 20140331     9.2
20140401 20140430    40.6
20140501 20140531    52.4
20140601 20140630    35.8
20140701 20140731    59.2
20140801 20140831    21.8
20140901 20140930    60.2
20141001 20141031    15.7
20141101 20141130    20.2
20141201 20141231     0.0
20150101 20150131     0.0
20150201 20150228     3.8
20150301 20150331    22.0
20150401 20150430    16.8
20150501 20150531    17.8
20150601 20150630    38.2
20150701 20150731    50.1
20150801 20150831    48.6
20150901 20150930     9.6
20151001 20151031     0.4
20151101 20151130    22.6
20151201 20151231     1.7
20160101 20160131    18.3
20160201 20160229     2.0
20160301 20160331    10.4
20160401 20160430    57.5
20160501 20160531    37.8
20160601 20160630    73.6
20160701 20160731    75.2
20160801 20160831    59.3
20160901 20160930    21.3
20161001 20161031    16.8
20161101 20161130     2.4
20161201 20161231     0.0
20170101 20170131    87.4
20170201 20170228    21.6
20170301 20170331    12.5
20170401 20170430     0.0
20170501 20170531    16.9
20170601 20170630     9.8
20170701 20170731    31.7
20170801 20170831    66.7
20170901 20170930    40.6
20171001 20171031     6.4
20171101 20171130     1.3
20171201 20171231    16.4
