PRCP       055045 19030101 20171231 missing_value=99999.9 CURLEWIS (PINE CLIFF)                     
19241101 19241130   178.0
19241201 19241231    25.4
19250101 19250131    29.0
19250201 19250228    33.6
19250301 19250331    14.8
19250401 19250430     0.0
19250501 19250531    53.4
19250601 19250630    18.3
19250701 19250731    21.9
19250801 19250831    40.6
19250901 19250930     3.0
19251001 19251031     9.7
19251101 19251130    65.8
19251201 19251231    29.8
19260101 19260131    30.8
19260201 19260228     0.0
19260301 19260331   153.8
19260401 19260430    59.2
19260501 19260531    72.4
19260601 19260630    14.1
19260701 19260731    37.4
19260801 19260831    13.0
19260901 19260930    67.3
19261001 19261031     4.9
19261101 19261130     3.8
19261201 19261231   128.9
19270101 19270131    56.9
19270201 19270228     0.0
19270301 19270331    10.2
19270401 19270430    71.3
19270501 19270531     4.4
19270601 19270630    24.6
19270701 19270731     0.0
19270801 19270831    29.3
19270901 19270930     4.6
19271001 19271031    55.7
19271101 19271130    60.8
19271201 19271231    80.0
19280101 19280131    27.7
19280201 19280229   144.1
19280301 19280331   119.7
19280401 19280430    53.6
19280501 19280531     9.6
19280601 19280630    58.9
19280701 19280731    69.4
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031    39.1
19281101 19281130    47.8
19281201 19281231    16.3
19290101 19290131    25.6
19290201 19290228   143.0
19290301 19290331     8.4
19290401 19290430    79.3
19290501 19290531     5.8
19290601 19290630    15.0
19290701 19290731    15.5
19290801 19290831    50.3
19290901 19290930    30.5
19291001 19291031    23.5
19291101 19291130    59.1
19291201 19291231    13.9
19300101 19300131    82.0
19300201 19300228     4.3
19300301 19300331    34.3
19300401 19300430    17.9
19300501 19300531    11.9
19300601 19300630   108.6
19300701 19300731    44.8
19300801 19300831    12.0
19300901 19300930    19.0
19301001 19301031   106.5
19301101 19301130    27.2
19301201 19301231    31.2
19310101 19310131    29.7
19310201 19310228    14.0
19310301 19310331   134.2
19310401 19310430    67.4
19310501 19310531    91.5
19310601 19310630   110.2
19310701 19310731    24.6
19310801 19310831    26.5
19310901 19310930    16.5
19311001 19311031     1.0
19311101 19311130    54.9
19311201 19311231    83.7
19320101 19320131     4.3
19320201 19320229    33.6
19320301 19320331    53.6
19320401 19320430    31.0
19320501 19320531    21.3
19320601 19320630    11.9
19320701 19320731    26.2
19320801 19320831    15.1
19320901 19320930    95.3
19321001 19321031    32.8
19321101 19321130    58.9
19321201 19321231    29.3
19330101 19330131   105.9
19330201 19330228     1.3
19330301 19330331    15.7
19330401 19330430    22.0
19330501 19330531    32.7
19330601 19330630    45.2
19330701 19330731    94.4
19330801 19330831     9.1
19330901 19330930    54.4
19331001 19331031   118.6
19331101 19331130   132.9
19331201 19331231    31.5
19340101 19340131   116.6
19340201 19340228   154.1
19340301 19340331     0.0
19340401 19340430    15.0
19340501 19340531     2.8
19340601 19340630    31.2
19340701 19340731    69.2
19340801 19340831    51.5
19340901 19340930    47.6
19341001 19341031   112.3
19341101 19341130    33.7
19341201 19341231    16.0
19350101 19350131    86.4
19350201 19350228    50.0
19350301 19350331     4.8
19350401 19350430    13.6
19350501 19350531     7.1
19350601 19350630     5.7
19350701 19350731    51.6
19350801 19350831    17.7
19350901 19350930    57.7
19351001 19351031    54.6
19351101 19351130    46.2
19351201 19351231     1.0
19360101 19360131    62.2
19360201 19360229   127.5
19360301 19360331    91.2
19360401 19360430    11.7
19360501 19360531    14.1
19360601 19360630     9.1
19360701 19360731    72.5
19360801 19360831    33.2
19360901 19360930    51.5
19361001 19361031     4.6
19361101 19361130     0.0
19361201 19361231    76.2
19370101 19370131    91.1
19370201 19370228    45.8
19370301 19370331    33.8
19370401 19370430    15.3
19370501 19370531    11.7
19370601 19370630    30.6
19370701 19370731    31.8
19370801 19370831    25.9
19370901 19370930     8.9
19371001 19371031    49.8
19371101 19371130   152.4
19371201 19371231    44.2
19380101 19380131    53.0
19380201 19380228    41.4
19380301 19380331     4.1
19380401 19380430    26.7
19380501 19380531    69.1
19380601 19380630    29.7
19380701 19380731    36.9
19380801 19380831    58.7
19380901 19380930     7.9
19381001 19381031    35.4
19381101 19381130    85.8
19381201 19381231    16.2
19390101 19390131    76.9
19390201 19390228     8.6
19390301 19390331    77.9
19390401 19390430    53.4
19390501 19390531    23.4
19390601 19390630    30.0
19390701 19390731    12.9
19390801 19390831    46.2
19390901 19390930     1.6
19391001 19391031    53.9
19391101 19391130    32.2
19391201 19391231     5.1
19400101 19400131     1.8
19400201 19400229     8.2
19400301 19400331    86.1
19400401 19400430    68.3
19400501 19400531     2.1
19400601 19400630     9.7
19400701 19400731     5.1
19400801 19400831    14.7
19400901 19400930    23.9
19401001 19401031     9.7
19401101 19401130    29.2
19401201 19401231    72.4
19410101 19410131   144.9
19410201 19410228    20.6
19410301 19410331   182.5
19410401 19410430     9.9
19410501 19410531    40.1
19410601 19410630    54.1
19410701 19410731     3.8
19410801 19410831    23.1
19410901 19410930    11.0
19411001 19411031    36.4
19411101 19411130     9.9
19411201 19411231    13.7
19420101 19420131    23.4
19420201 19420228    34.9
19420301 19420331    11.4
19420401 19420430     0.0
19420501 19420531    34.6
19420601 19420630    54.3
19420701 19420731   122.7
19420801 19420831    14.8
19420901 19420930    22.7
19421001 19421031    31.8
19421101 19421130    87.0
19421201 19421231    94.3
19430101 19430131    60.7
19430201 19430228    29.0
19430301 19430331    16.5
19430401 19430430    66.3
19430501 19430531    46.8
19430601 19430630    27.2
19430701 19430731    15.5
19430801 19430831    17.9
19430901 19430930    16.5
19431001 19431031    66.6
19431101 19431130    50.0
19431201 19431231    50.5
19440101 19440131    37.4
19440201 19440229    30.6
19440301 19440331     3.5
19440401 19440430    31.3
19440501 19440531    55.4
19440601 19440630    10.9
19440701 19440731    36.8
19440801 19440831   107.6
19440901 19440930     8.4
19441001 19441031     0.0
19441101 19441130    18.8
19441201 19441231     4.8
19450101 19450131    83.9
19450201 19450228    42.5
19450301 19450331     6.9
19450401 19450430    63.0
19450501 19450531    93.3
19450601 19450630    72.5
19450701 19450731    34.8
19450801 19450831    65.1
19450901 19450930     4.1
19451001 19451031    23.4
19451101 19451130    12.2
19451201 19451231    13.5
19460101 19460131    76.7
19460201 19460228     9.4
19460301 19460331    16.3
19460401 19460430    19.3
19460501 19460531     2.8
19460601 19460630    10.4
19460701 19460731     1.0
19460801 19460831     0.0
19460901 19460930    40.4
19461001 19461031     3.4
19461101 19461130    25.7
19461201 19461231    37.6
19470101 19470131     6.6
19470201 19470228   150.3
19470301 19470331    76.0
19470401 19470430    11.9
19470501 19470531    43.1
19470601 19470630    12.5
19470701 19470731    27.1
19470801 19470831    51.9
19470901 19470930    48.3
19471001 19471031    78.9
19471101 19471130    99.3
19471201 19471231   173.4
19480101 19480131    41.1
19480201 19480229     5.9
19480301 19480331    77.2
19480401 19480430    52.3
19480501 19480531    31.2
19480601 19480630    66.6
19480701 19480731    21.3
19480801 19480831    11.7
19480901 19480930    42.5
19481001 19481031     8.2
19481101 19481130    23.0
19481201 19481231   107.2
19490101 19490131    38.1
19490201 19490228    65.3
19490301 19490331    97.4
19490401 19490430    55.1
19490501 19490531    10.2
19490601 19490630    64.1
19490701 19490731    13.3
19490801 19490831    53.6
19490901 19490930    86.3
19491001 19491031    58.2
19491101 19491130   146.1
19491201 19491231     8.1
19500101 19500131   124.2
19500201 19500228   110.3
19500301 19500331     4.3
19500401 19500430   193.0
19500501 19500531    55.9
19500601 19500630    92.1
19500701 19500731   112.1
19500801 19500831    23.3
19500901 19500930    61.9
19501001 19501031   100.3
19501101 19501130   180.2
19501201 19501231     5.6
19510101 19510131    47.6
19510201 19510228     0.0
19510301 19510331    10.7
19510401 19510430    18.6
19510501 19510531    18.5
19510601 19510630    38.3
19510701 19510731    28.0
19510801 19510831    44.2
19510901 19510930    27.7
19511001 19511031     6.0
19511101 19511130    17.3
19511201 19511231    12.7
19520101 19520131     7.1
19520201 19520229    84.3
19520301 19520331    59.6
19520401 19520430    29.5
19520501 19520531    36.0
19520601 19520630    36.8
19520701 19520731    36.4
19520801 19520831   141.0
19520901 19520930    19.4
19521001 19521031    40.1
19521101 19521130    24.4
19521201 19521231    67.8
19530101 19530131    65.4
19530201 19530228   119.4
19530301 19530331     8.9
19530401 19530430     6.3
19530501 19530531    56.2
19530601 19530630     0.8
19530701 19530731    19.6
19530801 19530831    70.7
19530901 19530930    13.2
19531001 19531031    42.1
19531101 19531130    38.5
19531201 19531231     4.6
19540101 19540131    81.5
19540201 19540228   127.1
19540301 19540331     0.0
19540401 19540430     7.6
19540501 19540531     0.0
19540601 19540630    51.0
19540701 19540731     9.4
19540801 19540831    14.2
