PRCP       055045 19030101 20171231 missing_value=99999.9 CURLEWIS (PINE CLIFF)                     
19981201 19981231    44.0
19990101 19990131    30.6
19990201 19990228    50.2
19990301 19990331    50.4
19990401 19990430   137.2
19990501 19990531     4.2
19990601 19990630    60.4
19990701 19990731    41.0
19990801 19990831    64.4
19990901 19990930    31.8
19991001 19991031   152.0
19991101 19991130    91.2
19991201 19991231    64.4
20000101 20000131    34.8
20000201 20000229    13.4
20000301 20000331    98.2
20000401 20000430    65.4
20000501 20000531    95.0
20000601 20000630    23.4
20000701 20000731    39.2
20000801 20000831    58.6
20000901 20000930     3.8
20001001 20001031   125.2
20001101 20001130   260.6
20001201 20001231    69.0
20010101 20010131    54.2
20010201 20010228    36.0
20010301 20010331    82.6
20010401 20010430    12.2
20010501 20010531    28.8
20010601 20010630    31.2
20010701 20010731    80.6
20010801 20010831    12.2
20010901 20010930    26.8
20011001 20011031    47.2
20011101 20011130    83.6
20011201 20011231    36.6
20020101 20020131    64.2
20020201 20020228    81.0
20020301 20020331    37.2
20020401 20020430    11.2
20020501 20020531     0.4
20020601 20020630    16.8
20020701 20020731     3.4
20020801 20020831    11.6
20020901 20020930    34.2
20021001 20021031     0.4
20021101 20021130    32.8
20021201 20021231    77.0
20030101 20030131    13.6
20030201 20030228    38.2
20030301 20030331    27.4
20030401 20030430   111.0
20030501 20030531     2.8
20030601 20030630    37.8
20030701 20030731    42.2
20030801 20030831    75.6
20030901 20030930     5.6
20031001 20031031    56.4
20031101 20031130    90.2
20031201 20031231    36.0
20040101 20040131   115.6
20040201 20040229    94.4
20040301 20040331    30.8
20040401 20040430    31.6
20040501 20040531    20.2
20040601 20040630    16.6
20040701 20040731    44.8
20040801 20040831    40.4
20040901 20040930    36.6
20041001 20041031    59.6
20041101 20041130    79.8
20041201 20041231   159.8
20050101 20050131    45.6
20050201 20050228    16.8
20050301 20050331    27.2
20050401 20050430     2.2
20050501 20050531     8.6
20050601 20050630   137.2
20050701 20050731    30.6
20050801 20050831    17.6
20050901 20050930    67.2
20051001 20051031    61.0
20051101 20051130   130.8
20051201 20051231    43.4
20060101 20060131    16.6
20060201 20060228    46.2
20060301 20060331    18.6
20060401 20060430    53.0
20060501 20060531     0.0
20060601 20060630    52.0
20060701 20060731    69.6
20060801 20060831     5.6
20060901 20060930    70.6
20061001 20061031    17.2
20061101 20061130    38.8
20061201 20061231    23.4
20070101 20070131    56.4
20070201 20070228   125.4
20070301 20070331    96.6
20070401 20070430    15.9
20070501 20070531    65.4
20070601 20070630    85.5
20070701 20070731     1.4
20070801 20070831    55.6
20070901 20070930     0.6
20071001 20071031    28.7
20071101 20071130    63.8
20071201 20071231   120.1
20080101 20080131    62.5
20080201 20080229   108.9
20080301 20080331     4.0
20080401 20080430    27.4
20080501 20080531    12.8
20080601 20080630    65.8
20080701 20080731    18.7
20080801 20080831    41.6
20080901 20080930    73.3
20081001 20081031    69.7
20081101 20081130   147.7
20081201 20081231    69.5
20090101 20090131    58.0
20090201 20090228   114.2
20090301 20090331     1.8
20090401 20090430    64.7
20090501 20090531    25.9
20090601 20090630    46.0
20090701 20090731    21.4
20090801 20090831     4.6
20090901 20090930    44.8
20091001 20091031    33.2
20091101 20091130    25.2
20091201 20091231   114.8
20100101 20100131   127.3
20100201 20100228    82.6
20100301 20100331   129.0
20100401 20100430    18.6
20100501 20100531    35.2
20100601 20100630    27.8
20100701 20100731   101.4
20100801 20100831    50.7
20100901 20100930    50.7
20101001 20101031    73.3
20101101 20101130 99999.9
20101201 20101231 99999.9
20110101 20110131    17.6
20110201 20110228    37.0
20110301 20110331    17.6
20110401 20110430    20.8
20110501 20110531    43.5
20110601 20110630     8.6
20110701 20110731     2.6
20110801 20110831    21.4
20110901 20110930    73.0
20111001 20111031    55.4
20111101 20111130   136.3
20111201 20111231    51.5
20120101 20120131 99999.9
20120201 20120229 99999.9
20120301 20120331 99999.9
20120401 20120430 99999.9
20120501 20120531 99999.9
20120601 20120630 99999.9
20120701 20120731 99999.9
20120801 20120831 99999.9
20120901 20120930 99999.9
20121001 20121031 99999.9
20121101 20121130 99999.9
20121201 20121231 99999.9
20130101 20130131   122.0
20130201 20130228 99999.9
20130301 20130331    75.8
20130401 20130430     0.0
20130501 20130531    23.2
20130601 20130630    80.9
20130701 20130731    27.2
20130801 20130831     4.0
20130901 20130930    21.8
20131001 20131031     8.0
20131101 20131130    64.5
20131201 20131231    14.4
20140101 20140131 99999.9
20140201 20140228    16.0
20140301 20140331   145.7
20140401 20140430    16.2
20140501 20140531    14.4
20140601 20140630    37.0
20140701 20140731     6.1
20140801 20140831    47.0
20140901 20140930    17.6
20141001 20141031    18.2
20141101 20141130    11.8
20141201 20141231   105.1
20150101 20150131    81.6
20150201 20150228    12.6
20150301 20150331    29.2
20150401 20150430    86.6
20150501 20150531    51.0
20150601 20150630    58.4
20150701 20150731    43.8
20150801 20150831    37.4
20150901 20150930    23.4
20151001 20151031    33.8
20151101 20151130 99999.9
20151201 20151231    60.2
20160101 20160131   115.0
20160201 20160229     4.2
20160301 20160331    21.2
20160401 20160430     3.8
20160501 20160531    38.4
20160601 20160630    82.8
20160701 20160731    31.4
20160801 20160831    73.1
20160901 20160930   135.6
20161001 20161031    63.8
20161101 20161130    11.4
20161201 20161231    29.4
20170101 20170131    47.6
20170201 20170228    24.0
20170301 20170331   181.5
20170401 20170430     4.4
20170501 20170531    37.2
20170601 20170630    28.0
20170701 20170731     4.0
20170801 20170831    21.6
20170901 20170930     3.8
20171001 20171031    71.2
20171101 20171130    61.0
20171201 20171231    65.0
